Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
19,"J Jermaks, PK Quach, ZM Seibel, J Pomarole…","Ring-opening carbonyl–olefin metathesis of norbornenes",2020,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/sc/d0sc02243h","https://scholar.google.com/scholar?cites=12645477274093023720&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-02 13:32:36","HTML","","","",,,,,19,3.80,4,5,5,"… We conducted this density functional theory (DFT) study with the M06-2X functional, 38–40 which has been shown to provide relatively accurate energetics for cycloadditions. The role …","https://pubs.rsc.org/en/content/articlehtml/2020/sc/d0sc02243h","https://scholar.google.com/scholar?q=related:6PGWCZXCfa8J:scholar.google.com/&scioq=source:%22chemical+science%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
82,"C Copéret, ZJ Berkson, KW Chan, J de Jesus Silva…","Olefin metathesis: what have we learned about homogeneous and heterogeneous catalysts from surface organometallic chemistry?",2021,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/sc/d0sc06880b","https://scholar.google.com/scholar?cites=11247791856473916614&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-02 13:32:36","HTML","","","",,,,,82,20.50,16,5,4,"… In particular, one of the general effects that was established via comparison of vast arrays of experimental data and rationalized based on the DFT models described in Section 2.1 is a …","https://pubs.rsc.org/en/content/articlehtml/2021/sc/d0sc06880b","https://scholar.google.com/scholar?q=related:xsSooBkvGJwJ:scholar.google.com/&scioq=source:%22chemical+science%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"G Occhipinti, DL Nascimento, M Foscato, DE Fogg…","The Janus face of high trans-effect carbenes in olefin metathesis: gateway to both productivity and decomposition",2022,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d2sc00855f","https://scholar.google.com/scholar?cites=1669151508276056380&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-02 13:32:36","HTML","","","",,,,,17,5.67,3,5,3,"… , can enable dramatically higher productivities in olefin metathesis than their N-heterocyclic … are explored via density functional theory (DFT) calculations, in metathesis of ethylene or …","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d2sc00855f","https://scholar.google.com/scholar?q=related:PBEaB3QEKhcJ:scholar.google.com/&scioq=source:%22chemical+science%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Otroshchenko, A Fedorov, Q Zhang, D Linke…","Time-resolved and theoretical analysis of Mo-carbene transformations in metathesis of ethylene with 2-butene",2025,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/sc/d4sc06833e","",4,"2025-05-02 13:32:36","HTML","","","",,,,,0,0.00,0,5,1,"… their kinetic evaluation as well as density functional theory (DFT) calculations. The Mo/P/… metathesis reaction in the presence of 5 vol% of 1-C 4 H 8 to understand if and how this olefin …","https://pubs.rsc.org/en/content/articlehtml/2025/sc/d4sc06833e","https://scholar.google.com/scholar?q=related:dQ5o9QXbYMIJ:scholar.google.com/&scioq=source:%22chemical+science%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
97,"X Hong, Y Liang, AK Griffith, TH Lambert…","Distortion-accelerated cycloadditions and strain-release-promoted cycloreversions in the organocatalytic carbonyl-olefin metathesis",2014,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2013/sc/c3sc52882k","https://scholar.google.com/scholar?cites=12606004473760581372&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-02 13:32:36","","","","",,,,,97,8.82,19,5,11,"… –olefin metathesis using density functional theory (DFT) … successful carbonyl–olefin metathesis with hydrazine catalyst. … carbonyl–olefin metathesis are ongoing in our laboratories. …","","https://scholar.google.com/scholar?q=related:_AZ8h0eG8a4J:scholar.google.com/&scioq=source:%22chemical+science%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"EK Cho, PK Quach, Y Zhang, JH Sim, TH Lambert","Polycyclic heteroaromatics via hydrazine-catalyzed ring-closing carbonyl–olefin metathesis",2022,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc06234d","https://scholar.google.com/scholar?cites=18163516401608063336&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-02 13:32:36","HTML","","","",,,,,17,5.67,3,5,3,"… In order to better understand the facile nature of this RCCOM reaction, we conducted DFT calculations for each step of the proposed reaction pathway (Fig. 3A). Condensation of the …","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc06234d","https://scholar.google.com/scholar?q=related:aHnUze7FEfwJ:scholar.google.com/&scioq=source:%22chemical+science%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
42,"L Garcia, C Dinoi, MF Mahon, L Maron, MS Hill","Magnesium hydride alkene insertion and catalytic hydrosilylation",2019,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c9sc02056j","https://scholar.google.com/scholar?cites=8203873716317867349&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-02 13:32:36","HTML","","","",,,,,42,7.00,8,5,6,"… Further DFT calculations reveal that the catalytic reaction is … H/Mg–C σ-bond metathesis reactions, the latter of which, with … example of the direct insertion of an olefin into the Mg–H bond …","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c9sc02056j","https://scholar.google.com/scholar?q=related:VU1K060D2nEJ:scholar.google.com/&scioq=source:%22chemical+science%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"R Li, R Zhan, Y Lang, CJ Li, H Zeng","Intermolecular C–C/C–N σ-bond metathesis enabled by visible light",2024,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/sc/d4sc02412e","https://scholar.google.com/scholar?cites=10835632928917845155&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-02 13:32:36","HTML","","","",,,,,3,3.00,1,5,1,"… , and DFT (Density Functional Theory) … -catalyzed olefin metathesis and carbonyl–olefin metathesis reactions have been extensively developed to produce the corresponding metathesis …","https://pubs.rsc.org/en/content/articlehtml/2024/sc/d4sc02412e","https://scholar.google.com/scholar?q=related:o3SsPL3mX5YJ:scholar.google.com/&scioq=source:%22chemical+science%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"JA Kim, S Kim, SD Tambe, J Jang, EJ Cho","Nickel-catalyzed stereo-controlled 2, 3-hydrosilylation of 1, 1-disubstituted allenes",2025,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/sc/d5sc01148e","",9,"2025-05-02 13:32:36","HTML","","","",,,,,0,0.00,0,5,1,"… non-covalent interaction (NCI) analysis based on DFT-optimized structures of the Ni–ligand–… The DFT-calculated 3D structures revealed that L6, which delivered superior selectivity and …","https://pubs.rsc.org/en/content/articlehtml/2025/sc/d5sc01148e","https://scholar.google.com/scholar?q=related:0fax7ogrYhgJ:scholar.google.com/&scioq=source:%22chemical+science%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"F Rulli, G Sanz-Liarte, P Roca, N Martínez…","From propenolysis to enyne metathesis: tools for expedited assembly of 4 a, 8 a-azaboranaphthalene and extended polycycles with embedded BN",2024,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/sc/d3sc06676b","https://scholar.google.com/scholar?cites=11926144484583146219&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-02 13:32:36","HTML","","","",,,,,2,2.00,0,5,1,"… (B) Comparison of DFT barriers for 4- and 6-membered transition states for the proto-… seamlessly integrated with the subsequent olefin or enyne metathesis stages. When combined with …","https://pubs.rsc.org/en/content/articlehtml/2024/sc/d3sc06676b","https://scholar.google.com/scholar?q=related:6wKQpzgtgqUJ:scholar.google.com/&scioq=source:%22chemical+science%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
