Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
5,"Y Liu, A Feng, R Zhu, D Zhang","New insights into the mechanism of synergetic photoredox/copper (I)-catalyzed carbocyanation of 1, 3-dienes: a DFT study",2023,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/sc/d3sc00002h","https://scholar.google.com/scholar?cites=9043569232677549578&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-02 13:28:15","HTML","","","",,,,,5,2.50,1,4,2,"… DFT-based computational study to understand the mechanism, and regio- and enantioselectivities in the synergetic photoredox… In the newly proposed photoredox/copper(I) catalysis, the …","https://pubs.rsc.org/en/content/articlehtml/2023/sc/d3sc00002h","https://scholar.google.com/scholar?q=related:CrZlX002gX0J:scholar.google.com/&scioq=source:%22chemical+science%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"L Zeng, CH Xu, XY Zou, Q Sun, M Hu, XH Ouyang, ...","Iodoarene-directed photoredox β-C (sp 3)–H arylation of 1-(o-iodoaryl) alkan-1-ones with cyanoarenes via halogen atom transfer and hydrogen atom transfer",2024,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/sc/d3sc06637a","https://scholar.google.com/scholar?cites=18042113063274186536&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-02 13:28:15","HTML","","","",,,,,14,14.00,2,7,1,"… Herein, we describe an iodoarene-directed photoredox β-C(sp3)–H arylation of 1-(o-… Experimental findings are supported by computational studies (DFT calculations), revealing that this …","https://pubs.rsc.org/en/content/articlehtml/2024/sc/d3sc06637a","https://scholar.google.com/scholar?q=related:KIfkZT12YvoJ:scholar.google.com/&scioq=source:%22chemical+science%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"HC Liu, X Kong, XP Gong, Y Li, ZJ Niu, XY Gou, ...","Site-selective coupling of remote C (sp 3)–H/meta-C (sp 2)–H bonds enabled by Ru/photoredox dual catalysis and mechanistic studies",2022,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d2sc00764a","https://scholar.google.com/scholar?cites=7270251155295433927&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-02 13:28:15","HTML","","","",,,,,37,12.33,5,7,3,"… Density functional theory (DFT) calculations and control experiments explained the site-… we disclosed a novel example of dual Ru/photoredox-catalyzed meta-alkylation of arenes via site…","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d2sc00764a","https://scholar.google.com/scholar?q=related:x_RBA-ge5WQJ:scholar.google.com/&scioq=source:%22chemical+science%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"YM Lee, W Nam, S Fukuzumi","Redox catalysis via photoinduced electron transfer",2023,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/sc/d2sc07101k","https://scholar.google.com/scholar?cites=725310677757700011&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-02 13:28:15","HTML","","","",,,,,27,13.50,9,3,2,"… Organic and inorganic photoredox catalysis is also … not be possible by using photoredox catalysis or thermal redox catalysis … , supported by the density functional theory. For benzonitrile …","https://pubs.rsc.org/en/content/articlehtml/2023/sc/d2sc07101k","https://scholar.google.com/scholar?q=related:q6eL8zfSEAoJ:scholar.google.com/&scioq=source:%22chemical+science%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"LH Li, HZ Wei, Y Wei, M Shi","The Morita–Baylis–Hillman reaction for non-electron-deficient olefins enabled by photoredox catalysis",2022,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc06784b","https://scholar.google.com/scholar?cites=7163950737078349013&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-02 13:28:15","HTML","","","",,,,,15,5.00,4,4,3,"… induced photoredox catalysis in this report. A series of non-electron-deficient olefins underwent the MBH reaction smoothly via a novel photoredox-… and density functional theory (DFT) …","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc06784b","https://scholar.google.com/scholar?q=related:1ezzNz13a2MJ:scholar.google.com/&scioq=source:%22chemical+science%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"Y Zhang, D Jiang, Z Fang, N Zhu, N Sun, W He, ...","Photomediated core modification of organic photoredox catalysts in radical addition: mechanism and applications",2021,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/sc/d1sc02258j","https://scholar.google.com/scholar?cites=10367023351413839182&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-02 13:28:15","HTML","","","",,,,,17,4.25,2,7,4,"… have been widely used as strong reducing photoredox catalysts in radical chemistry, such as … However, when dihydrophenazines were employed as organic photoredox catalysts (OPCs…","https://pubs.rsc.org/en/content/articlehtml/2021/sc/d1sc02258j","https://scholar.google.com/scholar?q=related:TpUzr88Q348J:scholar.google.com/&scioq=source:%22chemical+science%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Matsuo, M Sano, Y Sumida, H Ohmiya","Organic photoredox-catalyzed unimolecular PCET of benzylic alcohols",2025,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/sc/d4sc07048h","",7,"2025-05-02 13:28:15","HTML","","","",,,,,0,0.00,0,4,1,"… This study investigates the use of an organic photoredox catalyst to facilitate a unimolecular PCET process for the generation of alkyl radicals from benzylic alcohols, with a particular …","https://pubs.rsc.org/en/content/articlehtml/2025/sc/d4sc07048h","https://scholar.google.com/scholar?q=related:IWorxeK8HnYJ:scholar.google.com/&scioq=source:%22chemical+science%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"T Krämer, F Tuna, SD Pike","Photo-redox reactivity of titanium-oxo clusters: mechanistic insight into a two-electron intramolecular process, and structural characterisation of mixed-valent Ti …",2019,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c9sc01241a","https://scholar.google.com/scholar?cites=14487163438438799661&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-02 13:28:15","HTML","","","",,,,,25,4.17,8,3,6,"… Density Functional Theory (DFT) calculations were carried … from time-dependent DFT (TD-DFT) calculations of the singlet … The TD-DFT vertical excitation energies for 4 (3.97 eV) and 5 (…","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c9sc01241a","https://scholar.google.com/scholar?q=related:LdkrF2S-DMkJ:scholar.google.com/&scioq=source:%22chemical+science%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
131,"MJ Cabrera-Afonso, ZP Lu, CB Kelly, SB Lang, ...","Engaging sulfinate salts via Ni/photoredox dual catalysis enables facile C sp2–SO 2 R coupling",2018,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc05402e","https://scholar.google.com/scholar?cites=14453614582097435045&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-02 13:28:15","HTML","","","",,,,,131,18.71,26,5,7,"… , DFT calculations rule against generation of SPh from SO 2 Ph radical prior to formation of Ni(II) phenyl bromide intermediate. In this scenario, and in contrast to experiment, DFT … , DFT …","https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc05402e","https://scholar.google.com/scholar?q=related:pdlSRuKNlcgJ:scholar.google.com/&scioq=source:%22chemical+science%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"A Mavroskoufis, M Lohani, M Weber, ...","A (TD-) DFT study on photo-NHC catalysis: photoenolization/Diels–Alder reaction of acid fluorides catalyzed by N-heterocyclic carbenes",2023,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/ad/d2sc04732b","https://scholar.google.com/scholar?cites=5668322556464637015&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-02 13:28:15","HTML","","","",,,,,11,5.50,3,4,2,"… Most advances, however, have focused primarily on the combination with photoredox catalysis, leveraging an NHC's ability to act as a radical stabilizer and modulator of redox …","https://pubs.rsc.org/en/content/articlehtml/2015/ad/d2sc04732b","https://scholar.google.com/scholar?q=related:V6RoQlXtqU4J:scholar.google.com/&scioq=source:%22chemical+science%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
