Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"L Qin, Y Qiao, M Xu, W Li, SP Sun, Y Hu…","A computational mechanistic study on the Pd (ii)-catalyzed γ-C (sp 3)–H lactamization and further rational design",2025,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cy/d4cy01302f","",10,"2025-05-02 13:47:12","","","","",,,,,0,0.00,0,7,1,"… Lu's group used DFT to calculate the role of ligands and … (Pd)-catalyzed C–H carbonylation reactions involving alkane radical … In 2024, the Gaunt group conducted DFT calculations to …","","https://scholar.google.com/scholar?q=related:68avFRtPDH8J:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"MH Kumar, HG Sampatkumar, SS Talekar…","Efficient and green: biowaste-derived N-rich carbon for palladium-catalyzed CO gas-free carbonylative annulation with DFT insights",2025,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cy/d5cy00079c","",11,"2025-05-02 13:47:12","","","","",,,,,0,0.00,0,4,1,"… and attractive choice for catalytic carbonylation reactions. Herein, we … We assessed its catalytic efficiency in the carbonylation of … techniques and supported by DFT insights, the catalyst …","","https://scholar.google.com/scholar?q=related:InilM-wBjowJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Zhang, H Song, Y Wang, Y Song, F Ren…","Rational design of catalysts for hydrocarboxylation with CO2 to afford C2+ carboxylic acids",2025,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cy/d5cy00168d","",12,"2025-05-02 13:47:12","","","","",,,,,0,0.00,0,6,1,"… for the process of RWGS reaction to produce CO, and subsequent olefin carbonylation mainly relied on Co2(CO)8. DFT calculation elucidated the slow decomposition of [Ru(CO)3Cl2]2 …","","https://scholar.google.com/scholar?q=related:mtvDwkQFwSsJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"A Agarwal, Y Liu, M Hanazawa, J Li…","Tungsten-dioxo single-site heterogeneous catalyst on carbon: synthesis, structure, and catalysis",2025,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cy/d4cy01517g","https://scholar.google.com/scholar?cites=14273820407387351766&as_sdt=2005&sciodt=0,5&hl=en",54,"2025-05-02 13:47:12","HTML","","","",,,,,1,1.00,0,5,1,"This study investigates the application of a novel third-row metal, tungsten, to carbon-supported single-site metal-oxo heterogeneous catalysis. Tungsten is a green and earth-abundant …","https://pubs.rsc.org/en/content/articlehtml/2025/cy/d4cy01517g","https://scholar.google.com/scholar?q=related:1moL2gjMFsYJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Long, W Wang, L Wu, W Zhou, C Hong…","Sacrificial template synthesis of a 3D flower-like Sn-doped BiOCl hierarchical structure with enhanced performance for degradation of tetracycline hydrochloride",2025,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cy/d5cy00006h","",66,"2025-05-02 13:47:12","","","","",,,,,0,0.00,0,6,1,"… were systematically characterized combined with density functional theory (DFT) calculations, and the … Based on the comprehensive results of DFT calculations, transient photocurrent, …","","https://scholar.google.com/scholar?q=related:mr47btzqLkEJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"D Ghosh, S Dabas, SA Kalose, NM Gotgi…","CO 2 and asymmetry: reviewing the advances in enantioselective catalytic strategies",2025,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cy/d4cy01005a","https://scholar.google.com/scholar?cites=7492171400874701251&as_sdt=2005&sciodt=0,5&hl=en",99,"2025-05-02 13:47:12","","","","",,,,,1,1.00,0,5,1,"… Comprehensive density functional theory calculations revealed a mechanistically distinct 1,4-addition of … Scheme 40 General scheme for carbonylation of various α- and/or β-substituted …","","https://scholar.google.com/scholar?q=related:wzF6oTGK-WcJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"Z Lv, P Huang, P Zhang, M Fan, P Jiang…","Efficient synthesis of glycerol carbonate by doping metallic copper in palladium-catalyzed glycerol system for carbonylation reaction",2024,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d3cy01189e","https://scholar.google.com/scholar?cites=15639520774851891712&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-02 13:47:12","","","","",,,,,3,3.00,1,6,1,"… glycerol carbonylation … density functional theory simulations, we delved into the intricate mechanisms governing carbonyl formation and ring closure during the oxidative carbonylation of …","","https://scholar.google.com/scholar?q=related:AJJjcki9CtkJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"KA Sheikh, VZ Francesconi, TA Zevaco…","Carbonylation of dimethoxymethane: a study on the reactivity of different solid acid catalysts",2024,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/cy/d3cy01286g","https://scholar.google.com/scholar?cites=11273579354117476388&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-02 13:47:12","HTML","","","",,,,,2,2.00,1,4,1,"… The vapour-phase carbonylation is an easy process to be … On the other hand, the liquid phase carbonylation allows the reaction … In this work, we report the carbonylation of DMM with CO …","https://pubs.rsc.org/en/content/articlehtml/2023/cy/d3cy01286g","https://scholar.google.com/scholar?q=related:JJBZTbHMc5wJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"P Zhang, L An, C Zhao, Q Chang, F Wang…","“Honeycomb catalytic strategy” for carbonylation reaction based on the structural evolution of cobalt species",2024,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00127c","",23,"2025-05-02 13:47:12","","","","",,,,,0,0.00,0,6,1,"For catalytic carbonylation reactions, the high-cost catalyst recovery process is a huge challenge in industrial applications. Herein, the “honeycomb catalytic strategy” based on the …","","https://scholar.google.com/scholar?q=related:WKsnmmwQkdAJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"H Lin, L Li, L Liu, Z Li, TM Nguyen, M Jouffroy…","Penta-versus hexa-coordinated iridium catalysts control the reactivity of the direct reductive amination between aliphatic amines and aliphatic ketones: a DFT …",2024,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00516c","",29,"2025-05-02 13:47:12","HTML","","","",,,,,0,0.00,0,7,1,"… Herein, we present an in-depth DFT study that shows that the H 2 -mediated DRA between aliphatic ketones and aliphatic amines with iridium catalysis undergoes a completely different …","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00516c","https://scholar.google.com/scholar?q=related:fussYJ2ZKHYJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"X Song, H Yang, C Zhang, G Zhang, H Wu…","Steering the electronic communication between Al/Ru bimetallic clusters in metal–organic framework composites for accelerating hydrogen evolution kinetics",2024,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlepdf/2024/cy/d3cy01485a","https://scholar.google.com/scholar?cites=340707383429604184&as_sdt=2005&sciodt=0,5&hl=en",53,"2025-05-02 13:47:12","","","","",,,,,3,3.00,1,6,1,"… Experimental results and density functional theory (DFT) calculations proved that a … Additionally, Al 0.35 /Ru 0.15 -TCPP-CNTs was obtained by in situ introducing carbonylated CNTs …","","https://scholar.google.com/scholar?q=related:WKOsYY9vugQJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Li, K Zhao, X Cui, L Wang, F Shi","Markovnikov selective hydroaminocarbonylation of alkenes over a porous monophoshine polymer supported palladium catalyst",2024,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00742e","",58,"2025-05-02 13:47:12","","","","",,,,,0,0.00,0,5,1,"… Rh and Pd catalysts for the carbonylation of alkenes, exhibiting … of heterogeneously catalyzed carbonylation, we envisage … of non-local density functional theory, the pore size of Pd/POL…","","https://scholar.google.com/scholar?q=related:15epW01fS6EJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
