Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"S Nath, AK Singh","Substrate-Assisted Product Release in Hydrogenation of LOHCs Facilitated by Hemilabile Pyridine in Ru (II)-NNC Pincer Complex and Enhanced Activity of Proton …",2025,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cy/d5cy00209e","",33,"2025-05-01 16:52:59","","","","",,,,,0,0.00,0,2,1,"… , stoichiometric experiments, and DFT studies enabled us to … to be energetically more favourable during DFT studies. This is … in catalytic transfer hydrogenation of ketones has been …","","https://scholar.google.com/scholar?q=related:W7nux3X8S7UJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"H Lin, L Li, L Liu, Z Li, TM Nguyen, M Jouffroy…","Penta-versus hexa-coordinated iridium catalysts control the reactivity of the direct reductive amination between aliphatic amines and aliphatic ketones: a DFT …",2024,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00516c","",7,"2025-05-01 16:52:59","HTML","","","",,,,,0,0.00,0,7,1,"… 3′′, we embarked in the DFT analysis of the hydrogenation of 3′ towards the tertiary … most reasonable catalytically active ones for the hydrogenation of iminium 3′ in the presence …","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00516c","https://scholar.google.com/scholar?q=related:fussYJ2ZKHYJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"JR Page, A Pophali, T Kim, JA Lopez-Ruiz…","Effect of Pt and Ru-based catalysts on the electrochemical hydrodeoxygenation of phenol to cyclohexane",2024,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00634h","https://scholar.google.com/scholar?cites=271830345136695234&as_sdt=2005&sciodt=0,5&hl=en",41,"2025-05-01 16:52:59","HTML","","","",,,,,3,3.00,1,5,1,"… or other partially hydrogenated ketones. This is supported by Yoon et al. whose DFT calculations indicated that the formation of cyclohexanone during aqueous phase hydrogenation of …","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00634h","https://scholar.google.com/scholar?q=related:wmcLOUK8xQMJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"S Tada, K Oshima, T Joutsuka, M Nishijima…","High-pressure in situ X-ray absorption fine structure measurements for hydrogenation of CO 2 to methanol over Zn-doped ZrO 2",2024,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00894d","https://scholar.google.com/scholar?cites=10499231128580377914&as_sdt=2005&sciodt=0,5&hl=en",68,"2025-05-01 16:52:59","","","","",,,,,1,1.00,0,5,1,"… composed of polyether ether ketone with a thickness of … hydrogenation reaction under pressurised conditions, slight distortions were observed in the structure of the Zn species. Our DFT …","","https://scholar.google.com/scholar?q=related:Os3BiRXDtJEJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"AJR Payne, NF Xavier, M Sacchi","Reduction of NO x on metal-free hydrogenated hexagonal boron nitride",2024,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00206g","https://scholar.google.com/scholar?cites=13815630577773997843&as_sdt=2005&sciodt=0,5&hl=en",73,"2025-05-01 16:52:59","HTML","","","",,,,,2,2.00,1,3,1,"… the subject of previous density functional theory (DFT) studies. In … hydrogenated V B (HV B ) to be significantly more stable than the hydrogenated V N defect and the non-hydrogenated …","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00206g","https://scholar.google.com/scholar?q=related:E28-6M_6ur8J:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"A Fedulin, AJ von Wangelin","2-Pyridonates: a versatile ligand platform in 3d transition metal coordination chemistry and catalysis",2024,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d3cy01190a","https://scholar.google.com/scholar?cites=175603134833146839&as_sdt=2005&sciodt=0,5&hl=en",77,"2025-05-01 16:52:59","HTML","","","",,,,,5,5.00,3,2,1,"… the catalytic transfer hydrogenation of aldehydes, ketones, imines and … CO 2 hydrogenation and very poor performance in the carbonyl transfer hydrogenations. Further studies by DFT …","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d3cy01190a","https://scholar.google.com/scholar?q=related:17ss6R7ebwIJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"M Zhang, S Zhang, Z Qi, M Xie, Y Qu","Recent advancements in CeO 2-enabled liquid acid/base catalysis",2024,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/cy/d3cy01294h","https://scholar.google.com/scholar?cites=10610867485432383349&as_sdt=2005&sciodt=0,5&hl=en",78,"2025-05-01 16:52:59","","","","",,,,,9,9.00,2,5,1,"… semi-hydrogenation of alkynes, DFT calculation … hydrogenation process. For instance, Ni/CeO 2 catalysts were prepared for the transfer hydrogenation of aliphatic and aromatic ketones …","","https://scholar.google.com/scholar?q=related:dYfwW8JfQZMJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"J Du, Y Chen, L Wang, M Zhang","Insights into the mechanism of carboxylic acid hydrogenation into alcohols at the MnO/Cu (111) interface: a combined DFT and kinetic study",2023,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/cy/d3cy00247k","https://scholar.google.com/scholar?cites=16723037572039082223&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-01 16:52:59","","","","",,,,,1,0.50,0,4,2,"… In this study, a MnO/Cu interface model was built to reveal the specific role of the Mn promoter and the reaction mechanism based on combined DFT and kinetic studies with acetic acid …","","https://scholar.google.com/scholar?q=related:74DmvhEqFOgJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"P Huber, PN Plessow","A computational investigation of the decomposition of acetic acid in H-SSZ-13 and its role in the initiation of the MTO process",2023,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/cy/d2cy01779b","https://scholar.google.com/scholar?cites=7362860079283135860&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-01 16:52:59","HTML","","","",,,,,7,3.50,4,2,2,"… acetic acid to isobutene using periodic density functional theory in combination with DLPNO-… and H 2 were converted to methyl isobutyl ketone (hydrogenated mesityl oxide). In H-SAPO-…","https://pubs.rsc.org/en/content/articlehtml/2023/cy/d2cy01779b","https://scholar.google.com/scholar?q=related:dGWTZDsiLmYJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"S Nath, E Yadav, A Raghuvanshi…","Mechanistic insights and comparative analysis of Ru (ii)–NNC pincer complexes with anionic-, protic-, and classical-NHCs for transfer hydrogenation of ketones",2023,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/cy/d3cy01383a","https://scholar.google.com/scholar?cites=15317313638355243575&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-01 16:52:59","","","","",,,,,4,2.00,1,4,2,"… Computational studies using DFT are carried out to investigate the differences between the protic-, anionic-, and classical-NHC forms in the TH of ketones. DFT studies reveal that the …","","https://scholar.google.com/scholar?q=related:NxJpd5kHktQJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
