Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"M Matveeva, B Trzaskowski…","Modifications of substituents on the chelating oxygen atom in stereoretentive Hoveyda–Grubbs-type complexes and their influence on catalytic properties",2025,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cy/d4cy01357c","",14,"2025-05-02 13:46:13","","","","",,,,,0,0.00,0,3,1,"… that allow the synthesis of olefins with a defined double bond … A parallel DFT study confirmed that the four-coordinate Ru(IV… 1) enabled the widespread use of olefin metathesis in …","https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/667014f001103d79c5647a9b/original/modifications-of-substituents-on-the-chelating-oxygen-atom-in-stereoretentive-hoveyda-grubbs-type-complexes-and-their-influence-on-catalytic-properties.pdf","https://scholar.google.com/scholar?q=related:3KBDxjlj0EMJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"A Agarwal, Y Liu, M Hanazawa, J Li…","Tungsten-dioxo single-site heterogeneous catalyst on carbon: synthesis, structure, and catalysis",2025,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cy/d4cy01517g","https://scholar.google.com/scholar?cites=14273820407387351766&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-02 13:46:13","HTML","","","",,,,,1,1.00,0,5,1,"… alkylidenes are known to be excellent olefin metathesis catalysts 41 while tungsten sulfides … sites the reaction intermediates predicted by DFT calculations along the reaction pathway, …","https://pubs.rsc.org/en/content/articlehtml/2025/cy/d4cy01517g","https://scholar.google.com/scholar?q=related:1moL2gjMFsYJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"F Jia, C Zhang, Y Yang, X Zheng, M Shi","Mechanistic insights into an enantioselective synthetic strategy for 1, 3-disubstituted planar chiral ferrocenes",2025,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy01130a","",39,"2025-05-02 13:46:13","","","","",,,,,0,0.00,0,5,1,"… In this study, density functional theory (DFT) calculations were performed to investigate the … Therefore, we believe that the higher NBE olefin insertion energy barrier prevents the …","","https://scholar.google.com/scholar?q=related:5aZUP7t2eu0J:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Zhang, H Song, Y Wang, Y Song, F Ren…","Rational design of catalysts for hydrocarboxylation with CO2 to afford C2+ carboxylic acids",2025,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cy/d5cy00168d","",54,"2025-05-02 13:46:13","","","","",,,,,0,0.00,0,6,1,"… (DFT) calculations suggested that the cyclopalladation pathway was energetically more favorable than the hydropalladation pathway, with the σ-bond metathesis step … of olefin from the …","","https://scholar.google.com/scholar?q=related:mtvDwkQFwSsJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Liu, K Lv, X Bao","Mechanistic differences between the Ru (ii) and Zn (ii)-catalyzed cross-coupling of cyclopropenes with diazo compounds: a DFT study",2024,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00995a","",7,"2025-05-02 13:46:13","","","","",,,,,0,0.00,0,3,1,"… different carbene precursors has been established to construct olefins. In this context, Ru(II) … ring intermediate, from which an olefin metathesis mechanistic pathway is suggested. …","","https://scholar.google.com/scholar?q=related:G6hQKeM87IkJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"B Zhang, IE Wachs","Comparison of SiO 2-supported molybdena, tungsta and rhenia catalysts for olefin metathesis",2024,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00730a","",12,"2025-05-02 13:46:13","","","","",,,,,0,0.00,0,2,1,"… = Re, Mo, W) for olefin metathesis were compared side-by-side … state activity for C3H6 metathesis. Under dehydrated conditions, … as the industrial olefin metathesis catalyst among these …","https://www.researchgate.net/profile/Bin-Zhang-148/publication/382501296_Comparison_of_SiO_2_-supported_molybdena_tungsta_and_rhenia_catalysts_for_olefin_metathesis/links/67624fbbaf28fb680fc2f9cd/Comparison-of-SiO-2-supported-molybdena-tungsta-and-rhenia-catalysts-for-olefin-metathesis.pdf","https://scholar.google.com/scholar?q=related:I7SJnLVkj_UJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"N Mehra, WF Schneider","Density functional theory and microkinetics of ethylene chain growth and termination on silica grafted group 4 metal hydrides",2024,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00684d","",17,"2025-05-02 13:46:13","HTML","","","",,,,,0,0.00,0,2,1,"… We employ DFT rate constants to first estimate the degree of polymerization ( [P with combining macron] n ) promoted by each metal site on the reaction with olefins and in the absence …","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00684d","https://scholar.google.com/scholar?q=related:IIl9ypm0m2AJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"E Klemencic, RC Brewster, HS Ali…","Using BpyAla to generate copper artificial metalloenzymes: a catalytic and structural study",2024,"… science & technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d3cy01648j","https://scholar.google.com/scholar?cites=2594416353036524858&as_sdt=2005&sciodt=0,5&hl=en",64,"2025-05-02 13:46:13","HTML","","","",,,,,12,12.00,3,4,1,"… The same QM-cluster model technique along with density functional theory (DFT) methodology was utilised to study our reaction. Three active site models were created for analysis (Fig. …","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d3cy01648j","https://scholar.google.com/scholar?q=related:Ot00Yu03ASQJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"B Zhang, ME Ford, E Ream, IE Wachs","Olefin metathesis over supported MoO x catalysts: influence of the oxide support",2023,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/cy/d2cy01612e","https://scholar.google.com/scholar?cites=4442128854028764441&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-02 13:46:13","","","","",,,,,10,5.00,3,4,2,"… metathesis reaction conditions have still not been reported. Over the years, there have been studies trying to correlate the olefin metathesis … properties and olefin metathesis are still …","https://pubs.rsc.org/en/content/getauthorversionpdf/d2cy01612e","https://scholar.google.com/scholar?q=related:GcXlRqicpT0J:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"L Liu, Y Liu, Y Yang, C Liu, D Zhang","DFT calculations reveal the origin of controllable synthesis of β-boronyl carbonyl compounds from Cu/Pd-cocatalyzed four-component borocarbonylation of …",2023,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/90/d2cy01936a","https://scholar.google.com/scholar?cites=14325349955408158526&as_sdt=2005&sciodt=0,5&hl=en",22,"2025-05-02 13:46:13","","","","",,,,,3,1.50,1,5,2,"… alkoxide 1, which then undergoes a metathesis reaction with the diboron substrate B 2 pin 2 , delivering a copper-boryl species 2. Subsequently, olefin insertion into the Cu–B bond …","","https://scholar.google.com/scholar?q=related:Pt9Cr-LdzcYJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
