Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
55,"A Das, I Mandal, R Venkatramani, J Dasgupta","Ultrafast photoactivation of C─ H bonds inside water-soluble nanocages",2019,"Science advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aav4806","https://scholar.google.com/scholar?cites=4594660948768261991&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 19:19:02","","10.1126/sciadv.aav4806","","",,,,,55,9.17,14,4,6,"… for selective C─H functionalization can be established by combining light activation with … First, structures were optimized using the DFT method with the 6-31G* basis set on all atoms…","https://www.science.org/doi/pdf/10.1126/sciadv.aav4806","https://scholar.google.com/scholar?q=related:ZwexEsqDwz8J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
52,"W Liu, Y Jiang, KH Dostert, CP O'Brien, W Riedel, ...","Catalysis beyond frontier molecular orbitals: Selectivity in partial hydrogenation of multi-unsaturated hydrocarbons on metal catalysts",2017,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.1700939","https://scholar.google.com/scholar?cites=9826950891377442307&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 19:19:02","","10.1126/sciadv.1700939","","",,,,,52,6.50,9,6,8,"… comprehensive theoretical study on the activation of C═C and … we performed comprehensive density functional theory (DFT) … On the basis of our DFT calculations, Fig. 2 summarizes the …","https://www.science.org/doi/full/10.1126/sciadv.1700939","https://scholar.google.com/scholar?q=related:A77CMcVXYIgJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"N Yang, C Shen, G Zhang, F Gan, Y Ding, ...","Helicity-modulated remote CH functionalization",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adg6680","https://scholar.google.com/scholar?cites=4943127482256146921&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 19:19:02","","10.1126/sciadv.adg6680","","",,,,,3,1.50,1,6,2,"… Density functional theory calculations of the thermal energies (ΔH and ΔG) and the NCI map and IRI map were performed at the M06-2X-D3/def2-TZVPD//PBE0-D3(BJ)/def2-SVP level …","https://www.science.org/doi/full/10.1126/sciadv.adg6680","https://scholar.google.com/scholar?q=related:6UFZW0GEmUQJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"X Cui, Z Huang, AP van Muyden, Z Fei, T Wang, ...","Acceptorless dehydrogenation and hydrogenation of N- and O-containing compounds on Pd3Au1(111) facets",2020,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abb3831","https://scholar.google.com/scholar?cites=13473047759487446999&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 19:19:02","","10.1126/sciadv.abb3831","","",,,,,54,10.80,9,6,5,"… Mechanistic insights combining experimental data with density functional theory calculations … 2A), activating the N─H and C─H bonds and leading to the liberation of the first H 2 and …","https://www.science.org/doi/full/10.1126/sciadv.abb3831","https://scholar.google.com/scholar?q=related:1y8f0o3h-boJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"HF Liu, L Long, ZQ Zhu, TF Wu, YR Zhang, HP Pan, ...","Enantioselective synthesis of α, α-diarylketones by sequential visible light photoactivation and phosphoric acid catalysis",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adg7754","https://scholar.google.com/scholar?cites=1356844512322388037&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 19:19:02","","10.1126/sciadv.adg7754","","",,,,,3,1.50,0,7,2,"… Accordingly, it is feasible to activate benzoquinone 2 and promote the reaction under visible light (… HW, and HG performed the DFT calculations and drafted the DFT parts. X.-ZZ and Y.-…","https://www.science.org/doi/full/10.1126/sciadv.adg7754","https://scholar.google.com/scholar?q=related:RQBqJOV61BIJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"F Kong, S Chen, J Chen, C Liu, W Zhu, DA Dickie, ...","Cu (II) carboxylate arene C─ H functionalization: Tuning for nonradical pathways",2022,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.add1594","https://scholar.google.com/scholar?cites=1709206753217623353&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 19:19:02","","10.1126/sciadv.add1594","","",,,,,16,5.33,2,7,3,"… To further understand the reaction mechanism, we used DFT and time-dependent (TD)–DFT calculations to examine closed-shell (C─H activation) and open-shell (eg, electron transfer, …","https://www.science.org/doi/full/10.1126/sciadv.add1594","https://scholar.google.com/scholar?q=related:OTU8fXxSuBcJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Ye, L Qi, S Deng, D Wang, H Cong, X Qi, Q Zhou, ...","Triple cross-electrophile coupling enabled by palladium/norbornene cooperative catalysis",2025,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adu4573","",7,"2025-05-14 19:19:02","","10.1126/sciadv.adu4573","","",,,,,0,0.00,0,8,1,"… sequential ortho C–H functionalization and ipso … DFT calculations. Because the initial steps of the Catellani-type reaction have been well studied (36, 37, 67, 68), we focus our DFT …","https://www.science.org/doi/full/10.1126/sciadv.adu4573","https://scholar.google.com/scholar?q=related:6hBHBHx83_sJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
88,"J Yan, Q Meng, X Shen, B Chen, Y Sun, J Xiang, ...","Selective valorization of lignin to phenol by direct transformation of Csp2–Csp3 and C–O bonds",2020,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abd1951","https://scholar.google.com/scholar?cites=17138327810113186236&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 19:19:02","","10.1126/sciadv.abd1951","","",,,,,88,17.60,13,7,5,"… The deconstructive functionalization method has limitation in lignin valorization because it … reaction mechanism, we performed density functional theory (DFT) studies of the reaction …","https://www.science.org/doi/full/10.1126/sciadv.abd1951","https://scholar.google.com/scholar?q=related:vKn-LVeS1-0J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"H Hu, Y Nie, Y Tao, W Huang, L Qi, R Nie","Metal-free carbocatalyst for room temperature acceptorless dehydrogenation of N-heterocycles",2022,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abl9478","https://scholar.google.com/scholar?cites=16292950220492069566&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 19:19:02","","10.1126/sciadv.abl9478","","",,,,,30,10.00,5,6,3,"… sites in bond activation, we performed DFT calculation based … All DFT calculations in this study were performed using the … Core trebarent was adopted as DFT semicore pseudopots to …","https://www.science.org/doi/pdf/10.1126/sciadv.abl9478","https://scholar.google.com/scholar?q=related:vlqN2-YvHOIJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"L Peng, Z Zeng, K Li, Y Liu, Y Lan, H Yan","Regiodivergent catalytic asymmetric dearomative cycloaddition of bicyclic heteroaromatics",2023,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adg1645","https://scholar.google.com/scholar?cites=6005928799590877121&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 19:19:02","","10.1126/sciadv.adg1645","","",,,,,5,2.50,1,6,2,"… Density functional theory (DFT) calculations were used to … DFT calculation results clearly revealed that the rotation of the … However, the calculated activation free energy for the rotation of …","https://www.science.org/doi/full/10.1126/sciadv.adg1645","https://scholar.google.com/scholar?q=related:wQfnJWxYWVMJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
