Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"J Ye, L Qi, S Deng, D Wang, H Cong, X Qi, Q Zhou, ...","Triple cross-electrophile coupling enabled by palladium/norbornene cooperative catalysis",2025,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adu4573","",1,"2025-05-14 18:54:47","","10.1126/sciadv.adu4573","","",,,,,0,0.00,0,8,1,"… reagents, the development of cross coupling of triple … DFT calculations. Because the initial steps of the Catellani-type reaction have been well studied (36, 37, 67, 68), we focus our DFT …","https://www.science.org/doi/pdf/10.1126/sciadv.adu4573","https://scholar.google.com/scholar?q=related:6hBHBHx83_sJ:scholar.google.com/&scioq=source:%22science+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"X Tao, W Lee, Z Xu, H Shu, Q Wang, S Ni, Y Pan, ...","Reductive deaminative cross-coupling of alkyl bistriflimides enabled by electrocatalysis",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.ads5410","",2,"2025-05-14 18:54:47","","10.1126/sciadv.ads5410","","",,,,,0,0.00,0,8,1,"… Further density functional theory (DFT) calculations … DFT calculations, we proposed a Ni(I–III) catalytic cycle as the plausible mechanism for this nickel-electrocatalyzed cross-coupling …","https://www.science.org/doi/pdf/10.1126/sciadv.ads5410","https://scholar.google.com/scholar?q=related:n8BgNpj0drgJ:scholar.google.com/&scioq=source:%22science+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
79,"TF Markle, JW Darcy, JM Mayer","A new strategy to efficiently cleave and form C–H bonds using proton-coupled electron transfer",2018,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aat5776","https://scholar.google.com/scholar?cites=5481150071510403486&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 18:54:47","","10.1126/sciadv.aat5776","","",,,,,79,11.29,26,3,7,"… The present work was started with density functional theory (DFT) calculations to identify … isomer were prepared using palladium-catalyzed cross couplings. 1 − was generated in situ in …","https://www.science.org/doi/pdf/10.1126/sciadv.aat5776","https://scholar.google.com/scholar?q=related:ngn8HPP0EEwJ:scholar.google.com/&scioq=source:%22science+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"K Wu, Z Huang, X Qi, Y Li, G Zhang, C Liu, H Yi, ...","Copper-catalyzed aerobic oxidative coupling: From ketone and diamine to pyrazine",2015,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.1500656","https://scholar.google.com/scholar?cites=2999583256433483874&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 18:54:47","","10.1126/sciadv.1500656","","",,,,,24,2.40,3,8,10,"… The density functional theory (DFT) method B3LYP was initially performed to further analyze the practicality of our proposed strategy (49). As illustrated in Fig. 1A, the nucleophilic …","https://www.science.org/doi/pdf/10.1126/sciadv.1500656","https://scholar.google.com/scholar?q=related:YmDtSRSpoCkJ:scholar.google.com/&scioq=source:%22science+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
59,"J Qin, B Han, X Liu, W Dai, Y Wang, H Luo, X Lu, ...","An enzyme-mimic single Fe-N3 atom catalyst for the oxidative synthesis of nitriles via C─C bond cleavage strategy",2022,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.add1267","https://scholar.google.com/scholar?cites=8293582118193341666&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 18:54:47","","10.1126/sciadv.add1267","","",,,,,59,19.67,7,8,3,"… Density functional theory (DFT) calculation reveals that the activation energy of dioxygen activation … In addition, DFT calculation also explains the catalyst’s high selectivity for nitriles. …","https://www.science.org/doi/pdf/10.1126/sciadv.add1267","https://scholar.google.com/scholar?q=related:4iRyxv64GHMJ:scholar.google.com/&scioq=source:%22science+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"J Han, S Liu, H Wang, J Wang, H Qian, Z Li, S Ma, ...","Pd/Xu-Phos-catalyzed asymmetric elimination of fully substituted enol triflates into axially chiral trisubstituted allenes",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adg1002","https://scholar.google.com/scholar?cites=11005552978549130095&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 18:54:47","","10.1126/sciadv.adg1002","","",,,,,19,9.50,2,8,2,"… DFT computation results allow us to propose an intramolecular base ( − OAc)–assisted deprotonation mechanism for this progress. Distortion-interaction and energy decomposition …","https://www.science.org/doi/pdf/10.1126/sciadv.adg1002","https://scholar.google.com/scholar?q=related:b8Mpwx-Uu5gJ:scholar.google.com/&scioq=source:%22science+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"R Pan, Q Wang, Y Zhao, Z Feng, Y Xu, Z Wang, Y Li, ...","Bioinspired catalytic pocket promotes CO2-to-ethanol photoconversion on colloidal quantum wells",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adq2791","https://scholar.google.com/scholar?cites=16461147472598021995&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 18:54:47","","10.1126/sciadv.adq2791","","",,,,,2,2.00,0,8,1,"… local CO population, which is beneficial for C─C coupling. Afterward, we performed DFT to investigate the direct coupling pathway of two adsorbed CO molecules; however, the results …","https://www.science.org/doi/pdf/10.1126/sciadv.adq2791","https://scholar.google.com/scholar?q=related:azeGU2m-ceQJ:scholar.google.com/&scioq=source:%22science+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"MH Samha, LJ Karas, DB Vogt, EC Odogwu, ...","Predicting success in Cu-catalyzed C–N coupling reactions using data science",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adn3478","https://scholar.google.com/scholar?cites=10877230607474727543&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 18:54:47","","10.1126/sciadv.adn3478","","",,,,,24,24.00,5,5,1,"… (B) Synthetic applications of C–N cross-couplings in drug development. Black and blue … Gray atoms and bonds indicate chemical transformations made after the C–N cross-coupling. (C) …","https://www.science.org/doi/pdf/10.1126/sciadv.adn3478","https://scholar.google.com/scholar?q=related:d5qJgpuv85YJ:scholar.google.com/&scioq=source:%22science+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"H Huang, ZY Yu, LY Han, YQ Wu, L Jiang, QZ Li, ...","N-Heterocyclic carbene catalytic 1,2-boron migrative acylation accelerated by photocatalysis",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adn8401","https://scholar.google.com/scholar?cites=16678285019300562880&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 18:54:47","","10.1126/sciadv.adn8401","","",,,,,4,4.00,1,7,1,"… Preliminary mechanistic investigations, including a series of control reactions, photochemistry experiments, and DFT calculations, have been undertaken to provide insight into the NHC …","https://www.science.org/doi/pdf/10.1126/sciadv.adn8401","https://scholar.google.com/scholar?q=related:wAchFtwrdecJ:scholar.google.com/&scioq=source:%22science+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
122,"MA Rahman, C Bowland, S Ge, SR Acharya, S Kim, ...","Design of tough adhesive from commodity thermoplastics through dynamic crosslinking",2021,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abk2451","https://scholar.google.com/scholar?cites=11359117990113184959&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 18:54:47","","10.1126/sciadv.abk2451","","",,,,,122,30.50,20,6,4,"… To further understand the feasibility and the energetics of the reaction between hydroxyl groups on SiNPs and the boronic ester groups on S-Bpin, we performed DFT calculations. DFT …","https://www.science.org/doi/pdf/10.1126/sciadv.abk2451","https://scholar.google.com/scholar?q=related:vwxy-qCxo50J:scholar.google.com/&scioq=source:%22science+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
