Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
52,"W Liu, Y Jiang, KH Dostert, CP O'Brien, W Riedel, ...","Catalysis beyond frontier molecular orbitals: Selectivity in partial hydrogenation of multi-unsaturated hydrocarbons on metal catalysts",2017,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.1700939","https://scholar.google.com/scholar?cites=9826950891377442307&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 19:09:52","","10.1126/sciadv.1700939","","",,,,,52,6.50,9,6,8,"… kinetic barriers, we performed comprehensive density functional theory (DFT) calculations on the … The LUMO is rather homogeneously distributed over the entire conjugated system. The …","https://www.science.org/doi/full/10.1126/sciadv.1700939","https://scholar.google.com/scholar?q=related:A77CMcVXYIgJ:scholar.google.com/&scioq=source:%22science+advances%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"X Cui, Z Huang, AP van Muyden, Z Fei, T Wang, ...","Acceptorless dehydrogenation and hydrogenation of N- and O-containing compounds on Pd3Au1(111) facets",2020,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abb3831","https://scholar.google.com/scholar?cites=13473047759487446999&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 19:09:52","","10.1126/sciadv.abb3831","","",,,,,54,10.80,9,6,5,"… Dehydrogenation and hydrogenation reactions involving homogeneous catalysts are well … Mechanistic studies were performed, and the high catalytic activity was investigated by DFT …","https://www.science.org/doi/full/10.1126/sciadv.abb3831","https://scholar.google.com/scholar?q=related:1y8f0o3h-boJ:scholar.google.com/&scioq=source:%22science+advances%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"S Cotty, J Jeon, J Elbert, VS Jeyaraj, AV Mironenko, ...","Electrochemical recycling of homogeneous catalysts",2022,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.ade3094","https://scholar.google.com/scholar?cites=14245947591398145958&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 19:09:52","","10.1126/sciadv.ade3094","","",,,,,27,9.00,5,6,3,"… To obtain atomistic insights into the experimentally observed separation trends, we carried out density functional theory (DFT) and domain-based local pair natural orbital coupled-…","https://www.science.org/doi/full/10.1126/sciadv.ade3094","https://scholar.google.com/scholar?q=related:pj8eKtvFs8UJ:scholar.google.com/&scioq=source:%22science+advances%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
59,"J Qin, B Han, X Liu, W Dai, Y Wang, H Luo, X Lu, ...","An enzyme-mimic single Fe-N3 atom catalyst for the oxidative synthesis of nitriles via C─C bond cleavage strategy",2022,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.add1267","https://scholar.google.com/scholar?cites=8293582118193341666&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 19:09:52","","10.1126/sciadv.add1267","","",,,,,59,19.67,7,8,3,"… Density functional theory (DFT) calculation reveals that the activation energy of dioxygen … catalytic performance of Fe-N 3 /NC-1100 to other homogeneous transition metal catalysts was …","https://www.science.org/doi/full/10.1126/sciadv.add1267","https://scholar.google.com/scholar?q=related:4iRyxv64GHMJ:scholar.google.com/&scioq=source:%22science+advances%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
262,"Y Yao, Z Liu, P Xie, Z Huang, T Li, D Morris, ...","Computationally aided, entropy-driven synthesis of highly efficient and durable multi-elemental alloy catalysts",2020,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aaz0510","https://scholar.google.com/scholar?cites=10326172648171608201&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 19:09:52","","10.1126/sciadv.aaz0510","","",,,,,262,52.40,37,7,5,"… Note that our DFT calculations did not take into account the vibrational energy and surface-… The calculation is also capable to predict systems that cannot form a homogeneous alloy …","https://www.science.org/doi/full/10.1126/sciadv.aaz0510","https://scholar.google.com/scholar?q=related:iZifJ1DvTY8J:scholar.google.com/&scioq=source:%22science+advances%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
79,"J Wang, S Dou, X Wang","Structural tuning of heterogeneous molecular catalysts for electrochemical energy conversion",2021,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abf3989","https://scholar.google.com/scholar?cites=9620344098394338437&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 19:09:52","","10.1126/sciadv.abf3989","","",,,,,79,19.75,26,3,4,"… with triphosphine ligands have been known as homogeneous catalysts for CO 2 -to-CO … The DFT calculations suggested that both Ir centers were converted into highly oxidized Ir 5…","https://www.science.org/doi/pdf/10.1126/sciadv.abf3989","https://scholar.google.com/scholar?q=related:hfTRmfxTgoUJ:scholar.google.com/&scioq=source:%22science+advances%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
100,"Y Zhang, B Huang, G Luo, T Sun, Y Feng, Y Wang, ...","Atomically deviated Pd-Te nanoplates boost methanol-tolerant fuel cells",2020,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aba9731","https://scholar.google.com/scholar?cites=10545592494576456953&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 19:09:52","","10.1126/sciadv.aba9731","","",,,,,100,20.00,14,7,5,"… spin-polarized density functional theory (DFT) computations … catalysts were redispersed in the mixture containing isopropanol and Nafion (5%) (v:v = 1:0.005) to form the homogeneous …","https://www.science.org/doi/full/10.1126/sciadv.aba9731","https://scholar.google.com/scholar?q=related:-VRBOYB4WZIJ:scholar.google.com/&scioq=source:%22science+advances%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"J Huang, B Peng, C Zhu, M Xu, Y Liu, Z Liu, J Zhou, ...","Surface molecular pump enables ultrahigh catalyst activity",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.ado3942","https://scholar.google.com/scholar?cites=4384851119361132838&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 19:09:52","","10.1126/sciadv.ado3942","","",,,,,4,4.00,1,8,1,"… This strategy works generally for platinum-alloy catalysts, and we introduce an optimal model PtCuNi catalyst with an unprecedented specific activity of 21.8 ± 2.1 mA/cm 2 at 0.9 V …","https://www.science.org/doi/full/10.1126/sciadv.ado3942","https://scholar.google.com/scholar?q=related:Jol-ctwe2jwJ:scholar.google.com/&scioq=source:%22science+advances%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"CY Wu, YC Hsiao, Y Chen, KH Lin, TJ Lee, CC Chi, ...","A catalyst family of high-entropy alloy atomic layers with square atomic arrangements comprising iron-and platinum-group metals",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adl3693","https://scholar.google.com/scholar?cites=13302160384348999915&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 19:09:52","","10.1126/sciadv.adl3693","","",,,,,13,13.00,2,7,1,"… 32), enabling the epitaxial growth of homogeneous PtRuFeCoNi as well as the elimination of self… Thus, we perform DFT simulations to investigate the spatial distributions within the HEA …","https://www.science.org/doi/pdf/10.1126/sciadv.adl3693","https://scholar.google.com/scholar?q=related:61BlRmTEmrgJ:scholar.google.com/&scioq=source:%22science+advances%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
630,"Y Sun, S Dai","High-entropy materials for catalysis: A new frontier",2021,"Science advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abg1600","https://scholar.google.com/scholar?cites=13619347126151604543&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 19:09:52","","10.1126/sciadv.abg1600","","",,,,,630,157.50,315,2,4,"… and interpret the catalytic behaviors of HEMs. Density functional theory (DFT) calculations are able … Homogeneous mixing of different elements requires higher operating temperatures to …","https://www.science.org/doi/pdf/10.1126/sciadv.abg1600","https://scholar.google.com/scholar?q=related:P-kAhw2kAb0J:scholar.google.com/&scioq=source:%22science+advances%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
