Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"Y Liang, F Li, X Cui, C Stampfl, SP Ringer, X Yang, ...","Multiple B-site doping suppresses ion migration in halide perovskites",2025,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.ads7054","https://scholar.google.com/scholar?cites=10095756430218676550&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 19:17:24","","10.1126/sciadv.ads7054","","",,,,,1,1.00,0,7,1,"… -principles study combining density functional theory (DFT) and machine learning … migration, elucidating the underlying mechanism by which strain engineering mitigates ion migration …","https://www.science.org/doi/pdf/10.1126/sciadv.ads7054","https://scholar.google.com/scholar?q=related:RskM0vtUG4wJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"FK Guo, YL Lu, MY Huang, JM Yang, JL Guo, ...","Wittig/B─H insertion reaction: A unique access to trisubstituted Z-alkenes",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adj2486","https://scholar.google.com/scholar?cites=775743720112614589&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 19:17:24","","10.1126/sciadv.adj2486","","",,,,,9,4.50,2,6,2,"… ; instead, the Z/E selectivity arises during insertion of the carbene into the B─H bond. Therefore, we performed density functional theory calculations on 4ra as a model compound by …","https://www.science.org/doi/pdf/10.1126/sciadv.adj2486","https://scholar.google.com/scholar?q=related:vWwNqs3-wwoJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"J Chen, S Liu, S Su, R Fan, R Zhang, W Meng, ...","Sulfonium-based precise alkyl transposition reactions",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adi1370","https://scholar.google.com/scholar?cites=15338644986630167555&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 19:17:24","","10.1126/sciadv.adi1370","","",,,,,14,7.00,2,7,2,"… Density functional theory calculations was used to shed light on the mechanistic underpinnings of this alkyl transposition reaction using the M06-2X method (44, 45) on the 6-311+G(d,p…","https://www.science.org/doi/pdf/10.1126/sciadv.adi1370","https://scholar.google.com/scholar?q=related:A9zqA1nQ3dQJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"S Perez-Beltran, W Zaheer, Z Sun, WF Defliese, ...","Density functional theory and ab initio molecular dynamics reveal atomistic mechanisms for carbonate clumped isotope reordering",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adf1701","https://scholar.google.com/scholar?cites=7477514395966819352&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 19:17:24","","10.1126/sciadv.adf1701","","",,,,,10,5.00,2,5,2,"… density functional theory (DFT) and constrained ab initio molecular dynamics (cAIMD). First, we calculate the free energy of activation (ΔA ‡ ) of the thermodynamically favored clumping …","https://www.science.org/doi/pdf/10.1126/sciadv.adf1701","https://scholar.google.com/scholar?q=related:GMx4vrl3xWcJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"J Bae, C Kwon, SO Park, H Jeong, T Park, T Jang, ...","Tunable ion energy barrier modulation through aliovalent halide doping for reliable and dynamic memristive neuromorphic systems",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adm7221","https://scholar.google.com/scholar?cites=13325843234252341945&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 19:17:24","","10.1126/sciadv.adm7221","","",,,,,2,2.00,0,7,1,"… To systematically understand the effect of fluorine on switching speed, we perform DFT calculations on crystalline TiO 2−x phases. While it would be ideal to investigate the effect in …","https://www.science.org/doi/pdf/10.1126/sciadv.adm7221","https://scholar.google.com/scholar?q=related:uUIndtHn7rgJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"W Zhou, YY Zhang, J Chen, D Li, J Zhou, Z Liu, ...","Dislocation-driven growth of two-dimensional lateral quantum-well superlattices",2018,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aap9096","https://scholar.google.com/scholar?cites=3654355720521941566&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 19:17:24","","10.1126/sciadv.aap9096","","",,,,,51,7.29,7,7,7,"… Using the DFT-based climbing image nudged elastic band (DFT-CINEB) method, we first calculated the substitution barrier in a perfect WSe 2 lattice (see Materials and Methods and fig. …","https://www.science.org/doi/pdf/10.1126/sciadv.aap9096","https://scholar.google.com/scholar?q=related:PoKgjCrhtjIJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
49,"K Cao, ST Skowron, J Biskupek, CT Stoppiello, ...","Imaging an unsupported metal–metal bond in dirhenium molecules at the atomic scale",2020,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aay5849","https://scholar.google.com/scholar?cites=822105526846765361&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 19:17:24","","10.1126/sciadv.aay5849","","",,,,,49,9.80,10,5,5,"… Our density functional theory (DFT) calculations for Re 2 match well with the experimentally observed distances, predicting Re–Re bond lengths of 0.21 nm for a free (nonbonded) Re 2 …","https://www.science.org/doi/pdf/10.1126/sciadv.aay5849","https://scholar.google.com/scholar?q=related:MTmW9560aAsJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"X Deng, YX Liu, ZZ Yang, YF Zhao, YT Xu, MY Fu, ...","Spatial evolution of the proton-coupled Mott transition in correlated oxides for neuromorphic computing",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adk9928","https://scholar.google.com/scholar?cites=17787495832210912655&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 19:17:24","","10.1126/sciadv.adk9928","","",,,,,8,8.00,1,7,1,"… To understand the lattice deformation of SNO driven by the insertion of hydrogen ions in more detail, density functional theory (DFT) calculations were carried out, as illustrated in Fig. 2 (…","https://www.science.org/doi/pdf/10.1126/sciadv.adk9928","https://scholar.google.com/scholar?q=related:jzWsmjfh2fYJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
269,"X Zhou, Z Wang, R Epsztein, C Zhan, W Li, ...","Intrapore energy barriers govern ion transport and selectivity of desalination membranes",2020,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abd9045","https://scholar.google.com/scholar?cites=3100636461600090639&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 19:17:24","","10.1126/sciadv.abd9045","","",,,,,269,53.80,45,6,5,"… Supported by density functional theory simulations, we demonstrate that electrostatic interactions between permeating counterion and fixed charges on the membrane substantially …","https://www.science.org/doi/pdf/10.1126/sciadv.abd9045","https://scholar.google.com/scholar?q=related:DypMF2-sBysJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"R Cheng, H Ge, S Huang, S Xie, Q Tong, H Sang, ...","Unraveling electronic origins for boosting thermoelectric performance of p-type (Bi,Sb)2Te3",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adn9959","https://scholar.google.com/scholar?cites=13606425110264314102&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 19:17:24","","10.1126/sciadv.adn9959","","",,,,,18,18.00,3,7,1,"… DFT calculations corroborated the high N V and the large m* in p-type Bi 2−x Sb x Te 3 , but … These findings are also confirmed by our DFT calculations (see fig. S6) and align well with …","https://www.science.org/doi/pdf/10.1126/sciadv.adn9959","https://scholar.google.com/scholar?q=related:9nhCQIy707wJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
106,"MS Kim, n Deepika, SH Lee, MS Kim, JH Ryu, ...","Enabling reversible redox reactions in electrochemical cells using protected LiAl intermetallics as lithium metal anodes",2019,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aax5587","https://scholar.google.com/scholar?cites=17160643873713309207&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-14 19:17:24","","10.1126/sciadv.aax5587","","",,,,,106,17.67,18,6,6,"… 2 works as an effective platform and channel to and for the flow of Li during Li migration. The DFT results show that lithiation produces the phase transition from a MoS 2 2H– to a MoS 2 …","https://www.science.org/doi/pdf/10.1126/sciadv.aax5587","https://scholar.google.com/scholar?q=related:F0aqoa7aJu4J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
185,"D He, J Qiao, L Zhang, J Wang, T Lan, J Qian, Y Li, ...","Ultrahigh mobility and efficient charge injection in monolayer organic thin-film transistors on boron nitride",2017,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.1701186","https://scholar.google.com/scholar?cites=14466869395478512836&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-14 19:17:24","","10.1126/sciadv.1701186","","",,,,,185,23.13,23,8,8,"… Density functional theory (DFT) calculations reveal that the density of states (DOSs) at the Fermi energy, which is modulated by the molecular packing, plays important roles in the …","https://www.science.org/doi/full/10.1126/sciadv.1701186","https://scholar.google.com/scholar?q=related:xIR3ARGlxMgJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
209,"X Wu, S Jin, Z Zhang, L Jiang, L Mu, YS Hu, H Li, ...","Unraveling the storage mechanism in organic carbonyl electrodes for sodium-ion batteries",2015,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.1500330","https://scholar.google.com/scholar?cites=18321152404904762259&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-14 19:17:24","","10.1126/sciadv.1500330","","",,,,,209,20.90,26,8,10,"… In conclusion, through resolving the crystal structures and performing DFT calculation, we have demonstrated a new storage mechanism in organic materials with a framework …","https://www.science.org/doi/full/10.1126/sciadv.1500330","https://scholar.google.com/scholar?q=related:k1sk6grPQf4J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"K Ma, L Guo, A Dartois, E Meslin, C Ophus, ...","Decoding the interstitial/vacancy nature of dislocation loops with their morphological fingerprints in face-centered cubic structure",2025,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adq4070","",14,"2025-05-14 19:17:24","","10.1126/sciadv.adq4070","","",,,,,0,0.00,0,6,1,"… MD calculation of the SFE using these potentials yields a reasonable agreement with the density functional theory (DFT) calculations (41, 42) and the experimental values (43–45) (see …","https://www.science.org/doi/full/10.1126/sciadv.adq4070","https://scholar.google.com/scholar?q=related:UCyxX3eavKYJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
75,"L Zhu, Y Wang, J Chen, W Li, T Wang, J Wu, S Han, ...","Enhancing ionic conductivity in solid electrolyte by relocating diffusion ions to under-coordination sites",2022,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abj7698","https://scholar.google.com/scholar?cites=16409659020082168465&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-14 19:17:24","","10.1126/sciadv.abj7698","","",,,,,75,25.00,9,8,3,"… In combination with electrochemical impedance spectroscopy (EIS) and density functional theory (DFT) calculations, we demonstrate that the designed LZSP material with under-…","https://www.science.org/doi/full/10.1126/sciadv.abj7698","https://scholar.google.com/scholar?q=related:kUJIye_RuuMJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"J Yang, ZY Xie, YJ Ye, SB Ye, YB Wang, WT Wang, ...","Ir/Zn-cocatalyzed chemo-and atroposelective [2+ 2+ 2] cycloaddition for construction of C─ N axially chiral indoles and pyrroles",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adk1704","https://scholar.google.com/scholar?cites=13069859438099724605&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-05-14 19:17:24","","10.1126/sciadv.adk1704","","",,,,,8,4.00,1,7,2,"… 2 catalyst could accelerate migration insertion to significantly … observations and density functional theory (DFT) calculations, a … C then occurred the migratory insertion, which surmounted …","https://www.science.org/doi/full/10.1126/sciadv.adk1704","https://scholar.google.com/scholar?q=related:PXk4cOl3YbUJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Shi, S Kashiwaya, J Lu, M Dahlqvist, ...","Synthesis of Ti4Au3C3 and its derivative trilayer goldene through chemical exfoliation",2025,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adt7999","https://scholar.google.com/scholar?cites=17708797991736061660&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-05-14 19:17:24","","10.1126/sciadv.adt7999","","",,,,,1,1.00,0,5,1,"… Density functional theory calculations suggest that it is energetically favorable to insert three … Density functional theory (DFT) calculations predict that 1D Au nanorods and 2D Au …","https://www.science.org/doi/full/10.1126/sciadv.adt7999","https://scholar.google.com/scholar?q=related:3C6UwPJJwvUJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
188,"B Zhu, G Liu, G Lv, Y Mu, Y Zhao, Y Wang, X Li, ...","Minimized lithium trapping by isovalent isomorphism for high initial Coulombic efficiency of silicon anodes",2019,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aax0651","https://scholar.google.com/scholar?cites=2826355123440566078&as_sdt=2005&sciodt=0,5&hl=en",18,"2025-05-14 19:17:24","","10.1126/sciadv.aax0651","","",,,,,188,31.33,24,8,6,"… The “Materials Studio” software support used for DFT calculations in this paper is provided by Z. Xian’s research group from the State Key Laboratory of Crystal Materials, Shandong …","https://www.science.org/doi/full/10.1126/sciadv.aax0651","https://scholar.google.com/scholar?q=related:Pr_HlQI7OScJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
553,"PF Wang, HR Yao, XY Liu, YX Yin, JN Zhang, ...","Na+/vacancy disordering promises high-rate Na-ion batteries",2018,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aar6018","https://scholar.google.com/scholar?cites=6054281307045187919&as_sdt=2005&sciodt=0,5&hl=en",19,"2025-05-14 19:17:24","","10.1126/sciadv.aar6018","","",,,,,553,79.00,92,6,7,"… an electrochemical characterization technique [galvanostatic intermittent titration technique (GITT)], the nature of rate performance, together with the use of density functional theory (DFT…","https://www.science.org/doi/full/10.1126/sciadv.aar6018","https://scholar.google.com/scholar?q=related:T1G3lMUgBVQJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Ye, L Qi, S Deng, D Wang, H Cong, X Qi, Q Zhou, ...","Triple cross-electrophile coupling enabled by palladium/norbornene cooperative catalysis",2025,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adu4573","",20,"2025-05-14 19:17:24","","10.1126/sciadv.adu4573","","",,,,,0,0.00,0,8,1,"… DFT calculations. Because the initial steps of the Catellani-type reaction have been well studied (36, 37, 67, 68), we focus our DFT … involving an alkyne migratory insertion followed by β-…","https://www.science.org/doi/full/10.1126/sciadv.adu4573","https://scholar.google.com/scholar?q=related:6hBHBHx83_sJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"J Wang, D Pan, F Wang, S Yu, G Huang, X Li","Pd-catalyzed asymmetric Larock reaction for the atroposelective synthesis of N─ N chiral indoles",2024,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.ado4489","https://scholar.google.com/scholar?cites=8800452080763896746&as_sdt=2005&sciodt=0,5&hl=en",21,"2025-05-14 19:17:24","","10.1126/sciadv.ado4489","","",,,,,7,7.00,1,6,1,"… DFT calculations have been performed at the PBE0-D3BJ (… Our DFT studies commence with the ligand exchange … Then, the migratory insertion of incoming alkyne 2a into the Pd─C …","https://www.science.org/doi/full/10.1126/sciadv.ado4489","https://scholar.google.com/scholar?q=related:qoPHaIp8IXoJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
83,"Y Gao, R Yang, C Wang, C Liu, Y Wu, H Li, ...","Field-induced reagent concentration and sulfur adsorption enable efficient electrocatalytic semihydrogenation of alkynes",2022,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abm9477","https://scholar.google.com/scholar?cites=18043844532894356360&as_sdt=2005&sciodt=0,5&hl=en",22,"2025-05-14 19:17:24","","10.1126/sciadv.abm9477","","",,,,,83,27.67,12,7,3,"… Density functional theory calculations reveal that bulk sulfur anions intrinsically weaken alkene adsorption, and surface thiolates lower the activation energy of water and the Gibbs free …","https://www.science.org/doi/pdf/10.1126/sciadv.abm9477","https://scholar.google.com/scholar?q=related:iNOKlQCdaPoJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
42,"L Wang, J Yan, Y Hong, Z Yu, J Chen, J Zheng","Ultrahigh-rate and ultralong-life aqueous batteries enabled by special pair-dancing proton transfer",2023,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adf4589","https://scholar.google.com/scholar?cites=13790407939303144691&as_sdt=2005&sciodt=0,5&hl=en",23,"2025-05-14 19:17:24","","10.1126/sciadv.adf4589","","",,,,,42,21.00,7,6,2,"… proton conduction, density functional theory (DFT) calculations … Thus, we optimized the wet NZVO structure by DFT calculations … DFT calculations were further conducted to screen the …","https://www.science.org/doi/full/10.1126/sciadv.adf4589","https://scholar.google.com/scholar?q=related:8_zjwfReYb8J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"G Kemper, M Hölscher, W Leitner","Pd(II)-catalyzed carboxylation of aromatic C─H bonds with CO2",2023,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adf2966","https://scholar.google.com/scholar?cites=18311402304023954753&as_sdt=2005&sciodt=0,5&hl=en",24,"2025-05-14 19:17:24","","10.1126/sciadv.adf2966","","",,,,,10,5.00,3,3,2,"… Density functional theory (DFT) calculations confirmed the principle feasibility of such a redox-neutral catalytic cycle (46, 47), indicating that the migratory insertion of CO 2 into a metal-…","https://www.science.org/doi/full/10.1126/sciadv.adf2966","https://scholar.google.com/scholar?q=related:QQWepmArH_4J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
