Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
17,"K Wang, L Gan, Y Wu, MJ Zhou, G Liu, Z Huang","Selective dehydrogenation of small and large molecules by a chloroiridium catalyst",2022,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abo6586","https://scholar.google.com/scholar?cites=357941350460757443&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 19:45:28","","10.1126/sciadv.abo6586","","",,,,,17,5.67,3,6,3,"The dehydrogenation of abundant alkane feedstocks to olefins is one of the mostly intensively investigated reactions in organic catalysis. A long-standing, pervasive challenge in this …","https://www.science.org/doi/full/10.1126/sciadv.abo6586","https://scholar.google.com/scholar?q=related:wxWjBMOp9wQJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
35,"X Tang, L Gan, X Zhang, Z Huang","n-Alkanes to n-alcohols: Formal primary C─H bond hydroxymethylation via quadruple relay catalysis",2020,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abc6688","https://scholar.google.com/scholar?cites=13864374872750234288&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 19:45:28","","10.1126/sciadv.abc6688","","",,,,,35,7.00,9,4,5,"… for the inhibition of the AH by olefins, particularly by sterically less hindered α-olefin and Z-… an η 3 -allyl pathway and an unconventional mechanism predicted by DFT calculations. J. Am. …","https://www.science.org/doi/pdf/10.1126/sciadv.abc6688","https://scholar.google.com/scholar?q=related:sBohe30naMAJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"HF Liu, L Long, ZQ Zhu, TF Wu, YR Zhang, HP Pan, ...","Enantioselective synthesis of α, α-diarylketones by sequential visible light photoactivation and phosphoric acid catalysis",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adg7754","https://scholar.google.com/scholar?cites=1356844512322388037&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 19:45:28","","10.1126/sciadv.adg7754","","",,,,,3,1.50,0,7,2,"… (D) Our strategy: Alkyne-carbonyl metathesis/transfer hydrogenation one-pot reaction for the … HW, and HG performed the DFT calculations and drafted the DFT parts. X.-ZZ and Y.-…","https://www.science.org/doi/full/10.1126/sciadv.adg7754","https://scholar.google.com/scholar?q=related:RQBqJOV61BIJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
115,"L Li, ZL Li, QS Gu, N Wang, XY Liu","A remote C–C bond cleavage–enabled skeletal reorganization: access to medium-/large-sized cyclic alkenes",2017,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.1701487","https://scholar.google.com/scholar?cites=2407842672022635839&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 19:45:28","","10.1126/sciadv.1701487","","",,,,,115,14.38,23,5,8,"… of transition metal–catalyzed ring-closing metathesis, which has served as a reliable tool for … competitive oligomerization via intermolecular olefin metathesis. Therefore, developing a …","https://www.science.org/doi/full/10.1126/sciadv.1701487","https://scholar.google.com/scholar?q=related:P8XvJCdgaiEJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"JT Weatherford-Pratt, JM Bloch, JA Smith, ...","Tungsten-anisole complex provides 3, 6-substituted cyclohexenes for highly diversified chemical libraries",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adl0885","https://scholar.google.com/scholar?cites=91524860943327512&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 19:45:28","","10.1126/sciadv.adl0885","","",,,,,1,1.00,0,4,1,"… Furthermore, DFT calculations have demonstrated that these species exist as two distinct conformers (15), differing by which terminal carbon is elongated. Here, this is represented as a …","https://www.science.org/doi/full/10.1126/sciadv.adl0885","https://scholar.google.com/scholar?q=related:GOGkSGApRQEJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"SJ Goettl, A Vincent, MX Silva, Z Yang, BRL Galvão, ...","Gas-phase preparation of silylacetylene (SiH3CCH) through a counterintuitive ethynyl radical (C2H) insertion",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adq5018","",6,"2025-05-14 19:45:28","","10.1126/sciadv.adq5018","","",,,,,0,0.00,0,6,1,"… First, geometry optimizations were carried out at the density functional theory (54) level using the B2PLYP-D3 double hybrid functional including Grimme’s dispersion correction and …","https://www.science.org/doi/full/10.1126/sciadv.adq5018","https://scholar.google.com/scholar?q=related:cKlay3AiXwcJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"M Hua, Z Peng, RD Guha, X Ruan, KC Ng, ...","Mechanochemically accelerated deconstruction of chemically recyclable plastics",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adq3801","https://scholar.google.com/scholar?cites=6935245339726316271&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 19:45:28","","10.1126/sciadv.adq3801","","",,,,,5,5.00,1,6,1,"… (F) TD-DFT–simulated NEXAFS spectrum of protonated DKE 1, 2-acetyl-5,5-dimethyl-1,3-cyclohexanedione (TK), and 1-methoxy-2-propylamine, the acidolysis product of DKE 1. (G) …","https://www.science.org/doi/full/10.1126/sciadv.adq3801","https://scholar.google.com/scholar?q=related:7wKSWOTwPmAJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"Y Mei, JJ Gamboa-Carballo, Y Bao, N Wu, ...","Coordination-induced polymerization of P═C bonds leads to regular (P─C)n polycarbophosphanes",2021,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abf4272","https://scholar.google.com/scholar?cites=16604728714410985454&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 19:45:28","","10.1126/sciadv.abf4272","","",,,,,9,2.25,2,5,4,"… , which is bolstered by density functional theory (DFT) calculations [… DFT calculations on a pentamer of P3 CuCl (Fig. 5C) … DFT calculations also predict that the metal-free polymer P3 is …","https://www.science.org/doi/full/10.1126/sciadv.abf4272","https://scholar.google.com/scholar?q=related:7gcyRsrYb-YJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"R Huang, M Wang, H Deng, J Xu, H Yan, Y Zhao, ...","Stereospecific nickel-catalyzed [4+ 2] heteroannulation of alkynes with aminophosphanes",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.ade8638","",9,"2025-05-14 19:45:28","","10.1126/sciadv.ade8638","","",,,,,0,0.00,0,7,2,"… The DFT-optimized geometry is in good agreement with the crystal structure and shows a twisted conformation for the azaphosphinine ring, which is capable of restricting the …","https://www.science.org/doi/full/10.1126/sciadv.ade8638","https://scholar.google.com/scholar?q=related:YuJIaTuOs94J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"R Mi, R Wu, J Jing, F Wang, XX Li, X Hong, X Li","Rhodium-catalyzed atropodivergent hydroamination of alkynes by leveraging two potential enantiodetermining steps",2024,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adr4435","",10,"2025-05-14 19:45:28","","10.1126/sciadv.adr4435","","",,,,,0,0.00,0,7,1,"… Our DFT data verified that, in the protonolysis of a given rhodium-alkenyl species, a stronger … These experimental and DFT data collectively revealed that the acid plays a role in affecting …","https://www.science.org/doi/full/10.1126/sciadv.adr4435","https://scholar.google.com/scholar?q=related:pWXLgEXf_6MJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
