Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"AM Sapse","Quantum Chemical Calculations Applied to Systems of Forensic Interest",2011,"Forensic Science Advances and Their Application …","api.taylorfrancis.com","https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/b11051-7&type=chapterpdf","https://scholar.google.com/scholar?cites=5810632344682678755&as_sdt=2005&sciodt=0,5&hl=en",630,"2025-05-14 19:10:47","","","","",,,,,2,0.14,2,1,14,"… is method is called the Density Functional eory (DFT). e Density Functional eory attempts to calculate the ground state energy of a molecule as well as other molecular properties by …","","https://scholar.google.com/scholar?q=related:48k02VSDo1AJ:scholar.google.com/&scioq=source:%22science+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"D SAPSE, AM SAPSE, J MADDALUNO, ...","Applications to Several Legal Cases and Quantum Chemical Calculations on Its Interaction with Methyllithium",2011,"… Science Advances …","api.taylorfrancis.com","https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/b11051-8&type=chapterpdf","",655,"2025-05-14 19:10:47","","","","",,,,,0,0.00,0,4,14,"… the more exothermic as calculated with the DFT method, while HF … DFT level, cytidine shows the strongest binding. In general, the size of the binding energies as calculated by the DFT …","","https://scholar.google.com/scholar?q=related:gAgg5-2GSJQJ:scholar.google.com/&scioq=source:%22science+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"R Kothur, P Cragg","Recent advances in pillar [5] arene chemistry",2016,"Science Advances Today","cris.brighton.ac.uk","https://cris.brighton.ac.uk/ws/portalfiles/portal/446217/PJC%20pillar5arene%20review%202016%20final%20draft.pdf","",651,"2025-05-14 19:10:47","PDF","","","",,,,,0,0.00,0,2,9,"… over the degree of reduction and subsequent oxidation of 1,4-dimethoxypillar[5]arene was … DFT to predict the adsorption spectra of the conformers of 2 and to probe the molecule’s …","https://cris.brighton.ac.uk/ws/portalfiles/portal/446217/PJC%20pillar5arene%20review%202016%20final%20draft.pdf","https://scholar.google.com/scholar?q=related:TLkR4bQ81EsJ:scholar.google.com/&scioq=source:%22science+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Juan, MG Sandoval, P Bechthold, ...","A DFT study of lithium intercalation and metallization on oxygen-vacancy containing TiO2 (110)",2025,"… Science Advances","Elsevier","https://www.sciencedirect.com/science/article/pii/S2666523925000133","",238,"2025-05-14 19:10:47","HTML","","","",,,,,0,0.00,0,4,1,"We investigate the possible adsorption sites for Li on perfect and defective TiO 2 (110) using DFT+U calculations. Two systems with an oxygen di-vacancy are generated and we test the …","https://www.sciencedirect.com/science/article/pii/S2666523925000133","https://scholar.google.com/scholar?q=related:oC_Uhv0VmMAJ:scholar.google.com/&scioq=source:%22science+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"D Kumar, M Białoruski, W Piskorz, A Kotarba","Exploring the role of edges in surface functionalization and stability of plasma-modified carbon materials: Experimental and DFT insights",2024,"… Surface Science Advances","Elsevier","https://www.sciencedirect.com/science/article/pii/S266652392400076X","https://scholar.google.com/scholar?cites=8205864510963525574&as_sdt=2005&sciodt=0,5&hl=en",259,"2025-05-14 19:10:47","HTML","","","",,,,,2,2.00,1,4,1,"… of experimental techniques and Density Functional Theory (DFT) insights. Graphenic paper, … DFT calculations provided molecular-level insights into the surface processes, elucidating …","https://www.sciencedirect.com/science/article/pii/S266652392400076X","https://scholar.google.com/scholar?q=related:xif30ksW4XEJ:scholar.google.com/&scioq=source:%22science+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"CC Chang, SY Wu, CW Chan, HT Chen","Electrochemical CO2 reduction on metal-silicon centered single-atom dual site catalyst: A computational study",2023,"… Surface Science Advances","Elsevier","https://www.sciencedirect.com/science/article/pii/S2666523923001599","https://scholar.google.com/scholar?cites=11427577675604827632&as_sdt=2005&sciodt=0,5&hl=en",333,"2025-05-14 19:10:47","HTML","","","",,,,,5,2.50,1,4,2,"In this work, we employed density functional theory (DFT) computations to design innovative electrocatalysts for the electrochemical CO 2 reduction reaction (ECRR). Specifically, we …","https://www.sciencedirect.com/science/article/pii/S2666523923001599","https://scholar.google.com/scholar?q=related:8B2cnVnplp4J:scholar.google.com/&scioq=source:%22science+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Yoon, Y Choi, Y Bae, J Hong, K Kim","Ni-based alloy catalysts for cost-effective hydrogen production from ammonia decomposition",2025,"Applied Surface Science Advances","Elsevier","https://www.sciencedirect.com/science/article/pii/S2666523925000674","",348,"2025-05-14 19:10:47","HTML","","","",,,,,0,0.00,0,5,1,"… Herein, density functional theory (DFT) calculations are performed to elucidate the catalytic … -like relationship between experimental catalytic activity and DFT-calculated E ad (N). …","https://www.sciencedirect.com/science/article/pii/S2666523925000674","https://scholar.google.com/scholar?q=related:Gs5A4-dJb7UJ:scholar.google.com/&scioq=source:%22science+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"A Khan, H Ajab, A Yaqub, K Ayub, M Yar, ...","An experimental and theoretical aided 2D MoS2 nanoflowers strategy for rapid visual sensing of Gallic acid in food and clinical matrixes",2024,"… Science Advances","Elsevier","https://www.sciencedirect.com/science/article/pii/S2666523924000096","https://scholar.google.com/scholar?cites=13209627665257823170&as_sdt=2005&sciodt=0,5&hl=en",386,"2025-05-14 19:10:47","HTML","","","",,,,,4,4.00,1,6,1,"… Liu et al. with the help DFT calculation explored the adsorption … with computing results from density functional theory in our work. … DFT calculations were performed to gain insight into the …","https://www.sciencedirect.com/science/article/pii/S2666523924000096","https://scholar.google.com/scholar?q=related:wnvdul8GUrcJ:scholar.google.com/&scioq=source:%22science+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"HL Chen, YY Shen, HT Chen","Mechanistic insight into hydration-enhanced electrochemical CO2 reduction on Ru single-atom catalysts: A computational investigation",2025,"Applied Surface Science Advances","Elsevier","https://www.sciencedirect.com/science/article/pii/S2666523925000327","",435,"2025-05-14 19:10:47","HTML","","","",,,,,0,0.00,0,3,1,"Using density functional theory (DFT) calculations, we investigated the electrocatalytic reduction of CO 2 on Ru-doped graphene (Ru/G3C) and its nitrogen-coordinated counterpart (Ru/…","https://www.sciencedirect.com/science/article/pii/S2666523925000327","https://scholar.google.com/scholar?q=related:ODMJKnagMoIJ:scholar.google.com/&scioq=source:%22science+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"AH Omranpoor, T Kox, E Spohr, S Kenmoe","Influence of temperature, surface composition and electrochemical environment on 2-propanol decomposition at the Co3O4 (001)/H2O interface",2022,"… Surface Science Advances","Elsevier","https://www.sciencedirect.com/science/article/pii/S266652392200109X","https://scholar.google.com/scholar?cites=3865571047177208555&as_sdt=2005&sciodt=0,5&hl=en",454,"2025-05-14 19:10:47","HTML","","","",,,,,14,4.67,4,4,3,"… dynamics simulations of a single hydrated 2-propanol molecule were performed to study the role of temperature, surface structure and electrochemical environment for the oxidation of 2-…","https://www.sciencedirect.com/science/article/pii/S266652392200109X","https://scholar.google.com/scholar?q=related:60IIAWNEpTUJ:scholar.google.com/&scioq=source:%22science+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
