Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
55,"A Das, I Mandal, R Venkatramani, J Dasgupta","Ultrafast photoactivation of C─ H bonds inside water-soluble nanocages",2019,"Science advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aav4806","https://scholar.google.com/scholar?cites=4594660948768261991&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 19:28:30","","10.1126/sciadv.aav4806","","",,,,,55,9.17,14,4,6,"… been used to indirectly activate C─H bonds in photoredox catalysis (36). In addition, Mayer … First, structures were optimized using the DFT method with the 6-31G* basis set on all atoms…","https://www.science.org/doi/pdf/10.1126/sciadv.aav4806","https://scholar.google.com/scholar?q=related:ZwexEsqDwz8J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"J Wu, SJ Li, L Jiang, XC Ma, Y Lan, L Shen","UV light–driven late-stage skeletal reorganization to diverse limonoid frameworks: a proof of concept for photobiosynthesis",2023,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.ade2981","https://scholar.google.com/scholar?cites=13759369377761665635&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 19:28:30","","10.1126/sciadv.ade2981","","",,,,,5,2.50,1,6,2,"… products, density functional theory (DFT) and time-dependent DFT (TD-DFT) calculations at the … In the past decade, visible light photoredox catalysis has become an immensely valuable …","https://www.science.org/doi/full/10.1126/sciadv.ade2981","https://scholar.google.com/scholar?q=related:YyLffowZ874J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"H Huang, ZY Yu, LY Han, YQ Wu, L Jiang, QZ Li, ...","N-Heterocyclic carbene catalytic 1,2-boron migrative acylation accelerated by photocatalysis",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adn8401","https://scholar.google.com/scholar?cites=16678285019300562880&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 19:28:30","","10.1126/sciadv.adn8401","","",,,,,4,4.00,1,7,1,"… utilizing the NHC and photoredox cooperative catalysis. The … and density functional theory (DFT) calculations (Fig. 1D). … photochemistry experiments, and DFT calculations, have been …","https://www.science.org/doi/full/10.1126/sciadv.adn8401","https://scholar.google.com/scholar?q=related:wAchFtwrdecJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"HF Liu, L Long, ZQ Zhu, TF Wu, YR Zhang, HP Pan, ...","Enantioselective synthesis of α, α-diarylketones by sequential visible light photoactivation and phosphoric acid catalysis",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adg7754","https://scholar.google.com/scholar?cites=1356844512322388037&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 19:28:30","","10.1126/sciadv.adg7754","","",,,,,3,1.50,0,7,2,"… HW, and HG performed the DFT calculations and drafted the DFT parts. X.-ZZ and Y.-… HW, and HG performed the DFT calculations and drafted the DFT parts. X.-ZZ and Y.-…","https://www.science.org/doi/full/10.1126/sciadv.adg7754","https://scholar.google.com/scholar?q=related:RQBqJOV61BIJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"Z Teng, Z Zhang, H Yang, Q Zhang, T Ohno, C Su","Atomically isolated Sb(CN)3 on sp2-c-COFs with balanced hydrophilic and oleophilic sites for photocatalytic CH activation",2024,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adl5432","https://scholar.google.com/scholar?cites=12970910848928668891&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 19:28:30","","10.1126/sciadv.adl5432","","",,,,,15,15.00,3,6,1,"… Time-dependent density functional theory (TD-DFT) calculations indicate that the … Although atomically dispersed C≡N-Sb(CN) 3 sites do not work as reactive sites for photoredox …","https://www.science.org/doi/full/10.1126/sciadv.adl5432","https://scholar.google.com/scholar?q=related:21ynu7HuAbQJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
52,"W Liu, Y Jiang, KH Dostert, CP O'Brien, W Riedel, ...","Catalysis beyond frontier molecular orbitals: Selectivity in partial hydrogenation of multi-unsaturated hydrocarbons on metal catalysts",2017,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.1700939","https://scholar.google.com/scholar?cites=9826950891377442307&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 19:28:30","","10.1126/sciadv.1700939","","",,,,,52,6.50,9,6,8,"… barriers, we performed comprehensive density functional theory (DFT) calculations on the reactivity … On the basis of our DFT calculations, Fig. 2 summarizes the two alternative reaction …","https://www.science.org/doi/full/10.1126/sciadv.1700939","https://scholar.google.com/scholar?q=related:A77CMcVXYIgJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
49,"QY Meng, XW Gao, T Lei, Z Liu, F Zhan, ZJ Li, ...","Identifying key intermediates generated in situ from Cu (II) salt–catalyzed C–H functionalization of aromatic amines under illumination",2017,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.1700666","https://scholar.google.com/scholar?cites=4735859378691089472&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 19:28:30","","10.1126/sciadv.1700666","","",,,,,49,6.13,7,7,8,"… edge structure, and density functional theory calculation, have … The use of copper complexes as photoredox catalysts has … XANES), and density functional theory (DFT) calculation reveal …","https://www.science.org/doi/full/10.1126/sciadv.1700666","https://scholar.google.com/scholar?q=related:QKQVZQMnuUEJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Ye, L Qi, S Deng, D Wang, H Cong, X Qi, Q Zhou, ...","Triple cross-electrophile coupling enabled by palladium/norbornene cooperative catalysis",2025,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adu4573","",8,"2025-05-14 19:28:30","","10.1126/sciadv.adu4573","","",,,,,0,0.00,0,8,1,"… , we conducted DFT calculations. Because the initial steps of the Catellani-type reaction have been well studied (36, 37, 67, 68), we focus our DFT calculations on elucidating the details …","https://www.science.org/doi/full/10.1126/sciadv.adu4573","https://scholar.google.com/scholar?q=related:6hBHBHx83_sJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"X Tao, W Lee, Z Xu, H Shu, Q Wang, S Ni, Y Pan, ...","Reductive deaminative cross-coupling of alkyl bistriflimides enabled by electrocatalysis",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.ads5410","",9,"2025-05-14 19:28:30","","10.1126/sciadv.ads5410","","",,,,,0,0.00,0,8,1,"… Further density functional theory (DFT) calculations were performed to elucidate the … On the basis of these results and DFT calculations, we proposed a Ni(I–III) catalytic cycle as the …","https://www.science.org/doi/full/10.1126/sciadv.ads5410","https://scholar.google.com/scholar?q=related:n8BgNpj0drgJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"S Matsuda, K Yokoyama, T Yaita, T Kobayashi, ...","Marking actinides for separation: Resonance-enhanced multiphoton charge transfer in actinide complexes",2022,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abn1991","https://scholar.google.com/scholar?cites=2854181769196514785&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 19:28:30","","10.1126/sciadv.abn1991","","",,,,,9,3.00,2,5,3,"… Donohue (14, 15) proposed a smart solution to overcome this difficulty by using the photoredox … is obtained by density functional theory calculations described in the “DFT calculations” …","https://www.science.org/doi/full/10.1126/sciadv.abn1991","https://scholar.google.com/scholar?q=related:4a1abTIXnCcJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"J Chen, S Liu, S Su, R Fan, R Zhang, W Meng, ...","Sulfonium-based precise alkyl transposition reactions",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adi1370","https://scholar.google.com/scholar?cites=15338644986630167555&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-14 19:28:30","","10.1126/sciadv.adi1370","","",,,,,14,7.00,2,7,2,"… Density functional theory calculations was used to shed light on the mechanistic underpinnings of this alkyl transposition reaction using the M06-2X method (44, 45) on the 6-311+G(d,p…","https://www.science.org/doi/full/10.1126/sciadv.adi1370","https://scholar.google.com/scholar?q=related:A9zqA1nQ3dQJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Zhang, M Liu, W Zhang, C Guo","Enantioselective electrochemical nickel-catalyzed vinylogous radical reactions",2025,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adu5594","",12,"2025-05-14 19:28:30","","10.1126/sciadv.adu5594","","",,,,,0,0.00,0,4,1,"… Initial density functional theory calculations revealed that Fukui functions [f − (r)] for extended enolate derivatives showed the expected nucleophilic reactivity patterns (Fig. 1A, A to D). …","https://www.science.org/doi/pdf/10.1126/sciadv.adu5594","https://scholar.google.com/scholar?q=related:zBZcKHd2M7AJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"X Cui, Z Huang, AP van Muyden, Z Fei, T Wang, ...","Acceptorless dehydrogenation and hydrogenation of N- and O-containing compounds on Pd3Au1(111) facets",2020,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abb3831","https://scholar.google.com/scholar?cites=13473047759487446999&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-14 19:28:30","","10.1126/sciadv.abb3831","","",,,,,54,10.80,9,6,5,"… Mechanistic insights combining experimental data with density functional theory calculations … also been achieved with visible-light photoredox catalysts and electrocatalysts based on …","https://www.science.org/doi/full/10.1126/sciadv.abb3831","https://scholar.google.com/scholar?q=related:1y8f0o3h-boJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"C Zhu, Z Ye, H Wang, D Ma, Z Li, CJ Li, J Zhang","Chiral ruthenium complex/Ph2P(2-furyl)–catalyzed asymmetric nucleophilic addition of aryl aldehyde hydrazones to simple ketones",2025,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adv0095","",14,"2025-05-14 19:28:30","","10.1126/sciadv.adv0095","","",,,,,0,0.00,0,7,1,"… To deepen our understanding of the stereoselectivity control model, we also conducted density functional theory (DFT) calculations on the basis of the model reaction between 1a and …","https://www.science.org/doi/full/10.1126/sciadv.adv0095","https://scholar.google.com/scholar?q=related:_6M7qzbUCHgJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
