Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
19,"J Han, S Liu, H Wang, J Wang, H Qian, Z Li, S Ma, ...","Pd/Xu-Phos-catalyzed asymmetric elimination of fully substituted enol triflates into axially chiral trisubstituted allenes",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adg1002","https://scholar.google.com/scholar?cites=11005552978549130095&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 19:25:15","","10.1126/sciadv.adg1002","","",,,,,19,9.50,2,8,2,"… DFT computation results allow us to propose an intramolecular base ( − OAc)–assisted deprotonation mechanism for this progress. Distortion-interaction and energy decomposition …","https://www.science.org/doi/full/10.1126/sciadv.adg1002","https://scholar.google.com/scholar?q=related:b8Mpwx-Uu5gJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"X Tao, W Lee, Z Xu, H Shu, Q Wang, S Ni, Y Pan, ...","Reductive deaminative cross-coupling of alkyl bistriflimides enabled by electrocatalysis",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.ads5410","",2,"2025-05-14 19:25:15","","10.1126/sciadv.ads5410","","",,,,,0,0.00,0,8,1,"… barrier for the reductive elimination step, considering … reductive elimination via dialkyl-Ni(III) complexes is preferred by 12.9 kcal mol −1 (Fig. 5C). On the basis of these results and DFT …","https://www.science.org/doi/full/10.1126/sciadv.ads5410","https://scholar.google.com/scholar?q=related:n8BgNpj0drgJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"F Kong, S Chen, J Chen, C Liu, W Zhu, DA Dickie, ...","Cu (II) carboxylate arene C─ H functionalization: Tuning for nonradical pathways",2022,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.add1594","https://scholar.google.com/scholar?cites=1709206753217623353&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 19:25:15","","10.1126/sciadv.add1594","","",,,,,16,5.33,2,7,3,"… mechanism, we used DFT and time-dependent (TD)–DFT calculations to examine closed-… after HOAc dissociation and during the reductive elimination step suggests that this process …","https://www.science.org/doi/full/10.1126/sciadv.add1594","https://scholar.google.com/scholar?q=related:OTU8fXxSuBcJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Ye, L Qi, S Deng, D Wang, H Cong, X Qi, Q Zhou, ...","Triple cross-electrophile coupling enabled by palladium/norbornene cooperative catalysis",2025,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adu4573","",4,"2025-05-14 19:25:15","","10.1126/sciadv.adu4573","","",,,,,0,0.00,0,8,1,"… 2 followed by reductive elimination and extrusion of … DFT calculations. Because the initial steps of the Catellani-type reaction have been well studied (36, 37, 67, 68), we focus our DFT …","https://www.science.org/doi/full/10.1126/sciadv.adu4573","https://scholar.google.com/scholar?q=related:6hBHBHx83_sJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Zhang, M Liu, W Zhang, C Guo","Enantioselective electrochemical nickel-catalyzed vinylogous radical reactions",2025,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adu5594","",5,"2025-05-14 19:25:15","","10.1126/sciadv.adu5594","","",,,,,0,0.00,0,4,1,"… Initial density functional theory calculations revealed that Fukui functions [f − (r)] for extended enolate derivatives showed the expected nucleophilic reactivity patterns (Fig. 1A, A to D). …","https://www.science.org/doi/pdf/10.1126/sciadv.adu5594","https://scholar.google.com/scholar?q=related:zBZcKHd2M7AJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"S Chabbra, DM Smith, NL Bell, AJB Watson, ...","First experimental evidence for a bis-ethene chromium (I) complex forming from an activated ethene oligomerization catalyst",2020,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abd7057","https://scholar.google.com/scholar?cites=6529582473942512417&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 19:25:15","","10.1126/sciadv.abd7057","","",,,,,25,5.00,5,5,5,"… 14) or a β-hydride elimination and reductive elimination to afford the LAO and regenerate the … can be excluded because of a much larger density functional theory (DFT)–computed 13 C …","https://www.science.org/doi/full/10.1126/sciadv.abd7057","https://scholar.google.com/scholar?q=related:IbP1Mqq8nVoJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"G Kemper, M Hölscher, W Leitner","Pd(II)-catalyzed carboxylation of aromatic C─H bonds with CO2",2023,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adf2966","https://scholar.google.com/scholar?cites=18311402304023954753&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 19:25:15","","10.1126/sciadv.adf2966","","",,,,,10,5.00,3,3,2,"… Density functional theory (DFT) calculations confirmed the principle feasibility of such a … than an alternative oxidative addition/reductive elimination pathway. The active catalyst can be …","https://www.science.org/doi/full/10.1126/sciadv.adf2966","https://scholar.google.com/scholar?q=related:QQWepmArH_4J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Jin, S Song, JH Choi, W Chung","Stereoselective synthesis of geminal bromofluoroalkenes by kinetically controlled selective conversion of oxaphosphetane intermediates",2024,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adq5316","",8,"2025-05-14 19:25:15","","10.1126/sciadv.adq5316","","",,,,,0,0.00,0,4,1,"… nuclear magnetic resonance analysis and density functional theory calculation. Through our … of geminal dibromoalkenes (15), reductive elimination of dibromofluoroethyl alcohols (16), …","https://www.science.org/doi/full/10.1126/sciadv.adq5316","https://scholar.google.com/scholar?q=related:UaAEYUv0XscJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"X Zhong, S Liu, W You","A general and mild synthetic method for fused-ring electronic acceptors",2024,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adp8150","https://scholar.google.com/scholar?cites=8701961986827678788&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 19:25:15","","10.1126/sciadv.adp8150","","",,,,,1,1.00,0,3,1,"… Density functional theory calculation (fig. S2) supports this proposed mechanism, showing a much lower energy barrier in forming alkene from the tertiary alcohol than directly …","https://www.science.org/doi/full/10.1126/sciadv.adp8150","https://scholar.google.com/scholar?q=related:RPTQcVKUw3gJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"K Wang, L Gan, Y Wu, MJ Zhou, G Liu, Z Huang","Selective dehydrogenation of small and large molecules by a chloroiridium catalyst",2022,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abo6586","https://scholar.google.com/scholar?cites=357941350460757443&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 19:25:15","","10.1126/sciadv.abo6586","","",,,,,17,5.67,3,6,3,"The dehydrogenation of abundant alkane feedstocks to olefins is one of the mostly intensively investigated reactions in organic catalysis. A long-standing, pervasive challenge in this …","https://www.science.org/doi/full/10.1126/sciadv.abo6586","https://scholar.google.com/scholar?q=related:wxWjBMOp9wQJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
