Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
100,"Y Zhang, B Huang, G Luo, T Sun, Y Feng, Y Wang, ...","Atomically deviated Pd-Te nanoplates boost methanol-tolerant fuel cells",2020,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aba9731","https://scholar.google.com/scholar?cites=10545592494576456953&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 19:29:10","","10.1126/sciadv.aba9731","","",,,,,100,20.00,14,7,5,"… We further performed spin-polarized density functional theory (DFT) computations to gain … than that of 3.2 eV for most close-packed transition metal surfaces (35). Therefore, the high …","https://www.science.org/doi/full/10.1126/sciadv.aba9731","https://scholar.google.com/scholar?q=related:-VRBOYB4WZIJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
99,"J Dean, MG Taylor, G Mpourmpakis","Unfolding adsorption on metal nanoparticles: Connecting stability with catalysis",2019,"Science advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aax5101","https://scholar.google.com/scholar?cites=16161891446767090856&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 19:29:10","","10.1126/sciadv.aax5101","","",,,,,99,16.50,33,3,6,"… In this work, we apply density functional theory (DFT) and machine learning techniques to derive a simple physics-based model that can accurately capture the variation of the …","https://www.science.org/doi/pdf/10.1126/sciadv.aax5101","https://scholar.google.com/scholar?q=related:qPz5NqSSSuAJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"MH Kim, H Jang, E Lee, J Seo, J Park, A Choi, ...","Metal-to-metal charge transfer for stabilizing high-voltage redox in lithium-rich layered oxide cathodes",2025,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adt0232","",3,"2025-05-14 19:29:10","","10.1126/sciadv.adt0232","","",,,,,0,0.00,0,7,1,"… density on electronegative transition metal ions, preventing … This phenomenon is observed across diverse transition metal … Spin-polarized density functional theory (DFT) calculations …","https://www.science.org/doi/full/10.1126/sciadv.adt0232","https://scholar.google.com/scholar?q=related:AM4RUuZlDG0J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
47,"C Yang, C Hu, C Xiang, H Nie, X Gu, L Xie, J He, ...","Interfacial superstructures and chemical bonding transitions at metal-ceramic interfaces",2021,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abf6667","https://scholar.google.com/scholar?cites=7954662569148336970&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 19:29:10","","10.1126/sciadv.abf6667","","",,,,,47,11.75,6,8,4,"… In summary, DFT calculations revealed that the electronic structure … Since the major density of states (DOS) of transition metals is dominated by d bands near Fermi level (E F ) (37, 38), …","https://www.science.org/doi/pdf/10.1126/sciadv.abf6667","https://scholar.google.com/scholar?q=related:SssuBnajZG4J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
100,"J Kim, WH Park, WH Doh, SW Lee, MC Noh, ...","Adsorbate-driven reactive interfacial Pt-NiO1−x nanostructure formation on the Pt3Ni(111) alloy surface",2018,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aat3151","https://scholar.google.com/scholar?cites=5978323936409592455&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 19:29:10","","10.1126/sciadv.aat3151","","",,,,,100,14.29,17,6,7,"… transition metal atoms onto the topmost Pt-skin layer at catalytic reaction conditions that spontaneously form the metal-metal … Density functional theory (DFT) calculations explain the …","https://www.science.org/doi/full/10.1126/sciadv.aat3151","https://scholar.google.com/scholar?q=related:h6LoFfJF91IJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
208,"CX Zhao, JN Liu, J Wang, C Wang, X Guo, XY Li, ...","A clicking confinement strategy to fabricate transition metal single-atom sites for bifunctional oxygen electrocatalysis",2022,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abn5091","https://scholar.google.com/scholar?cites=9149703792169535516&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 19:29:10","","10.1126/sciadv.abn5091","","",,,,,208,69.33,30,7,3,"… Typically, transition metal atoms are dispersed at … transition metal atoms renders maximum atom efficiency up to 100% (29, 30), the unoccupied d orbitals of the center transition metal …","https://www.science.org/doi/full/10.1126/sciadv.abn5091","https://scholar.google.com/scholar?q=related:HEhPLB9H-n4J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
254,"J Shan, C Ye, Y Jiang, M Jaroniec, Y Zheng, ...","Metal-metal interactions in correlated single-atom catalysts",2022,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abo0762","https://scholar.google.com/scholar?cites=13393742498501603460&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 19:29:10","","10.1126/sciadv.abo0762","","",,,,,254,84.67,42,6,3,"… (6), most transition metals and noble metals have been extensively explored as metal single … structural models deduced by density function theory (DFT) calculations, the XANES spectra …","https://www.science.org/doi/pdf/10.1126/sciadv.abo0762","https://scholar.google.com/scholar?q=related:hLA93NYh4LkJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
49,"K Cao, ST Skowron, J Biskupek, CT Stoppiello, ...","Imaging an unsupported metal–metal bond in dirhenium molecules at the atomic scale",2020,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aay5849","https://scholar.google.com/scholar?cites=822105526846765361&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 19:29:10","","10.1126/sciadv.aay5849","","",,,,,49,9.80,10,5,5,"… Our density functional theory (DFT) calculations for Re 2 match well with the experimentally observed distances, predicting Re–Re bond lengths of 0.21 nm for a free (nonbonded) Re 2 …","https://www.science.org/doi/full/10.1126/sciadv.aay5849","https://scholar.google.com/scholar?q=related:MTmW9560aAsJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
47,"F Wang, N Mathur, AN Janes, H Sheng, P He, ...","Defect-mediated ferromagnetism in correlated two-dimensional transition metal phosphorus trisulfides",2021,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abj4086","https://scholar.google.com/scholar?cites=926602860582153927&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 19:29:10","","10.1126/sciadv.abj4086","","",,,,,47,11.75,8,6,4,"… Crystal defects that are often present in 2D materials such as transition metal phosphorus trisulfides (MPS 3 ) could influence their physical properties. Here, we report the effect of sulfur …","https://www.science.org/doi/full/10.1126/sciadv.abj4086","https://scholar.google.com/scholar?q=related:xy7ccGT02wwJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
52,"W Liu, Y Jiang, KH Dostert, CP O'Brien, W Riedel, ...","Catalysis beyond frontier molecular orbitals: Selectivity in partial hydrogenation of multi-unsaturated hydrocarbons on metal catalysts",2017,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.1700939","https://scholar.google.com/scholar?cites=9826950891377442307&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 19:29:10","","10.1126/sciadv.1700939","","",,,,,52,6.50,9,6,8,"… density functional theory (DFT) calculations on the reactivity of the isophorone and acrolein molecules over different metal … for isophorone on different transition metal surfaces. One of …","https://www.science.org/doi/full/10.1126/sciadv.1700939","https://scholar.google.com/scholar?q=related:A77CMcVXYIgJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
