Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
19,"J Han, S Liu, H Wang, J Wang, H Qian, Z Li, S Ma, ...","Pd/Xu-Phos-catalyzed asymmetric elimination of fully substituted enol triflates into axially chiral trisubstituted allenes",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adg1002","https://scholar.google.com/scholar?cites=11005552978549130095&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 19:25:37","","10.1126/sciadv.adg1002","","",,,,,19,9.50,2,8,2,"… DFT computation results allow us to propose an … -H elimination of alkyl metal species and β-H elimination of vinyl palladium species. (B) This work: Pd-catalyzed asymmetric elimination …","https://www.science.org/doi/full/10.1126/sciadv.adg1002","https://scholar.google.com/scholar?q=related:b8Mpwx-Uu5gJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Ye, L Qi, S Deng, D Wang, H Cong, X Qi, Q Zhou, ...","Triple cross-electrophile coupling enabled by palladium/norbornene cooperative catalysis",2025,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adu4573","",2,"2025-05-14 19:25:37","","10.1126/sciadv.adu4573","","",,,,,0,0.00,0,8,1,"… DFT calculations. Because the initial steps of the Catellani-type reaction have been well studied (36, 37, 67, 68), we focus our DFT … followed by reductive elimination (pathway b). As to …","https://www.science.org/doi/full/10.1126/sciadv.adu4573","https://scholar.google.com/scholar?q=related:6hBHBHx83_sJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"J Chen, S Liu, S Su, R Fan, R Zhang, W Meng, ...","Sulfonium-based precise alkyl transposition reactions",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adi1370","https://scholar.google.com/scholar?cites=15338644986630167555&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 19:25:37","","10.1126/sciadv.adi1370","","",,,,,14,7.00,2,7,2,"… As might be expected, a slightly diminished yield was observed for 3n as the side β-elimination might … Density functional theory calculations was used to shed light on the mechanistic …","https://www.science.org/doi/full/10.1126/sciadv.adi1370","https://scholar.google.com/scholar?q=related:A9zqA1nQ3dQJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"FK Guo, YL Lu, MY Huang, JM Yang, JL Guo, ...","Wittig/B─H insertion reaction: A unique access to trisubstituted Z-alkenes",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adj2486","https://scholar.google.com/scholar?cites=775743720112614589&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 19:25:37","","10.1126/sciadv.adj2486","","",,,,,9,4.50,2,6,2,"… an alkene by means of an addition-elimination process. This method has the advantages of … into the B─H bond. Therefore, we performed density functional theory calculations on 4ra as …","https://www.science.org/doi/full/10.1126/sciadv.adj2486","https://scholar.google.com/scholar?q=related:vWwNqs3-wwoJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"F Kong, S Chen, J Chen, C Liu, W Zhu, DA Dickie, ...","Cu (II) carboxylate arene C─ H functionalization: Tuning for nonradical pathways",2022,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.add1594","https://scholar.google.com/scholar?cites=1709206753217623353&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 19:25:37","","10.1126/sciadv.add1594","","",,,,,16,5.33,2,7,3,"… /elimination of aryl ester. This proposed reaction pathway is consistent with the results of density functional theory (DFT) … , we used DFT and time-dependent (TD)–DFT calculations to …","https://www.science.org/doi/full/10.1126/sciadv.add1594","https://scholar.google.com/scholar?q=related:OTU8fXxSuBcJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"R Pan, Q Wang, Y Zhao, Z Feng, Y Xu, Z Wang, Y Li, ...","Bioinspired catalytic pocket promotes CO2-to-ethanol photoconversion on colloidal quantum wells",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adq2791","https://scholar.google.com/scholar?cites=16461147472598021995&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 19:25:37","","10.1126/sciadv.adq2791","","",,,,,2,2.00,0,8,1,"… (A) HRTEM image and (B) AFM image with corresponding height … Afterward, we performed DFT to investigate the direct … We then conducted thorough DFT analysis to understand how …","https://www.science.org/doi/full/10.1126/sciadv.adq2791","https://scholar.google.com/scholar?q=related:azeGU2m-ceQJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"S Chabbra, DM Smith, NL Bell, AJB Watson, ...","First experimental evidence for a bis-ethene chromium (I) complex forming from an activated ethene oligomerization catalyst",2020,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abd7057","https://scholar.google.com/scholar?cites=6529582473942512417&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 19:25:37","","10.1126/sciadv.abd7057","","",,,,,25,5.00,5,5,5,"… a β-hydride elimination and reductive elimination to afford the … (B) The simulated EPR spectra for individual components … of a much larger density functional theory (DFT)–computed 13 …","https://www.science.org/doi/full/10.1126/sciadv.abd7057","https://scholar.google.com/scholar?q=related:IbP1Mqq8nVoJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
102,"…, J Guo, S Zhao, K Zhao, H Yin, L Zheng, B Zhang, ...","Delocalized electron effect on single metal sites in ultrathin conjugated microporous polymer nanosheets for boosting CO2 cycloaddition",2020,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aaz4824","https://scholar.google.com/scholar?cites=935258198737237171&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 19:25:37","","10.1126/sciadv.aaz4824","","",,,,,102,20.40,13,8,5,"… Density functional theory (DFT) calculation reveals that the positive charge of single cobalt sites in DTBBQ-CMP nanosheets increases by 13% compared with BDA-CMP aggregates …","https://www.science.org/doi/full/10.1126/sciadv.aaz4824","https://scholar.google.com/scholar?q=related:szQBZWC0-gwJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"L Peng, Z Zeng, K Li, Y Liu, Y Lan, H Yan","Regiodivergent catalytic asymmetric dearomative cycloaddition of bicyclic heteroaromatics",2023,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adg1645","https://scholar.google.com/scholar?cites=6005928799590877121&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 19:25:37","","10.1126/sciadv.adg1645","","",,,,,5,2.50,1,6,2,"… (B) The heats of hydrogenation of several sites in benzofuran. (… The subsequent elimination-rearomatization sequence under … Density functional theory (DFT) calculations were …","https://www.science.org/doi/full/10.1126/sciadv.adg1645","https://scholar.google.com/scholar?q=related:wQfnJWxYWVMJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
100,"Y Zhang, B Huang, G Luo, T Sun, Y Feng, Y Wang, ...","Atomically deviated Pd-Te nanoplates boost methanol-tolerant fuel cells",2020,"… advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.aba9731","https://scholar.google.com/scholar?cites=10545592494576456953&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 19:25:37","","10.1126/sciadv.aba9731","","",,,,,100,20.00,14,7,5,"… of O 2 while eliminating chemisorption of the poisoning species … 1 (A and B), the HPs are the dominant products with a yield … spin-polarized density functional theory (DFT) computations …","https://www.science.org/doi/full/10.1126/sciadv.aba9731","https://scholar.google.com/scholar?q=related:-VRBOYB4WZIJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Zhang, M Liu, W Zhang, C Guo","Enantioselective electrochemical nickel-catalyzed vinylogous radical reactions",2025,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adu5594","",11,"2025-05-14 19:25:37","","10.1126/sciadv.adu5594","","",,,,,0,0.00,0,4,1,"… Initial density functional theory calculations revealed that Fukui … (B) Evaluation of redox mediators to oxidize Lewis acid–… producing radical intermediates, eliminating the requirement for …","https://www.science.org/doi/pdf/10.1126/sciadv.adu5594","https://scholar.google.com/scholar?q=related:zBZcKHd2M7AJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
88,"…, X Shen, B Chen, Y Sun, J Xiang, H Liu, B Han","Selective valorization of lignin to phenol by direct transformation of Csp2–Csp3 and C–O bonds",2020,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abd1951","https://scholar.google.com/scholar?cites=17138327810113186236&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-14 19:25:37","","10.1126/sciadv.abd1951","","",,,,,88,17.60,13,7,5,"… All reaction results in (A) and (B) are the averages of the … , we performed density functional theory (DFT) studies of the … and eliminated rapidly in the reaction, agreeing with the DFT …","https://www.science.org/doi/full/10.1126/sciadv.abd1951","https://scholar.google.com/scholar?q=related:vKn-LVeS1-0J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"N Yang, C Shen, G Zhang, F Gan, Y Ding, ...","Helicity-modulated remote CH functionalization",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adg6680","https://scholar.google.com/scholar?cites=4943127482256146921&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-14 19:25:37","","10.1126/sciadv.adg6680","","",,,,,3,1.50,1,6,2,"… Density functional theory calculations of the thermal energies (ΔH and ΔG) and the NCI map and IRI map were performed at the M06-2X-D3/def2-TZVPD//PBE0-D3(BJ)/def2-SVP level …","https://www.science.org/doi/full/10.1126/sciadv.adg6680","https://scholar.google.com/scholar?q=related:6UFZW0GEmUQJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"X Zhong, S Liu, W You","A general and mild synthetic method for fused-ring electronic acceptors",2024,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adp8150","https://scholar.google.com/scholar?cites=8701961986827678788&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-14 19:25:37","","10.1126/sciadv.adp8150","","",,,,,1,1.00,0,3,1,"… formation of alkene (via E1 elimination) rather than the desired … to the hydroxyl groups, β elimination (from the adjacent C─H) … Density functional theory calculation (fig. S2) supports this …","https://www.science.org/doi/full/10.1126/sciadv.adp8150","https://scholar.google.com/scholar?q=related:RPTQcVKUw3gJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"G Kemper, M Hölscher, W Leitner","Pd(II)-catalyzed carboxylation of aromatic C─H bonds with CO2",2023,"Science Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adf2966","https://scholar.google.com/scholar?cites=18311402304023954753&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-14 19:25:37","","10.1126/sciadv.adf2966","","",,,,,10,5.00,3,3,2,"… (A and B) Selected previously (A) and here (B) reported … Density functional theory (DFT) calculations confirmed the … oxidative addition/reductive elimination pathway. The active catalyst …","https://www.science.org/doi/full/10.1126/sciadv.adf2966","https://scholar.google.com/scholar?q=related:QQWepmArH_4J:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"RE McNamee, N Frank, KE Christensen, F Duarte, ...","Taming nonclassical carbocations to control small ring reactivity",2024,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adj9695","https://scholar.google.com/scholar?cites=14556655615151733565&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-05-14 19:25:37","","10.1126/sciadv.adj9695","","",,,,,13,13.00,3,5,1,"… For example, the solvolysis of cyclobutyl or cyclopropylmethyl derivatives generates up to four products on nucleophilic capture or elimination via cyclopropylcarbinyl and …","https://www.science.org/doi/full/10.1126/sciadv.adj9695","https://scholar.google.com/scholar?q=related:PXvQUiihA8oJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"J Wang, JH Marks, AM Turner, AM Mebel, ...","Gas-phase detection of oxirene",2023,"… Advances","science.org","https://www.science.org/doi/abs/10.1126/sciadv.adg1134","https://scholar.google.com/scholar?cites=13839981692048676141&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-05-14 19:25:37","","10.1126/sciadv.adg1134","","",,,,,5,2.50,1,5,2,"… one step via the elimination of molecular hydrogen through a … All density functional theory (DFT) computations were carried … frequency computations, initially the DFT PBE0 functional (58…","https://www.science.org/doi/full/10.1126/sciadv.adg1134","https://scholar.google.com/scholar?q=related:LZV4hAV-EcAJ:scholar.google.com/&scioq=source:%22science+advances%22+%222375+2548%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
