Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"JA Rodriguez","Nanoparticles Grown on x and TiO x Activity of CeO",2007,"science","bbs.sciencenet.cn","https://bbs.sciencenet.cn/blog/admin/images/upfiles/20071214125035593482.pdf","",744,"2025-05-14 21:54:45","PDF","","","",,,,,0,0.00,0,1,18,"… (print ISSN 0036-8075; online ISSN 1095-9203) is published … require lengthy and complex activation steps before usage (3). … The DFT calculations for the model TiO2/ Au(111) catalyst …","https://bbs.sciencenet.cn/blog/admin/images/upfiles/20071214125035593482.pdf","https://scholar.google.com/scholar?q=related:tRC1DCWnggIJ:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"MTCOB No","Detection of H",1998,"SCIENCE","Citeseer","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=2d0b553c3f4fda3759a5ceafc16e9a55f1c53ec3","",740,"2025-05-14 21:54:45","PDF","","","",,,,,0,0.00,0,1,27,"… scattering experiments, and density functional theory (DFT) calculations … As a measure of the ability of the surface to activate … The effect of Au on the activation barrier was studied both …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=2d0b553c3f4fda3759a5ceafc16e9a55f1c53ec3","https://scholar.google.com/scholar?q=related:XWLD6_C9yDMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"A Dehydrogenation, A Metathesis, C Gunanathan, ...","Applications of Acceptorless Dehydrogenation and Related Transformations in Chemical Synthesis",2007,"Science","Citeseer","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=eb7b5e71ad094654f42cdf2375140c2632e40e71","",743,"2025-05-14 21:54:45","PDF","","","",,,,,0,0.00,0,4,18,"… in C−H activation, resulted in catalysts 1a and 1b being the most effective complexes for AD of alkanes. … Density functional theory (DFT) calculations carried out by other groups on our …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=eb7b5e71ad094654f42cdf2375140c2632e40e71","https://scholar.google.com/scholar?q=related:dy0I1LMFnYwJ:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"IG Rau","metal atom d Reaching the magnetic anisotropy limit of a 3",2014,"science","intermag.mat.ethz.ch","https://intermag.mat.ethz.ch/content/dam/ethz/special-interest/matl/intermag-dam/Publications/Papers/2014/Science344_988.pdf","",745,"2025-05-14 21:54:45","PDF","","","",,,,,0,0.00,0,1,11,"… (print ISSN 0036-8075; online ISSN 1095-9203) is published … of GluN1 and GluN2, which activate upon concurrent binding of … For single point DFT+U calculations we used Gaussian …","https://intermag.mat.ethz.ch/content/dam/ethz/special-interest/matl/intermag-dam/Publications/Papers/2014/Science344_988.pdf","https://scholar.google.com/scholar?q=related:bfhbIvLmx0gJ:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"AFN Solid","Binding Within an 2 Direct Observation and Quantification of CO",2010,"science","researchgate.net","https://www.researchgate.net/profile/Saman_Alavi/publication/47621653_Direct_Observation_and_Quantification_of_CO2_Binding_Within_an_Amine-Functionalized_Nanoporous_Solid/links/02e7e536a9216d7d62000000.pdf","",738,"2025-05-14 21:54:45","PDF","","","",,,,,0,0.00,0,1,15,"… (print ISSN 0036-8075; online ISSN 1095-9203) is published … the effectiveness of the activation procedure and the stability … corrected (32) periodic DFT calculations and classical GCMC …","https://www.researchgate.net/profile/Saman_Alavi/publication/47621653_Direct_Observation_and_Quantification_of_CO2_Binding_Within_an_Amine-Functionalized_Nanoporous_Solid/links/02e7e536a9216d7d62000000.pdf","https://scholar.google.com/scholar?q=related:CLR2vWbnON0J:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"E Rep","31. MA Carpenter et al., J. Biol. Chem. 287, 34801–34808 (2012). 32. P. Turelli, B. Mangeat, S. Jost, S. Vianin, D. Trono, Science 303, 1829 (2004). 33. CT Bock …",2004,"Science","researchgate.net","https://www.researchgate.net/profile/Qingming-Deng/publication/260809613_Free-Standing_Single-Atom-Thick_Iron_Membranes_Suspended_in_Graphene_Pores/links/54f83a890cf210398e94c331/Free-Standing-Single-Atom-Thick-Iron-Membranes-Suspended-in-Graphene-Pores.pdf","",741,"2025-05-14 21:54:45","PDF","","","",,,,,0,0.00,0,1,21,"… values determined in our previous DFT calculations, we find the … We originally proposed an electrophilic CH activation … (print ISSN 0036-8075; online ISSN 1095-9203) is published …","https://www.researchgate.net/profile/Qingming-Deng/publication/260809613_Free-Standing_Single-Atom-Thick_Iron_Membranes_Suspended_in_Graphene_Pores/links/54f83a890cf210398e94c331/Free-Standing-Single-Atom-Thick-Iron-Membranes-Suspended-in-Graphene-Pores.pdf","https://scholar.google.com/scholar?q=related:UgFhPd9ux2MJ:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"APE Surface","Dynamics of the Reaction of Methane with Chlorine Atom on an",1995,"Science","sci.u-szeged.hu","http://www2.sci.u-szeged.hu/czako/papers/Czako_Science_334_343_2011.pdf","",742,"2025-05-14 21:54:45","PDF","","","",,,,,0,0.00,0,1,30,"… (print ISSN 0036-8075; online ISSN 1095-9203) is published weekly, except the last week … experimental finding that CH-stretch excitation is no more effective in activating this late-…","http://www2.sci.u-szeged.hu/czako/papers/Czako_Science_334_343_2011.pdf","https://scholar.google.com/scholar?q=related:L0ovJgwp-8wJ:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"RM Jay, A Banerjee, T Leitner, RP Wang, J Harich, ...","Tracking C–H activation with orbital resolution",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adf8042","https://scholar.google.com/scholar?cites=3605764579842475660&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 21:54:45","","10.1126/science.adf8042","","",,,,,29,14.50,5,6,2,"… C–H activation (17), consistent with our results. Finally, LUMO+3 in the σ-complex constitutes the octane C–H σ… Becker, Efficient, approximate and parallel Hartree-Fock and hybrid DFT …","https://www.science.org/doi/full/10.1126/science.adf8042","https://scholar.google.com/scholar?q=related:jEYy_cc_CjIJ:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
726,"TG Saint-Denis, RY Zhu, G Chen, QF Wu, JQ Yu","Enantioselective C(sp3)‒H bond activation by chiral transition metal catalysts",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aao4798","https://scholar.google.com/scholar?cites=13553063887418703243&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 21:54:45","","10.1126/science.aao4798","","",,,,,726,103.71,145,5,7,"… H nuclear magnetic resonance, mass spectroscopy, and density functional theory computational studies elucidated the mechanism of stereoinduction in these reactions (25) and have …","https://www.science.org/doi/pdf/10.1126/science.aao4798","https://scholar.google.com/scholar?q=related:iz3EY8wnFrwJ:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
160,"W Huang, AC Johnston-Peck, T Wolter, WCD Yang, ...","Steam-created grain boundaries for methane C–H activation in palladium catalysts",2021,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abj5291","https://scholar.google.com/scholar?cites=5170845296863287615&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 21:54:45","","10.1126/science.abj5291","","",,,,,160,40.00,32,5,4,"… DFT results for PdO(101) and PdO(110) together demonstrate that a strained surface causes a higher C–H activation … Our DFT results suggest that the enhanced activity for the steam-…","https://www.science.org/doi/full/10.1126/science.abj5291","https://scholar.google.com/scholar?q=related:PxkJtGaIwkcJ:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
325,"G Chen, W Gong, Z Zhuang, MS Andrä, YQ Chen, ...","Ligand-accelerated enantioselective methylene C(sp3)–H bond activation",2016,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aaf4434","https://scholar.google.com/scholar?cites=18402621281937445209&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 21:54:45","","10.1126/science.aaf4434","","",,,,,325,36.11,54,6,9,"… metalation-deprotonation step with density functional theory (DFT), using ligand L34 and substrate 1. The optimized structures and relative free energies of the most favorable transition …","https://pmc.ncbi.nlm.nih.gov/articles/PMC5516954/pdf/nihms868603.pdf","https://scholar.google.com/scholar?q=related:WdHs_Y0-Y_8J:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
440,"MA Légaré, MA Courtemanche, É Rochette, ...","Metal-free catalytic CH bond activation and borylation of heteroarenes",2015,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aab3591","https://scholar.google.com/scholar?cites=16353268948202207821&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 21:54:45","","10.1126/science.aab3591","","",,,,,440,44.00,110,4,10,"… to activate because … DFT results suggest that the CH activation transition state energies of these molecules are, respectively, only 3.3 and 6.7 kcal mol −1 higher than for the activation of …","","https://scholar.google.com/scholar?q=related:TboEDnd78uIJ:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"JB Roque, AM Shimozono, TP Pabst, G Hierlmeier, ...","Kinetic and thermodynamic control of C(sp2)–H activation enables site-selective borylation",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adj6527","https://scholar.google.com/scholar?cites=604356761365124905&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 21:54:45","","10.1126/science.adj6527","","",,,,,24,12.00,5,5,2,"… The free energies of the fluoroaryl isomers were calculated with density functional theory (DFT) using the ωB97XD functional and the def2-TZVP basis set and corroborate the …","https://roque.princeton.edu/publications/","https://scholar.google.com/scholar?q=related:KRfGvkUbYwgJ:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
219,"N Tsuji, JL Kennemur, T Buyck, S Lee, S Prévost, ...","Activation of olefins via asymmetric Brønsted acid catalysis",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aaq0445","https://scholar.google.com/scholar?cites=17900700285478993473&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 21:54:45","","10.1126/science.aaq0445","","",,,,,219,31.29,37,6,7,"… Toward gaining more insight into the reaction mechanism and the origin of enantioselectivity, we performed density functional theory (DFT) studies (see the supplementary materials for …","https://www.science.org/doi/full/10.1126/science.aaq0445","https://scholar.google.com/scholar?q=related:QX61UhEQbPgJ:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
135,"L Xu, KG Papanikolaou, BAJ Lechner, L Je, ...","Formation of active sites on transition metals through reaction-driven migration of surface atoms",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.add0089","https://scholar.google.com/scholar?cites=11758186427085533880&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 21:54:45","","10.1126/science.add0089","","",,,,,135,67.50,27,5,2,"… We used density functional theory calculations to elucidate the … activation energy barrier for atom ejection is very small (<0.02 eV). Total energies were evaluated by using periodic DFT …","https://www.science.org/doi/full/10.1126/science.add0089","https://scholar.google.com/scholar?q=related:uLJABUJ4LaMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Z Cheng, K Huang, C Wang, L Chen, X Li, Z Hu, ...","Catalytic remodeling of complex alkenes to oxonitriles through C= C double bond deconstruction",2025,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adq8918","https://scholar.google.com/scholar?cites=3047739399324854163&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 21:54:45","","10.1126/science.adq8918","","",,,,,1,1.00,0,7,1,"… should possess the ability to initiate and activate azido radical and should avoid acting as a … Density functional theory (DFT) calculations suggest that the reaction proceeds through a …","https://www.researchgate.net/profile/Changjiu-Xia-2/publication/389632892_Catalytic_remodeling_of_complex_alkenes_to_oxonitriles_through_CC_double_bond_deconstruction/links/67efe0489b1c6c48777801ff/Catalytic-remodeling-of-complex-alkenes-to-oxonitriles-through-CC-double-bond-deconstruction.pdf","https://scholar.google.com/scholar?q=related:k2e4CNa-SyoJ:scholar.google.com/&scioq=source:science+%221095+9203%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
