Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"J Sun, Á Péter, J He, J Tsien, H Zhang, DA Cagan, ...","Sulfonyl hydrazides as a general redox-neutral platform for radical cross-coupling",2025,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adu6406?casa_token=29obdWpvXXkAAAAA:yVYPcVT-NUwyFv2bvRtwYqmvpuK7MbiC1py_lDmFRt4hJwL2hfGauHTYpchZrfF970T7hrvxjG91rQ","https://scholar.google.com/scholar?cites=14641574751583405476&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 21:30:37","","10.1126/science.adu6406","","",,,,,3,3.00,0,7,1,"… This hypothesis is supported by density functional theory (DFT) analysis conducted in ORCA 6 (… Indeed, DFT analysis finds that liberation of dinitrogen and formation of the reduced Ni(I) …","https://www.science.org/doi/pdf/10.1126/science.adu6406?casa_token=iVWo1Oey0hkAAAAA:d1E3omMA9v_J-ruVkbLyce2-loo68O2eYfb0wPBkeb1mNWrd3ulIh4eClYMvXJax1WrA7DUq7DReuA","https://scholar.google.com/scholar?q=related:pAV1hKlSMcsJ:scholar.google.com/&scioq=source:science+%221095+9203%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"LF Deng, Y Wang, S Xu, A Shen, H Zhu, S Zhang, ...","Palladium catalysis enables cross-coupling–like SN2-glycosylation of phenols",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adk1111","https://scholar.google.com/scholar?cites=11510217172690772214&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 21:30:37","","10.1126/science.adk1111","","",,,,,32,16.00,5,7,2,"… We next performed DFT calculations (B3LYP-D3/def2-tzvp/SMD(toluene)//B3LYP-D3/def2-svp) employing 45 and phenoxide 46 (or cesium phenoxide, see SM section 9) as model …","https://www.science.org/doi/pdf/10.1126/science.adk1111","https://scholar.google.com/scholar?q=related:9qDV6YiBvJ8J:scholar.google.com/&scioq=source:science+%221095+9203%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"CP Delaney, E Lin, Q Huang, IF Yu, G Rao, L Tao, ...","Cross-coupling by a noncanonical mechanism involving the addition of aryl halide to Cu (II)",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adi9226","https://scholar.google.com/scholar?cites=15279236205869015728&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 21:30:37","","10.1126/science.adi9226","","",,,,,31,15.50,4,7,2,"… We assessed by density functional theory (DFT) calculations the mechanism by which a Cu(II) species could … A full account of our DFT studies is included in the supplementary materials. …","https://www.science.org/doi/pdf/10.1126/science.adi9226","https://scholar.google.com/scholar?q=related:sCIcWmDACtQJ:scholar.google.com/&scioq=source:science+%221095+9203%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"SHM Kaster, L Zhu, WL Lyon, R Ma, SE Ammann, ...","Palladium-catalyzed cross-coupling of alcohols with olefins by positional tuning of a counteranion",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.ado8027?casa_token=Edw0L8hSDhkAAAAA:fp0uNOccInoJ7AAhG_gxCtiPeJsa-osneJmgLukqxmUQmfI29caDvEOUaJEDSDuVO4k6czj_Nz-x_Q&casa_token=5s6l0GuWsP4AAAAA:3vaBJ4Yu1HH3nUneQ-SL4EQxuPpKJuWu54CYugUCIEUIO45Kvisrih154brPx57Xgw-zlKObfKPmEA","https://scholar.google.com/scholar?cites=1433865727605994208&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 21:30:37","","10.1126/science.ado8027","","",,,,,9,9.00,2,6,1,"… In addition to enhanced steric access, our DFT and 19 F- 1 H HOESY experiments suggest that … With trans-SOX-L1 where DFT and HOESY experiments show that the counteranion is …","https://www.science.org/doi/pdf/10.1126/science.ado8027?casa_token=RX3er8YJPyIAAAAA:VHsxVQ-1C-lGQCN7JtpZT2LVQ9NWQkXjzdE-HYmiUGzySPKzg-fES2U6Cl_TLy8j3bm10aAjA2JlbQ","https://scholar.google.com/scholar?q=related:4PKPRUgd5hMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
199,"MC Hilton, X Zhang, BT Boyle, JV Alegre-Requena, ...","Heterobiaryl synthesis by contractive C–C coupling via P (V) intermediates",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aas8961","https://scholar.google.com/scholar?cites=11924486716364749656&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 21:30:37","","10.1126/science.aas8961","","",,,,,199,28.43,40,5,7,"… -pyridine was also synthesized by phosphorus ligand coupling (4g) (39). Examples of 2,2′-systems, 4h and 4i, showcase an alternative to Suzuki couplings, where 2-pyridyl and …","https://www.science.org/doi/pdf/10.1126/science.aas8961","https://scholar.google.com/scholar?q=related:WPvIaX1JfKUJ:scholar.google.com/&scioq=source:science+%221095+9203%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Z Cheng, K Huang, C Wang, L Chen, X Li, Z Hu, ...","Catalytic remodeling of complex alkenes to oxonitriles through C= C double bond deconstruction",2025,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adq8918?casa_token=L8ckMZBnHD4AAAAA:HSJP7xBmH_ULJPgsgCMhgPZiPmYOVO7tiQzlaWiENMKnul8aemvQlioFI4SCuKSAW7fsKa7PRyXoWQ&casa_token=lfinlurkS_EAAAAA:GggES4j_eBR9hCwW-av_y60S0-RB0d6IlSxaDLfLEInjwq3xoRPNiU6BJaUNxZhKlxpGjw-hiqIP8A","https://scholar.google.com/scholar?cites=3047739399324854163&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 21:30:37","","10.1126/science.adq8918","","",,,,,1,1.00,0,7,1,"… Density functional theory (DFT) calculations suggest that the reaction proceeds through a crucial Cu-assisted O–O bond cleavage step (Fig. 5G) (50). The INT2 was generated through …","https://www.science.org/doi/pdf/10.1126/science.adq8918?casa_token=9yPM7Kueo-IAAAAA:jydpQUjHpXJGxRtvjVdIcO3nsS0gkz7KCe-hsItb5jq9q8PR3zFrx1Hr-xphfPV96KAJkCeyd2Gr9A","https://scholar.google.com/scholar?q=related:k2e4CNa-SyoJ:scholar.google.com/&scioq=source:science+%221095+9203%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
78,"L Liu, MC Aguilera, W Lee, CR Youshaw, ML Neidig, ...","General method for iron-catalyzed multicomponent radical cascades–cross-couplings",2021,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abj6005","https://scholar.google.com/scholar?cites=6259998511612085138&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 21:30:37","","10.1126/science.abj6005","","",,,,,78,19.50,13,6,4,"… Last, to gain insight into the nature of the C–C bond formation, we turned to DFT calculations, which supported initial radical formation from an intermediate-spin distorted square planar …","https://www.science.org/doi/pdf/10.1126/science.abj6005","https://scholar.google.com/scholar?q=related:ksMcu3r731YJ:scholar.google.com/&scioq=source:science+%221095+9203%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
193,"SH Newman-Stonebraker, SR Smith, JE Borowski, ...","Univariate classification of phosphine ligation state and reactivity in cross-coupling catalysis",2021,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abj4213","https://scholar.google.com/scholar?cites=7924868232024025709&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 21:30:37","","10.1126/science.abj4213","","",,,,,193,48.25,48,4,4,"… (C) DFT-calculated dissociation energies and bond lengths for L 2 Ni(benzaldehyde) complexes. Ni–P bond length was calculated from the highlighted bond. DinoPhos-type ligands (…","https://www.science.org/doi/pdf/10.1126/science.abj4213","https://scholar.google.com/scholar?q=related:beqRVavJ-m0J:scholar.google.com/&scioq=source:science+%221095+9203%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"Z He, JA Moreno, M Swain, J Wu, O Kwon","Aminodealkenylation: Ozonolysis and copper catalysis convert C(sp3)–C(sp2) bonds to C(sp3)–N bonds",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adi4758","https://scholar.google.com/scholar?cites=8566691668983738544&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 21:30:37","","10.1126/science.adi4758","","",,,,,26,13.00,5,5,2,"… 3 )–C(sp 2 ) σ bond–rupturing cross-coupling reactions for the construction of new C(sp 3 )–… Furthermore, we have coupled abundantly available terpenes and terpenoids with nitrogen …","https://www.science.org/doi/pdf/10.1126/science.adi4758","https://scholar.google.com/scholar?q=related:sPASRq8A43YJ:scholar.google.com/&scioq=source:science+%221095+9203%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"ER Wearing, YC Yeh, GG Terrones, SG Parikh, ...","Visible light–mediated aza Paternò–Büchi reaction of acyclic oximes and alkenes to azetidines",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adj6771?casa_token=itsTebnAfFMAAAAA:AZxCbuoq8IwM782cvMcWuXBgmyLl0Qz1W23ITlp-WsZK16B08PscsQj9pczYvcZepZmQOS6_9AfRlg&casa_token=OJjaUg5-EqsAAAAA:AbwwhUqrvRmmtxr7IAphc-ptLcuc_C0U6-xG9_tMinAAtP7CFacVIr8oRjA7ZvGG3zH_3QMATZbU6A","https://scholar.google.com/scholar?cites=1374481926778404316&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 21:30:37","","10.1126/science.adj6771","","",,,,,21,21.00,4,5,1,"… Density functional theory computations reveal that a competition between the desired [2+2]-cycloaddition and alkene dimerization determines the success of the reaction. Frontier orbital …","https://www.science.org/doi/pdf/10.1126/science.adj6771?casa_token=tcZ5wwUEleYAAAAA:lYGaUr3oLv9Y8ihe5P67077vucX3UvP8psJT-KngGfaqhk5F1HDqKlrprSF0DWks8R-zWdf9LOvl-w","https://scholar.google.com/scholar?q=related:3D3SswckExMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
