Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"JA Rodriguez","Nanoparticles Grown on x and TiO x Activity of CeO",2007,"science","bbs.sciencenet.cn","https://bbs.sciencenet.cn/blog/admin/images/upfiles/20071214125035593482.pdf","",541,"2025-05-14 21:35:40","PDF","","","",,,,,0,0.00,0,1,18,"… (print ISSN 0036-8075; online ISSN 1095-9203) is published weekly, except the last week … The DFT calculations for the model TiO2/ Au(111) catalyst show a system that can readily …","https://bbs.sciencenet.cn/blog/admin/images/upfiles/20071214125035593482.pdf","https://scholar.google.com/scholar?q=related:tRC1DCWnggIJ:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"A Dehydrogenation, A Metathesis, C Gunanathan, ...","Applications of Acceptorless Dehydrogenation and Related Transformations in Chemical Synthesis",2007,"Science","Citeseer","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=eb7b5e71ad094654f42cdf2375140c2632e40e71","",549,"2025-05-14 21:35:40","PDF","","","",,,,,0,0.00,0,4,18,"… in the field of catalysis by transition metal complexes. … AD reactions catalyzed by soluble transition metal complexes … Density functional theory (DFT) calculations carried out by …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=eb7b5e71ad094654f42cdf2375140c2632e40e71","https://scholar.google.com/scholar?q=related:dy0I1LMFnYwJ:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"MTCOB No","Detection of H",1998,"SCIENCE","Citeseer","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=2d0b553c3f4fda3759a5ceafc16e9a55f1c53ec3","",554,"2025-05-14 21:35:40","PDF","","","",,,,,0,0.00,0,1,27,"… experiments, and density functional theory (DFT) calculations that Au alloyed into the surface layer of a Ni catalyst should increase the effectiveness of the catalyst in steam reforming. In …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=2d0b553c3f4fda3759a5ceafc16e9a55f1c53ec3","https://scholar.google.com/scholar?q=related:XWLD6_C9yDMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"MH Farstad, D Ragazzon, H Grönbeck, ...","TiOx thin films grown on Pd (100) and Pd (111) by chemical vapor deposition",2016,"Surface Science","Elsevier","https://www.sciencedirect.com/science/article/pii/S0039602816000510","https://scholar.google.com/scholar?cites=18231871851530429215&as_sdt=2005&sciodt=0,5&hl=en",551,"2025-05-14 21:35:40","","","","",,,,,14,1.56,4,4,9,"… a metal can have a catalytic activity comparable to and even superior to the more traditional metal/oxide catalyst … From our DFT calculations, we have determined the relative stability of …","","https://scholar.google.com/scholar?q=related:HyPqNNqeBP0J:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"X Yang, Y Shen, J Liu, X Meng, X Gao, L Lv, ...","Significantly enhanced photocatalytic performance of the N-doped GeP3 monolayer: a first-principles study",2021,"… Surface Science","Elsevier","https://www.sciencedirect.com/science/article/pii/S0169433221016950","https://scholar.google.com/scholar?cites=2048377231546658590&as_sdt=2005&sciodt=0,5&hl=en",558,"2025-05-14 21:35:40","","","","",,,,,8,2.00,1,7,4,"The GeP 3 monolayer has been theoretically calculated as a potential photocatalytic material since its high carrier mobility. However, the narrow band gap (0.55 eV) results in its actual …","","https://scholar.google.com/scholar?q=related:Hi9WRD1MbRwJ:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"AFN Solid","Binding Within an 2 Direct Observation and Quantification of CO",2010,"science","researchgate.net","https://www.researchgate.net/profile/Saman_Alavi/publication/47621653_Direct_Observation_and_Quantification_of_CO2_Binding_Within_an_Amine-Functionalized_Nanoporous_Solid/links/02e7e536a9216d7d62000000.pdf","",553,"2025-05-14 21:35:40","PDF","","","",,,,,0,0.00,0,1,15,"… 8075; online ISSN 1095-9203) is … DFT calculations and classical GCMC simulations and MD simulations (33), in which the partial charge parameters were derived from the periodic DFT …","https://www.researchgate.net/profile/Saman_Alavi/publication/47621653_Direct_Observation_and_Quantification_of_CO2_Binding_Within_an_Amine-Functionalized_Nanoporous_Solid/links/02e7e536a9216d7d62000000.pdf","https://scholar.google.com/scholar?q=related:CLR2vWbnON0J:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"E Rep","31. MA Carpenter et al., J. Biol. Chem. 287, 34801–34808 (2012). 32. P. Turelli, B. Mangeat, S. Jost, S. Vianin, D. Trono, Science 303, 1829 (2004). 33. CT Bock …",2004,"Science","researchgate.net","https://www.researchgate.net/profile/Qingming-Deng/publication/260809613_Free-Standing_Single-Atom-Thick_Iron_Membranes_Suspended_in_Graphene_Pores/links/54f83a890cf210398e94c331/Free-Standing-Single-Atom-Thick-Iron-Membranes-Suspended-in-Graphene-Pores.pdf","",555,"2025-05-14 21:35:40","PDF","","","",,,,,0,0.00,0,1,21,"… determined in our previous DFT calculations, we find the … through spin-polarized DFT calculations using the experimentally … (print ISSN 0036-8075; online ISSN 1095-9203) is …","https://www.researchgate.net/profile/Qingming-Deng/publication/260809613_Free-Standing_Single-Atom-Thick_Iron_Membranes_Suspended_in_Graphene_Pores/links/54f83a890cf210398e94c331/Free-Standing-Single-Atom-Thick-Iron-Membranes-Suspended-in-Graphene-Pores.pdf","https://scholar.google.com/scholar?q=related:UgFhPd9ux2MJ:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"E Exceed","Based Redox− Porphyrin-Sensitized Solar Cells with Cobalt (II/III)",2011,"science","researchgate.net","https://www.researchgate.net/profile/Chenyi-Yi/publication/51769846_Porphyrin-Sensitized_Solar_Cells_with_Cobalt_IIIII-Based_Redox_Electrolyte_Exceed_12_Percent_Efficiency/links/580e01b608aebfb68a4ffdc1/Porphyrin-Sensitized-Solar-Cells-with-Cobalt-II-III-Based-Redox-Electrolyte-Exceed-12-Percent-Efficiency.pdf","",556,"2025-05-14 21:35:40","PDF","","","",,,,,0,0.00,0,1,14,"… (print ISSN 0036-8075; online ISSN 1095-9203) is published … -o-C8 porphyrin using density functional theory (DFT) at the … could ultimately assist rational catalyst optimization, we have …","https://www.researchgate.net/profile/Chenyi-Yi/publication/51769846_Porphyrin-Sensitized_Solar_Cells_with_Cobalt_IIIII-Based_Redox_Electrolyte_Exceed_12_Percent_Efficiency/links/580e01b608aebfb68a4ffdc1/Porphyrin-Sensitized-Solar-Cells-with-Cobalt-II-III-Based-Redox-Electrolyte-Exceed-12-Percent-Efficiency.pdf","https://scholar.google.com/scholar?q=related:ZOBgT0DP2hkJ:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
135,"L Xu, KG Papanikolaou, BAJ Lechner, L Je, ...","Formation of active sites on transition metals through reaction-driven migration of surface atoms",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.add0089","https://scholar.google.com/scholar?cites=11758186427085533880&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 21:35:40","","10.1126/science.add0089","","",,,,,135,67.50,27,5,2,"… We used density functional theory calculations to elucidate … of local defect structures on metal catalyst surfaces, it is not … of active sites on metal NPs under catalytic reaction conditions. …","https://www.science.org/doi/pdf/10.1126/science.add0089","https://scholar.google.com/scholar?q=related:uLJABUJ4LaMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
726,"TG Saint-Denis, RY Zhu, G Chen, QF Wu, JQ Yu","Enantioselective C(sp3)‒H bond activation by chiral transition metal catalysts",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aao4798","https://scholar.google.com/scholar?cites=13553063887418703243&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 21:35:40","","10.1126/science.aao4798","","",,,,,726,103.71,145,5,7,"… )–H bonds via transition metal catalysis, with an emphasis on key … of C 2 -symmetric ligands in transition metal catalysis (24) and … , and density functional theory computational studies …","https://www.science.org/doi/pdf/10.1126/science.aao4798","https://scholar.google.com/scholar?q=related:iz3EY8wnFrwJ:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
508,"S Hu, WX Li","Sabatier principle of metal-support interaction for design of ultrastable metal nanocatalysts",2021,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abi9828","https://scholar.google.com/scholar?cites=8808140924831959112&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 21:35:40","","10.1126/science.abi9828","","",,,,,508,127.00,254,2,4,"… , whose E bs and E ds were calculated using density functional theory (DFT). For most of the … , which is crucial for subnanometer metal clusters and high-temperature catalytic reactions, …","https://www.science.org/doi/pdf/10.1126/science.abi9828","https://scholar.google.com/scholar?q=related:SIgw7IDNPHoJ:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Z Cheng, K Huang, C Wang, L Chen, X Li, Z Hu, ...","Catalytic remodeling of complex alkenes to oxonitriles through C= C double bond deconstruction",2025,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adq8918","https://scholar.google.com/scholar?cites=3047739399324854163&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 21:35:40","","10.1126/science.adq8918","","",,,,,1,1.00,0,7,1,"… Density functional theory (DFT) calculations suggest that the reaction proceeds through a crucial Cu-assisted O–O bond cleavage step (Fig. 5G) (50). The INT2 was generated through …","https://www.researchgate.net/profile/Changjiu-Xia-2/publication/389632892_Catalytic_remodeling_of_complex_alkenes_to_oxonitriles_through_CC_double_bond_deconstruction/links/67efe0489b1c6c48777801ff/Catalytic-remodeling-of-complex-alkenes-to-oxonitriles-through-CC-double-bond-deconstruction.pdf","https://scholar.google.com/scholar?q=related:k2e4CNa-SyoJ:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"T Wang, J Hu, R Ouyang, Y Wang, Y Huang, S Hu, ...","Nature of metal-support interaction for metal catalysts on oxide supports",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adp6034","https://scholar.google.com/scholar?cites=3921979247051989642&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 21:35:40","","10.1126/science.adp6034","","",,,,,51,51.00,7,7,1,"… However, the MMI term distinguishes the MSI of a metal catalyst on different metal oxides, … metal atoms on oxides could be described directly by Q(MO) and Q(MM′). We performed DFT …","https://tcc.ustc.edu.cn/_upload/article/files/d6/8a/1bb5c1c549b9ab647351aba9da47/c97af7e0-67fb-45b9-949f-427c100f5e0f.pdf","https://scholar.google.com/scholar?q=related:iuL8fFirbTYJ:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
219,"N Tsuji, JL Kennemur, T Buyck, S Lee, S Prévost, ...","Activation of olefins via asymmetric Brønsted acid catalysis",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aaq0445","https://scholar.google.com/scholar?cites=17900700285478993473&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 21:35:40","","10.1126/science.aaq0445","","",,,,,219,31.29,37,6,7,"… Toward gaining more insight into the reaction mechanism and the origin of enantioselectivity, we performed density functional theory (DFT) studies (see the supplementary materials for …","https://www.science.org/doi/pdf/10.1126/science.aaq0445","https://scholar.google.com/scholar?q=related:QX61UhEQbPgJ:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"C Hu, XF Wang, J Li, XY Chang, LL Liu","A stable rhodium-coordinated carbene with a σ0π2 electronic configuration",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adk6533","https://scholar.google.com/scholar?cites=9858736330793234039&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 21:35:40","","10.1126/science.adk6533","","",,,,,30,30.00,6,5,1,"… The solid-state structure of 4 is in line with the findings from our DFT calculations performed at the B3LYP(D3)/def2-SVP level (table S8). These calculations predict that 4 has a singlet …","","https://scholar.google.com/scholar?q=related:dy4rg3VE0YgJ:scholar.google.com/&scioq=source:science+%221095+9203%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
