Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
30,"C Hu, XF Wang, J Li, XY Chang, LL Liu","A stable rhodium-coordinated carbene with a σ0π2 electronic configuration",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adk6533?casa_token=CW877ItNBAUAAAAA:Il44p4aSyF0-MTxC822zyJlwAogP_88Xr1s0uxH9qjAmtGzf0dGV30WRo0jqb-erRV7ZArE2ROKD0A","https://scholar.google.com/scholar?cites=9858736330793234039&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 21:56:45","","10.1126/science.adk6533","","",,,,,30,30.00,6,5,1,"… The solid-state structure of 4 is in line with the findings from our DFT calculations performed at the B3LYP(D3)/def2-SVP level (table S8). These calculations predict that 4 has a singlet …","https://www.science.org/doi/full/10.1126/science.adk6533?casa_token=RH3HbGPP00EAAAAA:YdsSiX17eKVZsuYZZBwNhbf0icECBO56NdGVYhWwmLtaj6Il_9KksGDAiidS1DG3jZLDJfpJnjDqRg","https://scholar.google.com/scholar?q=related:dy4rg3VE0YgJ:scholar.google.com/&scioq=source:science+%221095+9203%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
252,"ML Li, JH Yu, YH Li, SF Zhu, QL Zhou","Highly enantioselective carbene insertion into N–H bonds of aliphatic amines",2019,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aaw9939","https://scholar.google.com/scholar?cites=4823149775522763491&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 21:56:45","","10.1126/science.aaw9939","","",,,,,252,42.00,50,5,6,"… Density functional theory (DFT) calculations indicated that … Tp*Cu•CAT complex using DFT revealed a minimum energy … step was studied computationally by using DFT with the Tp*Cu•…","https://www.science.org/doi/full/10.1126/science.aaw9939","https://scholar.google.com/scholar?q=related:4xKKrCpF70IJ:scholar.google.com/&scioq=source:science+%221095+9203%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
130,"S Popov, B Shao, AL Bagdasarian, TR Benton, L Zou, ...","Teaching an old carbocation new tricks: Intermolecular C–H insertion reactions of vinyl cations",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aat5440","https://scholar.google.com/scholar?cites=9236488620886020252&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 21:56:45","","10.1126/science.aat5440","","",,,,,130,18.57,22,6,7,"… known propensity of substituted cyclic vinyl cations to undergo rapid intramolecular rearrangements (33), we identified prospective cation precursors through density functional theory …","https://www.science.org/doi/full/10.1126/science.aat5440","https://scholar.google.com/scholar?q=related:nFDZs3aZLoAJ:scholar.google.com/&scioq=source:science+%221095+9203%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
113,"MD Levin, TQ Chen, ME Neubig, CM Hong, ...","A catalytic fluoride-rebound mechanism for C(sp3)-CF3 bond formation",2017,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aan1411","https://scholar.google.com/scholar?cites=17296091308431309233&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 21:56:45","","10.1126/science.aan1411","","",,,,,113,14.13,23,5,8,"… proceeding via fluoride abstraction, migratory insertion, and CF reductive elimination to … Although migratory insertion at Au(III) is comparatively rarer, density functional theory (DFT) …","https://www.science.org/doi/full/10.1126/science.aan1411","https://scholar.google.com/scholar?q=related:sfnECWgPCPAJ:scholar.google.com/&scioq=source:science+%221095+9203%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"P Li, E Zheng, G Li, Y Luo, X Huo, S Ma, W Zhang","Stereodivergent access to non-natural α-amino acids via enantio- and Z/E-selective catalysis",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.ado4936?casa_token=eupSB7_DLbUAAAAA:C2IfYPGmAj9Q2OeJwZPhqpsbre-5hygF-En-4nM0kWQJpPxT0To5ergxZaD82y3ZcB67eyJTYaFi7A","https://scholar.google.com/scholar?cites=16053688609445933629&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 21:56:45","","10.1126/science.ado4936","","",,,,,20,20.00,3,7,1,"… First, the migratory insertion process of the allene moiety into the aryl-Pd bond was … that the migratory insertion is the E-selective stereocontrol step. Subsequently, DFT computations for …","https://www.science.org/doi/full/10.1126/science.ado4936?casa_token=Bq15rDwoLpsAAAAA:7fQWpQZJFXmNUxyuQNcPXGuYwLyf8aOgSoGqH_3VfijRxgg9PgC-syfZxD8GYoFIuQbbGfhXXHofJA","https://scholar.google.com/scholar?q=related:PXLC9Lsoyt4J:scholar.google.com/&scioq=source:science+%221095+9203%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
367,"Y Yang, SL Shi, D Niu, P Liu, SL Buchwald","Catalytic asymmetric hydroamination of unactivated internal olefins to aliphatic amines",2015,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aab3753?casa_token=zE7jE1SK7iEAAAAA:mzNlv6Jb2oMvBpl_bhVqEkBGHRhPOkswWZICfRPq2KMB0F8nzR1xzr4h7DHVisVHEh1OfWsakNOkEQ","https://scholar.google.com/scholar?cites=11465584249334643141&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 21:56:45","","10.1126/science.aab3753","","",,,,,367,36.70,73,5,10,"… center and the sluggish migratory insertion usually lead to … β-hydride elimination/migratory insertion steps rapidly convert … system, we performed DFT calculations on the hydrocupration …","https://www.science.org/doi/full/10.1126/science.aab3753?casa_token=VucbQYFgVPIAAAAA:Owd5Qkcl48yY2QhhZfXFKBP3x52abYagqlWJLzByKHiNNbrM-x1uZwvUwFBDWHLiITdcLyxJX3ngMg","https://scholar.google.com/scholar?q=related:xbnnoyDwHZ8J:scholar.google.com/&scioq=source:science+%221095+9203%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
58,"Y Li, Y Li, H Shi, H Wei, H Li, I Funes-Ardoiz, G Yin","Modular access to substituted cyclohexanes with kinetic stereocontrol",2022,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abn9124","https://scholar.google.com/scholar?cites=6284119479450087151&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 21:56:45","","10.1126/science.abn9124","","",,,,,58,19.33,8,7,3,"… To further confirm this effect, density functional theory calculations (see … insertion is favored by 3.7 kcal/mol owing to the large steric hindrance for the trans migratory insertion between …","https://www.science.org/doi/full/10.1126/science.abn9124","https://scholar.google.com/scholar?q=related:7y68Ml-tNVcJ:scholar.google.com/&scioq=source:science+%221095+9203%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
340,"SY Hong, Y Park, Y Hwang, YB Kim, MH Baik, S Chang","Selective formation of γ-lactams via C–H amidation enabled by tailored iridium catalysts",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aap7503","https://scholar.google.com/scholar?cites=15321433248038705155&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 21:56:45","","10.1126/science.aap7503","","",,,,,340,48.57,57,6,7,"… Density functional theory (DFT) calculations of the proposed mechanisms further indicated that the concerted insertion pathway from the singlet Ir-nitrenoid species is energetically more …","https://www.science.org/doi/full/10.1126/science.aap7503","https://scholar.google.com/scholar?q=related:A9g011yqoNQJ:scholar.google.com/&scioq=source:science+%221095+9203%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
136,"YY Zhou, C Uyeda","Catalytic reductive [4+ 1]-cycloadditions of vinylidenes and dienes",2019,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aau0364","https://scholar.google.com/scholar?cites=315035378835230892&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 21:56:45","","10.1126/science.aau0364","","",,,,,136,22.67,68,2,6,"… (D) DFT models for the stepwise migratory insertion–reductive elimination pathway. Energies are relative to that of 66, and all structures are fully optimized at the M06-L/6-31G(d,p) level …","https://www.science.org/doi/full/10.1126/science.aau0364","https://scholar.google.com/scholar?q=related:rJAnBwI7XwQJ:scholar.google.com/&scioq=source:science+%221095+9203%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
381,"TJ Korstanje, J Ivar van der Vlugt, CJ Elsevier, ...","Hydrogenation of carboxylic acids with a homogeneous cobalt catalyst",2015,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aaa8938?casa_token=-6zdBN2QUucAAAAA:ISi1IQqXCpp4QsoefNMJFDJ_k31p5sK-PFotRmk9UCzX7csi9FQF09ZYPGpcpJZPIAmGpMgL8XYoRA","https://scholar.google.com/scholar?cites=14723932267408929849&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 21:56:45","","10.1126/science.aaa8938","","",,,,,381,38.10,95,4,10,"… Co-O bond, followed by the migratory insertion of the hydride into the carbonyl carbon and a … The proposed mechanism is also supported by density functional theory (DFT) calculations (…","https://www.science.org/doi/full/10.1126/science.aaa8938?casa_token=WBd6NfwO2VcAAAAA:tHCgsQIBgznNnWY-YRFtO3MoPViSkM8Wo3bWZQoIsph6vBa4yD2iza78JVc3fDJN8Dek8E2EdaW1UA","https://scholar.google.com/scholar?q=related:OTTS72LqVcwJ:scholar.google.com/&scioq=source:science+%221095+9203%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
