Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
62,"JR Ludwig, RB Watson, DJ Nasrallah, JB Gianino, ...","Interrupted carbonyl-olefin metathesis via oxygen atom transfer",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aar8238","https://scholar.google.com/scholar?cites=6449346509020039610&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 22:33:15","","10.1126/science.aar8238","","",,,,,62,8.86,12,5,7,"… of readily accessible ubiquitous motifs: carbonyls and olefins. Here we report a … olefins that differs from established acid-catalyzed carbonyl-ene, Prins, and carbonyl-olefin metathesis …","https://www.science.org/doi/full/10.1126/science.aar8238","https://scholar.google.com/scholar?q=related:uomL13qugFkJ:scholar.google.com/&scioq=source:science+%221095+9203%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"L McDermott, ZG Walters, SA French, AM Clark, J Ding, ...","A solution to the anti-Bredt olefin synthesis problem",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adq3519?casa_token=QEw4wN4SNugAAAAA:Mp4OZVYaEOSFV9RC3nVKxxUM9h6BEcf5i2emN_JYzCvUKIFl1lnaXjW-7msifSKhv0WFx7v-hFMOzQ","https://scholar.google.com/scholar?cites=10625879010440710619&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 22:33:15","","10.1126/science.adq3519","","",,,,,11,11.00,2,6,1,"… Using DFT, we compared the energetics and geometries of ABO isomers 12 and epi-12. Epi-12 was found to be 33.2 kcal/mol higher in energy. This notable difference in energy can be …","https://www.science.org/doi/full/10.1126/science.adq3519?casa_token=zE4__K3Rv7cAAAAA:9OVvgqaJtIuQcO9kxse0x2Z3H6g-2Xn8hoKlIRf5UEEf0ZcqZ7ClJeS_TN0WodWKseOtbipp58Rpqw","https://scholar.google.com/scholar?q=related:2wmZY6m0dpMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
38,"T Dietel, F Lukas, WP Kretschmer, R Kempe","Elongation and branching of α-olefins by two ethylene molecules",2022,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abm5281","https://scholar.google.com/scholar?cites=12831726971026751709&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 22:33:15","","10.1126/science.abm5281","","",,,,,38,12.67,10,4,3,"… α-olefins can be elongated and that successive elongation is possible. Additionally, aromatic and cyclic olefins, … The key to our olefin elongation reaction is the development of a highly …","https://www.science.org/doi/full/10.1126/science.abm5281","https://scholar.google.com/scholar?q=related:3UDZ2rFzE7IJ:scholar.google.com/&scioq=source:science+%221095+9203%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Z Cheng, K Huang, C Wang, L Chen, X Li, Z Hu, ...","Catalytic remodeling of complex alkenes to oxonitriles through C= C double bond deconstruction",2025,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adq8918?casa_token=gJ8XoPkW5l8AAAAA:S4IILsqBIQQEbcNZoW6rCyYKndN2PRGx3Z_N5PdvjF5QV3k2DVr5_3TDsD60lkEZce3_jQfPwYBE8A","https://scholar.google.com/scholar?cites=3047739399324854163&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 22:33:15","","10.1126/science.adq8918","","",,,,,1,1.00,0,7,1,"… Despite the substantial advances in olefin metathesis and ozonolysis for natural product … Density functional theory (DFT) calculations suggest that the reaction proceeds through a …","https://www.science.org/doi/full/10.1126/science.adq8918?casa_token=EZJXGy5xoEwAAAAA:MIQcvs_l9mWLfXv_FcfTnKHveVacqLVqF8e3XuwmDvx4GecDo5gLoQtHeck8PALWSPM17tLvTXckfg","https://scholar.google.com/scholar?q=related:k2e4CNa-SyoJ:scholar.google.com/&scioq=source:science+%221095+9203%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"C Hu, XF Wang, J Li, XY Chang, LL Liu","A stable rhodium-coordinated carbene with a σ0π2 electronic configuration",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adk6533?casa_token=U6nlK2xSVl0AAAAA:ObpY0q3q4Rez4E8a11IAImHAlq5P9DDcHcj81u3d4L3DZ9jFydVAREaDnSHXLgKaOywigFVT1oJP2w","https://scholar.google.com/scholar?cites=9858736330793234039&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 22:33:15","","10.1126/science.adk6533","","",,,,,30,30.00,6,5,1,"… The solid-state structure of 4 is in line with the findings from our DFT calculations performed at the B3LYP(D3)/def2-SVP level (table S8). These calculations predict that 4 has a singlet …","https://www.science.org/doi/full/10.1126/science.adk6533?casa_token=8V3aF1hOs3sAAAAA:miGlrA3ToZv0Pkp3BPbjX8BXl02woxkPNuC4eyzwqh9Exa4fAZV3XsQfk6FRMrK1TdcKHkQSJ00gbw","https://scholar.google.com/scholar?q=related:dy4rg3VE0YgJ:scholar.google.com/&scioq=source:science+%221095+9203%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
188,"A Kapat, T Sperger, S Guven, F Schoenebeck","E-Olefins through intramolecular radical relocation",2019,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aav1610","https://scholar.google.com/scholar?cites=11947605434614625738&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 22:33:15","","10.1126/science.aav1610","","",,,,,188,31.33,47,4,6,"… Olefin metathesis catalysts were developed to selectively access Z-olefins, whereas the E-isomer is accessible in high selectivity only with certain halogenated or low-functionality …","https://www.science.org/doi/full/10.1126/science.aav1610","https://scholar.google.com/scholar?q=related:yjW7dtdrzqUJ:scholar.google.com/&scioq=source:science+%221095+9203%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
335,"U Dutta, S Maiti, T Bhattacharya, D Maiti","Arene diversification through distal C(sp2)−H functionalization",2021,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abd5992","https://scholar.google.com/scholar?cites=9507121565373886673&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 22:33:15","","10.1126/science.abd5992","","",,,,,335,83.75,84,4,4,"… Density functional theory calculations suggested 141 as the preferred transition state, in which one of the 2-pyridone ligands coordinated to Pd(II) through a κ 2 -mode and the other …","https://www.science.org/doi/pdf/10.1126/science.abd5992","https://scholar.google.com/scholar?q=related:0fCQXLEU8IMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
249,"RJ Conk, S Hanna, JX Shi, J Yang, NR Ciccia, L Qi, ...","Catalytic deconstruction of waste polyethylene with ethylene to form propylene",2022,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.add1088","https://scholar.google.com/scholar?cites=10079452727571995309&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 22:33:15","","10.1126/science.add1088","","",,,,,249,83.00,36,7,3,"… Several combinations of complexes known to catalyze either olefin metathesis or … η3-allyl pathway and an unconventional mechanism predicted by DFT calculations. J. Am. …","https://www.science.org/doi/full/10.1126/science.add1088","https://scholar.google.com/scholar?q=related:rVpFPdpo4YsJ:scholar.google.com/&scioq=source:science+%221095+9203%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
254,"Y Yang, IB Perry, G Lu, P Liu, SL Buchwald","Copper-catalyzed asymmetric addition of olefin-derived nucleophiles to ketones",2016,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aaf7720","https://scholar.google.com/scholar?cites=9623389081981934483&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 22:33:15","","10.1126/science.aaf7720","","",,,,,254,28.22,51,5,9,"… Prior to our experimental studies, we carried out density functional theory (DFT) calculations to gain some insight into the ligand effects on the ketone reduction and olefin …","https://www.science.org/doi/pdf/10.1126/science.aaf7720","https://scholar.google.com/scholar?q=related:k9vnFmIljYUJ:scholar.google.com/&scioq=source:science+%221095+9203%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"Z He, JA Moreno, M Swain, J Wu, O Kwon","Aminodealkenylation: Ozonolysis and copper catalysis convert C(sp3)–C(sp2) bonds to C(sp3)–N bonds",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adi4758","https://scholar.google.com/scholar?cites=8566691668983738544&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 22:33:15","","10.1126/science.adi4758","","",,,,,26,13.00,5,5,2,"Great efforts have been directed toward alkene π bond amination. In contrast, analogous functionalization of the adjacent C(sp 3 )–C(sp 2 ) σ bonds is much rarer. Here we report how …","https://www.science.org/doi/full/10.1126/science.adi4758","https://scholar.google.com/scholar?q=related:sPASRq8A43YJ:scholar.google.com/&scioq=source:science+%221095+9203%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
