Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
54,"Y Luo, Y Li, J Wu, XS Xue, JF Hartwig, Q Shen","Oxidative addition of an alkyl halide to form a stable Cu (III) product",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adg9232","https://scholar.google.com/scholar?cites=2557051314869037546&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 21:41:30","","10.1126/science.adg9232","","",,,,,54,27.00,9,6,2,"… On the basis of the experimental results and DFT calculations, we concluded that reaction of the ionic Cu(I) complex [Ph 4 P] + [Cu(CF 3 ) 2 ] − (1a) with BrCH 2 CN (2-Br) likely …","https://www.science.org/doi/full/10.1126/science.adg9232","https://scholar.google.com/scholar?q=related:6uk2f594fCMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Z Cheng, K Huang, C Wang, L Chen, X Li, Z Hu, ...","Catalytic remodeling of complex alkenes to oxonitriles through C= C double bond deconstruction",2025,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adq8918?casa_token=LVaca2MNhdoAAAAA:wCi-z_eb1rs9Cg8r9dVGhzNUfgXSrh9ihENgVuAYAp894KxDZ06bwxU3ONszp65nnstpSK5z_Dh8-A","https://scholar.google.com/scholar?cites=3047739399324854163&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 21:41:30","","10.1126/science.adq8918","","",,,,,1,1.00,0,7,1,"… Density functional theory (DFT) calculations suggest that the reaction proceeds through a crucial Cu-assisted O–O bond cleavage step (Fig. 5G) (50). The INT2 was generated through …","https://www.science.org/doi/full/10.1126/science.adq8918?casa_token=QXYPy4fMnlgAAAAA:FLYk0qloVzFviy55qs7onbkAfDF05EVQI1WhskKF9Cvlt1QR7EyLvd_fHvOh8Yi9NCitY6tXNBNuzg","https://scholar.google.com/scholar?q=related:k2e4CNa-SyoJ:scholar.google.com/&scioq=source:science+%221095+9203%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
197,"J Choi, DY Wang, S Kundu, Y Choliy, TJ Emge, ...","Net Oxidative Addition of C(sp3)-F Bonds to Iridium via Initial CH Bond Activation",2011,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.1200514?casa_token=aA11nBJdJMkAAAAA:ousZNq7Sv1TDz2KQkKOmt-1Z9ihF3y4RocKUiZIPNZGHwerg_nPNahjpv7Y3JgjEIg482NkHL5L33A","https://scholar.google.com/scholar?cites=7956016890646735212&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 21:41:30","","10.1126/science.1200514","","",,,,,197,14.07,33,6,14,"… the oxidative addition of C… addition, nor by any of the several pathways that have previously been proposed for carbon-halogen oxidative addition (1–6); instead, the C(sp 3 )-F additions …","https://www.science.org/doi/full/10.1126/science.1200514?casa_token=iIngAaOfqoUAAAAA:FuQai7GzPRIuUHOBL_rnZlpgeKSJaEwyDsy_0-Q4pE1P6BG5QDJdl1vpuD14bjJXZi2zb8wr48Ya2w","https://scholar.google.com/scholar?q=related:bKkBkjVzaW4J:scholar.google.com/&scioq=source:science+%221095+9203%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"M Schwarzer, D Borodin, Y Wang, J Fingerhut, ...","Cooperative adsorbate binding catalyzes high-temperature hydrogen oxidation on palladium",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adk1334?casa_token=DATIXqHc_oUAAAAA:9oz_qbk18EPpZhoWf0yW7EzGbP5ACWlx9A2MEg-M__IUu7qgD_MCG4tJGWdqA36XP77hKnyC14HJMg","",4,"2025-05-14 21:41:30","","10.1126/science.adk1334","","",,,,,0,0.00,0,5,1,"… DFT-computed energies along the reaction path were adjusted by up to ± 0.15 eV. These adjustments are justified given uncertainties related to the use of DFT. … test of DFT implemented …","https://www.science.org/doi/full/10.1126/science.adk1334?casa_token=91CrL8ftJHoAAAAA:ZAkSS-LUt9-yFDoiepfDBln-RNh6t0XonyyMVD8eOOPuocFe2W_fziIC1LfstkzpG06HLGGMMNnKbA","https://scholar.google.com/scholar?q=related:vuPqP9eQMx0J:scholar.google.com/&scioq=source:science+%221095+9203%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"WC Liu, FP Gabbaï","Characterization of a Lewis adduct in its inner and outer forms",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adp7465?casa_token=-Nz_1Go2MiYAAAAA:0OkJwj-oxCq52j2AOhjSmHlR39i0qyFI1iTwbT3_bClba4iNbxVulLx1HQQq897UbyuQY6IzeTgOtA","https://scholar.google.com/scholar?cites=8420077024594541724&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 21:41:30","","10.1126/science.adp7465","","",,,,,6,6.00,3,2,1,"The entrance channel of bimolecular reactions sometimes involves the formation of outer complexes as weakly bound, fleeting intermediates. Here, we characterize such an outer …","https://www.science.org/doi/full/10.1126/science.adp7465?casa_token=Hvj9YlBfit4AAAAA:FdYOidVbfNPoMwHPepf9TCZeG-vR61tU7WuVMKYNl8ZSmLtLUX6_O4LG1UMFIwVgCLp0DaFeTQjIbQ","https://scholar.google.com/scholar?q=related:nLxiQHEf2nQJ:scholar.google.com/&scioq=source:science+%221095+9203%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1459,"MS Chen, MC White","A predictably selective aliphatic C–H oxidation reaction for complex molecule synthesis",2007,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.1148597?casa_token=SgcIT_4fB2cAAAAA:fRCmHCAqfTpL0L1xhHeYY6O20E4osLY_liY5WldePwpfL7MrGSpB1OTkJkyipmIYcgMPDqJnX6mFDw","https://scholar.google.com/scholar?cites=6760656788489653453&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 21:41:30","","10.1126/science.1148597","","",,,,,1459,81.06,730,2,18,"… Energy minimization calculations were performed on (–)-23 with use of density functional theory (DFT) followed by calculation of the electrostatic atomic partial charges. In the lowest …","https://www.science.org/doi/pdf/10.1126/science.1148597?casa_token=V70FHcILSNgAAAAA:sIAwCgM5WV7nhIuOL3KgERnElCUTUEeyv-lZ-hhzcQwgJHfiusKDDrGdZtWQW0GAeFGVHbbxOiF29g","https://scholar.google.com/scholar?q=related:zUxCloet0l0J:scholar.google.com/&scioq=source:science+%221095+9203%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
254,"Y Yang, IB Perry, G Lu, P Liu, SL Buchwald","Copper-catalyzed asymmetric addition of olefin-derived nucleophiles to ketones",2016,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aaf7720","https://scholar.google.com/scholar?cites=9623389081981934483&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 21:41:30","","10.1126/science.aaf7720","","",,,,,254,28.22,51,5,9,"… Prior to our experimental studies, we carried out density functional theory (DFT) calculations to gain some insight into the ligand effects on the ketone reduction and olefin …","https://www.science.org/doi/pdf/10.1126/science.aaf7720","https://scholar.google.com/scholar?q=related:k9vnFmIljYUJ:scholar.google.com/&scioq=source:science+%221095+9203%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
219,"N Tsuji, JL Kennemur, T Buyck, S Lee, S Prévost, ...","Activation of olefins via asymmetric Brønsted acid catalysis",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aaq0445","https://scholar.google.com/scholar?cites=17900700285478993473&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 21:41:30","","10.1126/science.aaq0445","","",,,,,219,31.29,37,6,7,"… Toward gaining more insight into the reaction mechanism and the origin of enantioselectivity, we performed density functional theory (DFT) studies (see the supplementary materials for …","https://www.science.org/doi/full/10.1126/science.aaq0445","https://scholar.google.com/scholar?q=related:QX61UhEQbPgJ:scholar.google.com/&scioq=source:science+%221095+9203%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"WJ Olivier, P Błyszczyk, EM Arpa, K Hitoshio, ...","Excited-state configuration of nitroarenes enables oxidative cleavage of aromatics over alkenes",2025,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.ads3955?casa_token=-fU7Jp4PgjwAAAAA:Zng95j9P3bFdS0chZX85hpb9g8h1a1ssSofc8o0Wums4JgWMpty5BXrAIzOemQHtg90BCoPOhHL-kQ","https://scholar.google.com/scholar?cites=12212251525667610574&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 21:41:30","","10.1126/science.ads3955","","",,,,,1,1.00,0,5,1,"… We expected that the ability of photoexcited nitroarenes to discriminate between electron-rich versus electron-poor olefins would effectively insulate 1c from additional oxidation. …","https://www.science.org/doi/full/10.1126/science.ads3955?casa_token=cJWxbqto5EUAAAAA:5p6DHXF323AbfrEQonwIaE4qjrinPGJUqAUYlPz0rqT6jE5YruyY00-6U88_h9Nwo0LlPfN0esgD5Q","https://scholar.google.com/scholar?q=related:zt8jLw-ieqkJ:scholar.google.com/&scioq=source:science+%221095+9203%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"ER Wearing, YC Yeh, GG Terrones, SG Parikh, ...","Visible light–mediated aza Paternò–Büchi reaction of acyclic oximes and alkenes to azetidines",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adj6771?casa_token=3FPTVZclmhoAAAAA:X7dnc9VUIuzqt0zFPmUzh4dpMGq-CndjON340KJMgaVs__e7caTzL5LbBvOqVD6TLlGVu5EfTvt6Hg","https://scholar.google.com/scholar?cites=1374481926778404316&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 21:41:30","","10.1126/science.adj6771","","",,,,,21,21.00,4,5,1,"… Density functional theory computations reveal that a competition between the desired [2+2]-cycloaddition and alkene dimerization determines the success of the reaction. Frontier orbital …","https://www.science.org/doi/full/10.1126/science.adj6771?casa_token=MaDR_Wir-_8AAAAA:AbtqVUpk3FNAXTka7_vQk7iUBrzpTOWz0p-ML80miqa3_zI_67TPr20pzlRoOQRzP5_TY-XvG2ihAA","https://scholar.google.com/scholar?q=related:3D3SswckExMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
