Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2683,"DA Nicewicz, DWC MacMillan","Merging photoredox catalysis with organocatalysis: the direct asymmetric alkylation of aldehydes",2008,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.1161976?casa_token=FU0GJT_OvhEAAAAA:IsR7GyA20Sk7U6kqm2UFgc3oK3Botvwx6E4wCXQtwfQI5F1rT9NRTm8baJ6DWHkkFgozdDMTr5O03w","https://scholar.google.com/scholar?cites=1357738924065636044&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 22:35:46","","10.1126/science.1161976","","",,,,,2683,157.82,1342,2,17,"… would close the photoredox cycle (24). … density functional theory (DFT) calculations (25, 26), we proposed that the imidazolidinone catalyst 6 should selectively form an enamine 8 (DFT…","https://www.science.org/doi/pdf/10.1126/science.1161976?casa_token=QGQzyIGyM0gAAAAA:CxXrnOWXjpv3lVfUj_2_pocuA_zODe52cIGoJFpdjnd1mFlqFghJn8hsCWDlpkX_i4qzxqXb8zE0CQ","https://scholar.google.com/scholar?q=related:zD6nmluo1xIJ:scholar.google.com/&scioq=source:science+%221095+9203%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
97,"AY Chan, A Ghosh, JT Yarranton, J Twilton, J Jin, ...","Exploiting the Marcus inverted region for first-row transition metal–based photoredox catalysis",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adj0612","https://scholar.google.com/scholar?cites=1648146677253575401&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 22:35:46","","10.1126/science.adj0612","","",,,,,97,48.50,16,6,2,"… can be designed to increase excited-state lifetimes while simultaneously increasing excited-state energies, providing a pathway for the use of relatively abundant metals as photoredox …","https://www.science.org/doi/full/10.1126/science.adj0612","https://scholar.google.com/scholar?q=related:6ZJws6tk3xYJ:scholar.google.com/&scioq=source:science+%221095+9203%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
88,"L Cheng, D Li, BK Mai, Z Bo, L Cheng, P Liu, Y Yang","Stereoselective amino acid synthesis by synergistic photoredox-pyridoxal radical biocatalysis",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adg2420","https://scholar.google.com/scholar?cites=16894710974514290525&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 22:35:46","","10.1126/science.adg2420","","",,,,,88,44.00,13,7,2,"… We initiated a research program using visible light photoredox catalysis to unlock the potential … Our density functional theory calculations thus underscore the importance of the enzyme …","https://www.science.org/doi/full/10.1126/science.adg2420","https://scholar.google.com/scholar?q=related:XV_Rih4SduoJ:scholar.google.com/&scioq=source:science+%221095+9203%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
872,"NA Romero, KA Margrey, NE Tay, DA Nicewicz","Site-selective arene CH amination via photoredox catalysis",2015,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aac9895?casa_token=vvKbJDY9Xx8AAAAA:h6Uczl0iq_ElA0wnxe26U-7DDYcKHJxyPxiO6jOFWFtBZP1uCkpQtNb-V1fk_JtwzG2OzkW8phPLWQ","https://scholar.google.com/scholar?cites=18353946791715477391&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 22:35:46","","10.1126/science.aac9895","","",,,,,872,87.20,218,4,10,"… Here, we present a blueprint for aromatic carbon-hydrogen functionalization via photoredox catalysis and describe the utility of this strategy for arene amination. An organic photoredox-…","https://www.science.org/doi/full/10.1126/science.aac9895?casa_token=GdxboCY3CJYAAAAA:oRPl5__1RnLxP_Jo4gPTqrVpguDjbjHwiX6S2BADH4TXl63XpldwUAKE2DwWSETRRWm_DkrU2N-mGw","https://scholar.google.com/scholar?q=related:jxefGl1Rtv4J:scholar.google.com/&scioq=source:science+%221095+9203%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
533,"ER Welin, C Le, DM Arias-Rotondo, JK McCusker, ...","Photosensitized, energy transfer-mediated organometallic catalysis through electronically excited nickel (II)",2017,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aal2490","https://scholar.google.com/scholar?cites=7662964363232960908&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 22:35:46","","10.1126/science.aal2490","","",,,,,533,66.63,107,5,8,"Transition metal catalysis has traditionally relied on organometallic complexes that can cycle through a series of ground-state oxidation levels to achieve a series of discrete yet …","https://www.science.org/doi/full/10.1126/science.aal2490","https://scholar.google.com/scholar?q=related:jGH6_HxRWGoJ:scholar.google.com/&scioq=source:science+%221095+9203%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
580,"EB Corcoran, MT Pirnot, S Lin, SD Dreher, DA DiRocco, ...","Aryl amination using ligand-free Ni (II) salts and photoredox catalysis",2016,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aag0209?casa_token=XhpZvXedbvYAAAAA:JWr8QmdFgHBvG8OpB7kIy7vRh5c2gGl5HQscSCzwUKrz8K3kmMuSnPOFEvVpTt9oCffOBZD_-Vi57g","https://scholar.google.com/scholar?cites=17585675823748363098&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 22:35:46","","10.1126/science.aag0209","","",,,,,580,64.44,97,6,9,"… In recent years, the merging of photoredox catalysis with … Critical to the success of our design plan, the photoredox catalyst … Both the photoredox and nickel catalytic cycles are closed …","https://www.science.org/doi/full/10.1126/science.aag0209?casa_token=PumurJIJpPAAAAAA:l_2eAINIWDm1e6Z6-xPq7exnoK3aN4O9eF5WfesV5CMIqlJazOQnQ8oZfscaTrctXPXuTpbLPpdPww","https://scholar.google.com/scholar?q=related:WjOyIf3eDPQJ:scholar.google.com/&scioq=source:science+%221095+9203%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
188,"J Ma, S Chen, P Bellotti, R Guo, F Schäfer, A Heusler, ...","Photochemical intermolecular dearomative cycloaddition of bicyclic azaarenes with alkenes",2021,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abg0720","https://scholar.google.com/scholar?cites=13652006344059786812&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 22:35:46","","10.1126/science.abg0720","","",,,,,188,47.00,27,7,4,"… The proposal of these interactions to decrease the singlet-triplet energy gap was confirmed by density functional theory (DFT) calculations. Accordingly, the triplet energy of 1a is …","https://www.science.org/doi/full/10.1126/science.abg0720","https://scholar.google.com/scholar?q=related:PBYQQXCrdb0J:scholar.google.com/&scioq=source:science+%221095+9203%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"WJ Olivier, P Błyszczyk, EM Arpa, K Hitoshio, ...","Excited-state configuration of nitroarenes enables oxidative cleavage of aromatics over alkenes",2025,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.ads3955?casa_token=oH0f6zsSLgkAAAAA:YL5ZDmQ65D3zNbkIBo8NsqUt7LKwAFSy_fdt66l544Mcb-YkLeJOsZ1NcG1M31sV4LEd4k3Oj2rjqg","https://scholar.google.com/scholar?cites=12212251525667610574&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 22:35:46","","10.1126/science.ads3955","","",,,,,1,1.00,0,5,1,"The ozonolytic deconstruction of aromatics remains a challenge in organic chemistry. Ozone preferentially reacts with alkenes over arenes, meaning that once the initial aromatic …","https://www.science.org/doi/full/10.1126/science.ads3955?casa_token=VEux5NA6qUMAAAAA:sI5lHumqyn7H6hfTl7jNJJzu1du-Bc4FrncpVeBZhrwUi14adCg4y3AWLbbx8QgnWlsyuCJDJgaVOw","https://scholar.google.com/scholar?q=related:zt8jLw-ieqkJ:scholar.google.com/&scioq=source:science+%221095+9203%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"ER Wearing, YC Yeh, GG Terrones, SG Parikh, ...","Visible light–mediated aza Paternò–Büchi reaction of acyclic oximes and alkenes to azetidines",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adj6771?casa_token=QTikdFxjTrwAAAAA:qB6mamFEPv0ssco5edDZRyvhFGmtVjtFH9_hADojt6OFwPccJnD_AeiMvHLvFlfe5txPywl-ubwejQ","https://scholar.google.com/scholar?cites=1374481926778404316&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 22:35:46","","10.1126/science.adj6771","","",,,,,21,21.00,4,5,1,"… Density functional theory computations reveal that a competition between the desired [2+2]-cycloaddition and alkene dimerization determines the success of the reaction. Frontier orbital …","https://www.science.org/doi/full/10.1126/science.adj6771?casa_token=vFrgXppWkVAAAAAA:-ffKix6AQRk5QfaYyZ2QC5hicGXOp_yH_sVsdqKm_JhHa3E8m0S_LTdOTfm5h7DeEZX0r2_ucG8u-g","https://scholar.google.com/scholar?q=related:3D3SswckExMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"M Li, Y Yuan, W Harrison, Z Zhang, H Zhao","Asymmetric photoenzymatic incorporation of fluorinated motifs into olefins",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adk8464?casa_token=zxvqdLeOyZkAAAAA:-wkffUWN-Q0_2MFBJT9lVvksSc3yUr1QoBtw8KlbuVOekWhwXRevPhj32rA6DhuI_LmRvomznoeDfA","https://scholar.google.com/scholar?cites=15649391462880484564&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 22:35:46","","10.1126/science.adk8464","","",,,,,25,25.00,5,5,1,"Enzymes capable of assimilating fluorinated feedstocks are scarce. This situation poses a challenge for the biosynthesis of fluorinated compounds used in pharmaceuticals, …","https://www.science.org/doi/full/10.1126/science.adk8464?casa_token=vqwwiqFqwrEAAAAA:vcdABOTCZde3RYGad9iMBBAdad4DuAFNfI8WMMa60VPbpH5h9wAyRDGJdgrziP0eXQQdPjAaiPmimg","https://scholar.google.com/scholar?q=related:1JwFGJ_OLdkJ:scholar.google.com/&scioq=source:science+%221095+9203%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
363,"KF Biegasiewicz, SJ Cooper, X Gao, DG Oblinsky, ...","Photoexcitation of flavoenzymes enables a stereoselective radical cyclization",2019,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aaw1143","https://scholar.google.com/scholar?cites=16389792579380875709&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-14 22:35:46","","10.1126/science.aaw1143","","",,,,,363,60.50,73,5,6,"Photoexcitation is a common strategy for initiating radical reactions in chemical synthesis. We found that photoexcitation of flavin-dependent “ene”-reductases changes their catalytic …","https://www.science.org/doi/full/10.1126/science.aaw1143","https://scholar.google.com/scholar?q=related:vZFUnIM9dOMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
