Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
113,"MD Levin, TQ Chen, ME Neubig, CM Hong, ...","A catalytic fluoride-rebound mechanism for C(sp3)-CF3 bond formation",2017,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aan1411","https://scholar.google.com/scholar?cites=17296091308431309233&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 22:34:18","","10.1126/science.aan1411","","",,,,,113,14.13,23,5,8,"… C(sp 3 )-CF 3 reductive elimination from Au(III) that accesses … insertion, and CF reductive elimination to achieve a net CC bond … rarer, density functional theory (DFT) calculations suggest …","https://www.science.org/doi/full/10.1126/science.aan1411","https://scholar.google.com/scholar?q=related:sfnECWgPCPAJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
136,"YY Zhou, C Uyeda","Catalytic reductive [4+ 1]-cycloadditions of vinylidenes and dienes",2019,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aau0364","https://scholar.google.com/scholar?cites=315035378835230892&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 22:34:18","","10.1126/science.aau0364","","",,,,,136,22.67,68,2,6,"… Subsequent C–C reductive elimination would then close the three-membered ring. We reasoned … (D) DFT models for the stepwise migratory insertion–reductive elimination pathway. …","https://www.science.org/doi/full/10.1126/science.aau0364","https://scholar.google.com/scholar?q=related:rJAnBwI7XwQJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"ER Wearing, YC Yeh, GG Terrones, SG Parikh, ...","Visible light–mediated aza Paternò–Büchi reaction of acyclic oximes and alkenes to azetidines",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adj6771?casa_token=BzhDuddQjtEAAAAA:oA3NRdodhjQvnEsIQKbJ1pUq79ogYwNjLSKKg0Y37lJMw2JdkdzgJRtHv5F5mo2CnoQBGm3W7TBAWg","https://scholar.google.com/scholar?cites=1374481926778404316&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 22:34:18","","10.1126/science.adj6771","","",,,,,21,21.00,4,5,1,"… The density functional theory (DFT)–computed energy surface for this reaction indicates that the rate-determining step is the initial combination of the triplet styrene and ground-state …","https://www.science.org/doi/full/10.1126/science.adj6771?casa_token=8x4JNlhIHPcAAAAA:-N5uMZSnxyTeNk00uiay8o6T-sR-ZdWX9v80uxV1uVj2AkwQ0VylzaSW1cEupUz_UCOOu2DZgRIHKQ","https://scholar.google.com/scholar?q=related:3D3SswckExMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"J Sun, Á Péter, J He, J Tsien, H Zhang, DA Cagan, ...","Sulfonyl hydrazides as a general redox-neutral platform for radical cross-coupling",2025,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adu6406?casa_token=gWHEWmCtmNEAAAAA:UcAjXX3VsbLKYQgFcHp5Ny_aG5elKdkKnE2PE-lKUweePB_NuvEV-YFSrAzlnQjHn1Dp040DCtCOoA","https://scholar.google.com/scholar?cites=14641574751583405476&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 22:34:18","","10.1126/science.adu6406","","",,,,,3,3.00,0,7,1,"… This hypothesis is supported by density functional theory (DFT) … Indeed, DFT analysis finds that liberation of dinitrogen and … Reductive elimination from 109 delivers the C(sp 2 )-C(sp 3 ) …","https://www.science.org/doi/pdf/10.1126/science.adu6406?casa_token=-UaQ00HxqbMAAAAA:b3aONA5UO_9aicpeSbwiXbZWQbE8ITmgEDn-79e37zsqu78SuOAPLu2mXGOcrm_bwSUrHiJwDCAsVA","https://scholar.google.com/scholar?q=related:pAV1hKlSMcsJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"C Hu, XF Wang, J Li, XY Chang, LL Liu","A stable rhodium-coordinated carbene with a σ0π2 electronic configuration",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adk6533?casa_token=-lAuh4OfITIAAAAA:OS3sB1d0VQbRK_lqVVSmXojQiCD4sfDObSB9o3cFxPO8lCtDva6qyEjYhJq9vAjYis0vnw8uzQt9dg","https://scholar.google.com/scholar?cites=9858736330793234039&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 22:34:18","","10.1126/science.adk6533","","",,,,,30,30.00,6,5,1,"… The solid-state structure of 4 is in line with the findings from our DFT calculations performed at the B3LYP(D3)/def2-SVP level (table S8). These calculations predict that 4 has a singlet …","https://www.science.org/doi/full/10.1126/science.adk6533?casa_token=GXcQMXNO0rMAAAAA:s2M_eP39nYae5ckF6P1gQWPpWnkNE02bWGjNa8L7HkMymcYY_wA4rxKaRJNbcW3E5Rc_GkJ_b9Euzg","https://scholar.google.com/scholar?q=related:dy4rg3VE0YgJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
180,"L Wang, JM Lear, SM Rafferty, SC Fosu, DA Nagib","Ketyl radical reactivity via atom transfer catalysis",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aau1777","https://scholar.google.com/scholar?cites=10780844559777036289&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 22:34:18","","10.1126/science.aau1777","","",,,,,180,25.71,36,5,7,"… Chen for assistance with cyclic voltammetry experiments and density functional theory studies. Funding: Supported by NSF CAREER award 1654656, NIH grant R35 GM119812, and …","https://www.science.org/doi/full/10.1126/science.aau1777","https://scholar.google.com/scholar?q=related:AXg2_AFBnZUJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
377,"T Shima, S Hu, G Luo, X Kang, Y Luo, Z Hou","Dinitrogen cleavage and hydrogenation by a trinuclear titanium polyhydride complex",2013,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.1238663?casa_token=gWDJM5oJIQ8AAAAA:1p51x0jOkp5noWCaFMUx7gjY4SrhQDke5R2RSfH8IVKMjJPb8PibuwNV1vYpjIkuHvJDf7X-BEuDbw","https://scholar.google.com/scholar?cites=6420197826525110772&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 22:34:18","","10.1126/science.1238663","","",,,,,377,31.42,63,6,12,"… –N 2– ] by four electrons generated by reductive elimination of two molecules of H 2 from 3. … To have a better understanding of the mechanistic details, we performed DFT computations …","https://www.science.org/doi/full/10.1126/science.1238663?casa_token=IMO1YmEjpoIAAAAA:-7pqGvNTyCqXFMZYujk-AuhCqfK8ni7GfS8hCkD8MSeWTa2ya-5b6bXzOJf6w7bcRhV1tBoQcipZGQ","https://scholar.google.com/scholar?q=related:9KHDVegfGVkJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"Y Luo, Y Li, J Wu, XS Xue, JF Hartwig, Q Shen","Oxidative addition of an alkyl halide to form a stable Cu (III) product",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adg9232","https://scholar.google.com/scholar?cites=2557051314869037546&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 22:34:18","","10.1126/science.adg9232","","",,,,,54,27.00,9,6,2,"… CN) bond-forming reductive elimination. The mechanistic studies … On the basis of the experimental results and DFT calculations, … In addition, DFT calculations showed that the …","https://www.science.org/doi/full/10.1126/science.adg9232","https://scholar.google.com/scholar?q=related:6uk2f594fCMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"Z He, JA Moreno, M Swain, J Wu, O Kwon","Aminodealkenylation: Ozonolysis and copper catalysis convert C(sp3)–C(sp2) bonds to C(sp3)–N bonds",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adi4758","https://scholar.google.com/scholar?cites=8566691668983738544&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 22:34:18","","10.1126/science.adi4758","","",,,,,26,13.00,5,5,2,"… trapping of the resultant alkyl radical by the copper(II) center to induce reductive elimination and, thereby, form the C(sp 3 )–N bond in an overall redox-neutral process (Fig. 1C, bottom). …","https://www.science.org/doi/full/10.1126/science.adi4758","https://scholar.google.com/scholar?q=related:sPASRq8A43YJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
580,"EB Corcoran, MT Pirnot, S Lin, SD Dreher, DA DiRocco, ...","Aryl amination using ligand-free Ni (II) salts and photoredox catalysis",2016,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aag0209?casa_token=cskqhvOGRrkAAAAA:4lhlGJ2sy8ISOekx7FKTBZ6Z0OH8Ij2weX0P7Okmk77CyrlWsYRpqwHlr_S8zPQjvVaTb9Ql0v8cEQ","https://scholar.google.com/scholar?cites=17585675823748363098&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 22:34:18","","10.1126/science.aag0209","","",,,,,580,64.44,97,6,9,"… Inspired by the effectiveness of structurally diverse ligand systems on palladium reductive elimination, we recognized that a general and complementary approach for productive C–N …","https://www.science.org/doi/full/10.1126/science.aag0209?casa_token=QTdD2xeZ3UAAAAAA:M835_DVDU0R7Iw6vAuxUJ66BDMtVNERXhSBluAtee7kLNAeDB17iqBEYT8vFt0RozhAmxpKrEe3acw","https://scholar.google.com/scholar?q=related:WjOyIf3eDPQJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
62,"JR Ludwig, RB Watson, DJ Nasrallah, JB Gianino, ...","Interrupted carbonyl-olefin metathesis via oxygen atom transfer",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aar8238","https://scholar.google.com/scholar?cites=6449346509020039610&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-14 22:34:18","","10.1126/science.aar8238","","",,,,,62,8.86,12,5,7,"Some of the simplest and most powerful carbon-carbon bond forming strategies take advantage of readily accessible ubiquitous motifs: carbonyls and olefins. Here we report a …","https://www.science.org/doi/full/10.1126/science.aar8238","https://scholar.google.com/scholar?q=related:uomL13qugFkJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
60,"CA Salazar, KN Flesch, BE Haines, PS Zhou, ...","Tailored quinones support high-turnover Pd catalysts for oxidative C–H arylation with O2",2020,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abd1085","https://scholar.google.com/scholar?cites=16985205032920813577&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-14 22:34:18","","10.1126/science.abd1085","","",,,,,60,12.00,12,5,5,"… kinetically difficult reductive elimination step and … elimination and H–X reductive elimination steps in olefination reactions are kinetically more facile than the C–C reductive elimination …","https://www.science.org/doi/full/10.1126/science.abd1085","https://scholar.google.com/scholar?q=related:CRBsaPyRt-sJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
