Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
113,"MD Levin, TQ Chen, ME Neubig, CM Hong, ...","A catalytic fluoride-rebound mechanism for C(sp3)-CF3 bond formation",2017,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aan1411","https://scholar.google.com/scholar?cites=17296091308431309233&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 21:54:24","","10.1126/science.aan1411","","",,,,,113,14.13,23,5,8,"… C(sp 3 )-CF 3 reductive elimination from Au(III) that accesses … insertion, and CF reductive elimination to achieve a net CC bond … rarer, density functional theory (DFT) calculations suggest …","https://www.science.org/doi/full/10.1126/science.aan1411","https://scholar.google.com/scholar?q=related:sfnECWgPCPAJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
136,"YY Zhou, C Uyeda","Catalytic reductive [4+ 1]-cycloadditions of vinylidenes and dienes",2019,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aau0364","https://scholar.google.com/scholar?cites=315035378835230892&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 21:54:24","","10.1126/science.aau0364","","",,,,,136,22.67,68,2,6,"… Subsequent C–C reductive elimination would then close the three-membered ring. We reasoned … (D) DFT models for the stepwise migratory insertion–reductive elimination pathway. …","https://www.science.org/doi/full/10.1126/science.aau0364","https://scholar.google.com/scholar?q=related:rJAnBwI7XwQJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"ER Wearing, YC Yeh, GG Terrones, SG Parikh, ...","Visible light–mediated aza Paternò–Büchi reaction of acyclic oximes and alkenes to azetidines",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adj6771","https://scholar.google.com/scholar?cites=1374481926778404316&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 21:54:24","","10.1126/science.adj6771","","",,,,,21,21.00,4,5,1,"… The density functional theory (DFT)–computed energy surface for this reaction indicates that the rate-determining step is the initial combination of the triplet styrene and ground-state …","","https://scholar.google.com/scholar?q=related:3D3SswckExMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"J Sun, Á Péter, J He, J Tsien, H Zhang, DA Cagan, ...","Sulfonyl hydrazides as a general redox-neutral platform for radical cross-coupling",2025,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adu6406","https://scholar.google.com/scholar?cites=14641574751583405476&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 21:54:24","","10.1126/science.adu6406","","",,,,,3,3.00,0,7,1,"… This hypothesis is supported by density functional theory (DFT) … Indeed, DFT analysis finds that liberation of dinitrogen and … Reductive elimination from 109 delivers the C(sp 2 )-C(sp 3 ) …","","https://scholar.google.com/scholar?q=related:pAV1hKlSMcsJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"C Hu, XF Wang, J Li, XY Chang, LL Liu","A stable rhodium-coordinated carbene with a σ0π2 electronic configuration",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adk6533","https://scholar.google.com/scholar?cites=9858736330793234039&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 21:54:24","","10.1126/science.adk6533","","",,,,,30,30.00,6,5,1,"… The solid-state structure of 4 is in line with the findings from our DFT calculations performed at the B3LYP(D3)/def2-SVP level (table S8). These calculations predict that 4 has a singlet …","","https://scholar.google.com/scholar?q=related:dy4rg3VE0YgJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
180,"L Wang, JM Lear, SM Rafferty, SC Fosu, DA Nagib","Ketyl radical reactivity via atom transfer catalysis",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aau1777","https://scholar.google.com/scholar?cites=10780844559777036289&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 21:54:24","","10.1126/science.aau1777","","",,,,,180,25.71,36,5,7,"… Chen for assistance with cyclic voltammetry experiments and density functional theory studies. Funding: Supported by NSF CAREER award 1654656, NIH grant R35 GM119812, and …","https://www.science.org/doi/full/10.1126/science.aau1777","https://scholar.google.com/scholar?q=related:AXg2_AFBnZUJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
377,"T Shima, S Hu, G Luo, X Kang, Y Luo, Z Hou","Dinitrogen cleavage and hydrogenation by a trinuclear titanium polyhydride complex",2013,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.1238663","https://scholar.google.com/scholar?cites=6420197826525110772&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 21:54:24","","10.1126/science.1238663","","",,,,,377,31.42,63,6,12,"… –N 2– ] by four electrons generated by reductive elimination of two molecules of H 2 from 3. … To have a better understanding of the mechanistic details, we performed DFT computations …","","https://scholar.google.com/scholar?q=related:9KHDVegfGVkJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"Y Luo, Y Li, J Wu, XS Xue, JF Hartwig, Q Shen","Oxidative addition of an alkyl halide to form a stable Cu (III) product",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adg9232","https://scholar.google.com/scholar?cites=2557051314869037546&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 21:54:24","","10.1126/science.adg9232","","",,,,,54,27.00,9,6,2,"… CN) bond-forming reductive elimination. The mechanistic studies … On the basis of the experimental results and DFT calculations, … In addition, DFT calculations showed that the …","https://www.science.org/doi/full/10.1126/science.adg9232","https://scholar.google.com/scholar?q=related:6uk2f594fCMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"Z He, JA Moreno, M Swain, J Wu, O Kwon","Aminodealkenylation: Ozonolysis and copper catalysis convert C(sp3)–C(sp2) bonds to C(sp3)–N bonds",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adi4758","https://scholar.google.com/scholar?cites=8566691668983738544&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 21:54:24","","10.1126/science.adi4758","","",,,,,26,13.00,5,5,2,"… trapping of the resultant alkyl radical by the copper(II) center to induce reductive elimination and, thereby, form the C(sp 3 )–N bond in an overall redox-neutral process (Fig. 1C, bottom). …","https://www.science.org/doi/full/10.1126/science.adi4758","https://scholar.google.com/scholar?q=related:sPASRq8A43YJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
580,"EB Corcoran, MT Pirnot, S Lin, SD Dreher, DA DiRocco, ...","Aryl amination using ligand-free Ni (II) salts and photoredox catalysis",2016,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aag0209","https://scholar.google.com/scholar?cites=17585675823748363098&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 21:54:24","","10.1126/science.aag0209","","",,,,,580,64.44,97,6,9,"… Inspired by the effectiveness of structurally diverse ligand systems on palladium reductive elimination, we recognized that a general and complementary approach for productive C–N …","https://pmc.ncbi.nlm.nih.gov/articles/PMC5027643/pdf/nihms815509.pdf","https://scholar.google.com/scholar?q=related:WjOyIf3eDPQJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
62,"JR Ludwig, RB Watson, DJ Nasrallah, JB Gianino, ...","Interrupted carbonyl-olefin metathesis via oxygen atom transfer",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aar8238","https://scholar.google.com/scholar?cites=6449346509020039610&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-14 21:54:24","","10.1126/science.aar8238","","",,,,,62,8.86,12,5,7,"Some of the simplest and most powerful carbon-carbon bond forming strategies take advantage of readily accessible ubiquitous motifs: carbonyls and olefins. Here we report a …","https://www.science.org/doi/full/10.1126/science.aar8238","https://scholar.google.com/scholar?q=related:uomL13qugFkJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
60,"CA Salazar, KN Flesch, BE Haines, PS Zhou, ...","Tailored quinones support high-turnover Pd catalysts for oxidative C–H arylation with O2",2020,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abd1085","https://scholar.google.com/scholar?cites=16985205032920813577&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-14 21:54:24","","10.1126/science.abd1085","","",,,,,60,12.00,12,5,5,"… kinetically difficult reductive elimination step and … elimination and H–X reductive elimination steps in olefination reactions are kinetically more facile than the C–C reductive elimination …","https://www.science.org/doi/full/10.1126/science.abd1085","https://scholar.google.com/scholar?q=related:CRBsaPyRt-sJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"L McDermott, ZG Walters, SA French, AM Clark, J Ding, ...","A solution to the anti-Bredt olefin synthesis problem",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adq3519","https://scholar.google.com/scholar?cites=10625879010440710619&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-14 21:54:24","","10.1126/science.adq3519","","",,,,,11,11.00,2,6,1,"… Using DFT, we compared the energetics and geometries of ABO isomers 12 and epi-12. Epi-12 was found to be 33.2 kcal/mol higher in energy. This notable difference in energy can be …","","https://scholar.google.com/scholar?q=related:2wmZY6m0dpMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"SK Nistanaki, CG Williams, B Wigman, JJ Wong, ...","Catalytic asymmetric C–H insertion reactions of vinyl carbocations",2022,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.ade5320","https://scholar.google.com/scholar?cites=8501877759869313310&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-14 21:54:24","","10.1126/science.ade5320","","",,,,,45,15.00,9,5,3,"… stereoselectivity, density functional theory (DFT) calculations … relevant structures were submitted for DFT optimization at the … selectivity, consistent with the DFT TS studies. The substrate …","https://www.science.org/doi/full/10.1126/science.ade5320","https://scholar.google.com/scholar?q=related:HuHNGMe8_HUJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
233,"YJ Yu, FL Zhang, TY Peng, CL Wang, J Cheng, C Chen, ...","Sequential C–F bond functionalizations of trifluoroacetamides and acetates via spin-center shifts",2021,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abg0781","https://scholar.google.com/scholar?cites=17596060805285194705&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-14 21:54:24","","10.1126/science.abg0781","","",,,,,233,58.25,33,7,4,"… However, in our case, density functional theory (DFT) calculations revealed that such a 1,2-F migration of Int-2 requires a high activation free energy (ΔG ‡ = 23.9 kcal/mol) and is …","https://www.science.org/doi/full/10.1126/science.abg0781","https://scholar.google.com/scholar?q=related:0asyERPEMfQJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
158,"M Kolmer, AK Steiner, I Izydorczyk, W Ko, M Engelund, ...","Rational synthesis of atomically precise graphene nanoribbons directly on metal oxide surfaces",2020,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abb8880","https://scholar.google.com/scholar?cites=3703319951628090186&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-05-14 21:54:24","","10.1126/science.abb8880","","",,,,,158,31.60,26,6,5,"… of the lowest unoccupied molecular orbital (LUMO) for finite 7a-GNR terminated by two hydrogen-passivated zigzag ends, as captured by our spin-dependent density functional theory …","https://www.science.org/doi/full/10.1126/science.abb8880","https://scholar.google.com/scholar?q=related:Srto_t_VZDMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
632,"W Zhang, F Wang, SD McCann, D Wang, P Chen, ...","Enantioselective cyanation of benzylic C–H bonds via copper-catalyzed radical relay",2016,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aaf7783","https://scholar.google.com/scholar?cites=13433488646315413192&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-05-14 21:54:24","","10.1126/science.aaf7783","","",,,,,632,70.22,105,6,9,"… by the reductive elimination step. An analogous conclusion was reached in a recent DFT study … to a Ni II catalyst precedes enantiodetermining reductive elimination (37). For the present …","https://pmc.ncbi.nlm.nih.gov/articles/PMC5488708/pdf/nihms871181.pdf","https://scholar.google.com/scholar?q=related:yI7fCcBWbboJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
254,"Y Yang, IB Perry, G Lu, P Liu, SL Buchwald","Copper-catalyzed asymmetric addition of olefin-derived nucleophiles to ketones",2016,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aaf7720","https://scholar.google.com/scholar?cites=9623389081981934483&as_sdt=2005&sciodt=0,5&hl=en",18,"2025-05-14 21:54:24","","10.1126/science.aaf7720","","",,,,,254,28.22,51,5,9,"… Prior to our experimental studies, we carried out density functional theory (DFT) calculations to gain some insight into the ligand effects on the ketone reduction and olefin …","https://www.science.org/doi/pdf/10.1126/science.aaf7720","https://scholar.google.com/scholar?q=related:k9vnFmIljYUJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"Z Huang, ME Akana, KM Sanders, DJ Weix","A decarbonylative approach to alkylnickel intermediates and C(sp3)-C(sp3) bond formation",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abi4860","https://scholar.google.com/scholar?cites=11482955918371453615&as_sdt=2005&sciodt=0,5&hl=en",19,"2025-05-14 21:54:24","","10.1126/science.abi4860","","",,,,,16,16.00,4,4,1,"… Analysis of the electronic structure of (L5)Ni(CO) by density functional theory (DFT) predicts it to … to avoid dimerization and is capable of alkyl radical capture and reductive elimination. …","","https://scholar.google.com/scholar?q=related:r_r_hZGnW58J:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"YF Zhang, B Wang, Z Chen, JR Liu, NY Yang, ...","Asymmetric amination of alkyl radicals with two minimally different alkyl substituents",2025,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adu3996","",20,"2025-05-14 21:54:24","","10.1126/science.adu3996","","",,,,,0,0.00,0,6,1,"… Density functional theory (DFT) calculations using a … Unlike inner-sphere reductive elimination from a Cu(III) … We then performed DFT calculations to gain further insight into the C–N …","https://liuxy.chem.sustech.edu.cn/wp-content/uploads/2025/04/science.adu3996.pdf","https://scholar.google.com/scholar?q=related:Y_6Vb3sVfhgJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
78,"L Liu, MC Aguilera, W Lee, CR Youshaw, ML Neidig, ...","General method for iron-catalyzed multicomponent radical cascades–cross-couplings",2021,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abj6005","https://scholar.google.com/scholar?cites=6259998511612085138&as_sdt=2005&sciodt=0,5&hl=en",21,"2025-05-14 21:54:24","","10.1126/science.abj6005","","",,,,,78,19.50,13,6,4,"… Last, to gain insight into the nature of the C–C bond formation, we turned to DFT calculations, … Subsequent irreversible reductive elimination by means of quartet spin state leads to the …","https://www.science.org/doi/full/10.1126/science.abj6005","https://scholar.google.com/scholar?q=related:ksMcu3r731YJ:scholar.google.com/&scioq=source:science+%221095+9203%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
