Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
135,"L Xu, KG Papanikolaou, BAJ Lechner, L Je, ...","Formation of active sites on transition metals through reaction-driven migration of surface atoms",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.add0089","https://scholar.google.com/scholar?cites=11758186427085533880&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 21:37:26","","10.1126/science.add0089","","",,,,,135,67.50,27,5,2,"… We used density functional theory calculations to elucidate the conditions that lead to … We studied a combination of eight face-centered cubic transition metals and 18 common surface …","https://www.science.org/doi/pdf/10.1126/science.add0089","https://scholar.google.com/scholar?q=related:uLJABUJ4LaMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
505,"L Wang, Z Zeng, W Gao, T Maxson, D Raciti, M Giroux, ...","Tunable intrinsic strain in two-dimensional transition metal electrocatalysts",2019,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aat8051","https://scholar.google.com/scholar?cites=10584800616156221855&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 21:37:26","","10.1126/science.aat8051","","",,,,,505,84.17,72,7,6,"… two-dimensional transition metal nanosheets. Density functional theory calculations indicate that … Further, as also predicted by the DFT analyses, we expect that these structure-property …","https://www.science.org/doi/pdf/10.1126/science.aat8051","https://scholar.google.com/scholar?q=related:n9FTaBTE5JIJ:scholar.google.com/&scioq=source:science+%221095+9203%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"C Hu, XF Wang, J Li, XY Chang, LL Liu","A stable rhodium-coordinated carbene with a σ0π2 electronic configuration",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adk6533?casa_token=mGcOhM23WgIAAAAA:HfSgX5oznNArZLV5Ov9anuqiSRBFeWBe-xpMTdrmS6a6dg93xTwH1mZ2JjyM_PpWdjfUN_kkpt4aVQ&casa_token=hFdYr2tzVogAAAAA:6nmU_WcbNCoYOsF8PGBucFOmgM7qQOQ6s4kneVe9QBlovEPopRKo44gER8MXINbcD3QiuCbiY1ymlw","https://scholar.google.com/scholar?cites=9858736330793234039&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 21:37:26","","10.1126/science.adk6533","","",,,,,30,30.00,6,5,1,"… design hinged on the integration of ad 8 transition metal, typically inclined to form a square-… The solid-state structure of 4 is in line with the findings from our DFT calculations performed …","https://www.science.org/doi/pdf/10.1126/science.adk6533?casa_token=RnWBkwTrP68AAAAA:3Q_vEnxEf4ioPUuKWvvaqSQ5PaiQn-ckx0lQdK1h5Gs0nAqh5fLg93dkzAWsCyML-q6C_wL9LaxaMw","https://scholar.google.com/scholar?q=related:dy4rg3VE0YgJ:scholar.google.com/&scioq=source:science+%221095+9203%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
508,"S Hu, WX Li","Sabatier principle of metal-support interaction for design of ultrastable metal nanocatalysts",2021,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abi9828","https://scholar.google.com/scholar?cites=8808140924831959112&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 21:37:26","","10.1126/science.abi9828","","",,,,,508,127.00,254,2,4,"… Sintering kinetic simulations of 10 transition metals (TMs) and 91 supports (323 metal-… E bs and E ds were calculated using density functional theory (DFT). For most of the considered …","https://www.science.org/doi/pdf/10.1126/science.abi9828","https://scholar.google.com/scholar?q=related:SIgw7IDNPHoJ:scholar.google.com/&scioq=source:science+%221095+9203%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
586,"ST Hunt, M Milina, AC Alba-Rubio, CH Hendon, ...","Self-assembly of noble metal monolayers on transition metal carbide nanoparticle catalysts",2016,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aad8471?casa_token=AtN6rGnbtUoAAAAA:CmKRFSwluwbM8ZWNwHe9KMXwpHEOF0Bd47Bup5lXX_ya1IOexHRfDRcYH0mV-EI5FgYPb8mXB6yPyg&casa_token=XXBB8bUOWnQAAAAA:5i2GQITN8KMsTgTXYOjo5HC2xpcft1kifzJIWSb9osjksfMikhfrcckBKyVc1S-BTeHxfZeOdK14kw","https://scholar.google.com/scholar?cites=4606919609841309924&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 21:37:26","","10.1126/science.aad8471","","",,,,,586,65.11,117,5,9,"… CS were characterized by using density functional theory (DFT) and various probe reactions, … Enhanced catalytic activity was corroborated by DFT calculations for thermally equilibrated …","https://www.science.org/doi/pdf/10.1126/science.aad8471?casa_token=Sz6vwk3zTZAAAAAA:n-L3N9i2HUuFHfRepENL1D9t4hmF05hFJHzGFsyN6wJc8Fr2NvIDP2oeomPSSjoPSckGa_oiCwyZrw","https://scholar.google.com/scholar?q=related:5FhfBfoQ7z8J:scholar.google.com/&scioq=source:science+%221095+9203%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
2315,"B Zhang, X Zheng, O Voznyy, R Comin, M Bajdich, ...","Homogeneously dispersed multimetal oxygen-evolving catalysts",2016,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aaf1525","https://scholar.google.com/scholar?cites=3175096833046850430&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 21:37:26","","10.1126/science.aaf1525","","",,,,,2315,257.22,386,6,9,"… Earth-abundant first-row (3d) transition metal–based catalysts have … Density functional theory suggested that non-3d high-… Our density functional theory plus U (DFT+U) calculations …","https://www.science.org/doi/pdf/10.1126/science.aaf1525","https://scholar.google.com/scholar?q=related:fqs5Tb81ECwJ:scholar.google.com/&scioq=source:science+%221095+9203%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
726,"TG Saint-Denis, RY Zhu, G Chen, QF Wu, JQ Yu","Enantioselective C(sp3)‒H bond activation by chiral transition metal catalysts",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aao4798","https://scholar.google.com/scholar?cites=13553063887418703243&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 21:37:26","","10.1126/science.aao4798","","",,,,,726,103.71,145,5,7,"… A variety of transition metal catalysts have been shown to affect the asymmetric … bind to transition metals, creating a reactive chiral catalyst while also increasing the reactivity at the metal …","https://www.science.org/doi/pdf/10.1126/science.aao4798","https://scholar.google.com/scholar?q=related:iz3EY8wnFrwJ:scholar.google.com/&scioq=source:science+%221095+9203%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"T Wang, J Hu, R Ouyang, Y Wang, Y Huang, S Hu, ...","Nature of metal-support interaction for metal catalysts on oxide supports",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adp6034?casa_token=06ttgfQEVoUAAAAA:N-IbFjrpSTVzJ4eOiUMLUyQVscmptzOheWcnlpmKQUjxhH8NwKJ2PrU8VcLFkYLtCIfBomrD3WBcug&casa_token=K4vXYtY-ZnAAAAAA:IUh-_vlL2k_U5v4dLHUbWBJBrWhiteHJ3Ev-L-qJDjWciTUTgoRorGsR3nypj4uCPSVqISCIC3pkzA","https://scholar.google.com/scholar?cites=3921979247051989642&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 21:37:26","","10.1126/science.adp6034","","",,,,,51,51.00,7,7,1,"… transition metal catalysts, metal-metal interactions dominated the oxide support effects and suboxide encapsulation over metal … We performed DFT calculations for adsorption energies E …","https://www.science.org/doi/pdf/10.1126/science.adp6034?casa_token=E3KCims64fQAAAAA:N0oh9V_kEaROkmvXcipIJ0zVRlvM9r0Hm-4FzfPIb5tPCKbw5984tY1IZ9zqtVkUTsSgPYuE048j6g","https://scholar.google.com/scholar?q=related:iuL8fFirbTYJ:scholar.google.com/&scioq=source:science+%221095+9203%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
1954,"X Huang, Z Zhao, L Cao, Y Chen, E Zhu, Z Lin, M Li, ...","High-performance transition metal–doped Pt3Ni octahedra for oxygen reduction reaction",2015,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aaa8765?casa_token=5FPMNNYHHIQAAAAA:EoykQzIoqJhzp_6lqffe41elVE1PYJwMZZ9miiyBm5L_e3jJeD9xj90WhDRxazrs2CaHH4d-HjvWqQ&casa_token=NDrMbKQjOk8AAAAA:-IZvdZTEW5TSJBDG4rcVkfBvTxrTFDLB5pP94CEX8Qw_saMhdeGRW4ESFbC1dDSNrDoBVsQBf71z6A","https://scholar.google.com/scholar?cites=12059753012977619325&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 21:37:26","","10.1126/science.aaa8765","","",,,,,1954,195.40,244,8,10,"… We surface-doped Pt 3 Ni octahedra supported on carbon with transition metals, termed M‐Pt 3 Ni/C, where M is vanadium, chromium, manganese, iron, cobalt, molybdenum (Mo), …","https://www.science.org/doi/pdf/10.1126/science.aaa8765?casa_token=h54aEjDbc2MAAAAA:0U909SN3xROfrEvFKihToh-TQ3TPLMXZiXJ_LZk6NCJ3GsatVxa5WLE_GpcIVd5t0bUFx_AESJwB-g","https://scholar.google.com/scholar?q=related:fVF6UXjZXKcJ:scholar.google.com/&scioq=source:science+%221095+9203%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
395,"AJ Medford, J Wellendorff, A Vojvodic, F Studt, ...","Assessing the reliability of calculated catalytic ammonia synthesis rates",2014,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.1253486?casa_token=bjeWtggt9q4AAAAA:0n-UpSJnMKgpBOhJv8GHMViODpAkPlOJD86WIBN1RCUHIuy5Rr2bw0PABsSkHUJEZxOoSDckYKlr1A","https://scholar.google.com/scholar?cites=8048201000547492241&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 21:37:26","","10.1126/science.1253486","","",,,,,395,35.91,79,5,11,"… Density functional theory (DFT) is now widely used to calculate molecular and material properties. DFT's … For the specific case of ammonia synthesis catalyzed by transition-metal …","https://www.science.org/doi/pdf/10.1126/science.1253486?casa_token=SQl_9QWlTaMAAAAA:-QLuKaNK3ooZg5pzhSlRKDtsolqO9LFOVaRpixBHzeOpNXKbOfo2EgiKaDjPsUKHGTt53omJLiXPjQ","https://scholar.google.com/scholar?q=related:kaGTNiv0sG8J:scholar.google.com/&scioq=source:science+%221095+9203%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
