Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
7,"PS Grant, M Vavrík, V Porte, R Meyrelles, N Maulide","Remote proton elimination: C–H activation enabled by distal acidification",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adi8997?casa_token=chewpoIuvb0AAAAA:ff6G24myvbLwv5-tE0SWOZG5MfuvnU8pfungLJoc2R0D6vc99bdFZVU6RZa4F9KB2Guubn7aIEbMMQ","https://scholar.google.com/scholar?cites=16572756404438596972&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-14 21:57:05","","10.1126/science.adi8997","","",,,,,7,7.00,1,5,1,"… 1, B and C). As we will show, … Next, we leveraged additional DFT calculations to deepen our understanding of the selectivity of the remote elimination over β elimination, as well as the …","https://www.science.org/doi/full/10.1126/science.adi8997?casa_token=SL0uNjAVZ68AAAAA:Lls_WkIAlMPJ2Oc1w_j8oMgWNJvIyCZhqbBQdc-5QbbCp8kJ4eCsOt1Ul13CDf9rPD-jMLpSkIYUwg","https://scholar.google.com/scholar?q=related:bH2kwyRC_uUJ:scholar.google.com/&scioq=source:science+%221095+9203%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"C Hu, XF Wang, J Li, XY Chang, LL Liu","A stable rhodium-coordinated carbene with a σ0π2 electronic configuration",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adk6533?casa_token=2ZQqVKTwnWkAAAAA:dqL-sRY4Jl-4hPFXMft_Ecxm-CEzcouzX0B30UBLMZQhHRt3vrwIPdmj7NBa5NOKnMgyPvcIGnPGdg","https://scholar.google.com/scholar?cites=9858736330793234039&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-14 21:57:05","","10.1126/science.adk6533","","",,,,,30,30.00,6,5,1,"… The solid-state structure of 4 is in line with the findings from our DFT calculations performed at the B3LYP(D3)/def2-SVP level (table S8). These calculations predict that 4 has a singlet …","https://www.science.org/doi/full/10.1126/science.adk6533?casa_token=6j7k_VnOR8sAAAAA:Zpk5tfNCTXSYaFT_CbLo6xF-oQYYvX1dgmOxvaJoewBoeSlnXsEypg0GDxDha81u4pj0UCjn-KLvjA","https://scholar.google.com/scholar?q=related:dy4rg3VE0YgJ:scholar.google.com/&scioq=source:science+%221095+9203%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"ER Wearing, YC Yeh, GG Terrones, SG Parikh, ...","Visible light–mediated aza Paternò–Büchi reaction of acyclic oximes and alkenes to azetidines",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adj6771?casa_token=ZrnAovsyBbYAAAAA:I4x-H0WkKG7xSOBDn4RzJ53fT2WVWK0h6CFAKMr3U5UTo2_BC69GWympuHY5O67zUjf3huwWKpPvgQ","https://scholar.google.com/scholar?cites=1374481926778404316&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-14 21:57:05","","10.1126/science.adj6771","","",,,,,21,21.00,4,5,1,"… in the synthesis of epi-penaresidin B. Density functional theory computations reveal that a … diene 64 from hydrogenation of 62 followed by elimination of the methoxy group in 63. Given …","https://www.science.org/doi/full/10.1126/science.adj6771?casa_token=lVA8I-OfObgAAAAA:ifZkoXDuVwQk0OwYms1pMp0vh9VdKE-VKMHivIciuIJbbo884leL5XiIgztV3Yr8hPoFcM89HvRndA","https://scholar.google.com/scholar?q=related:3D3SswckExMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
207,"ASS Wilson, MS Hill, MF Mahon, C Dinoi, L Maron","Organocalcium-mediated nucleophilic alkylation of benzene",2017,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aao5923","https://scholar.google.com/scholar?cites=553418355617595743&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-14 21:57:05","","10.1126/science.aao5923","","",,,,,207,25.88,41,5,8,"… These latter compounds were thus deduced to be unstable toward β-hydride elimination and the … The formation of compound 9 was studied by means of density functional theory (DFT; …","https://www.science.org/doi/full/10.1126/science.aao5923","https://scholar.google.com/scholar?q=related:X4HE8g8jrgcJ:scholar.google.com/&scioq=source:science+%221095+9203%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"L McDermott, ZG Walters, SA French, AM Clark, J Ding, ...","A solution to the anti-Bredt olefin synthesis problem",2024,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adq3519?casa_token=FWQa66AsArsAAAAA:fj3PsAlHBE3jamZia_WW1_0rTO346ep2KsJILSLStAa81JLxEcxvb0Xj4e9XMDqUb1AE04uZZEgT-w","https://scholar.google.com/scholar?cites=10625879010440710619&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-14 21:57:05","","10.1126/science.adq3519","","",,,,,11,11.00,2,6,1,"… , we opted to revisit Kobayashi-type elimination chemistry (4). The … Using DFT, we compared the energetics and geometries of … The result further suggests that Kobayashi elimination to …","https://www.science.org/doi/full/10.1126/science.adq3519?casa_token=7TpRU2uq1bgAAAAA:F-q4BOxvWd-h-Pi-DrQqJnwbeRW_JyfH4QV1Gj0kF6j2SjqYGyrfhkboNK7a6KJrXrhYXX1Wlg6LsQ","https://scholar.google.com/scholar?q=related:2wmZY6m0dpMJ:scholar.google.com/&scioq=source:science+%221095+9203%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
233,"YJ Yu, FL Zhang, TY Peng, CL Wang, J Cheng, C Chen, ...","Sequential C–F bond functionalizations of trifluoroacetamides and acetates via spin-center shifts",2021,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.abg0781","https://scholar.google.com/scholar?cites=17596060805285194705&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-14 21:57:05","","10.1126/science.abg0781","","",,,,,233,58.25,33,7,4,"… carbon-centered radical with the elimination of water as a coproduct. … However, in our case, density functional theory (DFT) … DFT calculations at level A and level B both suggest that the …","https://www.science.org/doi/full/10.1126/science.abg0781","https://scholar.google.com/scholar?q=related:0asyERPEMfQJ:scholar.google.com/&scioq=source:science+%221095+9203%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
113,"MD Levin, TQ Chen, ME Neubig, CM Hong, ...","A catalytic fluoride-rebound mechanism for C(sp3)-CF3 bond formation",2017,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aan1411","https://scholar.google.com/scholar?cites=17296091308431309233&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-14 21:57:05","","10.1126/science.aan1411","","",,,,,113,14.13,23,5,8,"… Although migratory insertion at Au(III) is comparatively rarer, density functional theory (DFT) … of its reductive elimination chemistry with 19 F NMR spectroscopy. (B) Radiosynthesis of …","https://www.science.org/doi/full/10.1126/science.aan1411","https://scholar.google.com/scholar?q=related:sfnECWgPCPAJ:scholar.google.com/&scioq=source:science+%221095+9203%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
62,"JR Ludwig, RB Watson, DJ Nasrallah, JB Gianino, ...","Interrupted carbonyl-olefin metathesis via oxygen atom transfer",2018,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aar8238","https://scholar.google.com/scholar?cites=6449346509020039610&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-14 21:57:05","","10.1126/science.aar8238","","",,,,,62,8.86,12,5,7,"… (B) Density functional theory studies of the reaction pathway … Elimination and subsequent protonation of the resulting … and carbocation 70 is quenched via elimination to result in diene 72…","https://www.science.org/doi/full/10.1126/science.aar8238","https://scholar.google.com/scholar?q=related:uomL13qugFkJ:scholar.google.com/&scioq=source:science+%221095+9203%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"Z He, JA Moreno, M Swain, J Wu, O Kwon","Aminodealkenylation: Ozonolysis and copper catalysis convert C(sp3)–C(sp2) bonds to C(sp3)–N bonds",2023,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.adi4758","https://scholar.google.com/scholar?cites=8566691668983738544&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-14 21:57:05","","10.1126/science.adi4758","","",,,,,26,13.00,5,5,2,"Great efforts have been directed toward alkene π bond amination. In contrast, analogous functionalization of the adjacent C(sp 3 )–C(sp 2 ) σ bonds is much rarer. Here we report how …","https://www.science.org/doi/full/10.1126/science.adi4758","https://scholar.google.com/scholar?q=related:sPASRq8A43YJ:scholar.google.com/&scioq=source:science+%221095+9203%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"SK Nistanaki, CG Williams, B Wigman, JJ Wong, ...","Catalytic asymmetric C–H insertion reactions of vinyl carbocations",2022,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.ade5320","https://scholar.google.com/scholar?cites=8501877759869313310&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-14 21:57:05","","10.1126/science.ade5320","","",,,,,45,15.00,9,5,3,"… , which avoids deleterious E1 elimination or S N 1 … stereoselectivity, density functional theory (DFT) calculations … relevant structures were submitted for DFT optimization at the PBE1PBE-…","https://www.science.org/doi/full/10.1126/science.ade5320","https://scholar.google.com/scholar?q=related:HuHNGMe8_HUJ:scholar.google.com/&scioq=source:science+%221095+9203%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
