Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"H Sun, J Liu","Advancing CO2RR with O-Coordinated Single-Atom Nanozymes: A DFT and Machine Learning Exploration",2024,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.4c02799?casa_token=QY_fuzwvrk4AAAAA:SNrf1b62JJaPKW46OIUJTaOgbW7OeJebLP_oitq49sESDIQer7IwX5BWm1JVJR6QGdBop2bMue75vdI&casa_token=iYuRsJfHtBIAAAAA:I2kydr5UwTdVjttJVsCVYWbd12j_vtLGjQDnFtPJAKVH0d2Oje7OAE8D4B5NVI_eYu9paOjLgdt-HFg","https://scholar.google.com/scholar?cites=8271611692715506736&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-20 22:36:46","","10.1021/acscatal.4c02799","","",,,,,12,12.00,6,2,1,"… CO 2 RR performances of 260 SANs using a synergetic workflow of density functional theory (DFT… After considering thermodynamic/electrochemical stability, CO 2 RR activity, product …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.4c02799?casa_token=GtwbKiXTOAMAAAAA:EpBl7Uo3pQ8YM8gGSETYdRxQ2MGHrvf75GSxwtBSXxTZAMhS97jE6IHYI01ZpCtJclUsRvn5ycETeF0","https://scholar.google.com/scholar?q=related:MHxGeAKrynIJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
480,"TK Todorova, MW Schreiber, M Fontecave","Mechanistic Understanding of CO2 Reduction Reaction (CO2RR) Toward Multicarbon Products by Heterogeneous Copper-Based Catalysts",2019,"Acs Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.9b04746?casa_token=wyqCUWyW1-0AAAAA:oEt35Td-z2grKl9ecggJAWnjdgCLPHwV5pz3exuGzhTSHwhOjXpaHAJ7WMhAM0oZ6-S4OFoa4nmVUc0","https://scholar.google.com/scholar?cites=10455213457342167746&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-20 22:36:46","","10.1021/acscatal.9b04746","","",,,,,480,80.00,160,3,6,"… density functional theory have been widely used to provide an atomistic understanding of the CO2RR … conditions in the ab initio simulations of CO2RR—the complexity of the reaction …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.9b04746?casa_token=GNsQZYlud7YAAAAA:r3_gEkRaDhHxaw9HvTMMZ5hD_EcXrhZz0TGUhB0nQhjViqbMhaMerS2v4o-jBEVRmCdpmVRSLzcHkOs","https://scholar.google.com/scholar?q=related:wnrDzz5hGJEJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
78,"H Cao, Z Zhang, JW Chen, YG Wang","Potential-Dependent Free Energy Relationship in Interpreting the Electrochemical Performance of CO2 Reduction on Single Atom Catalysts",2022,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c01470?casa_token=CsjHOPQVPZkAAAAA:lgrSMETlVQyp-gQi7Q2V-6NOVue-zhtUDFubiq3R0zE_4wkiilsdf5am-IlTDpafwdljoogSBfXi9kI","https://scholar.google.com/scholar?cites=2201488544754288161&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-20 22:36:46","","10.1021/acscatal.2c01470","","",,,,,78,26.00,20,4,3,"… for the CO 2 reduction reaction (CO 2 RR) on the popular single-… for key elementary steps of CO 2 RR and HER, of which the … Density functional theory (DFT) calculation has been widely …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.2c01470?casa_token=9ZxriEF8avcAAAAA:nyiFZDlJPiaHLOHqp5R_IQ9BugjzUNPcPnX_1MJJKOuDqquOujHDsm_HKsru-VIA8Kp_pfr_UzxaN8Q","https://scholar.google.com/scholar?q=related:IcYr3ypCjR4J:scholar.google.com/&scioq=source:%22acs+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
144,"J Wang, YC Huang, Y Wang, H Deng, Y Shi, D Wei…","Atomically Dispersed Metal–Nitrogen–Carbon Catalysts with d-Orbital Electronic Configuration-Dependent Selectivity for Electrochemical CO2-to-CO Reduction",2023,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c05249?casa_token=mHsdZ-moNvYAAAAA:IuiC9qZ8kyXarV4KVAxJ-ijP0I3mIykhnoLyY_dJMz91C76wWJe0VEnDbMLTgJ9Sir15cCN536ba-us","https://scholar.google.com/scholar?cites=2676110079829809821&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-20 22:36:46","","10.1021/acscatal.2c05249","","",,,,,144,72.00,21,7,2,"… the abundant active sites for CO 2 RR, which well supports its superior CO 2 RR performance. The charge… The crystal-field theory and DFT calculations reveal that the d-orbital electronic …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.2c05249?casa_token=EA3uB8eiin8AAAAA:ctGBvRW4vKhW0o2nz68JN1J4GzR6US1ZYspCrQY7sR2M6IsoMMga0KQszHLDrN7HugafdqNDt18G5tU","https://scholar.google.com/scholar?q=related:nRoZYPBzIyUJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
52,"Q Zhu, Y Gu, X Liang, X Wang, J Ma","A Machine Learning Model To Predict CO2 Reduction Reactivity and Products Transferred from Metal-Zeolites",2022,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c03250?casa_token=L9c1Q-0lEcgAAAAA:RuJIyFBhBZEVXnvD7W_UFPHsmhFrkODc1CKCyxLyzf7ToEw1hc5dIZfAbdGHn3Pnxug7oPAf7041zpA&casa_token=zvMTB1XiUVYAAAAA:cPbgHeX_p5YiyLt7EWrUyd6AVTd2Ki20RJ1SJNdP7L4aT_IWy_1UA7aXRUF0tOscg-a9G3CpA7mDzHk","https://scholar.google.com/scholar?cites=15406175317679178431&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-20 22:36:46","","10.1021/acscatal.2c03250","","",,,,,52,17.33,10,5,3,"… CO 2 RR process in both the DFT calculation and ML prediction. The ΔG max of 2D-MOF, Mo 3 (HAB) 2 , was predicted to be 0.65 eV, in agreement with the DFT … with DFT calculation, …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.2c03250?casa_token=cmtD3MwlX0oAAAAA:g8klaVux4sn56Ait3QT8mr4b4bRNzIEpRRjCvrokCxd420PXCC53CwXDlev-XmrZsfPOqfrmscaCsNY","https://scholar.google.com/scholar?q=related:v4KoddO6zdUJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
393,"JK Pedersen, TAA Batchelor, A Bagger…","High-Entropy Alloys as Catalysts for the CO2 and CO Reduction Reactions",2020,"ACS catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.9b04343?casa_token=V4HefBjhhLsAAAAA:1ItL52-109IGdojj24trNF_zJ_T7J0s_NgEBRY9sc_LQ2ECUrlVsleQBZD84rewP7aXgzwY4V52R_Nc","https://scholar.google.com/scholar?cites=727839986180834653&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-20 22:36:46","","10.1021/acscatal.9b04343","","",,,,,393,78.60,98,4,5,"… density functional theory (DFT) … CO 2 RR catalyst given above, we can scan massive spaces of disordered alloys for candidates that have at least a chance of being suitable CO 2 RR …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.9b04343?casa_token=G9Zn7cjZsWEAAAAA:eSj5aj55qx-PEr5sSI_Ztw1tc5aK3H1F12WQcxVb5mYbRJ8cbc_W9dGMJ9NdXFpPPZM4CakSch1fqiE","https://scholar.google.com/scholar?q=related:XUWidZzOGQoJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"AG Yohannes, C Lee, P Talebi, DH Mok…","Combined High-Throughput DFT and ML Screening of Transition Metal Nitrides for Electrochemical CO2 Reduction",2023,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.3c01249","https://scholar.google.com/scholar?cites=11850358125513266050&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-20 22:36:46","","10.1021/acscatal.3c01249","","",,,,,33,16.50,7,5,2,"… density functional theory (DFT) calculations to screen ∼800 transition metal nitrides and identify potential catalysts for CO 2 RR. … of high-throughput DFT screening and design strategy …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.3c01249","https://scholar.google.com/scholar?q=related:gtNh5O3tdKQJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"J Wang, Y Song, C Chen, X Zhao, W Fan","Trade-Off between the Coordination Environment and Active-Site Density on Fe–NxCy–C Catalysts for Enhanced Electrochemical CO2 Reduction to CO",2023,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.3c04976?casa_token=vHpykCHjy6sAAAAA:wHm3doRVfAQpVoal4mWSiZTjzWj9CSWzfMAwHC04G6l5HFlJwwUxPDNjDfSWxIL_ENw2oIxfjdZ0swk","https://scholar.google.com/scholar?cites=8530845621019053573&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-20 22:36:46","","10.1021/acscatal.3c04976","","",,,,,20,10.00,4,5,2,"… species at adjacent sites on the CO 2 RR in high-density Fe–… of the CO 2 RR to CO were studied using DFT calculations. … the two key parameters for the CO 2 RR. In addition, we …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.3c04976?casa_token=y3DD8E0zrpsAAAAA:npFwSac0Gh5AqV5oJWZy5DK6vY2Aw2Y4yWCHXku84HXEZuKHYA4MI7uGFLKU4lF_D3otKzOydiXviiY","https://scholar.google.com/scholar?q=related:BY6J2uSmY3YJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"G Hai, X Xue, S Feng, Y Ma, X Huang","High-Throughput Computational Screening of Metal–Organic Frameworks as High-Performance Electrocatalysts for CO2RR",2022,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c05155?casa_token=o46EldWWPNIAAAAA:NM0iWdqcXSJVP_S64UaP0B5rf_RVH_zhoesbwZ-XLukfF39sUVxIBS8VV2cDeiPkNbrnb29anLcT7h4&casa_token=EydCBXO6PBEAAAAA:pFnmzgLyVo97dKvfUnlish23rbIkuWO9NXmmsqsm3xhB70WUehwGzHEtSvC0z7x3MmVzbUszpUchKQU","https://scholar.google.com/scholar?cites=10148015350244587376&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-20 22:36:46","","10.1021/acscatal.2c05155","","",,,,,45,15.00,9,5,3,"… for the carbon dioxide reduction reaction (CO 2 RR) due to their various excellent properties… for electrocatalytic CO 2 RR. Furthermore, based on density functional theory calculations, …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.2c05155?casa_token=qfLZeqJF6GkAAAAA:P2rEM1VBYtbB3O_Qh8rQ7zBDnNPgS9RjhkWQZcam3IQHfkEGxUlXiOrddLIg9Dj7LKspmpz6ptzmNoE","https://scholar.google.com/scholar?q=related:cDeKzjH-1IwJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"H Zhao, H Cao, Z Zhang, YG Wang","Modeling the Potential-Dependent Kinetics of CO2 Electroreduction on Single-Nickel Atom Catalysts with Explicit Solvation",2022,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c02383?casa_token=PsClCuaP8bQAAAAA:XLDtjQqfsGp-OcX8tpA6TuD4TBrdsJb1JkJxOM-hjHx2okyboteFHn9f4_kQ_x3gl2epDOVxuM_UkNQ&casa_token=Uwpm085TwdkAAAAA:txH4Z6UUgpNR9_LbyYOG_86YJubBVKcy7l6_oWGBTrvSOZ-NUhoCGjiBGu7uYcjyQhRbRkUYV4c9xMo","https://scholar.google.com/scholar?cites=10035309866422713291&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-20 22:36:46","","10.1021/acscatal.2c02383","","",,,,,43,14.33,11,4,3,"… the onset potentials of the CO 2 RR under both basic and … origin and thermodynamic CO 2 RR analysis could inspire … electrocatalytic CO 2 RR, static density functional theory (DFT) …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.2c02383?casa_token=TDOYYm5RM48AAAAA:VURmsvXtk7iuz7-nq40TvvoxZkeXYuRVffnj0P6iUtnUX16bKC_ILIvETi5KED52K14wvOPvCBwNEO8","https://scholar.google.com/scholar?q=related:yzsZdyeVRIsJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
