Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"S Zhao, H Geng, T Zhang, M Tan, J Yao, J Fan, ...","Molecular Regulator in Mordenite-Catalyzed DME Carbonylation: Eliminating Deactivation Sites, Modulating Microenvironments, and Enhancing Activity",2025,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.5c00739","",34,"2025-05-19 15:45:34","","10.1021/acscatal.5c00739","","",,,,,0,0.00,0,7,1,"… To compare the spatial distribution of adsorption sites, we performed DFT simulations for … The in situ temperature-programmed reaction profiles of DME carbonylation are shown in …","","https://scholar.google.com/scholar?q=related:mbmC8HC5lvAJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Wang, C Dong, M Shamzhy, M Marinova, Z Guo, ...","Stoichiometric Selective Carbonylation of Methane to Acetic Acid by Chemical Looping",2025,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.4c07095","",40,"2025-05-19 15:45:34","","10.1021/acscatal.4c07095","","",,,,,0,0.00,0,6,1,"… industry, produced nowadays by the carbonylation of methanol over homogeneous Rh and … selective stoichiometric synthesis of AcOH by carbonylation of methane with CO using single-…","https://pubs.acs.org/doi/full/10.1021/acscatal.4c07095","https://scholar.google.com/scholar?q=related:oJ5jZLivjoEJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"Y Zhu, Y Xue, Z Wang, D Chao","Robust Noble Metal-Free Photoconversion of CO2 to CO with a Molecule/MOF Hybrid Catalyst for Straightforward Two-Chamber Organic Carbonylation",2025,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.4c07343","https://scholar.google.com/scholar?cites=16323906255692456846&as_sdt=2005&sciodt=0,5&hl=en",43,"2025-05-19 15:45:34","","10.1021/acscatal.4c07343","","",,,,,2,2.00,1,4,1,"Conversion of CO 2 is essential for advancing practical applications of photocatalytic CO 2 reduction. Herein, we report the application of robust CO 2 photoreduction in facilely handling …","","https://scholar.google.com/scholar?q=related:jmNTdUAqiuIJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"J Liu, RJ Rama, T Cordero-Lanzac, MEA Safy, ...","Outer-Sphere CO Release Mechanism in the Methanol-to-Syngas Reaction Catalyzed by a Ru-PNP Pincer Complex",2025,"… catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.4c06818","https://scholar.google.com/scholar?cites=4301561977473869403&as_sdt=2005&sciodt=0,5&hl=en",111,"2025-05-19 15:45:34","","10.1021/acscatal.4c06818","","",,,,,1,1.00,0,5,1,"… In this work, density functional theory (DFT) methods were … mechanism was studied using DFT calculations and analyzed … relevant for optimizing carbonylation reactions using methanol …","https://pubs.acs.org/doi/full/10.1021/acscatal.4c06818","https://scholar.google.com/scholar?q=related:Wyao7tM3sjsJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"H Jiao, GC Wang","A Comprehensive Theoretical Study of the Mechanism for Dry Reforming of Methane on a Ni4/ZrO2(101) Catalyst Under External Electric Fields: The Role of …",2025,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.4c05758","https://scholar.google.com/scholar?cites=14200060993861617563&as_sdt=2005&sciodt=0,5&hl=en",180,"2025-05-19 15:45:34","","10.1021/acscatal.4c05758","","",,,,,3,3.00,2,2,1,"… Herein, the mechanisms of the DRM reaction on the Ni 4 /ZrO 2 (101) catalyst under different electric fields were comprehensively investigated using density functional theory (DFT) and …","","https://scholar.google.com/scholar?q=related:m4cAID3AEMUJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"M Liao, C Geng, Z Wu, C Pan, C Wang, G Meng, ...","Copper-Catalyzed Enantioselective Three-Component Fluoroalkylalkynylation of Unactivated Alkenes",2025,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.4c06641","https://scholar.google.com/scholar?cites=11441543427259724558&as_sdt=2005&sciodt=0,5&hl=en",203,"2025-05-19 15:45:34","","10.1021/acscatal.4c06641","","",,,,,1,1.00,0,7,1,"… the origin of enantioselectivity, density functional theory (DFT) calculations were performed … , four different coupling pathways were considered in DFT calculations, including the inner-…","","https://scholar.google.com/scholar?q=related:DnMFkCCHyJ4J:scholar.google.com/&scioq=source:%22acs+catalysis%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Zuo, L Ye, W Yang, B Peng, J Zhang, X Shu, ...","Optimizing Ethylene Production through Enhanced Monomolecular β-Scission in Confined Catalytic Cracking of Olefin",2025,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.4c05323","https://scholar.google.com/scholar?cites=8017848087521567618&as_sdt=2005&sciodt=0,5&hl=en",236,"2025-05-19 15:45:34","","10.1021/acscatal.4c05323","","",,,,,1,1.00,0,7,1,"… On the basis of improving the ethylene production, density functional theory (DFT) is applied to reveal the optimal reaction pathways of 1-pentene catalytic cracking at high temperatures …","","https://scholar.google.com/scholar?q=related:gqPE71oeRW8J:scholar.google.com/&scioq=source:%22acs+catalysis%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"L Kilburn, D Salomé Rivera, EE Bickel Rogers, ...","Assessing the Influence of Void Environment in MFI Zeolites on Propene Oligomerization Kinetics Using a Combined Computational and Experimental Approach",2025,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.5c00392","",254,"2025-05-19 15:45:34","","10.1021/acscatal.5c00392","","",,,,,0,0.00,0,4,1,"… adsorbates and the zeolite framework were estimated using DFT-D3 methods at one O-site … assistance of DFT-predicted SDA–Al interaction energies and arene alkylation barriers. DFT-…","https://hibbitts.rc.ufl.edu/pdfs/10.1021.acscatal.5c00392.pdf","https://scholar.google.com/scholar?q=related:DUPIo2mdaLUJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"L Yao, X Zou, J Zhang, YZ Liu, Q Wang, H Zheng, ...","Asymmetric Trapping of Siloxyketenes In Situ Generated from [1, 3]-Silyl Migration of α-Ketoacylsilanes: A Visible-Light-Driven Palladium-Catalyzed [4+ 2] …",2025,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.5c01239","https://scholar.google.com/scholar?cites=173149962067743273&as_sdt=2005&sciodt=0,5&hl=en",255,"2025-05-19 15:45:34","","10.1021/acscatal.5c01239","","",,,,,1,1.00,0,7,1,"… Comprehensive DFT calculations demonstrated the origins of the diastereo- and enantioselectivity. Ultimately, this methodology not only breaks through the limitations of ketene …","","https://scholar.google.com/scholar?q=related:KZLrHfkmZwIJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"C Su, HH Huang, Z Huang, Z Chen, A Mo, ...","Product Control in Visible-Light-Driven CO2 Reduction by Switching Metal Centers of Binuclear Catalysts",2025,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.4c04800","https://scholar.google.com/scholar?cites=4770841373030945804&as_sdt=2005&sciodt=0,5&hl=en",266,"2025-05-19 15:45:34","","10.1021/acscatal.4c04800","","",,,,,2,2.00,0,6,1,"… This implies the complicated acetate-dissociation processes involved in the redox events, while its possible pathways have been preliminarily revealed by our DFT results. …","","https://scholar.google.com/scholar?q=related:DBQ_p_NuNUIJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
