Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
70,"L Falivene, SM Kozlov, L Cavallo","Constructing bridges between computational tools in heterogeneous and homogeneous catalysis",2018,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.8b00042","https://scholar.google.com/scholar?cites=12994322851033032585&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 00:04:05","","10.1021/acscatal.8b00042","","",,,,,70,10.00,23,3,7,"… sites of homogeneous and heterogeneous catalysts. The … reactivity of homogeneous and heterogeneous catalysts is usually … For example, reactivity of homogeneous catalysts is often …","https://repository.kaust.edu.sa/bitstream/10754/627896/1/acscatal.8b00042.pdf","https://scholar.google.com/scholar?q=related:iaeQQMkbVbQJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
239,"JN Harvey, F Himo, F Maseras, L Perrin","Scope and challenge of computational methods for studying mechanism and reactivity in homogeneous catalysis",2019,"Acs Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.9b01537","https://scholar.google.com/scholar?cites=15907672395789822691&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 00:04:05","","10.1021/acscatal.9b01537","","",,,,,239,39.83,60,4,6,"… a DFT functional that neglects dispersion effects or describes them poorly, such as most of the functionals that were heavily used in the 90s and 00s for study of homogeneous catalysis. …","https://hal.science/hal-03006419/file/ACS_Catalysis_Persp_HAL.pdf","https://scholar.google.com/scholar?q=related:4-pW8sJnw9wJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
111,"CA Gaggioli, SJ Stoneburner, CJ Cramer…","Beyond density functional theory: the multiconfigurational approach to model heterogeneous catalysis",2019,"ACS catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.9b01775","https://scholar.google.com/scholar?cites=11863175379759030425&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 00:04:05","","10.1021/acscatal.9b01775","","",,,,,111,18.50,28,4,6,"… homogeneous systems. Finally, in Section 6, we offer our outlook with respect to going beyond DFT in future computational catalytic studies. … calculations on homogeneous catalysts or …","","https://scholar.google.com/scholar?q=related:mWCycid3oqQJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"R Fu, RJ Nielsen, WA Goddard III, GC Fortman…","DFT virtual screening identifies rhodium–amidinate complexes as potential homogeneous catalysts for methane-to-methanol oxidation",2014,"… catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/cs5005322","https://scholar.google.com/scholar?cites=5978829132469176679&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 00:04:05","","10.1021/cs5005322","","",,,,,27,2.45,5,5,11,"… Here, we used density functional theory (DFT) at the B3LYP and M06 levels, including both implicit and explicit solvation, for systematic searches over possible reactions mechanisms …","https://www.osti.gov/pages/servlets/purl/1607792","https://scholar.google.com/scholar?q=related:ZwmVNWsR-VIJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"GM Zhao, H Liu, X Huang, X Yang, Y Xie","DFT study on the homogeneous palladium-catalyzed N-alkylation of amines with alcohols",2015,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.5b01043","https://scholar.google.com/scholar?cites=2660308318336744998&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 00:04:05","","10.1021/acscatal.5b01043","","",,,,,29,2.90,6,5,10,"… Intrigued by the highly efficient and easily scaled-up characteristics of this new catalytic system, we perform a thorough DFT study to understand the catalytic mechanism. Our …","","https://scholar.google.com/scholar?q=related:Jn56E1JQ6yQJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
185,"M Foscato, VR Jensen","Automated in silico design of homogeneous catalysts",2020,"ACS catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.9b04952","https://scholar.google.com/scholar?cites=9909699901166380820&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 00:04:05","","10.1021/acscatal.9b04952","","",,,,,185,37.00,93,2,5,"… (67) In general, these protocols involve the construction of a TS structure guess, a conformational search, preoptimization, geometry optimization with density functional theory (DFT), …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.9b04952","https://scholar.google.com/scholar?q=related:FOe-Z45ThokJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
125,"R Xu, S Chakraborty, SM Bellows, H Yuan…","Iron-catalyzed homogeneous hydrogenation of alkenes under mild conditions by a stepwise, bifunctional mechanism",2016,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.5b02674","https://scholar.google.com/scholar?cites=13529173448857241502&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 00:04:05","","10.1021/acscatal.5b02674","","",,,,,125,13.89,25,5,9,"… homogeneous catalysts bearing a bis(phosphino)amine pincer ligand. Under standard catalytic … DFT calculations support the hypothesis that the activation barriers of nonpolarized (…","","https://scholar.google.com/scholar?q=related:nkfIM5JHwbsJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
165,"AN Kim, BM Stoltz","Recent advances in homogeneous catalysts for the asymmetric hydrogenation of heteroarenes",2020,"ACS catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.0c03958","https://scholar.google.com/scholar?cites=4100667270503694192&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 00:04:05","","10.1021/acscatal.0c03958","","",,,,,165,33.00,83,2,5,"… Zhang and co-workers performed DFT calculations to gain insight into the mechanism of the Rh-catalyzed transformation (Figure 7). (43c) Rh(I) catalyst 86 undergoes oxidative addition …","https://pmc.ncbi.nlm.nih.gov/articles/PMC8460131/pdf/nihms-1662604.pdf","https://scholar.google.com/scholar?q=related:cH9xACh_6DgJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"AA Kolganov, A Sreenithya, EA Pidko","Homogeneous Catalysis in Plastic Waste Upcycling: A DFT Study on the Role of Imperfections in Polymer Chains",2023,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.3c03269","https://scholar.google.com/scholar?cites=8964138808135628960&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 00:04:05","","10.1021/acscatal.3c03269","","",,,,,9,4.50,3,3,2,"… catalysis and has not received sufficient attention in mechanistic studies on this subject. Herein, we present a density functional theory … )-Ir pincer complex catalyzed dehydrogenation of …","https://pubs.acs.org/doi/full/10.1021/acscatal.3c03269","https://scholar.google.com/scholar?q=related:oLg3gMAEZ3wJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"J Zhang, AH Mason, A Motta, LG Cesar, Y Kratish…","Surface vs homogeneous organo-hafnium catalyst ion-pairing and ligand effects on ethylene homo-and copolymerizations",2021,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.0c04678","https://scholar.google.com/scholar?cites=15391549442133570164&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 00:04:05","","10.1021/acscatal.0c04678","","",,,,,26,6.50,4,6,4,"… of the corresponding homogeneous catalysts, L H -HfMe 3 >L Me -HfMe 3 >L Naph -HfMe 2 (Figure 5A and Table 4). Note that the DFT analysis reveals that catalytic activity scales …","https://www.osti.gov/servlets/purl/1870860","https://scholar.google.com/scholar?q=related:dLI7cavEmdUJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
