Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
85,"JF Sonnenberg, KY Wan, PE Sues, RH Morris","Ketone Asymmetric Hydrogenation Catalyzed by P-NH-P′ Pincer Iron Catalysts: An Experimental and Computational Study",2017,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.6b02489?casa_token=JA4qBclQLv4AAAAA:aurKWr93XOb73OybmMySOS34j1-RAhNzkFXOC-U_WAaM9jH4SFxWJ5QFq5xqsnCbOAVYZysesE2bnuE","https://scholar.google.com/scholar?cites=18129781204847560098&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-20 22:54:37","","10.1021/acscatal.6b02489","","",,,,,85,10.63,21,4,8,"… spectroscopy and DFT calculations into the nature of the active hydride species present during catalyst activation and catalysis using complexes (S,S)-1 or 2 for ketone hydrogenation. …","https://pubs.acs.org/doi/full/10.1021/acscatal.6b02489?casa_token=_Q1Bzl8A3k8AAAAA:WV0IgBQ0de63RSTzDWUphCTXc-VTYBpS2u8MvZ1bsLMnHspshWu5vmjRS_TgWvAs4J4x-8RTu8d_Khg","https://scholar.google.com/scholar?q=related:ogV-OvPrmfsJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
255,"MS Ide, B Hao, M Neurock, RJ Davis","Mechanistic insights on the hydrogenation of α, β-unsaturated ketones and aldehydes to unsaturated alcohols over metal catalysts",2012,"ACS catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/cs200567z?casa_token=d9Lztur7zygAAAAA:T85IkvBOVGE9ith7uOfs_9M_wn4znpDrpfffkOcKBcBptpAdKL2mj6TS_P_GZpXrOZf09dlecKS16Jk","https://scholar.google.com/scholar?cites=7422212881438462045&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-20 22:54:37","","10.1021/cs200567z","","",,,,,255,19.62,64,4,13,"… for most α,β-unsaturated ketone hydrogenation reactions over Pd, Pt, … is combined with density functional theory (DFT) quantum … during the hydrogenation of α,β-unsaturated ketones to …","https://pubs.acs.org/doi/pdf/10.1021/cs200567z?casa_token=SxdxhfdGoaoAAAAA:kaFyHHPOjDJD8ayJ9VBKPkFrb1Zj1F5iyW2d8mXJuRKXMnWICMSx17amT4oljEC82ED6L0w5znaxOPE","https://scholar.google.com/scholar?q=related:XdB3hUr_AGcJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"JE De Vrieze, CA Urbina Blanco, JW Thybaut…","Autocatalytic role of molecular hydrogen in copper-catalyzed transfer hydrogenation of ketones",2019,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.9b01759?casa_token=ASUSGqWDveYAAAAA:A2q60eB-JbryqL8FLNzVKLtdJU5wUcIVF6NHLxLK9O4g_diCXP8YpXZtB-Z3rzQTAag3Z2iIfG-kOlY","https://scholar.google.com/scholar?cites=11974499228474214134&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-20 22:54:37","","10.1021/acscatal.9b01759","","",,,,,21,3.50,5,4,6,"… than a dehydrogenation–hydrogenation mechanism, there is also direct proton transfer between the sacrificial alcohol and the reacting ketone. The ketone is hydrogenated to a stable …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.9b01759?casa_token=B-yOaccL7GMAAAAA:JzsRRAInsXC3PB0MAPwS1Msb4BUSMVRg_mGNMIq38a8JfrL7TmsewHXc7qYkawceijCGNknUv0RJgUc","https://scholar.google.com/scholar?q=related:9gZlzJr3LaYJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"JE De Vrieze, JW Thybaut, M Saeys","Role of keto–enol tautomerization in the copper-catalyzed hydrogenation of ketones",2019,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.9b00279?casa_token=YUPY0LjjBhQAAAAA:E92Bw2R_PQJTzFA4L1eE5GKvUOP_9yaOnbNuHXM6twWedeSSRo49fhtuBUeOnfJ1_LCHgSnidPYOJ8E","https://scholar.google.com/scholar?cites=3359912148489632182&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-20 22:54:37","","10.1021/acscatal.9b00279","","",,,,,32,5.33,11,3,6,"… hydrogenation becomes rate-limiting. We illustrate this change in mechanism for acetol hydrogenation, … , and ultimately to ketone hydrogenation with increasing water:acetol feed ratio. …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.9b00279?casa_token=KPmqxh2F1CAAAAAA:JLidmmOmuLUL3bi2_1MuXjz6LiK9xwHnSn-rIdQ3YFp9p-9TuUGHGVr9Bveqgtvf4NThWl97eGAbkAs","https://scholar.google.com/scholar?q=related:tnk-J0zOoC4J:scholar.google.com/&scioq=source:%22acs+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
49,"JE De Vrieze, JW Thybaut, M Saeys","Role of surface hydroxyl species in copper-catalyzed hydrogenation of ketones",2018,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.8b01652?casa_token=GtXUw-8JCxcAAAAA:x9U7YsZBFmWs09r28__3D9m1EpnzjdX9rHyGq9tWKUeNGIkr4SsWGa9PmcZchEa9MYlOdpASrhWRKsg","https://scholar.google.com/scholar?cites=3146367649923737012&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-20 22:54:37","","10.1021/acscatal.8b01652","","",,,,,49,7.00,16,3,7,"… While acetone hydrogenation is selected as a model reaction for the hydrogenation of ketones, … of acetone to isopropyl alcohol, using the rate coefficients from density functional theory. …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.8b01652?casa_token=LU6VunuQOOwAAAAA:au0Sau9qHBz9225AukDd2SOTRmUpjXVHL7kwN0K1M2gOy157LE3TVXcR-Cisa9Z54MpS9l6gel-jY7k","https://scholar.google.com/scholar?q=related:tCV8GrUkqisJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"AW Pierpont, ER Batista, RL Martin, W Chen…","Origins of the regioselectivity in the lutetium triflate catalyzed ketalization of acetone with glycerol: A DFT study",2015,"… catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/cs5010932?casa_token=YiB78d3vP-AAAAAA:U28FmyyCJTPSCxlCF90AXn3GpsmzWCSw4ai6cfpt4u-cHU7DRdtJ67J5MyysY7e4kYtfvrx32Kcr55k","https://scholar.google.com/scholar?cites=4909808411003865027&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-20 22:54:37","","10.1021/cs5010932","","",,,,,24,2.40,5,5,10,"We describe DFT computations that address the regioselective preference toward the five-membered ring product 1,3-dioxolane (solketal) over the six-membered-ring product (1,3-…","https://pubs.acs.org/doi/full/10.1021/cs5010932?casa_token=ZqC2bsn_oEcAAAAA:pSi_KZW8FQfApGWU8lIOzNqSSEJA32SULwVlECa3SD8TE_AfmCxh9u5v7Q_hwm6M2xL5YwtHXhtDQ6Q","https://scholar.google.com/scholar?q=related:w0ccjbwkI0QJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"KY Wan, MMH Sung, AJ Lough, RH Morris","Half-sandwich ruthenium catalyst bearing an enantiopure primary amine tethered to an N-heterocyclic carbene for ketone hydrogenation",2017,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.7b02346?casa_token=Avq5uhVaAmEAAAAA:mXCRCySyUqtVbVgXYdE4ZVghlRL2ZrlaDqPpBgyoc7bzszYHHUO8uO7_m2LWqiQKmlENPzbmNSiMmo8","https://scholar.google.com/scholar?cites=7911836137158615396&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-20 22:54:37","","10.1021/acscatal.7b02346","","",,,,,26,3.25,7,4,8,"… hydrogenation pressure (46 bar), the catalytic hydrogenation of N-phenyl-benzylimine to the corresponding amine is efficiently achieved. The hydrogenation of prochiral ketones … DFT …","https://pubs.acs.org/doi/full/10.1021/acscatal.7b02346?casa_token=yhygJl1uSA4AAAAA:CaKR0byComnY7h2yHDb2frwrKKH0ZUYkOvFnHr83DyxlSmPTBe-0NWxUKioPHPlk1lEXZPnTvcL-yBY","https://scholar.google.com/scholar?q=related:ZCFwTAx9zG0J:scholar.google.com/&scioq=source:%22acs+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"MC Carrión, M Ruiz-Castañeda, G Espino…","Selective Catalytic Deuterium Labeling of Alcohols during a Transfer Hydrogenation Process of Ketones Using D2O as the Only Deuterium Source. Theoretical and …",2014,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/cs401224g?casa_token=hvuLzosppqgAAAAA:WCrxhgMWoNXIGTUKXSRhiC4dNFtiym0OX1MVGtwJxErVrPb8jFYW0vo98COMUlHE9cvDleB4i2d3-mg","https://scholar.google.com/scholar?cites=8836520484179679206&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-20 22:54:37","","10.1021/cs401224g","","",,,,,45,4.09,11,4,11,"… In order to obtain a detailed microscopic description and to develop a Gibbs energy landscape of the whole catalytic cycle, we computationally modeled (DFT calculations) all of the …","https://pubs.acs.org/doi/full/10.1021/cs401224g?casa_token=UJCbGezceqsAAAAA:tkcUVm9AjSPK4YG3omgeaU8C151S6498aQ7XjX0Rzp6iJlfJBwdOPKdZXEHYGF3rN1aOSr71EqK9Z2M","https://scholar.google.com/scholar?q=related:5hf-_Y-goXoJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"K Li, HR Kelly, A Franco, VS Batista, E Baráth","Dehydrogenation and Transfer Hydrogenation of Alkenones to Phenols and Ketones on Carbon-Supported Noble Metals",2024,"ACS catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.3c04849","https://scholar.google.com/scholar?cites=6506911307405610346&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-20 22:54:37","","10.1021/acscatal.3c04849","","",,,,,1,1.00,0,5,1,"… calculations based on density functional theory (DFT) allow for … DFT calculations were performed to investigate the mechanism … The DFT results show that all four of the metal surfaces …","https://pubs.acs.org/doi/full/10.1021/acscatal.3c04849","https://scholar.google.com/scholar?q=related:ak3i5lsxTVoJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
72,"R Ouyang, D Jiang","Understanding Selective Hydrogenation of α,β-Unsaturated Ketones to Unsaturated Alcohols on the Au25(SR)18 Cluster",2015,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.5b01521?casa_token=j7z6dXhrex4AAAAA:b4hCw7eJ1LQw8pjyewq9qUnrvAEaQnFYbodA4cn4N5PHQTQ8boLopGSdYBUkRo8bUYtzYBn6hY36Kzk","https://scholar.google.com/scholar?cites=3202862174405640056&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-20 22:54:37","","10.1021/acscatal.5b01521","","",,,,,72,7.20,36,2,10,"… To that end, herein we use density functional theory (DFT) calculations to gain atomic-level insights into the mechanism of the selective hydrogenation over the atomically precise Au 25 (…","https://pubs.acs.org/doi/full/10.1021/acscatal.5b01521?casa_token=BpgPU3JEbqUAAAAA:NDHfhRfvhUJOX9bXgCiNnN8huNBhqxzMVJ_-1inMkv2AQBItYn4j69Ac_jG0qbfMvwClC10Ifwwc0pc","https://scholar.google.com/scholar?q=related:eL_7mS3aciwJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
383,"S Chakraborty, PO Lagaditis, M Förster…","Well-defined iron catalysts for the acceptorless reversible dehydrogenation-hydrogenation of alcohols and ketones",2014,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/cs5009656?casa_token=68H6Purx7l8AAAAA:MSsIfux_Pp0MtXZDcOyEoMLyBaHuu4u1BGZgS4c7yli_ed770TwIUO4SyWGyP8jdzopzteEiJz08cZM","https://scholar.google.com/scholar?cites=769140053096406860&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-20 22:54:37","","10.1021/cs5009656","","",,,,,383,34.82,96,4,11,"… Our results discussed so far are in reasonably good agreement with a recent DFT study by Yang focusing on the dehydrogenation of ethanol to acetaldehyde catalyzed by complex 4. (…","https://pubs.acs.org/doi/full/10.1021/cs5009656?casa_token=ZTNErH76pnYAAAAA:ez5V-zOU7jIiUrXh_XHgzPgA6NEM7ANS5X4XUMTm5drARB-PA6c_3fqmV445aVDC3c9ZpUP_ylBH9xg","https://scholar.google.com/scholar?q=related:TB9Wn82IrAoJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
125,"R Xu, S Chakraborty, SM Bellows, H Yuan…","Iron-catalyzed homogeneous hydrogenation of alkenes under mild conditions by a stepwise, bifunctional mechanism",2016,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.5b02674?casa_token=DqE5PbE9Jf8AAAAA:sFucMRumMnMH2vuFwC2AOUnhpqr3AAOR8VLNLGmgDVbTSNc8jb5ZFmbYs1m7x9r1-UUEjJ_L8ghTYk0","https://scholar.google.com/scholar?cites=13529173448857241502&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-20 22:54:37","","10.1021/acscatal.5b02674","","",,,,,125,13.89,25,5,9,"… 2.2 DFT Calculations of the Mechanism The mechanism of styrene hydrogenation with the … on the phosphines) was modeled using a DFT level of theory similar to that used in simulating …","https://pubs.acs.org/doi/full/10.1021/acscatal.5b02674?casa_token=ZfOhzd6kz_sAAAAA:0Nxe8QdCPZ-5bZvkZpAMNU6nPnYllpRezVgQNXe9sXdbcvyoHslBH29y_UkR9Jo71KUzQLy2fIxsfAQ","https://scholar.google.com/scholar?q=related:nkfIM5JHwbsJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"M Rebarchik, E Smith, H Chang, JA Dumesic…","Selective Hydrogenation of Furfural Acetone over a Cu Catalyst: Combined Theoretical and Experimental Study",2025,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.4c07231?casa_token=tHDoikN4x9IAAAAA:-RweUSjkhJihynSV54MvuXQmCF9p6Yb-o7PY92BFCZ2uNal7sWJ8-96iKi6Gr_0YMnRXkY3xpdXzCgs","",13,"2025-05-20 22:54:37","","10.1021/acscatal.4c07231","","",,,,,0,0.00,0,5,1,"… Next, we investigated FAc hydrogenation in a continuous flow reactor to extract reaction kinetics parameters. In addition, we performed DFT calculations to model the hydrogenation of …","https://pubs.acs.org/doi/full/10.1021/acscatal.4c07231?casa_token=zmVuKf40keEAAAAA:qFRD_BwhpPHTuiASISK-pmLe1jjFtlhj_F1CiPknAyAxRZJydi5xD_qg8fT5M3LtrLGfJLQnczHChJI","https://scholar.google.com/scholar?q=related:FE84njsA0oMJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"BJ Hare, RA Garcia Carcamo, LL Daemen…","Poisoning of Pt/γ-Al2O3 Aqueous Phase Reforming Catalysts by Ketone and Diketone-Derived Surface Species",2024,"… catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.3c04774","https://scholar.google.com/scholar?cites=8570015259445114694&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-20 22:54:37","","10.1021/acscatal.3c04774","","",,,,,7,7.00,2,4,1,"… ketone … ketone decarbonylation on a Pt sponge at 250 C. Adsorption energies and molecular configurations were obtained for di/ketones on a Pt(111) slab using density functional theory…","https://pubs.acs.org/doi/pdf/10.1021/acscatal.3c04774","https://scholar.google.com/scholar?q=related:Rjfn-njP7nYJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
