Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
23,"Z Zhang, JX Zhang, FK Sheong, Z Lin","1, 4-Selective hydrovinylation of diene catalyzed by an Iron diimine catalyst: A computational case study on two-state reactivity",2020,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.0c03535","https://scholar.google.com/scholar?cites=12112105307412341160&as_sdt=2005&sciodt=0,5&hl=en",71,"2025-05-18 16:55:24","","10.1021/acscatal.0c03535","","",,,,,23,4.60,6,4,5,"… density functional theory (DFT) study on a previously reported iron diimine-catalyzed … -row transition-metal catalysis and benefit the future design of catalysis with earth-abundant …","","https://scholar.google.com/scholar?q=related:qKFvuprXFqgJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
58,"T Rigotti, A Casado-Sanchez, S Cabrera, ...","A bifunctional photoaminocatalyst for the alkylation of aldehydes: design, analysis, and mechanistic studies",2018,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.8b01331","https://scholar.google.com/scholar?cites=11192239411940273328&as_sdt=2005&sciodt=0,5&hl=en",576,"2025-05-18 16:55:24","","10.1021/acscatal.8b01331","","",,,,,58,8.29,15,4,7,"… All these experimental studies are in agreement with our TD DFT calculations. The calculations for the En-4c intermediate show a behavior similar to that of bifunctional catalyst 4c, but …","https://core.ac.uk/download/pdf/195774348.pdf","https://scholar.google.com/scholar?q=related:sKzTNXLSUpsJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
100,"T Fogeron, TK Todorova, JP Porcher, ...","A bioinspired nickel (bis-dithiolene) complex as a homogeneous catalyst for carbon dioxide electroreduction",2018,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.7b03383","https://scholar.google.com/scholar?cites=3099141312768674737&as_sdt=2005&sciodt=0,5&hl=en",306,"2025-05-18 16:55:24","","10.1021/acscatal.7b03383","","",,,,,100,14.29,25,4,7,"… Catalysis operates on a mercury electrode and dramatically less on a carbon electrode, as observed in the case of [Ni(cyclam)] 2+ complexes. Density functional theory (DFT) …","https://hal.sorbonne-universite.fr/hal-01830033/document","https://scholar.google.com/scholar?q=related:sYtQoJpcAisJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"AJ Medford, PG Moses, KW Jacobsen, ...","A career in catalysis: Jens Kehlet Nørskov",2022,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c02217","https://scholar.google.com/scholar?cites=12146848241071430082&as_sdt=2005&sciodt=0,5&hl=en",369,"2025-05-18 16:55:24","","10.1021/acscatal.2c02217","","",,,,,51,17.00,13,4,3,"… of DFT to study the fundamental interactions between metal surfaces … metals, and that the intercepts could be accurately obtained from a DFT calculation of adsorption on a single metal. …","","https://scholar.google.com/scholar?q=related:whmkVR5GkqgJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"E Miller, BK Mai, JA Read, WC Bell, JS Derrick, ...","A combined DFT, energy decomposition, and data analysis approach to investigate the relationship between noncovalent interactions and selectivity in a flexible …",2022,"… catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c03077","https://scholar.google.com/scholar?cites=13666088275706922874&as_sdt=2005&sciodt=0,5&hl=en",100,"2025-05-18 16:55:24","","10.1021/acscatal.2c03077","","",,,,,17,5.67,3,6,3,"… features of enzyme-catalyzed reactions that chemists strive to … In the field of asymmetric catalysis, the desire to reliably tune … state (TS) structures by density functional theory (DFT), have …","https://pmc.ncbi.nlm.nih.gov/articles/PMC10195112/pdf/nihms-1897101.pdf","https://scholar.google.com/scholar?q=related:ekekduGyp70J:scholar.google.com/&scioq=source:%22acs+catalysis%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
67,"LJ Song, T Wang, X Zhang, LW Chung, YD Wu","A Combined DFT/IM-MS Study on the reaction mechanism of cationic Ru (II)-catalyzed hydroboration of alkynes",2017,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.6b03214","https://scholar.google.com/scholar?cites=15116638037324757862&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-18 16:55:24","","10.1021/acscatal.6b03214","","",,,,,67,8.38,13,5,8,"… In an attempt to identify the side reaction that inhibits the desired hydroboration of terminal alkynes, we carried out a combined density functional theory/mass spectrometric study. The …","https://pubs.acs.org/doi/full/10.1021/acscatal.6b03214","https://scholar.google.com/scholar?q=related:ZnvmHDQWydEJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"S Bhandari, S Rangarajan, S Li, J Scaranto, ...","A coverage self-consistent microkinetic model for vapor-phase formic acid decomposition over Pd/C catalysts",2023,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c06078","https://scholar.google.com/scholar?cites=5498700983054309080&as_sdt=2005&sciodt=0,5&hl=en",456,"2025-05-18 16:55:24","","10.1021/acscatal.2c06078","","",,,,,12,6.00,2,5,2,"… An iterative approach utilizing density functional theory (DFT, PW91-GGA)-informed mean-… using DFT energetics on clean Pd(100) and Pd(111) required large corrections to the DFT …","https://www.osti.gov/servlets/purl/2007846","https://scholar.google.com/scholar?q=related:2BYLJWlPT0wJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"A Ariafard","A density functional theory (DFT) mechanistic study of gold (I)-catalyzed alkynylation of the indole and pyrrole substrates, using a hypervalent iodine reagent",2014,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/cs500613t","https://scholar.google.com/scholar?cites=16862869831926358549&as_sdt=2005&sciodt=0,5&hl=en",31,"2025-05-18 16:55:24","","10.1021/cs500613t","","",,,,,51,4.64,51,1,11,"… Gaussian 09 (5) was used to fully optimize all the structures reported in this paper at the B3LYP level of DFT (6) in Et 2 O using the CPCM (7) solvation model. The effective-core …","","https://scholar.google.com/scholar?q=related:FSKf0cTyBOoJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"RB Licht, AT Bell","A DFT investigation of the mechanism of propene ammoxidation over α-bismuth molybdate",2017,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.6b02523","https://scholar.google.com/scholar?cites=17192020496493387333&as_sdt=2005&sciodt=0,5&hl=en",679,"2025-05-18 16:55:24","","10.1021/acscatal.6b02523","","",,,,,32,4.00,16,2,8,"… also been obtained from density functional theory calculations. Despite many of the inherent challenges of modeling reducible transition metal oxides with DFT because of problems …","https://escholarship.org/content/qt9023q53w/qt9023q53w.pdf","https://scholar.google.com/scholar?q=related:RR656I1Tlu4J:scholar.google.com/&scioq=source:%22acs+catalysis%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
74,"C Zheng, J Zheng, SL You","A DFT study on Rh-catalyzed asymmetric dearomatization of 2-naphthols initiated with C–H activation: a refined reaction mechanism and origins of multiple selectivity",2016,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.5b01891","https://scholar.google.com/scholar?cites=12814184253289217389&as_sdt=2005&sciodt=0,5&hl=en",21,"2025-05-18 16:55:24","","10.1021/acscatal.5b01891","","",,,,,74,8.22,25,3,9,"… comprehensive DFT investigations into the Rh(III)-catalyzed asymmetric … (III)-catalyzed asymmetric C–H activation process. Hopefully, the refined reaction mechanism supported by DFT …","","https://scholar.google.com/scholar?q=related:bT21l68g1bEJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
