Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
92,"S Gazi, M Đokić, AMP Moeljadi, R Ganguly…","Kinetics and DFT studies of photoredox carbon–carbon bond cleavage reactions by molecular vanadium catalysts under ambient conditions",2017,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.7b01036","https://scholar.google.com/scholar?cites=8464000011834324304&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 03:08:29","","10.1021/acscatal.7b01036","","",,,,,92,11.50,18,5,8,"… With 2a–f in hand, we proceeded to investigate their photoredox catalytic activity for C–C bond cleavage reactions. To evaluate and compare the relative activities of the catalysts, two …","https://dr.ntu.edu.sg/bitstream/10356/87616/2/Kinetics%20and%20DFT%20Studies%20of%20Photoredox%20Carbon%E2%80%93Carbon%20Bond.pdf","https://scholar.google.com/scholar?q=related:UHVJpCordnUJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"RF Higgins, SM Fatur, NH Damrauer, EM Ferreira…","Detection of an energy-transfer pathway in Cr-photoredox catalysis",2018,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.8b03013","https://scholar.google.com/scholar?cites=10125977599659090410&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 03:08:29","","10.1021/acscatal.8b03013","","",,,,,25,3.57,5,5,7,"We observe photocatalyst-based regioselectivity distinctions in Diels–Alder reactions using an electron-poor dienophile. We find that one complex, [Cr(Ph 2 phen) 3 ](BF 4 ) 3 , offers …","","https://scholar.google.com/scholar?q=related:6iE-J_qyhowJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"Y Zhang, P Ji, F Gao, H Huang, F Zeng, W Wang","Photoredox asymmetric nucleophilic dearomatization of indoles with neutral radicals",2021,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.0c04696","https://scholar.google.com/scholar?cites=16829492991487241402&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 03:08:29","","10.1021/acscatal.0c04696","","",,,,,43,10.75,7,6,4,"… Herein, we introduce a conceptually distinct photoredox-mediated Giese-type transformation strategy, … DFT studies are performed to elucidate the observed stereochemical outcomes. …","https://par.nsf.gov/servlets/purl/10228041","https://scholar.google.com/scholar?q=related:uuyFk7VejukJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"F Ye, S Zheng, Y Luo, X Qi, W Yuan","Ligand-Controlled Regioreversed 1, 2-Aryl-Aminoalkylation of Alkenes Enabled by Photoredox/Nickel Catalysis",2024,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.4c01312","https://scholar.google.com/scholar?cites=15914258068357026279&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 03:08:29","","10.1021/acscatal.4c01312","","",,,,,16,16.00,3,5,1,"… effects on regioselectivity control, density functional theory (DFT) calculations were carried out. … DFT studies suggest that the most stable Ni(0) species contains the coordination of one …","https://lac.dicp.ac.cn/20240621.pdf","https://scholar.google.com/scholar?q=related:55FQVGXN2twJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"F Calogero, E Pinosa, A Gualandi, L Sensoli…","Photoredox/Nickel-Catalyzed Diastereoselective Allylation of Aldehydes with Morita–Baylis–Hillman Adducts",2025,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.5c00891","",5,"2025-05-19 03:08:29","","10.1021/acscatal.5c00891","","",,,,,0,0.00,0,5,1,"… DFT Calculations Density functional theory (DFT) calculations were performed to unfold the reaction mechanism of the photoredox- and nickel-catalyzed allylation of aldehydes with …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.5c00891","https://scholar.google.com/scholar?q=related:LAsz8FzVHEoJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"DA Cagan, D Bím, NP Kazmierczak, RG Hadt","Mechanisms of photoredox catalysis featuring nickel–bipyridine complexes",2024,"ACS catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.4c02036","https://scholar.google.com/scholar?cites=7055017752985729956&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 03:08:29","","10.1021/acscatal.4c02036","","",,,,,32,32.00,8,4,1,"… In this review, we have provided a detailed summary of various photoredox mechanisms … and key findings, we depict how photoredox reaction mechanisms, which ultimately define …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.4c02036","https://scholar.google.com/scholar?q=related:pPvJakR16GEJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"M Sneha, GL Thornton, L Lewis-Borrell…","Photoredox-hat catalysis for primary amine α-c–h alkylation: Mechanistic insight with transient absorption spectroscopy",2023,"… catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.3c01474","https://scholar.google.com/scholar?cites=11733841052766016559&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 03:08:29","","10.1021/acscatal.3c01474","","",,,,,17,8.50,4,4,2,"… Our assignment of bands observed in the transient spectra to different intermediate species is supported by electronic structure calculations using density functional theory (DFT) …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.3c01474","https://scholar.google.com/scholar?q=related:L5QD2UT61qIJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
57,"SR Mangaonkar, H Hayashi, H Takano, W Kanna…","Photoredox/HAT-Catalyzed Dearomative Nucleophilic Addition of the CO2 Radical Anion to (Hetero)Aromatics",2023,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c06192","https://scholar.google.com/scholar?cites=14644074384872032595&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 03:08:29","","10.1021/acscatal.2c06192","","",,,,,57,28.50,11,5,2,"… as a carboxyl source by combining photoredox and HAT catalysis. DFT calculations indicated a … Double carboxylation using CO 2 also worked well under photoredox/HAT conditions. …","","https://scholar.google.com/scholar?q=related:U8mxvhA0OssJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
49,"K Kolahdouzan, R Khalaf, JM Grandner, Y Chen…","Dual photoredox/nickel-catalyzed conversion of aryl halides to aryl aminooxetanes: computational evidence for a substrate-dependent switch in mechanism",2019,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.9b03596","https://scholar.google.com/scholar?cites=2001040878012018759&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 03:08:29","","10.1021/acscatal.9b03596","","",,,,,49,8.17,10,5,6,"… DFT calculations for the two possible mechanistic pathways of the photoredox/nickel-catalyzed oxetanylation of aryl halides. Calculations suggest that Pathway A (blue) is favored over …","","https://scholar.google.com/scholar?q=related:RzDxmhMgxRsJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"L Capaldo, M Ertl, M Fagnoni, G Knör, D Ravelli","Antimony–oxo porphyrins as photocatalysts for redox-neutral C–H to C–C bond conversion",2020,"ACS catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.0c02250","https://scholar.google.com/scholar?cites=3165708617026888079&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 03:08:29","","10.1021/acscatal.0c02250","","",,,,,43,8.60,9,5,5,"… approach based on density functional theory (DFT) simulations at … Next, we performed a time-dependent (TD) DFT study to … Notably, the TD-DFT simulations performed in acetonitrile on …","https://pubs.acs.org/doi/pdf/10.1021/acscatal.0c02250","https://scholar.google.com/scholar?q=related:j-FH7Dbb7isJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
