Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
23,"Z Zhang, JX Zhang, FK Sheong, Z Lin","1, 4-Selective hydrovinylation of diene catalyzed by an Iron diimine catalyst: A computational case study on two-state reactivity",2020,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.0c03535","https://scholar.google.com/scholar?cites=12112105307412341160&as_sdt=2005&sciodt=0,5&hl=en",69,"2025-05-18 16:31:58","","10.1021/acscatal.0c03535","","",,,,,23,4.60,6,4,5,"… performed a detailed density functional theory (DFT) study on … transition metals can give rise to much richer reactivities due to their unique properties. Although first-row transition metals …","","https://scholar.google.com/scholar?q=related:qKFvuprXFqgJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
58,"T Rigotti, A Casado-Sanchez, S Cabrera, ...","A bifunctional photoaminocatalyst for the alkylation of aldehydes: design, analysis, and mechanistic studies",2018,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.8b01331","https://scholar.google.com/scholar?cites=11192239411940273328&as_sdt=2005&sciodt=0,5&hl=en",748,"2025-05-18 16:31:58","","10.1021/acscatal.8b01331","","",,,,,58,8.29,15,4,7,"… All these experimental studies are in agreement with our TD DFT calculations. The calculations for the En-4c intermediate show a behavior similar to that of bifunctional catalyst 4c, but …","https://core.ac.uk/download/pdf/195774348.pdf","https://scholar.google.com/scholar?q=related:sKzTNXLSUpsJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"AJ Medford, PG Moses, KW Jacobsen, ...","A career in catalysis: Jens Kehlet Nørskov",2022,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c02217","https://scholar.google.com/scholar?cites=12146848241071430082&as_sdt=2005&sciodt=0,5&hl=en",188,"2025-05-18 16:31:58","","10.1021/acscatal.2c02217","","",,,,,51,17.00,13,4,3,"… of DFT to study the fundamental interactions between metal surfaces … Since all of the transition metals have similar sp-bands, the … to be relatively constant across the transition metals. …","","https://scholar.google.com/scholar?q=related:whmkVR5GkqgJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
224,"P Lindgren, G Kastlunger, AA Peterson","A Challenge to the G ∼ 0 Interpretation of Hydrogen Evolution",2019,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.9b02799","https://scholar.google.com/scholar?cites=14133221186673239072&as_sdt=2005&sciodt=0,5&hl=en",767,"2025-05-18 16:31:58","","10.1021/acscatal.9b02799","","",,,,,224,37.33,75,3,6,"… First, DFT itself has limited accuracy, and deviations of 0.1–0.2 eV are to be expected. (74,75) We have performed a sensitivity analysis of the key predictions to the hydrogen binding …","https://arxiv.org/pdf/1903.09903","https://scholar.google.com/scholar?q=related:IOSuy8lJI8QJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"Y Wei, L Chen, H Shi, WL Man, G Chen, C Li, ...","A Cobalt Biphenanthroline Complex/Carbon Nanotubes Hybrid as Robust and Efficient Electrocatalyst for Nitrite Reduction to Ammonia",2024,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.4c03214","https://scholar.google.com/scholar?cites=7129313148446021843&as_sdt=2005&sciodt=0,5&hl=en",814,"2025-05-18 16:31:58","","10.1021/acscatal.4c03214","","",,,,,4,4.00,1,7,1,"… (NO 2 RR) based on transition metal complexes is a promising … systems based on transition metal complexes have appeared … Density functional theory (DFT) calculations have been …","","https://scholar.google.com/scholar?q=related:05ilKYlo8GIJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"E Miller, BK Mai, JA Read, WC Bell, JS Derrick, ...","A combined DFT, energy decomposition, and data analysis approach to investigate the relationship between noncovalent interactions and selectivity in a flexible …",2022,"… catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c03077","https://scholar.google.com/scholar?cites=13666088275706922874&as_sdt=2005&sciodt=0,5&hl=en",410,"2025-05-18 16:31:58","","10.1021/acscatal.2c03077","","",,,,,17,5.67,3,6,3,"… In these systems, classical physical organic techniques, in conjunction with locating transition state (TS) structures by density functional theory (DFT), have become commonplace for …","https://pmc.ncbi.nlm.nih.gov/articles/PMC10195112/pdf/nihms-1897101.pdf","https://scholar.google.com/scholar?q=related:ekekduGyp70J:scholar.google.com/&scioq=source:%22acs+catalysis%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
67,"LJ Song, T Wang, X Zhang, LW Chung, YD Wu","A Combined DFT/IM-MS Study on the reaction mechanism of cationic Ru (II)-catalyzed hydroboration of alkynes",2017,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.6b03214","https://scholar.google.com/scholar?cites=15116638037324757862&as_sdt=2005&sciodt=0,5&hl=en",38,"2025-05-18 16:31:58","","10.1021/acscatal.6b03214","","",,,,,67,8.38,13,5,8,"… (4) Hydroboration of alkynes, especially with the assistance of transition metal catalysts, is … It is well-known that transition metal-catalyzed hydroboration of terminal alkynes proceeds …","https://pubs.acs.org/doi/full/10.1021/acscatal.6b03214","https://scholar.google.com/scholar?q=related:ZnvmHDQWydEJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
70,"T Ghosh, P Ghosh, G Maayan","A copper-peptoid as a highly stable, efficient, and reusable homogeneous water oxidation electrocatalyst",2018,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.8b03661","https://scholar.google.com/scholar?cites=15691252706774406072&as_sdt=2005&sciodt=0,5&hl=en",983,"2025-05-18 16:31:58","","10.1021/acscatal.8b03661","","",,,,,70,10.00,23,3,7,"… experiments, spectroscopic data, and density functional theory-D3 calculations, we … that are based on earth-abundant transition metals. Thus, water oxidation electrocatalysts from Co, (5…","https://gmaayanlab.net.technion.ac.il/files/2018/11/acscatal.8b03661-1.pdf","https://scholar.google.com/scholar?q=related:uNMsdDOHwtkJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"S Bhandari, S Rangarajan, S Li, J Scaranto, ...","A coverage self-consistent microkinetic model for vapor-phase formic acid decomposition over Pd/C catalysts",2023,"… Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.2c06078","https://scholar.google.com/scholar?cites=5498700983054309080&as_sdt=2005&sciodt=0,5&hl=en",515,"2025-05-18 16:31:58","","10.1021/acscatal.2c06078","","",,,,,12,6.00,2,5,2,"… An iterative approach utilizing density functional theory (DFT, PW91-GGA)-informed mean-… using DFT energetics on clean Pd(100) and Pd(111) required large corrections to the DFT …","https://www.osti.gov/servlets/purl/2007846","https://scholar.google.com/scholar?q=related:2BYLJWlPT0wJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
145,"AJ Tkalych, HL Zhuang, EA Carter","A Density Functional + U Assessment of Oxygen Evolution Reaction Mechanisms on β-NiOOH",2017,"ACS Catalysis","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acscatal.7b00999","https://scholar.google.com/scholar?cites=11031278238063351024&as_sdt=2005&sciodt=0,5&hl=en",680,"2025-05-18 16:31:58","","10.1021/acscatal.7b00999","","",,,,,145,18.13,48,3,8,"… Here, using density functional theory + U calculations, we compare several surfaces of β-… super-Nernstian E-pH shifts observed for several transition metal oxides, including NiO x . …","","https://scholar.google.com/scholar?q=related:8FRDfhz5FpkJ:scholar.google.com/&scioq=source:%22acs+catalysis%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
