Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
23,"A Najafian, TR Cundari","Methane C–H activation via 3d metal methoxide complexes with potentially redox-noninnocent pincer ligands: a density functional theory study",2017,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.7b01736","https://scholar.google.com/scholar?cites=146120203933418340&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 22:39:58","","10.1021/acs.inorgchem.7b01736","","",,,,,23,2.88,12,2,8,"… This paper reports a density functional theory study of 3d transition-metal methoxide … for methane C–H bond activation to form methanol (L n M-OMe + CH 4 → L n M–Me + CH 3 OH). …","","https://scholar.google.com/scholar?q=related:ZIP1IY0fBwIJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"L Kaur, D Mandal","Role of “S” Substitution on C–H Activation Reactivity of Iron (IV)–Oxo Cyclam Complexes: a Computational Investigation",2022,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c01504","https://scholar.google.com/scholar?cites=10701555690409616717&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 22:39:58","","10.1021/acs.inorgchem.2c01504","","",,,,,6,2.00,3,2,3,"… A comprehensive density functional theory (DFT) investigation has been presented in this article to address the role of equatorial sulfur ligation in C–H activation. A non-heme iron–oxo …","","https://scholar.google.com/scholar?q=related:TeXsfjOQg5QJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"EE Joslin, B Quillian, TB Gunnoe, TR Cundari…","C–H activation of pyrazolyl ligands by Ru (II)",2014,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic500811n","https://scholar.google.com/scholar?cites=10355938704887167380&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 22:39:58","","10.1021/ic500811n","","",,,,,22,2.00,4,5,11,"… TpRu(P(OCH 2 ) 3 CEt)(NCMe)Ph is effective for intermolecular activation of aromatic C−H … ) undergoes intramolecular C−H activation of a pyrazolyl ring. DFT calculations revealed that …","https://www.osti.gov/pages/servlets/purl/1607835","https://scholar.google.com/scholar?q=related:lLmETGKvt48J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"LQ Meng, JS Wang, XX You, RL Zhong…","The Difference in Ir-Catalyzed C(sp2)–H and C(sp3)–H Bond Activation Assisted by a Directing Group: Cyclometalation via Cis- or Trans-Chelation?",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c02432","https://scholar.google.com/scholar?cites=2616320424161909864&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 22:39:58","","10.1021/acs.inorgchem.4c02432","","",,,,,1,1.00,0,5,1,"… , if C–H bond activation occurrs via cyclometalation, the C–H … as mentioned above by DFT calculations. Through these … in transition metal-catalyzed C–H bond activation assisted by a …","","https://scholar.google.com/scholar?q=related:aBzFXJAJTyQJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"M Carmona, R Pérez, J Ferrer, R Rodríguez…","Activation of H–H, HO–H, C(sp2)–H, C(sp3)–H, and RO–H Bonds by Transition-Metal Frustrated Lewis Pairs Based on M/N (M = Rh, Ir) Couples",2022,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c01902","https://scholar.google.com/scholar?cites=2371117258255762635&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 22:39:58","","10.1021/acs.inorgchem.2c01902","","",,,,,11,3.67,2,5,3,"… Reaction mechanisms are proposed based on stoichiometric reactions, nuclear magnetic resonance studies, and X-ray crystallography as well as density functional theory calculations. …","https://pubs.acs.org/doi/full/10.1021/acs.inorgchem.2c01902","https://scholar.google.com/scholar?q=related:ywQia5Xm5yAJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"OA Olatunji-Ojo, TR Cundari","C–H Activation by multiply bonded complexes with potentially noninnocent ligands: A computational study",2013,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic400804x","https://scholar.google.com/scholar?cites=10036330640838153593&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 22:39:58","","10.1021/ic400804x","","",,,,,24,2.00,12,2,12,"… Density functional theory calculations suggest that the combination of smif with iron and the oxo activating ligand is the most energetically favorable complex for methane C–H activation…","","https://scholar.google.com/scholar?q=related:edWGB4s1SIsJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"Z Sun, OA Hull, TR Cundari","Computational study of methane C–H activation by diiminopyridine nitride/nitridyl complexes of 3d transition metals and main-group elements",2018,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.7b03212","https://scholar.google.com/scholar?cites=8774606030787109977&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 22:39:58","","10.1021/acs.inorgchem.7b03212","","",,,,,21,3.00,7,3,7,"… Inspired by the aforementioned experimental precedents, DFT calculations are employed in the present research to investigate the feasibility of intermolecular C–H bond activation …","","https://scholar.google.com/scholar?q=related:WeQQ9bGpxXkJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"L Chatelain, F Arrigoni, P Schollhammer…","C–Cl Bond Activation at Rotated vs Unrotated Dinuclear Site Related to [FeFe]-Hydrogenases",2023,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c03481","https://scholar.google.com/scholar?cites=10438932572483742264&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 22:39:58","","10.1021/acs.inorgchem.3c03481","","",,,,,2,1.00,1,4,2,"… reactive toward chlorinated compounds CH x Cl 4–x (x = 1, 2) affording selectively terminal or bridging chloro diiron isomers through a C–Cl bond activation. DFT calculations suggest a …","https://hal.science/hal-04373323v1/file/C-Cl-text.pdf","https://scholar.google.com/scholar?q=related:OOol6d2J3pAJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"T Abe, Y Kametani, K Yoshizawa, Y Shiota","Mechanistic Insights into the dicopper-complex-catalyzed hydroxylation of methane and benzene using nitric oxide: a DFT study",2021,"Inorganic chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.0c03558","https://scholar.google.com/scholar?cites=1238167296208325684&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 22:39:58","","10.1021/acs.inorgchem.0c03558","","",,,,,6,1.50,2,4,4,"… O2 bond in 1 and C–H bond activation in methane. Because … 2A), the activation energy for C–H bond cleavage in methane … ), C–H bond activation in methane has a low activation barrier…","","https://scholar.google.com/scholar?q=related:NMwAh5jaLhEJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Saha, S Mohapatra, M Kumar, D Yadav…","Cooperative B–H Activation: Ligand Diversity in Groups 6 and 8 Transition Metal κ2-N,E-Chelated Complexes (E = S or Se)",2025,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c03546","",10,"2025-05-19 22:39:58","","10.1021/acs.inorgchem.4c03546","","",,,,,0,0.00,0,5,1,"… To understand the electronic structure and bonding situation in complex 2, we have carried out the DFT calculation at the BP86/def2-TZVP (16) level of theory for complex 2. The MO …","","https://scholar.google.com/scholar?q=related:2m2lfw93-bMJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
