Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"W Zhong, J Yue, R Zhang, H Huang, H Huang…","Screening of Transition Metal Supported on Black Phosphorus as Electrocatalysts for CO2 Reduction",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c03320","https://scholar.google.com/scholar?cites=1700675829823043795&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-20 00:13:42","","10.1021/acs.inorgchem.3c03320","","",,,,,8,8.00,1,6,1,"… CO 2 RR, but it is detrimental to the activity of CO 2 RR. This study offers theoretical guidance for synthesizing highly efficient CO 2 RR … In summary, DFT calculations were performed to …","","https://scholar.google.com/scholar?q=related:0_ixGqgDmhcJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"HX Cai, J Wang, YR Guo, QJ Pan","Weak Bimetal Coupling-Assisted MN4 Catalyst for Enhanced Carbon Dioxide Reduction Reaction",2024,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c00058","https://scholar.google.com/scholar?cites=9463263684205614705&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-20 00:13:42","","10.1021/acs.inorgchem.4c00058","","",,,,,2,2.00,1,4,1,"… Herein, heterobimetallic catalysts (M i M o )L were exploited for the CO 2 reduction reactions (CO 2 RR) using relativistic density functional theory (DFT). The octadentate Pacman-like …","","https://scholar.google.com/scholar?q=related:cRbuqC5EVIMJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"M Cheng, S Shen, Z Zhang, K Niu, N Wang","Diiron Complexes with Rigid and Conjugated S-to-S Bridges for Electrocatalytic Reduction of CO2",2024,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c00756","https://scholar.google.com/scholar?cites=4467812445339530894&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-20 00:13:42","","10.1021/acs.inorgchem.4c00756","","",,,,,2,2.00,0,5,1,"… studied by density functional theory (DFT), IR spectroelectrochemistry (IR-SEC), and electrochemical methods, and a plausible mechanism for the electrochemical CO 2 RR catalyzed …","","https://scholar.google.com/scholar?q=related:jjaIX7_bAD4J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"R Yun, B Zhang, F Zhan, Z Xin, T Sheng…","Electrocatalysis CO2 to Tunable Syngas upon Fe Clusters Catalyst Dispersed on Bamboo-like NCTs",2022,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c01428","https://scholar.google.com/scholar?cites=2038991328229083679&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-20 00:13:42","","10.1021/acs.inorgchem.2c01428","","",,,,,4,1.33,1,6,3,"… Further, density functional theory calculations were … that the total barrier for CO 2 RR reduces from 0.8 to 0.56 eV … graphene via DFT analysis, which suggests that the CO 2 RR was …","","https://scholar.google.com/scholar?q=related:H0oyW8_zSxwJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"LJ Li, YT Luo, YQ Tian, P Wang, XY Yi, J Yan…","Unveiling the Remarkable Stability and Catalytic Activity of a 6-Electron Superatomic Ag30 Nanocluster for CO2 Electroreduction",2023,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c02083","https://scholar.google.com/scholar?cites=9631853136002318485&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-20 00:13:42","","10.1021/acs.inorgchem.3c02083","","",,,,,9,4.50,1,7,2,"… The CO 2 RR reaction pathways for Ag 30 are shown in Figure 7. In the DFT calculation, one −… that Ag 30 exhibits excellent CO 2 RR performance, while the CO 2 RR activity of the ∞ 1 …","","https://scholar.google.com/scholar?q=related:lYAmPGU3q4UJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"X Liu, L Yao, S Zhang, C Huang, W Yang","Theoretical Study of Electrocatalytic CO2 Reduction Mechanism on Typical MXenes under Realistic Conditions",2024,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c00072","https://scholar.google.com/scholar?cites=4257171873193507998&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-20 00:13:42","","10.1021/acs.inorgchem.4c00072","","",,,,,4,4.00,1,5,1,"… Then, the reaction mechanism for CO 2 RR toward C 1 products on the stable surfaces was investigated. The results showed that, for CO 2 RR, V 2 CH exhibits higher activity to …","","https://scholar.google.com/scholar?q=related:nrx7YUODFDsJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"D Schmidt, A Gawel, S Sanden, W Polet…","Insights into the Electrochemical CO2RR Performance and Binding of Small Molecules on Quaternary Thiospinels Ag2FeSn3S8 and Cu2FeSn3S8",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c01584","https://scholar.google.com/scholar?cites=17103076222361789601&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-20 00:13:42","","10.1021/acs.inorgchem.4c01584","","",,,,,1,1.00,0,5,1,"… for CO 2 RR. To discern which element contributes most to the observed product distribution, the binding energies of H, CO, and O were calculated via density functional theory … with DFT …","","https://scholar.google.com/scholar?q=related:oeRNUDVVWu0J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"Y Cao, Y Meng, Y Wu, Z Shen, Q Xia, H Huang…","Regulation of the Coordination Structures of Transition Metals on Nitrogen-Doped Carbon Nanotubes for Electrochemical CO2 Reduction",2022,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c03221","https://scholar.google.com/scholar?cites=10556759798717513679&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-20 00:13:42","","10.1021/acs.inorgchem.2c03221","","",,,,,12,4.00,2,7,3,"… In summary, a new theoretically screened stratagem was developed for the investigation of SACs for the CO 2 RR process using DFT simulation. Fe@CNT, Cu@1N_CNT, Pd@2N_CNT…","","https://scholar.google.com/scholar?q=related:z3-u1RolgZIJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"Y Zhang, C Li, L Shu, YL Teng, BX Dong","… of Transition Metal-Substituted Keggin-Type TMSPOMs@ PCN-224 Composites through the Encapsulation Method and Their Electron Transfer Mechanism in CO2RR",2024,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c00840","https://scholar.google.com/scholar?cites=8946520119040204277&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-20 00:13:42","","10.1021/acs.inorgchem.4c00840","","",,,,,5,5.00,1,5,1,"… structure and electron transfer in the electrocatalytic CO 2 RR process. Among them, the … Through the use of DFT theoretical analysis, we have discovered that employing TMSPOMs …","","https://scholar.google.com/scholar?q=related:9d1Gx6VsKHwJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"JY Chen, M Li, RZ Liao","Mechanistic Insights into Photochemical CO2 Reduction to CH4 by a Molecular Iron–Porphyrin Catalyst",2023,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c00402","https://scholar.google.com/scholar?cites=8517784847988982875&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-20 00:13:42","","10.1021/acs.inorgchem.3c00402","","",,,,,11,5.50,4,3,2,"… In the present work, density functional theory (DFT) … of the reported photochemical catalytic CO 2 RR tend to give CO … product in the first stage of the CO 2 RR, and the generation of CH 4 …","","https://scholar.google.com/scholar?q=related:W4SWqTBANXYJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
