Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"X Xie, J Zhang, XQ Song, W Li, F Cao, C Zhou…","Unveiling Pre-Transmetalation Intermediates in Base-Free Suzuki–Miyaura Cross-Couplings: A Computational Study",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c03855","https://scholar.google.com/scholar?cites=11960172731969175217&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-20 21:44:14","","10.1021/acs.inorgchem.3c03855","","",,,,,3,3.00,0,7,1,"The pre-transmetalation intermediates are critically important in Suzuki–Miyaura cross-coupling (SMC) reactions and have become a hot spot of the current research. However, the pre-…","","https://scholar.google.com/scholar?q=related:sf5VZbsR-6UJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"T Liu, Z Meng, Y Zhou, T Wang, K Lv","Mechanistic Insights into the Ligand-Directed Divergent Synthesis of 2-Benzazepine Derivatives via Ni-Catalyzed Tunable Cyclization/Cross-Coupling: A DFT Study",2023,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c02853","https://scholar.google.com/scholar?cites=2013990903782291027&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-20 21:44:14","","10.1021/acs.inorgchem.3c02853","","",,,,,2,1.00,0,5,2,"… The detailed mechanisms of Ni-catalyzed ligand-controlled cyclization/cross-coupling of o-bromobenzenesulfonyl acrylamide (1a) with trifluoromethyl alkene were investigated by DFT …","","https://scholar.google.com/scholar?q=related:U7bPcA4i8xsJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"BJ McNicholas, ZJ Tong, D Bím, RF Turro…","Electronic Structures of Nickel(II)-Bis(indanyloxazoline)-dihalide Catalysts: Understanding Ligand Field Contributions That Promote C(sp2)–C(sp3) Cross-Coupling",2023,"… chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c02048","https://scholar.google.com/scholar?cites=5211916699278503981&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-20 21:44:14","","10.1021/acs.inorgchem.3c02048","","",,,,,12,6.00,2,5,2,"… the enantioselective reductive cross-coupling of C(sp 2 ) and C(sp 3 ) electrophiles. Recent mechanistic studies highlight the complexity of these ground-state cross-couplings but also …","https://pmc.ncbi.nlm.nih.gov/articles/PMC10530056/pdf/nihms-1923055.pdf","https://scholar.google.com/scholar?q=related:LfBrw59yVEgJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"AK Sharma, F Maseras","The Subtle Mechanism of Nickel-Photocatalyzed C(sp3)–H Cross-Coupling",2024,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c01763","https://scholar.google.com/scholar?cites=10237794838237394856&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-20 21:44:14","","10.1021/acs.inorgchem.4c01763","","",,,,,1,1.00,1,2,1,"… cross-coupling with aryl/alkyl halides, contributing to the expanding knowledge in the field. The mechanistic insights from density functional theory (DFT) … for cross-coupling reactions. In …","","https://scholar.google.com/scholar?q=related:qLd3yCn0E44J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"YA Pandit, SJ Shah, M Usman, S Sarkar…","Long-Range Intramolecular Spin Coupling through a Redox-Active Bridge upon Stepwise Oxidations: Control and Effect of Metal Ions",2022,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.1c03945","https://scholar.google.com/scholar?cites=6598400593461381509&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-20 21:44:14","","10.1021/acs.inorgchem.1c03945","","",,,,,12,4.00,2,5,3,"… The experimental observations are also supported by density functional theory (DFT) and time-dependent DFT calculations. The present study highlights the crucial roles played by a …","","https://scholar.google.com/scholar?q=related:hQn-QmE6klsJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"S Sanfui, M Usman, A Roychowdhury…","Bridge vs Terminal Cyano-coordination in Binuclear Cobalt Porphyrin Dimers: Interplay of Electrons between Metal and Ligand and Spin-Coupling via Bridge",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c01150","https://scholar.google.com/scholar?cites=8409730980902304312&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-20 21:44:14","","10.1021/acs.inorgchem.4c01150","","",,,,,3,3.00,1,4,1,"… coupling between the unpaired electrons of the low-spin Co II center and the porphyrin π-cation radical in Co II (por •+ )(CN) 2 species as well as an antiferromagnetic coupling between …","","https://scholar.google.com/scholar?q=related:OHpHPcVdtXQJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"PP Romańczyk, K Noga, AJ Włodarczyk…","Torsionally controlled electronic coupling in mixed-valence oxodimolybdenum nitrosyl scorpionates-a DFT study",2010,"… chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic100024h","https://scholar.google.com/scholar?cites=4052563191999940089&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-20 21:44:14","","10.1021/ic100024h","","",,,,,19,1.27,5,4,15,"… The purpose of this work was to employ the density functional theory (DFT) modeling to … , determined for 1 by X-ray diffraction and confirmed by DFT calculations for 1′ in this study, is a …","","https://scholar.google.com/scholar?q=related:-cX6cMCYPTgJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"WL Wang, ZC Zhang, D Yu, BL Ni, WM Sun","Suzuki–Miyaura Cross-Coupling Reaction Catalyzed by Al12M (M = Be, Al, C, and P) Superatoms with Different Numbers of Valence Electrons",2024,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c01407","https://scholar.google.com/scholar?cites=16404007933110282553&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-20 21:44:14","","10.1021/acs.inorgchem.4c01407","","",,,,,1,1.00,0,5,1,"… structures for the Suzuki–Miyaura reaction were investigated by DFT theoretical calculations. The catalytic activities of Al 13 and Al 12 P superatoms on this coupling reaction are …","","https://scholar.google.com/scholar?q=related:OWm6kU2-puMJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"KR Chaudhari, AP Wadawale, AK Pathak…","Linkage Isomers of Triangular Pd Metallacycles and Catalysis in Aqueous Suzuki Coupling Reaction",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c03963","https://scholar.google.com/scholar?cites=49742985116475777&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-20 21:44:14","","10.1021/acs.inorgchem.3c03963","","",,,,,4,4.00,1,4,1,"… They show catalytic activity with turnover numbers ranging from 9 to 420 in aqueous Suzuki cross-coupling reactions using phenyl boronic acid and a number of aryl halides. An …","","https://scholar.google.com/scholar?q=related:gWHvPfu4sAAJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"R Toyoshima, Y Kametani, K Yoshizawa…","The Effect of Intramolecular Proton Transfer on the Mechanism of NO Reduction to N2O by a Copper Complex: A DFT Study",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c03619","https://scholar.google.com/scholar?cites=10549054431591196443&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-20 21:44:14","","10.1021/acs.inorgchem.4c03619","","",,,,,1,1.00,0,4,1,"… To address this gap, we performed density functional theory (DFT) calculations to unravel the reaction mechanism of NO reduction by the copper complex [Cu I (PV-tmpa)] + . Our …","","https://scholar.google.com/scholar?q=related:G-dAPx3FZZIJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
