Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"EN Cook, SL Hooe, DA Dickie, CW Machan","Homogeneous Catalytic Reduction of O2 to H2O by a Terpyridine-Based FeN3O Complex",2022,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c00524","https://scholar.google.com/scholar?cites=14001443490385829634&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.2c00524","","",,,,,10,3.33,3,4,3,"We report a new terpyridine-based FeN 3 O catalyst, Fe(tpy tbu pho)Cl 2 , which reduces O 2 to H 2 O. Variable concentration and variable temperature spectrochemical studies with …","https://par.nsf.gov/servlets/purl/10327385","https://scholar.google.com/scholar?q=related:Ah8n86seT8IJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"DR Harper, HJ Kulik","Computational Scaling Relationships Predict Experimental Activity and Rate-Limiting Behavior in Homogeneous Water Oxidation",2022,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.1c03376","https://scholar.google.com/scholar?cites=10638893552476105342&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.1c03376","","",,,,,10,3.33,5,2,3,"… structure across the catalysts being studied. For the homogeneous catalysts obtained from these … After having shown that the seven DFT properties that we expect to influence catalytic …","https://par.nsf.gov/servlets/purl/10318115","https://scholar.google.com/scholar?q=related:fiqIllHxpJMJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"S Hu, P Xu, RX Xu, X Zheng","Unveiling the High Catalytic Activity of a Dinuclear Iron Complex for the Oxygen Evolution Reaction",2021,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.1c00394","https://scholar.google.com/scholar?cites=1005009153705255291&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.1c00394","","",,,,,10,2.50,3,4,4,"… Density functional theory calculations reveal that it is the electron-deficient … catalytic activity observed experimentally. Therefore, the outstanding performance of the Fe III (ppq) catalyst …","","https://scholar.google.com/scholar?q=related:eyGeIoCC8g0J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
86,"T Ishizuka, A Watanabe, H Kotani, D Hong…","Homogeneous Photocatalytic Water Oxidation with a Dinuclear CoIII–Pyridylmethylamine Complex",2016,"… chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.5b02336","https://scholar.google.com/scholar?cites=4256125662181071597&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.5b02336","","",,,,,86,9.56,17,5,9,"… Complex 1 acts as a homogeneous catalyst for visible-light-… complex (2), which has been suggested by DFT calculations. … 2, we have performed DFT calculations on a model compound …","","https://scholar.google.com/scholar?q=related:7Rq6Zb3LEDsJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
65,"D Hong, Y Tsukakoshi, H Kotani, T Ishizuka…","Mechanistic Insights into Homogeneous Electrocatalytic and Photocatalytic Hydrogen Evolution Catalyzed by High-Spin Ni(II) Complexes with S2N2-Type …",2018,"… chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.8b00881","https://scholar.google.com/scholar?cites=10381225025819323365&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.8b00881","","",,,,,65,9.29,13,5,7,"… two different sizes of chelate rings as catalysts. A Ni(II) complex … can act as homogeneous catalysts in the electrocatalytic H 2 … We performed DFT calculations to elucidate the mechanism …","","https://scholar.google.com/scholar?q=related:5StbrSiFEZAJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"J Wei, JF Halet, S Kahlal, JY Saillard…","… of N-heterocyclic-carbene-protected gold clusters of various nuclearities. A comparison with their phosphine-protected analogues from density functional theory …",2020,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.0c02219","https://scholar.google.com/scholar?cites=10692003970349455418&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.0c02219","","",,,,,14,2.80,3,5,5,"… (33,34) It turns out that one of us recently published a density functional theory (DFT) … As a continuation of our first work, (38) we report here a comprehensive DFT investigation on the …","https://hal.science/hal-02998918/document","https://scholar.google.com/scholar?q=related:Oti-XfagYZQJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"T Kawakami, S Tamaki, S Shirase, H Tsurugi…","Syntheses and redox properties of carboxylate-ligated hexanuclear Ce (IV) clusters and their photoinduced homolysis of the Ce (IV)–ligand covalent bond",2022,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c03163","https://scholar.google.com/scholar?cites=6580374805327297913&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.2c03163","","",,,,,8,2.67,2,5,3,"… of the clusters showed broad absorption corresponding to the ligand-to-metal charge transfer (LMCT) in the ultraviolet A (315–400 nm) to blue light region; density functional theory (DFT…","","https://scholar.google.com/scholar?q=related:eb12aAUwUlsJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"DS Pietruschka, B Kumari, G Buntkowsky…","Mechanism of Heterogenization of Dirhodium Catalysts: Insights from DFT Calculations",2021,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.0c03712","https://scholar.google.com/scholar?cites=15360873594137755825&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.0c03712","","",,,,,6,1.50,2,4,4,"… SBA-15, the density functional theory (DFT) level of theory is … study from theoretical data at the DFT level of theory is finally … solid-state NMR data of the immobilized catalyst systems. …","","https://scholar.google.com/scholar?q=related:sUBCAibJLNUJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"AG Morozov, VA Dodonov, EA Rychagova…","Ligand-Induced Intramolecular Redox Diversity in Titanium Complexes with Acenaphthene-1, 2-diimine",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c04250","https://scholar.google.com/scholar?cites=17405973144046979780&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.3c04250","","",,,,,1,1.00,0,4,1,"… with the results of our density functional theory (DFT) calculations. DFT predicts a decrease in the … The DFT calculations demonstrate that the electron density distribution differs from that …","","https://scholar.google.com/scholar?q=related:xMrojFpwjvEJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"J Liu, D Wu, X Su, M Han, SY Kimura, DL Gray…","… ) chelate ligand complexes of oxorhenium (V): Isomer effect on ancillary ligand exchange dynamics and implications for perchlorate reduction catalysis",2016,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.5b02940","https://scholar.google.com/scholar?cites=3948269932022289202&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.5b02940","","",,,,,33,3.67,5,7,9,"… DFT calculations indicate that 2a has a lower Gibbs free energy than 2b (ΔG = −0.59 kcal … isomers correlate with differences in rates of homogeneous catalytic ClO 4 – reduction by Me 2 …","","https://scholar.google.com/scholar?q=related:MlOLl5USyzYJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"IP Stolarov, IA Yakushev, AV Churakov…","… palladium (II)–indium (III) and− gallium (III) acetate-bridged complexes: synthesis, structure, and catalytic performance in homogeneous alkyne and alkene …",2018,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.8b01313","https://scholar.google.com/scholar?cites=8698117788826344625&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.8b01313","","",,,,,29,4.14,7,4,7,"… (1b−g) Unlike this, such heterobimetallic complexes are less commonly used as unsupported homogeneous catalysts. (2) Recently, we found unexpectedly that the unsupported …","","https://scholar.google.com/scholar?q=related:sRyAWQvstXgJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"J Niklas, M Westwood, KL Mardis, TL Brown…","… Electron Paramagnetic Resonance, and Density Functional Theory Characterization of the Ni(PCy2NtBu2)2n+ Hydrogen Oxidation Catalyst in the Ni(I) …",2015,"… chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.5b00445","https://scholar.google.com/scholar?cites=11061726907477701932&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.5b00445","","",,,,,20,2.00,4,5,10,"… (1-3) The prospect of using molecular hydrogen as a renewable fuel has motivated considerable research into the development of efficient homogeneous catalysts for the reduction of …","","https://scholar.google.com/scholar?q=related:LLWWygMmg5kJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"AA Grineva, OA Filippov, Y Canac, JB Sortais…","Experimental and theoretical insights into the electronic properties of anionic N-heterocyclic dicarbenes through the rational synthesis of their transition metal …",2021,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.1c00073","https://scholar.google.com/scholar?cites=10966282947195328792&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.1c00073","","",,,,,16,4.00,3,5,4,"… The observed effect was rationalized by DFT calculations in terms of a synergy between … will further stimulate interest in NHDC complexes in the context of homogeneous catalysis. …","https://hal.science/hal-03200528v1/file/Revised_manuscript-1.pdf","https://scholar.google.com/scholar?q=related:GFkAFj0QMJgJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
137,"P Mahapatra, S Ghosh, S Giri, V Rane…","Subtle Structural Changes in (CuIIL)2MnII Complexes To Induce Heterometallic Cooperative Catalytic Oxidase Activities on Phenolic Substrates (H2L = Salen Type …",2017,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.7b00253","https://scholar.google.com/scholar?cites=330359551317955875&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.7b00253","","",,,,,137,17.13,27,5,8,"… efficiency as a heterogeneous oxidation catalyst, but no mechanistic insight was … homogeneous catalysts, the heterometallic core should be stable enough in solution during the catalytic …","https://www.academia.edu/download/68449772/acs.inorgchem.7b00253.pdf","https://scholar.google.com/scholar?q=related:I9V2-EKslQQJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"S Escayola, M Solà, A Poater","Mechanism of the facile nitrous oxide fixation by homogeneous ruthenium hydride pincer catalysts",2020,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.0c01252","https://scholar.google.com/scholar?cites=10803664473790955775&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.0c01252","","",,,,,20,4.00,7,3,5,"… catalyzed by a (PNN)Ru–H catalyst by means of DFT calculations… of the reported homogeneous catalysts were poorly … pincer ligands, for the homogeneously catalyzed reduction of N 2 …","https://scholar.archive.org/work/zwiqhv624jf4fkqxxrj44jrkd4/access/wayback/https://dugi-doc.udg.edu/bitstream/handle/10256/18304/031704.pdf?sequence=1","https://scholar.google.com/scholar?q=related:_0DRQJlT7pUJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"L Yang, X Guo, Y Ren, R Gu, ZX Chen…","Mechanistic Insight into Acceptorless Dehydrogenation of Methanol to Syngas Catalyzed by MACHO-Type Ruthenium and Manganese Complexes: A DFT Study",2023,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c02619","https://scholar.google.com/scholar?cites=7994946547059171368&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.3c02619","","",,,,,5,2.50,1,6,2,"… By contrast, homogeneous catalysts generally offer higher efficiency and selectivity, and can often be operated under milder conditions. (34) Despite these advantages, research on …","","https://scholar.google.com/scholar?q=related:KKCyh4bB824J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"J Guan, Z Guo, X Li, H Tang","Theoretical Understanding of Reactions of Rhenium and Ruthenium Tris (thiolate) Complexes with Unsaturated Hydrocarbons: Noninnocent Nature of the Ligand …",2023,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c02837","https://scholar.google.com/scholar?cites=7406063978430491651&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-05-20 23:10:34","","10.1021/acs.inorgchem.2c02837","","",,,,,3,1.50,1,4,2,"… Density functional theory (DFT) combined with the high-level … Ru dithioethers are revealed via DFT calculations to be in a … been properly interpreted using DFT calculations with major …","","https://scholar.google.com/scholar?q=related:A2wqCvOfx2YJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
