Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"S Baguli, S Nath, A Kundu, H Menon…","(CAAC) CuCl: A Competent Precatalyst for Carbonyl and Ester Hydrosilylation",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c01624","",360,"2025-05-19 23:36:33","","10.1021/acs.inorgchem.4c01624","","",,,,,0,0.00,0,5,1,"… Considering the aggregation tendencies of copper hydrides, a monomer ↔ dimer equilibrium for II is probed by DFT calculation (see the Supporting Information). It shows that the …","","https://scholar.google.com/scholar?q=related:M8ztpXJoJ-EJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"L Eberle, F Kreis, CAM Stein, JM Mörsdorf…","-Coordinated Rhenium Hydrides and Their Reactivities Toward Unsaturated Hydrocarbons, Heterocumulenes, and CO2",2023,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c00769","https://scholar.google.com/scholar?cites=5882535069723693364&as_sdt=2005&sciodt=0,5&hl=en",226,"2025-05-19 23:36:33","AsCCAs","10.1021/acs.inorgchem.3c00769","","",,,,,5,2.50,1,5,2,"… , ketones, or CO 2 have not been reported so far. (10) Using a similar pincer ligand in combination with a nitrosyl coligand (cf. complex B in Chart 1), the reduction of ketones and … of DFT …","","https://scholar.google.com/scholar?q=related:NJGomXr2olEJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"SA Burgess, D Devarajan, T Bolano, DH Ess…","1, 2-Addition of Dihydrogen across Rhodium (III)–OMe Bonds",2014,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic500636m","https://scholar.google.com/scholar?cites=15503594958392948760&as_sdt=2005&sciodt=0,5&hl=en",370,"2025-05-19 23:36:33","","10.1021/ic500636m","","",,,,,11,1.00,2,5,11,"… DFT calculations indicate that there is a substantial energy penalty for MeOH dissociation … Heterolytic cleavage of dihydrogen is likely involved in hydrogenations of aldehydes, ketones, …","","https://scholar.google.com/scholar?q=related:GHiMHHnVJ9cJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"C Mandal, S Joshi, S Das, S Mishra…","2-Anilidomethylpyridine-Derived Three-Coordinate Zinc Hydride: The Journey Unveils Anilide Backbone's Reactive Nature",2023,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c03673","https://scholar.google.com/scholar?cites=6839739549211390132&as_sdt=2005&sciodt=0,5&hl=en",322,"2025-05-19 23:36:33","","10.1021/acs.inorgchem.3c03673","","",,,,,3,1.50,1,5,2,"Low-coordinate heteroleptic zinc hydrides are catalytically important but rare and synthetically challenging. We herein report three-coordinate monomeric zinc hydride on a 2-…","","https://scholar.google.com/scholar?q=related:tHDvquGi614J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"X Wei, X Kang, T Duan, H Li, S Wang, Y Pei…","5–: An Au–Ag Alloy Nanocluster with 12 Hydrides and Its Enlightenment on Nanocluster Structural Evolution",2021,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.1c01624","https://scholar.google.com/scholar?cites=169241863053618528&as_sdt=2005&sciodt=0,5&hl=en",368,"2025-05-19 23:36:33","Au16Ag43H12(SPhCl2)34","10.1021/acs.inorgchem.1c01624","","",,,,,12,3.00,2,7,4,"The structural determination of alloy hydride nanoclusters with high nuclearity remains challenging. We herein report the synthetic procedure and the structural elucidation of an Au–Ag …","","https://scholar.google.com/scholar?q=related:YK1v6JNEWQIJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"AK Gupta, PVVN Kishore, JY Cyue, JH Liao…","96: A Giant Self-Assembled Copper(I) Supramolecular Wheel Exhibiting Photoluminescence Tuning and Correlations with Dynamic Solvation and …",2021,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.1c00871","https://scholar.google.com/scholar?cites=296346397703140302&as_sdt=2005&sciodt=0,5&hl=en",475,"2025-05-19 23:36:33","Cu{SC(O)OiPr}","10.1021/acs.inorgchem.1c00871","","",,,,,8,2.00,2,5,4,"The hierarchical self-organization of structurally complex high-nuclearity metal clusters with metallosupramolecular wheel architectures that are obtained from the self-assembly of …","","https://scholar.google.com/scholar?q=related:zvOPhXrVHAQJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"S Khoo, CK Siu, CW So","A Base-Stabilized Silylene-Promoted C(sp3)–H Borylation and H2 Activation",2020,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.0c00426","https://scholar.google.com/scholar?cites=17156336462114683016&as_sdt=2005&sciodt=0,5&hl=en",297,"2025-05-19 23:36:33","","10.1021/acs.inorgchem.0c00426","","",,,,,15,3.00,5,3,5,"… Additionally, the reaction of 5 with H 2 was studied through density functional theory … The proposed mechanism (Scheme 6) was theoretically examined with density functional theory at …","https://dr.ntu.edu.sg/bitstream/10356/149971/2/manuscript_C-H%20borylation_CWSo_3rd%20revision.pdf","https://scholar.google.com/scholar?q=related:iHhtNx2NF-4J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"JJ Carbo, M Gomez-Pantoja, A Martin, M Mena…","A Bridging bis-Allyl Titanium Complex: Mechanistic Insights into the Electronic Structure and Reactivity",2019,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.9b01505","https://scholar.google.com/scholar?cites=6121801866742048908&as_sdt=2005&sciodt=0,5&hl=en",148,"2025-05-19 23:36:33","","10.1021/acs.inorgchem.9b01505","","",,,,,6,1.00,1,5,6,"… To understand the observed hydrogenation processes and the differences in reactivity … a detailed DFT study on the reaction mechanism. We focused on the hydrogenation of one of the …","","https://scholar.google.com/scholar?q=related:jKh79FwC9VQJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"SR Zarcone, Z Zhang, S Handunneththige…","A Caged Neutral 17-Valence-Electron Iron(I) Radical [Fe(CO)2(Cl)(P((CH2)10)3P)]•: Synthetic, Structural, Spectroscopic, Redox, and Computational Studies",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c02275","https://scholar.google.com/scholar?cites=12401211351994280823&as_sdt=2005&sciodt=0,5&hl=en",45,"2025-05-19 23:36:33","","10.1021/acs.inorgchem.4c02275","","",,,,,1,1.00,0,4,1,"… Except as otherwise noted the density functional theory (DFT) calculations were performed with the Gaussian 16 program (revision C.01). (41) Geometry optimizations and frequency …","https://pubs.acs.org/doi/full/10.1021/acs.inorgchem.4c02275","https://scholar.google.com/scholar?q=related:dyspLAX0GawJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"JI Fostvedt, MA Boreen, RG Bergman…","A Diverse Array of C–C Bonds Formed at a Tantalum Metal Center",2021,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.1c01159","https://scholar.google.com/scholar?cites=17469578524933490290&as_sdt=2005&sciodt=0,5&hl=en",338,"2025-05-19 23:36:33","","10.1021/acs.inorgchem.1c01159","","",,,,,8,2.00,2,4,4,"… As outlined in Scheme 8, we suggest that the reaction of 6 with H 2 and ketones … ketone to form η 2 -ketone intermediate P, which subsequently reacts with a second equivalent of ketone …","https://par.nsf.gov/servlets/purl/10326153","https://scholar.google.com/scholar?q=related:cgZ0UhxpcPIJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
