Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
104,"YG Abashkin, JR Collins, SK Burt","(Salen) Mn (III)-catalyzed epoxidation reaction as a multichannel process with different spin states. Electronic tuning of asymmetric catalysis: A theoretical study",2001,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic0012221","https://scholar.google.com/scholar?cites=10992482493501013369&as_sdt=2005&sciodt=0,5&hl=en",280,"2025-05-19 22:47:36","","10.1021/ic0012221","","",,,,,104,4.33,35,3,24,"… Using the BP DFT approximation with DZVP basis set, we found three spin states (the singlet… the catalytic activity of the manganese salen compound. For the optimized catalyst−ethylene …","","https://scholar.google.com/scholar?q=related:ef3TUJYkjZgJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"C Cesari, M Bortoluzzi, F Forti, L Gubbels…","2-D molecular alloy Ru–M (M= Cu, Ag, and Au) carbonyl clusters: synthesis, molecular structure, catalysis, and computational studies",2022,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c02099","https://scholar.google.com/scholar?cites=5818835280921542099&as_sdt=2005&sciodt=0,5&hl=en",87,"2025-05-19 22:47:36","","10.1021/acs.inorgchem.2c02099","","",,,,,9,3.00,2,5,3,"… metal–metal bonding within 2–5 has been computationally investigated by density functional theory … In addition, the [NEt 4 ] + salts of 2–4 have been tested as catalyst precursors for …","https://pubs.acs.org/doi/full/10.1021/acs.inorgchem.2c02099","https://scholar.google.com/scholar?q=related:073WxdunwFAJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
52,"K Griffiths, AC Tsipis, P Kumar, OPE Townrow…","3d/4f coordination clusters as cooperative catalysts for highly diastereoselective michael addition reactions",2017,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.7b01011","https://scholar.google.com/scholar?cites=14782629366942355701&as_sdt=2005&sciodt=0,5&hl=en",149,"2025-05-19 22:47:36","","10.1021/acs.inorgchem.7b01011","","",,,,,52,6.50,10,5,8,"… catalyzed by the bimetallic ZnY catalysts we explored all possible coordination modes of the substrates to the metal centers of the catalysts by means of DFT … a representative catalyst, …","https://sussex.figshare.com/articles/journal_contribution/3d_4f_Coordination_clusters_as_cooperative_catalysts_for_highly_diastereoselective_Michael_addition_reactions/23447375/1/files/41156963.pdf","https://scholar.google.com/scholar?q=related:9VDbZhZzJs0J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"W Zheng, N Duan, Y Yang, P Wang, Y Qu…","4f–2p–3d Orbital Coupling in Ce–Ni3S2 Enhancing the Urea Oxidation Reaction",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c02111","https://scholar.google.com/scholar?cites=9469314374515333890&as_sdt=2005&sciodt=0,5&hl=en",627,"2025-05-19 22:47:36","","10.1021/acs.inorgchem.4c02111","","",,,,,3,3.00,1,6,1,"… We conducted DFT calculations to explore the mechanism of UOR on Ce–Ni 3 S 2 /NF and Ni 3 S 2 /NF catalysts. According to the in situ XAFS results, Ce-doped NiOOH (Ce–NiOOH) …","","https://scholar.google.com/scholar?q=related:Apt8x0DDaYMJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"A Haider, BS Bassil, J Soriano-Lopez…","9-Cobalt (II)-containing 27-tungsto-3-germanate (IV): Synthesis, structure, computational modeling, and heterogeneous water oxidation catalysis",2019,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.9b01495","https://scholar.google.com/scholar?cites=9826024053447214208&as_sdt=2005&sciodt=0,5&hl=en",906,"2025-05-19 22:47:36","","10.1021/acs.inorgchem.9b01495","","",,,,,33,5.50,8,4,6,"… The results were further supported by computational DFT analysis, which attributed the enhanced catalytic behavior of 1 to an increase in the energy levels of the molecular orbitals …","https://recercat.cat/bitstream/handle/2072/374230/acs.inorgchem2019.pdf?sequence=5&isAllowed=y","https://scholar.google.com/scholar?q=related:gEQq7NAMXYgJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"EI Śliwa, DS Nesterov, MV Kirillova, J Kłak…","A 3D MOF based on adamantoid tetracopper (II) and aminophosphine oxide cages: structural features and magnetic and catalytic properties",2021,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.1c00868","https://scholar.google.com/scholar?cites=17255954841168689174&as_sdt=2005&sciodt=0,5&hl=en",268,"2025-05-19 22:47:36","","10.1021/acs.inorgchem.1c00868","","",,,,,19,4.75,4,5,4,"… Single-point DFT calculations disclose a strong delocalization of … DFT studies, is in good agreement with the experimental data. This copper(II) compound also acts as an active catalyst …","https://pubs.acs.org/doi/full/10.1021/acs.inorgchem.1c00868","https://scholar.google.com/scholar?q=related:FrgKiIB3ee8J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"AC Manesis, BW Musselman, BC Keegan…","A biochemical nickel (I) state supports nucleophilic alkyl addition: A roadmap for methyl reactivity in acetyl coenzyme A synthase",2019,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.8b03546","https://scholar.google.com/scholar?cites=16298612672638389698&as_sdt=2005&sciodt=0,5&hl=en",672,"2025-05-19 22:47:36","","10.1021/acs.inorgchem.8b03546","","",,,,,32,5.33,8,4,6,"… Geometry optimizations using density functional theory (DFT) … is commonly seen in DFT calculations owing to overestimated … in DFT calculations and is highly sensitive to the metal–…","https://pubs.acs.org/doi/full/10.1021/acs.inorgchem.8b03546","https://scholar.google.com/scholar?q=related:wo1KPN9NMOIJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"J Domergue, P Guinard, M Douillard, J Pecaut…","A Bioinspired NiII Superoxide Dismutase Catalyst Designed on an ATCUN-like Binding Motif",2021,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.1c00899","https://scholar.google.com/scholar?cites=17509908627097905220&as_sdt=2005&sciodt=0,5&hl=en",143,"2025-05-19 22:47:36","","10.1021/acs.inorgchem.1c00899","","",,,,,10,2.50,2,5,4,"… a combination of density functional theory (DFT) and time-dependent DFT calculations. Based on … by protonation that is thermodynamically highly favored according to DFT calculations. …","","https://scholar.google.com/scholar?q=related:ROi39x-x__IJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"MG Papanikolaou, AV Simaioforidou…","A Combined Experimental and Theoretical Investigation of Oxidation Catalysis by cis-[VIV(O)(Cl/F)(N4)]+ Species Mimicking the Active Center of Metal-Enzymes",2022,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c02526","https://scholar.google.com/scholar?cites=9916534685395420197&as_sdt=2005&sciodt=0,5&hl=en",433,"2025-05-19 22:47:36","","10.1021/acs.inorgchem.2c02526","","",,,,,1,0.33,0,3,3,"… impact on the oxidative catalytic activity, the mechanism of their action (DFT calculations), and … catalytic activity and the catalytic mechanism (DFT calculations) was also investigated. …","https://pubs.acs.org/doi/full/10.1021/acs.inorgchem.2c02526","https://scholar.google.com/scholar?q=related:JYTVncGbnokJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
93,"J Adhikary, P Chakraborty, S Das…","A combined experimental and theoretical investigation on the role of halide ligands on the catecholase-like activity of mononuclear nickel (ii) complexes with a phenol …",2013,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic401819t","https://scholar.google.com/scholar?cites=15394390198541599938&as_sdt=2005&sciodt=0,5&hl=en",304,"2025-05-19 22:47:36","","10.1021/ic401819t","","",,,,,93,7.75,23,4,12,"… to the metal in solution, DTBC is not able to approach the metal and consequently the chloride complex does not show catecholase activity. We have performed a DFT study in order to …","https://www.academia.edu/download/40772263/IC_2013.pdf","https://scholar.google.com/scholar?q=related:wsTTlVLco9UJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
