Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
33,"S Oh, S Kim, D Lee, J Gwak, Y Lee","Alkoxide migration at a nickel (II) center induced by a π-acidic ligand: migratory insertion versus metal–ligand cooperation",2016,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.6b02226","https://scholar.google.com/scholar?cites=17299568057303290035&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 20:14:48","","10.1021/acs.inorgchem.6b02226","","",,,,,33,3.67,7,5,9,"… According to our DFT computational results, both isomeric species are close in energy; see the Supporting Information. MI found in the reaction of 4 is clearly different from the previous …","","https://scholar.google.com/scholar?q=related:s9BBt31pFPAJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"Z Huang, R Wang, T Sheng, X Zhong, S Wang…","Transformation of the sp2 Carbanion to Carbene with Subsequent 1,1-Migratory Insertion and Nucleophilic Substitution in Rare-Earth Metal Chemistry",2021,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.1c02589","https://scholar.google.com/scholar?cites=11957439785580607742&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 20:14:48","","10.1021/acs.inorgchem.1c02589","","",,,,,13,3.25,2,6,4,"… DFT calculations also revealed that the process of alkylation of the yttrium chloride with i … 1,1-alkyl migratory insertion is exothermic, and the 1,1-alkyl migratory insertion of the i Bu group …","","https://scholar.google.com/scholar?q=related:_rinuiFc8aUJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
34,"A Espinosa, E de las Heras, R Streubel","Oxaphosphirane-borane complexes: ring strain and migratory insertion/ring-opening reactions",2014,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic500536h","https://scholar.google.com/scholar?cites=11259655186686726795&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 20:14:48","","10.1021/ic500536h","","",,,,,34,3.09,11,3,11,"… DFT-based HSAB-related parameters predict most favorable P- versus O-complexation of … weakens all B–R bonds, thus enabling migratory insertion/ring-opening reactions in which a …","","https://scholar.google.com/scholar?q=related:i9LYb7xUQpwJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"F Hasanayn, D Abu-El-Ez","Calculation of Dramatic Differences in the Activation Energy of Phenyl Migratory Insertion in the Isomers of [Rh(PMe3)2Cl(CO)(Ph)H]: Important Effects from Both the …",2010,"Inorganic chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic100198u","https://scholar.google.com/scholar?cites=15699091829041038635&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 20:14:48","","10.1021/ic100198u","","",,,,,9,0.60,5,2,15,"… DFT calculations reveal that phenyl migratory insertion should be kinetically forbidden in 2b … CO is highly unfavorable for the TS of migratory insertion in octahedral complexes, which we …","","https://scholar.google.com/scholar?q=related:K4U6Vtdg3tkJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"DB Pardue, J Mei, TR Cundari, TB Gunnoe","Density functional theory study of oxygen-atom insertion into metal–methyl bonds of iron (ii), ruthenium (ii), and osmium (ii) complexes: study of metal-mediated C–O …",2014,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic402759w","https://scholar.google.com/scholar?cites=13005933231976149187&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 20:14:48","","10.1021/ic402759w","","",,,,,16,1.45,4,4,11,"… Given the small ΔΔG mig ⧧ of 1.3 kcal/mol for phenyl and methyl migration, we sought to probe whether radical processes might compete with concerted hydrocarbyl migration. The …","https://www.osti.gov/servlets/purl/1607841","https://scholar.google.com/scholar?q=related:w_BiuF1bfrQJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"KA Wells, JE Yarnell, JR Palmer, TS Lee…","Energy Migration Processes in Re (I) MLCT Complexes Featuring a Chromophoric Ancillary Ligand",2020,"… chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.0c00644","https://scholar.google.com/scholar?cites=11341988093495807788&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 20:14:48","","10.1021/acs.inorgchem.0c00644","","",,,,,16,3.20,3,5,5,"We present the synthesis, structural characterization, electronic structure calculations, and ultrafast and supra-nanosecond photophysical properties of a series of five Re(I) …","https://par.nsf.gov/servlets/purl/10183357","https://scholar.google.com/scholar?q=related:LA-HHxTWZp0J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"M Volpe, G Wu, A Iretskii, PC Ford","Photochemical and time resolved spectroscopic studies of intermediates relevant to iridium-catalyzed methanol carbonylation: Photoinduced CO migratory insertion",2006,"Inorganic chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic0513033","https://scholar.google.com/scholar?cites=6471914628565014392&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 20:14:48","","10.1021/ic0513033","","",,,,,26,1.37,7,4,19,"… Solvent-assisted migratory insertion of 1b to give I M-mer followed by rapid reaction with CO … DFT calculations of 1b and of a likely transition state for the migratory insertion reactions (…","","https://scholar.google.com/scholar?q=related:eJdFpBDc0FkJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
126,"CN Rowley, GA DiLabio, ST Barry","Theoretical and Synthetic Investigations of Carbodiimide Insertions into Al−CH3 and Al−N(CH3)2 Bonds",2005,"Inorganic chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic048501z","https://scholar.google.com/scholar?cites=3273293978908858589&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 20:14:48","","10.1021/ic048501z","","",,,,,126,6.30,42,3,20,"… a mechanism for these insertions and modeled it using density functional theory (DFT) calculations. The calculated barrier heights for competitive insertions show the insertion into Al−N(…","","https://scholar.google.com/scholar?q=related:3ZhJ-ocTbS0J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"P Vadivelu, CH Suresh","Metal- and Ligand-Assisted CO2 Insertion into Ru–C, Ru–N, and Ru–O Bonds of Ruthenium(II) Phosphine Complexes: A Density Functional Theory Study",2015,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic5022577","https://scholar.google.com/scholar?cites=4237405322653703335&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 20:14:48","","10.1021/ic5022577","","",,,,,10,1.00,5,2,10,"… We present the density functional theory studies on the CO 2 insertion mechanism of [L 4 Ru(η 2 -CH 2 C 6 H 4 )] (1), [L 4 Ru(η 2 -OC 6 H 3 Me)] (2), and [L 4 Ru(η 2 -NHC 6 H 4 )] (3), …","","https://scholar.google.com/scholar?q=related:p5wfsrBJzjoJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"EC Garrett III, TM Figg, TR Cundari","Impact of d-Orbital Occupation on Metal–Carbon Bond Functionalization",2014,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic5015048","https://scholar.google.com/scholar?cites=6571911616164054754&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 20:14:48","","10.1021/ic5015048","","",,,,,13,1.18,4,3,11,"… Geometry optimizations and vibrational frequency calculations were obtained with density functional theory (DFT). The hybrid functional, combining Becke’s three-parameter exchange …","","https://scholar.google.com/scholar?q=related:4sa4oMseNFsJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"JB Liu, HY Wang, Y Wang, XJ Liu","Computational Insights into the Effect of Ligands and Transition-Metal Centers on the Mechanism and Regioselectivity of Hydrosilylation of Alkenes",2024,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c04299","https://scholar.google.com/scholar?cites=4297843000216205020&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-19 20:14:48","","10.1021/acs.inorgchem.4c04299","","",,,,,2,2.00,1,4,1,"… the title reaction by means of density functional theory calculations to illustrate the origins of … in the catalytic cycle involving a hydride migration insertion pathway. On the basis of …","","https://scholar.google.com/scholar?q=related:3DZJEHABpTsJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"K Lee, N Kim, KB Cho, Y Lee","Electronic Effect on Phenoxide Migration at a Nickel (II) Center Supported by a Tridentate Bis (phosphinophenyl) phosphido Ligand",2023,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c03557","https://scholar.google.com/scholar?cites=4379552910048033796&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-19 20:14:48","","10.1021/acs.inorgchem.2c03557","","",,,,,1,0.50,0,4,2,"… analysis using density functional theory (DFT) calculations, a … (14) We believe that migratory insertion dominantly operates … When alkoxide is changed to phenolate, migratory insertion …","","https://scholar.google.com/scholar?q=related:BPxw9ipMxzwJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"CR Reinhardt, MT Manetsch, WL Li…","Computational Screening of Putative Catalyst Transition Metal Complexes as Guests in a Ga4L612– Nanocage",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c02113","https://scholar.google.com/scholar?cites=6319376451260070920&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-19 20:14:48","","10.1021/acs.inorgchem.4c02113","","",,,,,1,1.00,0,4,1,"… during each DFT geometry … migratory insertion reactions, and the increased Lewis acidity inside the cage cavity could promote the required ligand binding for the migratory insertion step…","https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/664cc02e91aefa6ce19894ae/original/computational-screening-of-putative-catalyst-transition-metal-complexes-as-guests-in-a-ga4l6-12-nanocage.pdf","https://scholar.google.com/scholar?q=related:CDxTo2bvslcJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
