Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"YJ Dong, ZW Zhao, Y Geng, ZM Su, B Zhu…","Theoretical Insight on the High Reactivity of Reductive Elimination of NiIII Based on Energy- and Electron-Transfer Mechanisms",2023,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c03502?casa_token=AtAPnrYdCvYAAAAA:VWbuHck_Z0cpwI8ITnNPuagHlsNoWUTJByA2HmFrEn1R5mczi3vQGDFI8yeu5l1Bk7p5WUaYcjBeedI","https://scholar.google.com/scholar?cites=11848147775705579859&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 21:11:25","","10.1021/acs.inorgchem.2c03502","","",,,,,12,6.00,2,6,2,"… dual catalysis overcomes the challenging reductive elimination (RE) of Ni(II) species and … of density functional theory (DFT), molecular dynamics, and time-dependent DFT computations. …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.2c03502?casa_token=-8CfWUeEwMgAAAAA:vLxiudTH0JkG54QCZHPDS16voxwvl7fMrjB0wxBHBykWkaDwbfzaf187coH0m08Y6Fp0tkp984ZvN6Y","https://scholar.google.com/scholar?q=related:UwFEuaATbaQJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"A Ariafard, CJT Hyland, AJ Canty, M Sharma…","Theoretical investigation into the mechanism of reductive elimination from bimetallic palladium complexes",2011,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic102323s?casa_token=kOFWtclO0-QAAAAA:xgAiK7P-rEababU_JncX6Mm_FjDRNnTYmCiCet3ZWC075Io4FmTgIFR_MKjm7QCjwHfwWGZGBMYgERo&casa_token=WK2h-Elw8l4AAAAA:oCjfoYBnSRrkRXq--v7vjgdyZdAY5Vs3IDPvA7w63oAak8GpCJHoW8Ov_KrPk2xjNtkz-BTLAHiaas4","https://scholar.google.com/scholar?cites=8244982209648102806&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 21:11:25","","10.1021/ic102323s","","",,,,,50,3.57,10,5,14,"… To investigate reductive elimination to form a CX bond from … L 1 (Figure 1) for the DFT calculations. We also considered both CH … The possible pathway for direct reductive elimination is …","https://pubs.acs.org/doi/pdf/10.1021/ic102323s?casa_token=3lt52oEOl6QAAAAA:W30WvFtmPPM3VKyb_dttNkGkS3MSuq77wLSgqj3nBr2fEYu7bf0PyN1KieDW6CSTobDEkBUwXWTH3so","https://scholar.google.com/scholar?q=related:lo19yaIPbHIJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"A Portugués, MÁ Martínez-Nortes, D Bautista…","Reductive Elimination Reactions in Gold(III) Complexes Leading to C(sp3)–X (X = C, N, P, O, Halogen) Bond Formation: Inner-Sphere vs SN2 Pathways",2023,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c04166","https://scholar.google.com/scholar?cites=14562267828503389316&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 21:11:25","","10.1021/acs.inorgchem.2c04166","","",,,,,12,6.00,3,4,2,"… For an understanding of the decomposition reactions of the Au(III) complexes bearing a labile anionic ligand, the reductive elimination of MeOTf from 4a was modeled using DFT …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.2c04166","https://scholar.google.com/scholar?q=related:hCQLkm-RF8oJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"MA Boreen, CZ Ye, A Kerridge, KN McCabe…","Does Reduction-Induced Isomerization of a Uranium (III) Aryl Complex Proceed via C–H Oxidative Addition and Reductive Elimination across the Uranium (II/IV) …",2022,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c01563?casa_token=Icsv8vGKKIoAAAAA:r4_wlzkuF4Y08jouejjNC29_5qr56vq2xq1EQ9Y2N6AII5968y5C-XeqlREzHW6IHdLMq40w5PubzVQ&casa_token=N-MKF8j77owAAAAA:Oqp46AM7DeczgcEaXWRGFYkQIWjMlEBSsGALvgJ3sd37yz2p4g_5pNIjTybIDszaXvMrBKVApf5wCuQ","https://scholar.google.com/scholar?cites=7579612488434561106&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 21:11:25","","10.1021/acs.inorgchem.2c01563","","",,,,,10,3.33,2,5,3,"… a deuterium labeling study and density functional theory calculations of the reaction profile. … mononuclear C–H oxidative addition and reductive elimination steps utilizing uranium(II/IV). …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.2c01563?casa_token=wvhK1VqqOowAAAAA:BkIjmm75qDQ2--cANWlAxkYrc6j6SaevSc2B-o_8l8D0f3wGrlemXWTwhG4pP9l8kss8H05jA07IA5s","https://scholar.google.com/scholar?q=related:UrBBVGYxMGkJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"SM Nabavizadeh, F Niroomand Hosseini…","Bismuth–Halide Oxidative Addition and Bismuth–Carbon Reductive Elimination in Platinum Complexes Containing Chelating Diphosphine Ligands",2013,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic4018745?casa_token=PSdqGr3zPGYAAAAA:BOpgz_wYNK_GGVuOo4pu-6KGDWG0Ts-C4-evzxl2myxwbo1XX2WfODLISGKI_Ij8i8bb_YqatKzDOyU&casa_token=fAwB7q8dJlgAAAAA:PYOtl3yhwA3qCXmZUQqVfqcEgskktJ7JH5uIc0w1TRY-zYGCQw8oyY3zziYr2CiB5ClCunXStdkh-bQ","https://scholar.google.com/scholar?cites=15085064641337285973&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 21:11:25","","10.1021/ic4018745","","",,,,,19,1.58,6,3,12,"… Density functional theory (DFT) studies suggest that intermediate IM1 may be formed in acetone solution which undergoes the Bi–C reductive elimination … using DFT calculations. In …","https://pubs.acs.org/doi/pdf/10.1021/ic4018745?casa_token=uR2-6OxhtX4AAAAA:Y8CYTKs7LqUU2iXX2Pv0E6JIWgR95bNVyd3v1vv2KviwC2QMnyyNmTj3PCOVTwJHxTVEEHjhb6yV1FQ","https://scholar.google.com/scholar?q=related:Vd22AF7qWNEJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"MD Aseman, S Kiyavash","High Selectivity in Csp2–Csp2 versus Csp3–O Reductive Elimination from Cycloplatinated(IV) Complexes",2024,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c01096?casa_token=ltTCsoX92M4AAAAA:QetM8YBVXKsNPDbX6dUazV4KBu49jWzYkteLdbORADW2FYbCzb398a5EpsCKTM9MujX2Q3ctv4pAuhY&casa_token=Vck6aSV07FoAAAAA:eSShDd3U5EmKmg9wJdekNp30eBs2JNd75WaPwasCInmPHBNUlb3-qO-7db0wNgTXa6DGz8LOeU8doOQ","https://scholar.google.com/scholar?cites=7631875466792498907&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 21:11:25","","10.1021/acs.inorgchem.4c01096","","",,,,,1,1.00,1,2,1,"… To gain more insights into the presented Csp 2 Ar –Csp 2 bhq bond forming RE reaction, we carried out DFT calculations to probe the mechanism of this elementary reaction. …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.4c01096?casa_token=89E9X2J33CkAAAAA:Dk0GalnHor7Lti4wagzLPia12VxCTyTWrWftMBlCQLFivdN82ccaSmDvLqOW_D4r794FSFaIMX-8dN0","https://scholar.google.com/scholar?q=related:23YvOE3e6WkJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"S Frieß, A Benyak, A Herrera, AM Escalona…","Ir(IV) Sulfoxide-Pincer Complexes by Three-Electron Oxidative Additions of Br2 and I2. Unprecedented Trap-Free Reductive Elimination of I2 from a formal d5 Metal",2022,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.1c02956?casa_token=XSIf3QmmD_UAAAAA:xEzQdQBJHEGJVXT3ThSUOSsSD6QAiiZmFlAObrALHreFPYIGuqukKI0Z_6egVFpbkfTSDJ_NcnbL7cA&casa_token=a6618GjcRR4AAAAA:5hP1apT9EoV-6VKcQHYN_Oy1XY-ENneWRTU1cg3OkCu9tLYjpxw7_ewjGn8uO0tEOWnaFtEloQmKBKw","https://scholar.google.com/scholar?cites=17222000673476955048&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 21:11:25","","10.1021/acs.inorgchem.1c02956","","",,,,,5,1.67,1,5,3,"… reductive elimination of iodine from a Ir(IV) iodo complex that represents the first example of a reductive elimination … DFT calculations on 9 hint at a complex with an “inverse ligand field” …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.1c02956?casa_token=D_QM3IZ8WosAAAAA:Vaf6rFaNo1q-GKmYZYkfVL9-UpIhTha7B999uESTm4XKlTZBctR_ul-fJyaJVpLduC08CC3zWh07PdM","https://scholar.google.com/scholar?q=related:qMsh0F3WAO8J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"L Szatkowski, MB Hall","Molybdenum Trihydride Complexes: Computational Model of Oxidatively Induced Reductive Elimination of Dihydrogen",2017,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.6b02805?casa_token=_K11L8L5eFMAAAAA:3_9V6GV4PoMjt4zd00k3043Ukugm0zkVo3RGEWZ9XNauRHI4khqcpQVAE6VHlJYyU5e-YMujR0jpn54&casa_token=MZkngUyJzuIAAAAA:Ixnz0FFamopOo0Na-g44BUIZu_IwKno-x6UFRXA8X6Tqfoi-BPm6tRyBJPwNgVvKx-dTT8Oy6c9YaJU","https://scholar.google.com/scholar?cites=18067284856170538435&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 21:11:25","","10.1021/acs.inorgchem.6b02805","","",,,,,1,0.13,1,2,8,"… (Cp iPr MoH 3 ) undergo oxidatively induced reductive elimination of dihydrogen (H 2 ). Density functional theory (DFT) calculations predict the H 2 elimination barriers from 17-electron …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.6b02805?casa_token=yQarZpe1GW8AAAAA:0ZkIFpVsy19RNaGQf6jyMlmTWDTXzPvAKYtsugr0MXIEew5Quglcud7xBOXsW9_ZEBZJ0yc0BLMOHic","https://scholar.google.com/scholar?q=related:w-XWI9rju_oJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
64,"PK Sajith, CH Suresh","Mechanisms of Reductive Eliminations in Square Planar Pd(II) Complexes: Nature of Eliminated Bonds and Role of trans Influence",2011,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic2004563?casa_token=NVYJJaEsAqMAAAAA:3Q8xVa4TKDEJRPpiFsnQH-57oZll-XZRIiXGfrLtwlg5CTkFzZHWvMNeOVrKFVwLiCKf3g3v4XsqNUY&casa_token=xHx6YqIM0iIAAAAA:aVNz830vWWdUjcGnBlu3Czao9GiWETucJFcOBsTrPBGMNmDhzifwgfmPNlVk7rzH5-Wu958l0TZQIFU","https://scholar.google.com/scholar?cites=2095130990007547082&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 21:11:25","","10.1021/ic2004563","","",,,,,64,4.57,32,2,14,"… well as dissociative reductive elimination pathways yielding … the MPWB1K level of density functional theory. In the absence of … that are eliminated during reductive elimination have been …","https://pubs.acs.org/doi/pdf/10.1021/ic2004563?casa_token=gGjXQnRvAv0AAAAA:VKk2teA0YYQlfnB4NzU20tnvQmR_yg8Tf7cIZrxilTfUt3giXQX7nZGUKrVxkHD4dLPJO1yl_W1YKyE","https://scholar.google.com/scholar?q=related:yvRP8YhmEx0J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"P Vadivelu, K Ganesan","… Functional Theory Study on [Ni0(1,10-Phenanthroline)]-Catalyzed Reductive Carboxylation of Alkyl and Aryl Halides with CO2: Effect of the Lewis Acid and β-H Elimination …",2022,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c03340?casa_token=722HNjZr6C4AAAAA:eqAvIkptmpOsddRXUU_PdosDQ_X3dY9WjhvY1tabsiGT6L34WunNTN4jagrPvOS77a4i8_IHUo09i-I","https://scholar.google.com/scholar?cites=5901287050673497122&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 21:11:25","","10.1021/acs.inorgchem.2c03340","","",,,,,6,2.00,3,2,3,"… We present the DFT study on the reactivity of the [Ni 0 (1,10-phenanthroline)] (1) complex for the reductive carboxylation of propyl and phenyl chloride. The CO 2 insertion of the incurred …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.2c03340?casa_token=6vU04zidbP8AAAAA:lDLIdXoEBGCUAydFYbr-D8UjylJh1_51KPMoDY-wjBTS4tFAPbVVV53e1f9jrUo39JBqxaU0UwlJFlw","https://scholar.google.com/scholar?q=related:IqQBZU6V5VEJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
