Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"J Conradie, AK Patra, TC Harrop, A Ghosh","Square-Antiprismatic Eight-Coordinate Complexes of Divalent First-Row Transition Metal Cations: A Density Functional Theory Exploration of the Electronic–Structural …",2015,"Inorganic chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic502287m","https://scholar.google.com/scholar?cites=13054282492168978172&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 22:50:31","","10.1021/ic502287m","","",,,,,9,0.90,2,4,10,"… DFT studies: no exchange–correlation functional provides a universally satisfactory description of spin-state energetics for first-row transition metal … DFT studies involving transition metal …","","https://scholar.google.com/scholar?q=related:_D5VF8MgKrUJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"S DiLuzio, M Baumer, R Guzman, ...","Exploring the Photophysics and Photocatalytic Activity of Heteroleptic Rh (III) Transition-Metal Complexes Using High-Throughput Experimentation",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c02420","https://scholar.google.com/scholar?cites=12752729786694469311&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 22:50:31","","10.1021/acs.inorgchem.4c02420","","",,,,,6,6.00,2,4,1,"… Under certain conditions, the activity of the Rh(III) PC actually surpassed that of the Ir(III) PC, uncovering the potential of this often-overlooked class of transition metals as both efficient …","https://pubs.acs.org/doi/full/10.1021/acs.inorgchem.4c02420","https://scholar.google.com/scholar?q=related:v4Z3lCzM-rAJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
71,"AC Tsipis, AT Chaviara","Structure, energetics, and bonding of first row transition metal pentazolato complexes: a DFT study",2004,"Inorganic chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic035112g","https://scholar.google.com/scholar?cites=7758425559598219249&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 22:50:31","","10.1021/ic035112g","","",,,,,71,3.38,36,2,21,"… ligand we report herein DFT results for its interaction with first row transition metals (V, Cr, … properties of the first row transition metal azametallocenes and compared them with the …","","https://scholar.google.com/scholar?q=related:8b8pyPB2q2sJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"CR Reinhardt, MT Manetsch, WL Li, ...","Computational Screening of Putative Catalyst Transition Metal Complexes as Guests in a Ga4L612– Nanocage",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c02113","https://scholar.google.com/scholar?cites=6319376451260070920&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 22:50:31","","10.1021/acs.inorgchem.4c02113","","",,,,,1,1.00,0,4,1,"… of transition metals in the guest complexes were closed-shell singlets, we optimized structures in implicit solvent using restricted DFT in singlet states or unrestricted DFT in triplet and …","https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/664cc02e91aefa6ce19894ae/original/computational-screening-of-putative-catalyst-transition-metal-complexes-as-guests-in-a-ga4l6-12-nanocage.pdf","https://scholar.google.com/scholar?q=related:CDxTo2bvslcJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"M Regueiro-Figueroa, LMP Lima, V Blanco, ...","Reasons behind the relative abundances of heptacoordinate complexes along the late first-row transition metal series",2014,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic501869y","https://scholar.google.com/scholar?cites=18406232859143908692&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 22:50:31","","10.1021/ic501869y","","",,,,,41,3.73,10,4,11,"… Thus, the calculated g values reproduce well the trend observed experimentally, although g y and particularly g z are underestimated by our DFT calculations. A similar methodology …","","https://scholar.google.com/scholar?q=related:VC1l1kMTcP8J:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
36,"J Ghannam, T Al Assil, TC Pankratz, RL Lord, ...","A Series of 4-and 5-Coordinate Ni (II) Complexes: Synthesis, Characterization, Spectroscopic, and DFT Studies",2018,"… chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.8b00958","https://scholar.google.com/scholar?cites=16526921081173983962&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 22:50:31","","10.1021/acs.inorgchem.8b00958","","",,,,,36,5.14,7,5,7,"… density functional theory (DFT) at the B3LYP/6-311G(d)/SDD level of theory, (43−47) where Ni and the halide were represented with SDD and all other elements with … DFT (TD-DFT) was …","https://ecommons.luc.edu/cgi/viewcontent.cgi?article=1100&context=chemistry_facpubs","https://scholar.google.com/scholar?q=related:2kJK8ihrW-UJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"JD Braun, IB Lozada, DE Herbert","In Pursuit of Panchromatic Absorption in Metal Coordination Complexes: Experimental Delineation of the HOMO Inversion Model Using Pseudo-Octahedral …",2020,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.0c02973","https://scholar.google.com/scholar?cites=13544550972961559992&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 22:50:31","","10.1021/acs.inorgchem.0c02973","","",,,,,29,5.80,10,3,5,"… -row transition and main-group metals show vastly different absorption and redox properties. Density functional theory (DFT) … Changing the identity of the ligated transition metal enables …","","https://scholar.google.com/scholar?q=related:uJWLCVnp97sJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
47,"B Drahos, R Herchel, Z Travnicek","Structural, magnetic, and redox diversity of first-row transition metal complexes of a pyridine-based macrocycle: well-marked trends supported by theoretical DFT …",2015,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic503054m","https://scholar.google.com/scholar?cites=4056423481853051602&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 22:50:31","","10.1021/ic503054m","","",,,,,47,4.70,16,3,10,"… a rather unusual heptacoordinated central transition metal atom, were described previously. … on a new series of complexes of selected first-row transition metals (Mn(II), Fe(III), Co(II), Ni(II…","https://www.academia.edu/download/43896988/2015_Inorg._Chem._2015__54__3352339_ML7.pdf","https://scholar.google.com/scholar?q=related:0oJnNqpPSzgJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"JA Przyojski, ML Kiewit, KL Fillman, HD Arman, ...","Homoleptic Transition Metal Complexes of the 7-Azaindolide Ligand Featuring κ1-N1 Coordination",2015,"… chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.5b01732","https://scholar.google.com/scholar?cites=9487699125514611084&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 22:50:31","","10.1021/acs.inorgchem.5b01732","","",,,,,15,1.50,3,5,10,"… the cobalt analogue along with DFT calculations on all … transition metals. In addition to the 7-azaindolide complexes, we have also prepared one of the first examples of a transition metal …","https://pmc.ncbi.nlm.nih.gov/articles/PMC4801036/pdf/nihms-730411.pdf","https://scholar.google.com/scholar?q=related:jCkVMBYUq4MJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"JB Liu, HY Wang, Y Wang, XJ Liu","Computational Insights into the Effect of Ligands and Transition-Metal Centers on the Mechanism and Regioselectivity of Hydrosilylation of Alkenes",2024,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c04299","https://scholar.google.com/scholar?cites=4297843000216205020&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 22:50:31","","10.1021/acs.inorgchem.4c04299","","",,,,,2,2.00,1,4,1,"… In the present work, we report a detailed mechanistic study on the title reaction by means of density functional theory calculations to illustrate the origins of ligand-controlled …","","https://scholar.google.com/scholar?q=related:3DZJEHABpTsJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
