Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"X Xie, J Zhang, XQ Song, W Li, F Cao, C Zhou…","Unveiling Pre-Transmetalation Intermediates in Base-Free Suzuki–Miyaura Cross-Couplings: A Computational Study",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c03855?casa_token=2INa8B6vSsMAAAAA:tFUJHCA8OJCrB0tLjuTk9OwALgZ0qZkm8D6MbG9zGwaeHQTf9Cy6CTQIS9g5WFk6zdDpuIOrUlDrnAc&casa_token=mY4zHsrbtg4AAAAA:b30NRYNRcKMnp0LcuW3grBW70RKus1V09DrPHdh_oNXawGQhLhUgDwr6IyNHYQ3fnPmAR88cdxwA3qM","https://scholar.google.com/scholar?cites=11960172731969175217&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 22:23:53","","10.1021/acs.inorgchem.3c03855","","",,,,,3,3.00,0,7,1,"The pre-transmetalation intermediates are critically important in Suzuki–Miyaura cross-coupling (SMC) reactions and have become a hot spot of the current research. However, the pre-…","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.3c03855?casa_token=VvzOaFiNafkAAAAA:tK6Lq67IaMPet7wdqtjR6DWwrb-ihVe3nITxgPgLFLdyWDOMrL_knT2flL6MsFUpqz9zT0o8v2z3ISQ","https://scholar.google.com/scholar?q=related:sf5VZbsR-6UJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"IC Watson, MJ Ferguson, E Rivard","Zinc-Mediated Transmetalation as a Route to Anionic N-Heterocyclic Olefin Complexes in the p-Block",2021,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.1c02961?casa_token=QS26b5lGDR8AAAAA:aTmMYNlDy-S4BTh0pISoZoRMN06LMIPfmJU1WhRGOhbv26a5zR3aPGNd8Exi1aV7sVzE-7S0-iaHqiU&casa_token=gDhx3ZTa9LMAAAAA:4li_6TqvsXqz0Iu4_ID_MTdZq6-1zlFGxoESKhVv8VmySsNsjctN_-PyFORNPGLFq1VTXiZHZk8VcxY","https://scholar.google.com/scholar?cites=2796029130864810427&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 22:23:53","","10.1021/acs.inorgchem.1c02961","","",,,,,12,3.00,4,3,4,"… In the case of the group 14 halides, Cl 2 E·dioxane (E = Ge and Sn), transmetalation occurs to form … Lastly, ZnH 2 elimination drives transmetalation between ( Me IPrCH) 2 Zn and …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.1c02961?casa_token=B1XkMrN1PB8AAAAA:cWvoxbYHzBhTUuRw_gctdcarq7AwMU3MLofFeMIxvcO9LmDDmKm20ZmMVDz6oLCXxNvm-NXg99Q2Ek4","https://scholar.google.com/scholar?q=related:u1nXNq59zSYJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"O Lozano-Lavilla, P Gómez-Orellana, A Lledós…","Transmetalation Reactions Triggered by Electron Transfer between Organocopper Complexes",2021,"… chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.1c01595","https://scholar.google.com/scholar?cites=15288298902841515658&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 22:23:53","","10.1021/acs.inorgchem.1c01595","","",,,,,9,2.25,2,4,4,"… Density functional theory studies considering two molecules of the catalyst and two spin … the feasibility of such a process and the transmetalation between Cu(II) species, justifying in this …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.1c01595","https://scholar.google.com/scholar?q=related:it7c69nyKtQJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"L Tarifa, AM Geer, L Asensio, JA López…","Redox–Transmetalation Reactions: Easy Access to Homo- and Heterodimetallic d8,d10 Complexes",2023,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c02200?casa_token=nQuLnJkZdowAAAAA:43yje-7K-3KhCwX7AruNvjI6RLqMCh0SqrObP7XjsYIV6rSeZNVpWPUkyHd7ydvP2SxGeRNoethb_Fg&casa_token=MAZV_BGHodsAAAAA:DNAluGBUL35nI-FxSxn9Pazx2sjrLCq9I6seDmydHh6P5D41mZnADUqQCx09G1iG7ElLhMdXwnigM50","",4,"2025-05-19 22:23:53","","10.1021/acs.inorgchem.3c02200","","",,,,,0,0.00,0,5,2,"… 3 )(Cl)(η 1 -CH-N(bpi))’, stabilized by a secondary γ-agostic interaction, and the ‘M′ II (Cl)(κ 3 N-bpi)’ fragment was found to be accessible redoxomers of complexes 10 and 11 by DFT …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.3c02200?casa_token=N0f3i15iry8AAAAA:ebRi1Lzj0a8HIunOf0SY0Temu4vUwAk-s-kZsUFaGnUzg78bU-aOqdOBzkUu7c1uQX1fyWiP8wBKXmY","https://scholar.google.com/scholar?q=related:tTslfCv-BvQJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
56,"DV Partyka, M Zeller, AD Hunter, TG Gray","Arylgold (I) complexes from base-assisted transmetalation: structures, nmr properties, and density-functional theory calculations",2012,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic3009464?casa_token=-TVI_mNz6IQAAAAA:L7ATxIpKIYKjMt-wztpiaWzMbTPSU2sHevLZo7qUNPJiFsD7FFJ8-Iq070WWct3Bk0Lny5Ckc-DR62c&casa_token=SBhYUExrMagAAAAA:eFpa9hOTokOHymU2zQGy0C21UBhM8k6zndOltPtRzsxIipK4ZG16JBNxAaLqspKviiX9P1tQDM04kS0","https://scholar.google.com/scholar?cites=12751646539743368893&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 22:23:53","","10.1021/ic3009464","","",,,,,56,4.31,14,4,13,"… In an effort to expand the scope of base-assisted transmetalation, we report the synthesis of … alongside density-functional theory computations. We find that base-assisted transmetalation…","https://pubs.acs.org/doi/pdf/10.1021/ic3009464?casa_token=YO5irPgkmRwAAAAA:gX4BtabBFUbrqt2ykE_6P6HEYuxpIqxnrVFIDBlvBuqtKnFdrWvs7tMQqp6GWO8QA4uvvoLU6Syj0xU","https://scholar.google.com/scholar?q=related:vRa-fvfy9rAJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"CE Boronski, SM Krajewski, EE Sanchez…","Mono-β-diketonate Metal Complexes of the First Transition Series",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c03477?casa_token=Z4iFn9aHkE4AAAAA:BH6COkg-XZb67xLC0Agvs3pzQajhdYkrfemNNl3KkIEYURp5IlwX15jiYgDUyv_vlU4OVTYeWFe5mnE&casa_token=m2yL8NR7xRsAAAAA:YFbnpOt7JMf2aTSOJ8JhhGKGbalV1z57MKYDGL8eVoOC7per-iL-6o6LdGalFXITOdwniMgKEE8Ceaw","https://scholar.google.com/scholar?cites=18182312687590426629&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 22:23:53","","10.1021/acs.inorgchem.4c03477","","",,,,,1,1.00,0,4,1,"… transmetalation salts useful for the preparation of transition metal complexes. Lastly, DFT models were calculated and shown to be in agreement with the crystallographic data collected. …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.4c03477?casa_token=LqO9lH_D2IgAAAAA:BEg8a2yzraRSj6s8pp4QiBkKxql-YIr_iwlFDmApKgV_z-cZCbpSJK5zymBsVwK-UClcbm8Vaofmw_A","https://scholar.google.com/scholar?q=related:BcjnKg6NVPwJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
35,"VM Cangelosi, TG Carter, JL Crossland…","Self-Assembled E2L3 Cryptands (E = P, As, Sb, Bi): Transmetalation, Homo- and Heterometallic Assemblies, and Conformational Isomerism",2010,"… chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic1012186?casa_token=iHKDnrJE14sAAAAA:fVZDC-CcQ1zbsHpKItpGKYTFaGIZe06yMSPTPTBdah2BAbG09QYc5tAS5INj-oYThLz0RbcPZk9eAFY&casa_token=kNZmk8coicAAAAAA:Zs1wkmfw66j551EjvA3b4uwMAWj9NVLDvXF8kJWXl4zJe0a7PBdPsATNtieba6EndpdOZGayss5d_1s","https://scholar.google.com/scholar?cites=3642670466867773885&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 22:23:53","","10.1021/ic1012186","","",,,,,35,2.33,9,4,15,"… ligand or by direct transmetalation from a heavier congener. … Density functional theory calculations were carried out on … and exhibit dynamic transmetalation in their reactivity which …","https://pubs.acs.org/doi/pdf/10.1021/ic1012186?casa_token=v1LJClWNaM8AAAAA:t5YXWHIKLNm__62SHc2mfpm7_vVnNomCLlCUPuwyx0p6_n6NLJiYoQZl4HImVZcZ_wlitiT_y_miKa8","https://scholar.google.com/scholar?q=related:vcF1a31djTIJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"M Muhr, J Hornung, J Weßing, C Jandl…","Formation of a Propeller-Shaped Ni4Ga3 Cluster Supported by Transmetalation of Cp* from Ga to Ni",2020,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.0c00344?casa_token=vA2ThY9EY3YAAAAA:CB5f2HzUUUbfdKn4YgeXl2nz22q2MUcj2mWnwCanW5bybR8Rdzgo34XyqREIEHqaLNVwUguybqSyMTw&casa_token=YWewiyLgh8EAAAAA:hwUWgb8xz5cbD7lTC-lIMlHDMlNmZd8ELCiICHfTgR4IUrHZhQzJy6rI2kgsXP8iXGaRlyZWvRa7cgk","https://scholar.google.com/scholar?cites=12352163159651972465&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 22:23:53","","10.1021/acs.inorgchem.0c00344","","",,,,,16,3.20,3,5,5,"… An interesting result of this investigation is the role of the transmetalation reaction: While such Cp* ligand transfer reactions have been observed in various cases in mononuclear …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.0c00344?casa_token=a5HD15WOluwAAAAA:JiT6O2eCxqYGqw0zJ1wByBIqLcZMe5piQfQSkNhtp5BiRxfxubHvFM7jutKzx-HoTA2BHHvqJb32R0U","https://scholar.google.com/scholar?q=related:cfW4-vKya6sJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"R Jordan, S Kler, I Maisuls, N Klosterhalfen…","Synthesis and Photophysics of the Doubly Cyclometalated Pd(II) Complexes [Pd(C∧N∧C)(L)], L = PPh3, AsPh3, and SbPh3",2025,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c05436?casa_token=SNm0gUGFUgEAAAAA:2FF8Eo_SC8mTDhOUB07GF2CDbftmNTQYctunSnsj0VA2XlPxbZZfhAY-Do0mWRzKdCrIq-2CqWnmMjI&casa_token=DBslc6I2AdcAAAAA:G-ct8b51n2pHVP6EynaHpFoBFAi1XgdsmKCBD6P5zd12mwiJj7raMWh9RXGXEa7G-_1BbQrbCpneLLQ","",9,"2025-05-19 22:23:53","","10.1021/acs.inorgchem.4c05436","","",,,,,0,0.00,0,5,1,"… involved dilithiation of H 2 dpp and subsequent transmetalation of dpp 2– . A 1991 publication … Our DFT calculations predict also very uniform ΔE calc values for the HOMO–LUMO gaps, …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.4c05436?casa_token=nrgimWsMKS8AAAAA:Qs0DXKZhZ9LPOtJMY1pj8Uper5fWRJYqL101NvDJXdI_oxpNg1wUhXEkga56f8K7Bx9L0pydlgKSl8g","https://scholar.google.com/scholar?q=related:5QwB37ymL8AJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"YJ Park, JY Ryu, S Hwang, KH Park, JM Lee…","Cationic Ti Complexes with Three [N, O]-Type Tetrazolyl Ligands: Ti↔ Fe Transmetalation within Fe Metallascorpionate Complexes",2017,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.7b02209?casa_token=qTOr5MOvXwQAAAAA:toBlorSlGjtZ12wufgEUgEYCmACZipinMUquipOgWOwNuauLr3z8XtJZzYKQRiEVhMP3L_NL8IMckKU&casa_token=vVHieZHHbmIAAAAA:F-LtEsXZU3d2JPZP-KwxmHPX5Tvs8IMgnwKbAgc4XfQCJgihcv-W-6PXrmgwVI5JUtRqOnU_Ufbre0o","https://scholar.google.com/scholar?cites=10609024391642503672&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 22:23:53","","10.1021/acs.inorgchem.7b02209","","",,,,,7,0.88,1,6,8,"Herein, we report the synthesis of two novel ionic Ti complexes possessing three [N,O]-type bidentate ligands from the reaction of Fe metallascorpionate ligands possessing extended …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.7b02209?casa_token=a5evjZ4UwYoAAAAA:pq1A68ZCW3HRtNQ7uvLXQxXjmruUmqLXcS03SFX9Drw1iPpSHyzNhEZc0YaCHzx11rpmbOgRdLRE0Po","https://scholar.google.com/scholar?q=related:-FlOpXnTOpMJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"P Krupiński, M Terlecki, A Kornowicz…","Tetrahedral M4(μ4-O) Motifs Beyond Zn: Efficient One-Pot Synthesis of Oxido–Amidate Clusters via a Transmetalation/Hydrolysis Approach",2022,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c00456","https://scholar.google.com/scholar?cites=18004485755754615384&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-19 22:23:53","","10.1021/acs.inorgchem.2c00456","","",,,,,5,1.67,1,4,3,"… Herein, we present a novel one-pot transmetalation/hydrolysis procedure for the synthesis of homometallic oxido clusters incorporating various divalent metal centers (Figure 2c). The …","https://pubs.acs.org/doi/full/10.1021/acs.inorgchem.2c00456","https://scholar.google.com/scholar?q=related:WJJVK2fI3PkJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
