Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
50,"M Castineira Reis, CS López, E Kraka, ...","Rational design in catalysis: a mechanistic study of β-hydride eliminations in Gold (I) and Gold (III) complexes based on features of the reaction valley",2016,"… chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.6b01188?casa_token=tj5IA2S70BAAAAAA:sJoI5WcDP7TqWXLDLE5BA_VZN_2BdP3lQuOjehqRrPMD4PKNqeE17DaI6vafphg8OEsb6btLI6rojiE&casa_token=FuK19OdsSlkAAAAA:RDF5BVVGVy9L3j5GddDspYcj_elX9gTF6cqA87krjxuWyON2cVlA0SlFGmPtJci8b2QkW2jw2HOd5Ug","https://scholar.google.com/scholar?cites=6670062965829587990&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 20:16:15","","10.1021/acs.inorgchem.6b01188","","",,,,,50,5.56,13,4,9,"… First, we analyzed the β-elimination step in the system … Unless otherwise stated, DFT investigations were carried out … c and d, also the model systems a and b are included for the sake …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.6b01188?casa_token=YiWXVDxo5dUAAAAA:i7J5hacIc0ziFBs8HFuyjFfaMeeUZHgumCLndnbhtKBkqaxkcqGqDGA-BhWxo4fW1w_JRcLzv-KyZ5I","https://scholar.google.com/scholar?q=related:FtTCi-3SkFwJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"YJ Dong, ZW Zhao, Y Geng, ZM Su, B Zhu, ...","Theoretical Insight on the High Reactivity of Reductive Elimination of NiIII Based on Energy- and Electron-Transfer Mechanisms",2023,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c03502?casa_token=1jEo1nqqm-8AAAAA:kIfY9Ai4xm9fOOLaXJ4woyUwQZ8sVU5eu_wA2ocx_Hr9tAySNFn_BpdNgTBKo_-Jal_4g2NLJzcwys0","https://scholar.google.com/scholar?cites=11848147775705579859&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 20:16:15","","10.1021/acs.inorgchem.2c03502","","",,,,,12,6.00,2,6,2,"… combination of density functional theory (DFT), molecular dynamics, and time-dependent DFT … (paths c1 and c2, Scheme 1b); and simultaneously another reverse electron transfers from …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.2c03502?casa_token=F0ZKlxGkvtYAAAAA:oR-nAH_hbUrp1nEWUUOmOlKJUYje6a-1MdJPOOVZnsbq6e50hS3jIdzxI8MpxmQWxf8YH0_UDccadxk","https://scholar.google.com/scholar?q=related:UwFEuaATbaQJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"L Seikh, S Sutradhar, S Dhara, SK Bera, ...","Sequential Oxygenation of Bis (β-diketiminate) on a Selective Diruthenium Platform",2024,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c01029?casa_token=GdWYxHY9iYcAAAAA:dZ3rCxXlpkJj-8uIZiSrLP1SiHmoxGKYNxGHnWvKthZiEcuxzBjAV6ELLa50Ty8QqKLuSJpjUwaVU5E&casa_token=BwsbyJ5I62IAAAAA:M262d_a6FMnP5NYyLEQwioDagasXvaYVQsGzNuxMB7IF8d0IAu8JQImQ5ozsaIDUxlNOBhm7AbQOCXw","https://scholar.google.com/scholar?cites=6112155186305788919&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 20:16:15","","10.1021/acs.inorgchem.4c01029","","",,,,,1,1.00,0,5,1,"This article demonstrated the redox-noninnocent phenylene-linked bis(β-diketiminate) (L 2– )-bridged first example of isomeric diruthenium(III)-acac species (acac = acetylacetonate) …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.4c01029?casa_token=eCjhw-hJygkAAAAA:kCobIj9ful7lUL85KqSRp3zO0sLKU1uV-5sQe-DtbQllO-ZahE7QSJ5zievxmgjOLsYM_DhZN2hvzZA","https://scholar.google.com/scholar?q=related:92vRI8K80lQJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"A Ariafard, CJT Hyland, AJ Canty, M Sharma, ...","Theoretical investigation into the mechanism of reductive elimination from bimetallic palladium complexes",2011,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ic102323s?casa_token=_RXjsV8AoG4AAAAA:p39KVXO7jnMxOUShrNkZ_EqDTVYNSPbTrGKi9v-3TdgNZY4SRK8ACRUPbj8USeM3nFtslgn1FMaxuyY&casa_token=Y2EgP3yNk84AAAAA:3EY2qR8fZclsug09QLPXg0yOE59jfL9tH8QQ6mxLQrbEqyU7Izv5wruB7xx-M_8uWcVUFTWrG0NMRf4","https://scholar.google.com/scholar?cites=8244982209648102806&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 20:16:15","","10.1021/ic102323s","","",,,,,50,3.57,10,5,14,"… paper at the M06 (5) level of density functional theory (DFT). The choice of the M06 functional … and dissociative C-Ph reductive elimination in (a) CH 2 Cl 2 and (b) MeCN. The calculated …","https://pubs.acs.org/doi/pdf/10.1021/ic102323s?casa_token=XaSNmI9VhYYAAAAA:lOpYeWUaehNjkm0vIl9QV2cHqx_h1XfLSb6WDOuNicApUUd8zlkTSUz2utLlw_oAN2gnqyRgqRoT-AY","https://scholar.google.com/scholar?q=related:lo19yaIPbHIJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Saha, S Mohapatra, M Kumar, D Yadav, ...","Cooperative B–H Activation: Ligand Diversity in Groups 6 and 8 Transition Metal κ2-N,E-Chelated Complexes (E = S or Se)",2025,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c03546?casa_token=TtKBOS1_zg0AAAAA:2rRyfwwvwTBq2TcSxQXW5bqyBbrHmesMa3Jd14QsAuMLVQeivp-yjKOJ7ILLGuT1SMyoKyZYowZxIz4&casa_token=J58in87dPWAAAAAA:w_NnEz5atkXi1BdixMvLWIzStgB0zjGLH6BRDFccCVHux5jo8ehTkzcYCNVC8DPgmSgcpbGkXyp_kYA","",5,"2025-05-19 20:16:15","","10.1021/acs.inorgchem.4c03546","","",,,,,0,0.00,0,5,1,"… situation in complex 2, we have carried out the DFT calculation at the BP86/def2-TZVP (16) level … (2b) The most common procedure to synthesize these complexes is the salt elimination …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.4c03546?casa_token=9mzZgc7wecMAAAAA:gZ9OsIhTcsIrl-0oF_3QsJ2zvPV6qV5cJRfzh1TLyCeBUdYHA9txgtfqPwdbJELuJAQCLMePcbIJeIU","https://scholar.google.com/scholar?q=related:2m2lfw93-bMJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"MA Boreen, CZ Ye, A Kerridge, KN McCabe, ...","Does Reduction-Induced Isomerization of a Uranium (III) Aryl Complex Proceed via C–H Oxidative Addition and Reductive Elimination across the Uranium (II/IV) …",2022,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.2c01563?casa_token=HIaWm-u9iXwAAAAA:ejoKmouC6djl7OK85Xkx_qAEQG5qv871uGAsxVjgTbjJvFmsuLIPliNBtJ8DeeEfH2GHJUwp-heR2PE&casa_token=gtF0LeQnaLIAAAAA:Wmx3r-cJmg6KXNe5wgP-HpRGlfnqnrQxqUnrOyipCpwhVTjkcJcF1bRz-B7U6o4GIR8XB9ZQMGz1LHY","https://scholar.google.com/scholar?cites=7579612488434561106&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 20:16:15","","10.1021/acs.inorgchem.2c01563","","",,,,,10,3.33,2,5,3,"… a deuterium labeling study and density functional theory calculations of the reaction profile. … K[B] as the next step. This intermediate could then undergo reductive elimination at the …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.2c01563?casa_token=Io0KpGLN50UAAAAA:ZOcyW4eknOMo9JVrelK_pLtASTwFJstUQntKy4J-rTmR2K2DU6HYuEOTqUs01ujK2aokUsd3kO5nQvI","https://scholar.google.com/scholar?q=related:UrBBVGYxMGkJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"S Panda, SK Bera, P Goel, AK Dutta, ...","Ruthenium-Chelated Non-Innocent Bis (heterocyclo) methanides: A Mimicked β-Diketiminate",2019,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.9b01201?casa_token=eT7n5e94M1kAAAAA:3uh4endjYbY25VnzKY5_cBlKHD7HknBKSHZvDjp74MXC6Ianz-nesEmgMh11BqHTfuzFsppDAhomzfk&casa_token=8dxa5w61J_cAAAAA:S62vY8CPLOp2QgL-3skA4pyBZ8-N0Zn4l4p_ktq__bDqd09LYw8jub0kMhQ0jd5dibLeXs_gYUKcTkw","https://scholar.google.com/scholar?cites=15378545973762941806&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 20:16:15","","10.1021/acs.inorgchem.9b01201","","",,,,,37,6.17,7,5,6,"… to B (see below) collectively corroborate the reduction in the reaction sequence from A to B. … 2A–2C to correlate the bond parameters and TD-DFT data. The LANL2DZ basis set with an …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.9b01201?casa_token=6jj1P66Y7dUAAAAA:YSXIqMyo0eiujYpFUjJ9Ej5aBOj7NT9YHNxl2Ps05WgEM-ahWTXAtyy8gzTm9XUAUW79ANhN9kLeDeE","https://scholar.google.com/scholar?q=related:bmMniBWSa9UJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"TD Lohrey, G Rao, RD Britt, RG Bergman, ...","H2 Activation and Direct Access to Terminal Nitride and cyclo-P3 Complexes by an Acceptor-Free Rhenium(II) β-Diketiminate",2019,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.9b02556?casa_token=IXj33Ljq5XYAAAAA:Tr280DymJ8W7wVi27mWgvhqOxZNR3cJvnls3li2_MiJgi62xBUx1RSj_JI6RqA8OOTQazWTy2w5YSb0&casa_token=gTgttZUsUfsAAAAA:I0RbhT0-PVx0KekOBFxedmjSxONivnwMWTtgKlIQ818CAQr2iW3-4BcU2mIy7-dSYLV9WiAIs2ghemY","https://scholar.google.com/scholar?cites=7130051228204962670&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 20:16:15","","10.1021/acs.inorgchem.9b02556","","",,,,,22,3.67,4,5,6,"… the activation of H 2 by B, we turned to density functional theory (DFT) calculations (see … B and Ph 3 C· most likely does not occur and that 2 does indeed form by a radical elimination …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.9b02556?casa_token=PQFoQ4-ftpoAAAAA:F5dq43HAUowkxBTxul9NSTZ7eEwddlf-QwjaJwugEn8TizP2H7_WD5oC5tpvQBGVFzQnAIAAkULpIIs","https://scholar.google.com/scholar?q=related:bpN-v9AH82IJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"J Huang, X Zheng, I Del Rosal, B Zhao, ...","Nickel (0)-induced β-H elimination of magnesium alkyls: Formation and reactivity of heterometallic hydrides",2020,"… Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.0c01885?casa_token=50-qmCGiGWsAAAAA:RyZ4QUiizoMfVkh8Xorp0xy6n4nZ6imlgYhSAXS7SfseTNQRh3NNMZGqe7Ts1K2jOrUHf2lQ2B4wFGo&casa_token=3u-QAA_MajEAAAAA:sld29eeTELwR0QGHeWkYB6c-EAO8Ur8hVIaub_A_YfKFzalu0D5bJswETSsUUo60KA6vFTV2HPbRAG0","https://scholar.google.com/scholar?cites=4032136887023720814&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 20:16:15","","10.1021/acs.inorgchem.0c01885","","",,,,,19,3.80,4,5,5,"… to date through a β-H elimination reaction. A heterobimetallic hydride complex was isolated as an intermediate species, and density functional theory (DFT) studies were performed to …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.0c01885?casa_token=ukSTd7x-sSwAAAAA:Q1t8DwPMLQtokvoYhBKCFx5_VvZrM4mFl4fnRxNHsUxSEnyDSke-Xw2eNOuksLyturyodC6ZXqHbzfc","https://scholar.google.com/scholar?q=related:blnMtCIH9TcJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"MD Aseman, S Kiyavash","High Selectivity in Csp2–Csp2 versus Csp3–O Reductive Elimination from Cycloplatinated(IV) Complexes",2024,"Inorganic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.4c01096?casa_token=NjXtP12EMqYAAAAA:cwoIyQcTsjjiTOyuid81hHlf_QAhEDXNs9CEqcfrybFGtfmngqTyw5vZULpFtQiOFhPUpXxnrR9y-AQ&casa_token=SMEWGy6_4N0AAAAA:Wp5Opon6YLE9Apmz0ACtovbw1npRYDnHCNhz87HvAsARk63Oy7FYaNaWOzg4JVyxFM7xTRjABWTn4xo","https://scholar.google.com/scholar?cites=7631875466792498907&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 20:16:15","","10.1021/acs.inorgchem.4c01096","","",,,,,1,1.00,1,2,1,"… to determine if the analogous aryl complexes 2a–b might also promote the Csp 2 Ar –O RE … bond forming RE reaction, we carried out DFT calculations to probe the mechanism of this …","https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.4c01096?casa_token=TJUtPwLV_h8AAAAA:o43ACunEoRVuTgjuaYLb52thaw2-ShWEUYv491gaE_FCNvywSs-MPFdxycSTCxw_g_ExSs7U7fy92j4","https://scholar.google.com/scholar?q=related:23YvOE3e6WkJ:scholar.google.com/&scioq=source:%22inorganic+chemistry%22+%221520+510x%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
