Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
109,"Q Zhao, JMP Martirez, EA Carter","Revisiting Understanding of Electrochemical CO2 Reduction on Cu(111): Competing Proton-Coupled Electron Transfer Reaction Mechanisms Revealed by …",2021,"… the American Chemical Society","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.1c00880","https://scholar.google.com/scholar?cites=14008694436272673338&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-18 16:49:36","","10.1021/jacs.1c00880","","",,,,,109,27.25,36,3,4,"… CO 2 RR … DFT predictions of the attendant CO 2 RR kinetics. Here, we apply embedded correlated wavefunction (ECW) theory, which corrects XC functional error, to study the CO 2 RR …","https://www.osti.gov/pages/servlets/purl/1808091","https://scholar.google.com/scholar?q=related:OhIGWV7haMIJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
279,"M Zheng, P Wang, X Zhi, K Yang, Y Jiao, ...","Electrocatalytic CO2-to-C2+ with Ampere-Level Current on Heteroatom-Engineered Copper via Tuning *CO Intermediate Coverage",2022,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.2c06820","https://scholar.google.com/scholar?cites=6605227107562967178&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-18 16:49:36","","10.1021/jacs.2c06820","","",,,,,279,93.00,47,6,3,"… s under CO 2 RR condition to derive the heteroatom-engineered Cu catalysts; then, we characterized N–Cu after electrochemical CO 2 RR … DFT computations within this research were …","","https://scholar.google.com/scholar?q=related:ilAS7w57qlsJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"H Xu, J Wang, H He, I Hwang, Y Liu, ...","Modulating CO2 Electrocatalytic Conversion to the Organics Pathway by the Catalytic Site Dimension",2024,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.3c12722","https://scholar.google.com/scholar?cites=569045600831638857&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-18 16:49:36","","10.1021/jacs.3c12722","","",,,,,18,18.00,3,6,1,"… -modulated CO 2 RR selectivity, we studied the catalytic pathways over the corresponding active sites of these three representative catalysts by using density functional theory (DFT). …","https://www.osti.gov/pages/servlets/purl/2341256","https://scholar.google.com/scholar?q=related:SY2RgvWn5QcJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
122,"Q Chang, Y Liu, JH Lee, D Ologunagba, ...","Metal-Coordinated Phthalocyanines as Platform Molecules for Understanding Isolated Metal Sites in the Electrochemical Reduction of CO2",2022,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.2c06953","https://scholar.google.com/scholar?cites=15137647413791445047&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-18 16:49:36","","10.1021/jacs.2c06953","","",,,,,122,40.67,24,5,3,"… These results imply that the TM center plays a role in modifying the binding energies of key intermediates involved in both CO 2 RR and HER, which will be discussed later in the DFT …","https://www.osti.gov/pages/servlets/purl/1887814","https://scholar.google.com/scholar?q=related:N1Amwh66E9IJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
192,"F Yang, X Ma, WB Cai, P Song, ...","Nature of Oxygen-Containing Groups on Carbon for High-Efficiency Electrocatalytic CO2 Reduction Reaction",2019,"… American Chemical Society","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.9b11123","https://scholar.google.com/scholar?cites=14647122131259668454&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-18 16:49:36","","10.1021/jacs.9b11123","","",,,,,192,32.00,38,5,6,"… ) to produce formate (HCOO – ), we find that the CO2RR catalytic performance is only … , the density functional theory calculations demonstrate that the observed high CO2RR catalytic …","","https://scholar.google.com/scholar?q=related:5rd-f_kHRcsJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
220,"X Wang, A Xu, F Li, SF Hung, DH Nam, ...","Efficient Methane Electrosynthesis Enabled by Tuning Local CO2 Availability",2020,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.9b12445","https://scholar.google.com/scholar?cites=382658166552468927&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-18 16:49:36","","10.1021/jacs.9b12445","","",,,,,220,44.00,37,6,5,"… strategy to increase CO 2 RR selectivity to methane at high current densities: we control local CO 2 availability at the catalyst surface. Density functional theory (DFT) calculations show …","https://drive.google.com/file/d/1jVDvrSr73LaTrh1yMpHR4hkxyvo-oKrY/view","https://scholar.google.com/scholar?q=related:vx3DN5N5TwUJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
241,"J Zhu, M Xiao, D Ren, R Gao, X Liu, ...","Quasi-Covalently Coupled Ni–Cu Atomic Pair for Synergistic Electroreduction of CO2",2022,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.2c00937","https://scholar.google.com/scholar?cites=8840884036651032944&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-18 16:49:36","","10.1021/jacs.2c00937","","",,,,,241,80.33,40,6,3,"… ), which in turn enables much faster CO 2 RR kinetics. In line with … nonprecious metal electrocatalyst for CO 2 RR but also provides … Density functional theory (DFT) calculations were …","","https://scholar.google.com/scholar?q=related:cKEBuTAhsXoJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
121,"Y Guo, X He, Y Su, Y Dai, M Xie, S Yang, ...","Machine-Learning-Guided Discovery and Optimization of Additives in Preparing Cu Catalysts for CO2 Reduction",2021,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.1c00339","https://scholar.google.com/scholar?cites=8873208056542834058&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-18 16:49:36","","10.1021/jacs.1c00339","","",,,,,121,30.25,17,7,4,"… Figure 6a shows the relationship between the presence/absence of the Cu 2 O phase in the deposits and the FE-CO 2 RR, revealing that the FE-CO 2 RR is correlated with the Cu 2 O …","","https://scholar.google.com/scholar?q=related:iq1eFLf3I3sJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
113,"Y Deng, J Zhao, S Wang, R Chen, J Ding, ...","Operando Spectroscopic Analysis of Axial Oxygen-Coordinated Single-Sn-Atom Sites for Electrochemical CO2 Reduction",2023,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.2c12952","https://scholar.google.com/scholar?cites=11939810572999569877&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-18 16:49:36","","10.1021/jacs.2c12952","","",,,,,113,56.50,19,6,2,"… catalytic intermediate during CO 2 RR was clearly identified. Density functional theory (DFT) … of the O–Sn–N 4 site for CO 2 RR and the catalytic mechanism over single-Sn-atom species …","https://hal.umontpellier.fr/hal-04062194/file/submitted%20first%20version%20MAIN.pdf","https://scholar.google.com/scholar?q=related:1bEX0XS6sqUJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
228,"T Ding, X Liu, Z Tao, T Liu, T Chen, ...","Atomically Precise Dinuclear Site Active toward Electrocatalytic CO2 Reduction",2021,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.1c05754","https://scholar.google.com/scholar?cites=16535436025226285237&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-18 16:49:36","","10.1021/jacs.1c05754","","",,,,,228,57.00,38,6,4,"… On the basis of operando SR-FTIR measurements and the DFT calculations, we have proposed a reaction pathway of the CO 2 RR occurred on the O–Ni 2 –N 6 active site. In detail, the …","","https://scholar.google.com/scholar?q=related:tVDP2XSreeUJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
