Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
63,"A Motta, IL Fragala, TJ Marks","Links between single-site heterogeneous and homogeneous catalysis. DFT analysis of pathways for organozirconium catalyst chemisorptive activation and olefin …",2008,"Journal of the American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja802439u","https://scholar.google.com/scholar?cites=9636593618913278119&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-18 23:25:34","","10.1021/ja802439u","","",,,,,63,3.71,21,3,17,"… catalytic properties of the organozirconium precatalyst Cp 2 Zr(CH 3 ) 2 chemisorbed on dehydroxylated γ-alumina (Al 2 O 3 ), as analyzed via density functional theory. … homogeneous …","","https://scholar.google.com/scholar?q=related:pzgf7NYOvIUJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
107,"Y Li, JHC Liu, CA Witham, W Huang…","A Pt-cluster-based heterogeneous catalyst for homogeneous catalytic reactions: X-ray absorption spectroscopy and reaction kinetic studies of their activity and stability …",2011,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja204191t","https://scholar.google.com/scholar?cites=6778153925516772467&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-18 23:25:34","","10.1021/ja204191t","","",,,,,107,7.64,21,5,14,"… At present, homogeneous catalytic processes dominate in … selectivity associated with homogeneous catalysts. However, … and energy efficiency of homogeneous catalytic processes. (1, …","","https://scholar.google.com/scholar?q=related:c8RYQxXXEF4J:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
182,"A Comas-Vives, C González-Arellano…","Single-site homogeneous and heterogeneized gold (III) hydrogenation catalysts: mechanistic implications",2006,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja057998o","https://scholar.google.com/scholar?cites=13437827894349246198&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-18 23:25:34","","10.1021/ja057998o","","",,,,,182,9.58,61,3,19,"… should favor the activity of the homogeneous catalysts when supported on solid carriers, this … program package Gaussian03 36 at the density functional theory (DFT) level by means of …","","https://scholar.google.com/scholar?q=related:9q6F80XBfLoJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
222,"J Oxgaard, RP Muller, WA Goddard…","Mechanism of homogeneous Ir (III) catalyzed regioselective arylation of olefins",2004,"… the American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja034126i","https://scholar.google.com/scholar?cites=1133090297717639628&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-18 23:25:34","","10.1021/ja034126i","","",,,,,222,10.57,56,4,21,"… by a homogeneous Ph-Ir(acac) 2 (L) catalyst is elucidated by first principles quantum mechanical methods (DFT), with particular emphasis on activation of the catalyst, catalytic cycle, …","https://www.academia.edu/download/44279786/Mechanism_of_Homogeneous_IrIII_Catalyz20160331-29462-e5rwkv.pdf","https://scholar.google.com/scholar?q=related:zMnmVZ-LuQ8J:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"K Rohmann, M Hölscher…","Can Contemporary Density Functional Theory Predict Energy Spans in Molecular Catalysis Accurately Enough To Be Applicable for in Silico Catalyst Design? A …",2016,"… American Chemical Society","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.5b11997","https://scholar.google.com/scholar?cites=9483651523050374465&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-18 23:25:34","","10.1021/jacs.5b11997","","",,,,,45,5.00,15,3,9,"… This is one of the central results of this work: Modern dispersion corrected DFs are capable to predict ESs and other thermodynamic activation parameters in homogeneously catalyzed …","","https://scholar.google.com/scholar?q=related:QYUCTdCynIMJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
262,"JK Sun, WW Zhan, T Akita, Q Xu","Toward homogenization of heterogeneous metal nanoparticle catalysts with enhanced catalytic performance: soluble porous organic cage as a stabilizer and …",2015,"… the American Chemical Society","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.5b04029","https://scholar.google.com/scholar?cites=16865871995928113190&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-18 23:25:34","","10.1021/jacs.5b04029","","",,,,,262,26.20,66,4,10,"… It is well-known that the homogeneous catalysts are generally more active than their heterogeneous counterparts because of the well-dispersed catalytic sites in solution, which are …","","https://scholar.google.com/scholar?q=related:JvCAmDidD-oJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
141,"CR Landis, P Hilfenhaus, S Feldgus","Structures and reaction pathways in rhodium (I)-catalyzed hydrogenation of enamides: a model DFT study",1999,"… American Chemical Society","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja991606u","https://scholar.google.com/scholar?cites=17250385923003776206&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-18 23:25:34","","10.1021/ja991606u","","",,,,,141,5.42,47,3,26,"… , we report the results of DFT computations of the catalytic reaction potential energy surface … -state geometries were optimized using density functional theory (DFT), with Becke's three-…","","https://scholar.google.com/scholar?q=related:zvwJu5muZe8J:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
239,"JM Fraile, JI García, V Martínez-Merino…","Theoretical (DFT) insights into the mechanism of copper-catalyzed cyclopropanation reactions. Implications for enantioselective catalysis",2001,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja003695c","https://scholar.google.com/scholar?cites=10737027317709108589&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-18 23:25:34","","10.1021/ja003695c","","",,,,,239,9.96,60,4,24,"… catalysts based on rhodium 5 or ruthenium. In fact, the asymmetric cyclopropanation of styrene with diazo esters, catalyzed … reaction under homogeneous catalytic conditions. Since then…","","https://scholar.google.com/scholar?q=related:bXW3T3WVAZUJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
234,"JCW Lohrenz, TK Woo, T Ziegler","A density functional study on the origin of the propagation barrier in the homogeneous ethylene polymerization with Kaminsky-type catalysts",1995,"… the American Chemical Society","ACS Publications","https://pubs.acs.org/doi/pdf/10.1021/ja00156a017","https://scholar.google.com/scholar?cites=10459431878936888693&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-18 23:25:34","","10.1021/ja00156a017","","",,,,,234,7.80,78,3,30,"… Abstract: The reaction of ethylene with CpaZr* 1234""—Et has been studied with nonlocal density functional theory (DFT). Comparison of four different chain orientations in Cp2Zr+-Bu …","","https://scholar.google.com/scholar?q=related:dQVuoOBdJ5EJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
128,"SJ Koepke, KM Light, PE VanNatta…","Electrocatalytic water oxidation by a homogeneous copper catalyst disfavors single-site mechanisms",2017,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.7b03278","https://scholar.google.com/scholar?cites=6213782770573275882&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-18 23:25:34","","10.1021/jacs.7b03278","","",,,,,128,16.00,32,4,8,"… for catalysis, as both can potentially be implicated by H • abstraction. Thus, we turned to DFT … The DFT methodology employed was previously shown to yield accurate energetics for di-μ-…","","https://scholar.google.com/scholar?q=related:6nJ2_4HKO1YJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
