Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
33,"J Ma, T Su, MD Li, W Du, J Huang, X Guan, ...","How and when does an unusual and efficient photoredox reaction of 2-(1-hydroxyethyl) 9, 10-anthraquinone occur? A combined time-resolved spectroscopic and DFT …",2012,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja304441n","https://scholar.google.com/scholar?cites=14367774024791492081&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-18 18:01:29","","10.1021/ja304441n","","",,,,,33,2.54,5,7,13,"… intermediates for the unusual photoredox reaction were elucidated from time-resolved spectroscopy and DFT results. A brief discussion is given of when photoredox reactions may likely …","","https://scholar.google.com/scholar?q=related:8QXIEFqWZMcJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
244,"BG McCarthy, RM Pearson, CH Lim, ...","Structure–property relationships for tailoring phenoxazines as reducing photoredox catalysts",2018,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.7b12074","https://scholar.google.com/scholar?cites=9982287317201215365&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-18 18:01:29","","10.1021/jacs.7b12074","","",,,,,244,34.86,61,4,7,"… , organic photoredox catalysts (PCs) with excited state reduction potentials rivaling those of highly reducing transition metal PCs. Time-dependent density functional theory (TD-DFT) …","https://pmc.ncbi.nlm.nih.gov/articles/PMC5920687/pdf/nihms959910.pdf","https://scholar.google.com/scholar?q=related:hV-qM201iIoJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
365,"NA Romero, DA Nicewicz","Mechanistic insight into the photoredox catalysis of anti-markovnikov alkene hydrofunctionalization reactions",2014,"Journal of the American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja506228u","https://scholar.google.com/scholar?cites=18413323811446929918&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-18 18:01:29","","10.1021/ja506228u","","",,,,,365,33.18,183,2,11,"… (Mes-Acr + ) as a photoredox catalyst. Importantly, we are able to … catalytic activity of the photoredox and hydrogen atom transfer (… Transition structure analysis of the HAT step using DFT …","https://pubs.acs.org/doi/full/10.1021/ja506228u","https://scholar.google.com/scholar?q=related:_jmJ03JEif8J:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
109,"M Li, KH Gebremedhin, D Ma, Z Pu, ...","Conditionally activatable photoredox catalysis in living systems",2021,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.1c07372","https://scholar.google.com/scholar?cites=239664331565375839&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-18 18:01:29","","10.1021/jacs.1c07372","","",,,,,109,27.25,22,5,4,"The transformational effect of photoredox catalytic … However, the deployment of artificial photoredox catalysis in living … , namely conditionally activatable photoredox catalysis (ConAPC), …","","https://scholar.google.com/scholar?q=related:XyFJlHB1UwMJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"IV Alabugin, P Eckhardt, KM Christopher, ...","The Photoredox Paradox: Electron and Hole Upconversion as the Hidden Secrets of Photoredox Catalysis",2024,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.4c10422","https://scholar.google.com/scholar?cites=195056162799853955&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-18 18:01:29","","10.1021/jacs.4c10422","","",,,,,9,9.00,2,4,1,"… of photoredox reactions exceeds 100% (ie, the measured quantum yields (QYs) are >1). Hence, these photoredox … Our goal is to show why chains are especially important in photoredox …","","https://scholar.google.com/scholar?q=related:g6Hv7ov6tAIJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
111,"SM Sartor, BG McCarthy, RM Pearson, ...","Exploiting charge-transfer states for maximizing intersystem crossing yields in organic photoredox catalysts",2018,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.8b01001","https://scholar.google.com/scholar?cites=2869880126246401389&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-18 18:01:29","","10.1021/jacs.8b01001","","",,,,,111,15.86,28,4,7,"A key feature of prominent transition-metal-containing photoredox catalysts (PCs) is high quantum yield access to long-lived excited states characterized by a change in spin multiplicity. …","https://pmc.ncbi.nlm.nih.gov/articles/PMC5920652/pdf/nihms959904.pdf","https://scholar.google.com/scholar?q=related:bbXeAMXc0ycJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
117,"D Koyama, HJA Dale, AJ Orr-Ewing","Ultrafast observation of a photoredox reaction mechanism: photoinitiation in organocatalyzed atom-transfer radical polymerization",2018,"… American Chemical Society","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.7b07829","https://scholar.google.com/scholar?cites=5935917367180245689&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-18 18:01:29","","10.1021/jacs.7b07829","","",,,,,117,16.71,39,3,7,"… (48) We show here that unravelling the mechanisms of organic photoredox catalysis can … –Sham density functional theory (KS-DFT), time-dependent density functional theory (TD-DFT), …","https://research-information.bris.ac.uk/files/141781654/Photoredox_JACS_accepted_version.pdf","https://scholar.google.com/scholar?q=related:ubrZRmWdYFIJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"MM Alowakennu, A Ghosh, ...","Direct evidence for excited ligand field state-based oxidative photoredox chemistry of a cobalt (III) polypyridyl photosensitizer",2023,"… of the American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.3c09374","https://scholar.google.com/scholar?cites=7442943398681515549&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-18 18:01:29","","10.1021/jacs.3c09374","","",,,,,22,11.00,7,3,2,"… One of the more active areas of research is photoredox catalysis, … employed transition metal-based photoredox agents such as [Ru(… resistant organic substrates for photoredox catalysis. …","https://www.osti.gov/servlets/purl/2280824","https://scholar.google.com/scholar?q=related:HRbAMZalSmcJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
255,"JP Phelan, SB Lang, JS Compton, ...","Redox-neutral photocatalytic cyclopropanation via radical/polar crossover",2018,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.8b05243","https://scholar.google.com/scholar?cites=2734424719739861089&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-18 18:01:29","","10.1021/jacs.8b05243","","",,,,,255,36.43,64,4,7,"… Photoredox catalysis has enabled the operationally simple generation of radicals while maintaining the broad functional group tolerance and orthogonality to acidic or basic residues …","https://pmc.ncbi.nlm.nih.gov/articles/PMC6540794/pdf/nihms-1027886.pdf","https://scholar.google.com/scholar?q=related:YTgkhcug8iUJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"H Sayre, HH Ripberger, E Odella, ...","PCET-based ligand limits charge recombination with an Ir (III) photoredox catalyst",2021,"… American Chemical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jacs.1c01701","https://scholar.google.com/scholar?cites=9234657677966302770&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-18 18:01:29","","10.1021/jacs.1c01701","","",,,,,37,9.25,9,4,4,"Upon photoinitiated electron transfer, charge recombination limits the quantum yield of photoredox reactions for which the rates for the forward reaction and back electron transfer are …","https://www.osti.gov/servlets/purl/1814480","https://scholar.google.com/scholar?q=related:Mt6DFTsYKIAJ:scholar.google.com/&scioq=source:%22journal+of+the+american+chemical+society%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
