Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
63,"N Çelebi-Ölçüm, DH Ess, V Aviyente, ...","Effect of Lewis Acid Catalysts on Diels− Alder and Hetero-Diels− Alder Cycloadditions Sharing a Common Transition State",2008,"The Journal of Organic …","academia.edu","https://www.academia.edu/download/50089488/Effect_of_Lewis_acid_catalysts_on_Diels-20161103-16132-1hjdaxw.pdf","https://scholar.google.com/scholar?cites=2489881332202068388&as_sdt=2005&sciodt=0,5&hl=en",956,"2025-05-19 19:23:17","PDF","","","",,,,,63,3.71,16,4,17,"… have been explored by using density functional theory (DFT) methods. In both cases, only a … is classically determined by the difference in activation free energies between the addition …","https://www.academia.edu/download/50089488/Effect_of_Lewis_acid_catalysts_on_Diels-20161103-16132-1hjdaxw.pdf","https://scholar.google.com/scholar?q=related:pNnHMuHVjSIJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"LL Liu, Y Wu, T Wang, X Gao, J Zhu, ...","Mechanism, reactivity, and selectivity in Rh (III)-catalyzed phosphoryl-directed oxidative C–H activation/cyclization: a DFT study",2014,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo500616g","https://scholar.google.com/scholar?cites=13585136357915801732&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 19:23:17","","10.1021/jo500616g","","",,,,,50,4.55,8,6,11,"… On the basis of these experimental observations, we performed comparative DFT calculations to identify key factors that control the reactivities and selectivities. As shown in Table 1, the …","http://pstorage-acs-6854636.s3.amazonaws.com/3921844/jo500616g_si_001.pdf","https://scholar.google.com/scholar?q=related:hLjQVooZiLwJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"TB Demissie, JH Hansen","Mechanism and site selectivity in visible-light photocatalyzed C–H functionalization: insights from DFT calculations",2016,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.6b00977","https://scholar.google.com/scholar?cites=3014469924538095377&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 19:23:17","","10.1021/acs.joc.6b00977","","",,,,,22,2.44,11,2,9,"… present a density functional theory (DFT) study of mechanistic details in the C–H functionalization of … tools for the identification of active C–H functionalization sites in synthetic planning. …","","https://scholar.google.com/scholar?q=related:ERcxzmyM1SkJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
64,"J Li, Z Qiu","DFT Studies on the Mechanism of the Rhodium(III)-Catalyzed C–H Activation of N-Phenoxyacetamide",2015,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.5b01895","https://scholar.google.com/scholar?cites=14355269052620000963&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 19:23:17","","10.1021/acs.joc.5b01895","","",,,,,64,6.40,32,2,10,"… by a change in spin-state. In this Article, we have used density functional theory (DFT) … Rh(III)-catalyzed intramolecular C–H functionalization reactions of N-phenoxyacetamides …","","https://scholar.google.com/scholar?q=related:w86SWCUpOMcJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"L Zhang, DC Fang","Catalytic C–H Activation/C–C coupling reaction: DFT studies on the mechanism, solvent effect, and role of additive",2013,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo302567s","https://scholar.google.com/scholar?cites=13558068715603606864&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 19:23:17","","10.1021/jo302567s","","",,,,,41,3.42,21,2,12,"… of density functional theory (DFT) experiments to quantitatively characterize the structural and energetic aspects of a C–H activation/… The results of these DFT experiments, including the …","http://pstorage-acs-6854636.s3.amazonaws.com/4076221/jo302567s_si_001.pdf","https://scholar.google.com/scholar?q=related:UL3jwanvJ7wJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"SC Liu, DC Fang","DFT Studies on the Mechanisms of Carboamination/Diamination of Unactivated Alkenes Mediated by Pd (IV) Intermediates",2023,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.3c01561","https://scholar.google.com/scholar?cites=14538025170620733420&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 19:23:17","","10.1021/acs.joc.3c01561","","",,,,,1,0.50,1,2,2,"Density functional theory (DFT) calculations have been employed to investigate the mechanism of carboamination and diamination of unactivated alkenes mediated by Pd(IV) …","","https://scholar.google.com/scholar?q=related:7FeJ7t1wwckJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"Y Yang, F Cao, L Yao, T Shi, B Tang, ...","C–N and C–O Bond Formation in Copper-Catalyzed/Mediated sp3 C–H Activation: Mechanistic Studies from Experimental and Computational Aspects",2020,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.0c01038","https://scholar.google.com/scholar?cites=14969161628204054668&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 19:23:17","","10.1021/acs.joc.0c01038","","",,,,,14,2.80,2,6,5,"… rather than a less hindered methyl group, C–H bond activation may involve in the key step. Subsequently, we conducted density functional theory (DFT) calculation of substrates 1k–1q …","https://drive.google.com/file/d/1QMUVOL9rjmuDZ7r74b_HIRyNawRWSwqi/view","https://scholar.google.com/scholar?q=related:jLiC2jAlvc8J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"A Shyam, AK Pradhan, P Mondal","A Density Functional Theory Study on Et-BAC-Catalyzed 1,6-Conjugate Addition of p-Chlorobenzaldehyde to p-Quinone Methide for the Synthesis of α,α′ …",2021,"… Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.1c01014","https://scholar.google.com/scholar?cites=13770488365359275748&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 19:23:17","","10.1021/acs.joc.1c01014","","",,,,,6,1.50,2,3,4,"… been found to play crucial roles in lowering the activation energy barriers of several proton transfer steps. Results of this DFT investigation agree well with the experimental findings, …","","https://scholar.google.com/scholar?q=related:5J7jiDWaGr8J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
39,"B Lian, L Zhang, GA Chass, ...","Pd(OAc)2-Catalyzed C–H Activation/C–O Cyclization: Mechanism, Role of OxidantProbed by Density Functional Theory",2013,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo4010712","https://scholar.google.com/scholar?cites=16842789950146613730&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 19:23:17","","10.1021/jo4010712","","",,,,,39,3.25,10,4,12,"… Our DFT determinations show that the Pd(II) → Pd(0) reaction path (INT-3 → TS-3-b → INT-4-b) needs to surmount an energy barrier and free energy barrier of 41.0 and 38.6 kcal·mol –…","","https://scholar.google.com/scholar?q=related:4hECBTmcvekJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"J Xu, X Ma, C Liu, D Zhang","Density Functional Theory Study of Gold-Catalyzed 1,2-Diarylation of Alkenes: π-Activation versus Migratory Insertion Mechanisms",2022,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.1c02861","https://scholar.google.com/scholar?cites=7521548478902557058&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 19:23:17","","10.1021/acs.joc.1c02861","","",,,,,7,2.33,2,4,3,"… the DFT calculations elucidate that the gold-catalyzed 1,2-diarylation proceeds via a π-activation … The DFT calculations rationalize the experimental observations and provide a profound …","","https://scholar.google.com/scholar?q=related:gtndnX3oYWgJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
