Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"YW Gu, M Chen, W Deng, ZY Xu","Computational exploration of 1, 2-carboamine carbonylation catalyzed by nickel",2024,"… Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.3c02667","https://scholar.google.com/scholar?cites=7425061545881627122&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 21:48:22","","10.1021/acs.joc.3c02667","","",,,,,1,1.00,0,4,1,"… Nickel-catalyzed carbonylation of … density functional theory calculations revealed the mechanism and origin of stereoselectivity and regioselectivity for the nickel-catalyzed carbonylation …","","https://scholar.google.com/scholar?q=related:8umv5SIeC2cJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"Z Li, S Xu, B Huang, C Yuan, W Chang…","Pd-Catalyzed Carbonylation of Acyl Azides",2019,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.9b01048","https://scholar.google.com/scholar?cites=10587911941940235093&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 21:48:22","","10.1021/acs.joc.9b01048","","",,,,,27,4.50,5,6,6,"… DFT Computational Study To gain a deeper understanding of the carbonylation mechanism, DFT calculations were carried out using the Gaussian 09 program package (for more details…","","https://scholar.google.com/scholar?q=related:Vct2ZNDR75IJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
71,"J Singh, S Sharma, A Sharma","Photocatalytic carbonylation strategies: A recent trend in organic synthesis",2020,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.0c02205","https://scholar.google.com/scholar?cites=8191024917929095944&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 21:48:22","","10.1021/acs.joc.0c02205","","",,,,,71,14.20,24,3,5,"… TM-catalyzed carbonylations and a few regarding radical carbonylations. A couple of them appeared a few years ago and covered high energy light-induced Pd-catalyzed carbonylation …","https://www.researchgate.net/profile/Jitender-Singh-26/publication/353513400_Photocatalytic_Carbonylation_strategies_a_recent_trends_in_organic_synthesis/links/6183dcd50be8ec17a96d2e70/Photocatalytic-Carbonylation-strategies-a-recent-trends-in-organic-synthesis.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9","https://scholar.google.com/scholar?q=related:CHOJ08NdrHEJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"DY Tian, WP Zhao, ZY Xu","Mechanism and Origin of Nickel-Catalyzed Decarbonylative Construction of C(sp2)–C(sp3) Bonds from Carboxylic Acids and Their Derivatives",2025,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.4c02521","",4,"2025-05-19 21:48:22","","10.1021/acs.joc.4c02521","","",,,,,0,0.00,0,3,1,"… , here we report a detailed density functional theory (DFT) study. … carbonylation is a thermodynamic advantage, the energy barrier generated by carbonylation hinders the carbonylation …","","https://scholar.google.com/scholar?q=related:2rtz6JXyia8J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"T Mondal, S Dutta, S De, D Koley","Computational Exploration of Mechanistic Avenues in C–H Activation Assisted Pd-Catalyzed Carbonylative Coupling",2018,"… Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.8b02630","https://scholar.google.com/scholar?cites=6600240262248440878&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 21:48:22","","10.1021/acs.joc.8b02630","","",,,,,13,1.86,3,4,7,"… Metal-catalyzed carbonylation reactions are extensively utilized in industries for the … In summary, comprehensive DFT calculations have been performed to unravel an in-depth …","https://www.academia.edu/download/113203954/acs.joc.8b0263020240410-1-32acol.pdf","https://scholar.google.com/scholar?q=related:LqSMh4zDmFsJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"P Dai, AA Ogunlana, X Bao","Mechanistic insights into cyclopropenes-involved carbonylative carbocyclization catalyzed by Rh (I) catalyst: a DFT study",2018,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.8b02178","https://scholar.google.com/scholar?cites=493654204107504721&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 21:48:22","","10.1021/acs.joc.8b02178","","",,,,,18,2.57,6,3,7,"… the Rh(I)-catalyzed carbonylation of vinyl cyclopropenes to produce phenol derivatives. (15) … In summary, DFT studies were carried out to understand the mechanisms of Rh(I)-catalyzed …","https://www.academia.edu/download/99362095/acs.joc.8b0217820230303-1-16v63o2.pdf","https://scholar.google.com/scholar?q=related:Uby0FeLP2QYJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"K Kang, Y Nishimoto, M Yasuda","Regio-and stereoselective carboindation of internal alkynyl ethers with organosilicon or-stannane nucleophiles",2019,"… Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.9b01505","https://scholar.google.com/scholar?cites=17558904338423386067&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 21:48:22","","10.1021/acs.joc.9b01505","","",,,,,13,2.17,4,3,6,"We achieved regio- and stereoselective carboindation of terminal and internal alkynyl ethers using InI 3 and organosilicon or -stannane nucleophiles to synthesize (Z)-β-…","","https://scholar.google.com/scholar?q=related:04_K-HbCrfMJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Li, X Ning","DFT Studies on the Mechanism of Ligand-Regulated Palladium-Catalyzed Iodide-Assisted Hydrocarbonylation of Olefins with Formic Acid: Favored Reaction Routes …",2024,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.4c02029","",8,"2025-05-19 21:48:22","","10.1021/acs.joc.4c02029","","",,,,,0,0.00,0,2,1,"… common C1 sources for carbonylation reactions and has … and universality in the carbonylation reaction. The electronic … theoretical research using density functional theory (DFT), from …","","https://scholar.google.com/scholar?q=related:vp6Vr-POzwwJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"L Zhu, LJ Liu, YY Jiang, P Liu, X Fan…","Mechanism and origin of ligand-controlled chemo-and regioselectivities in palladium-catalyzed methoxycarbonylation of alkynes",2020,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.0c00533","https://scholar.google.com/scholar?cites=5306242312202686659&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 21:48:22","","10.1021/acs.joc.0c00533","","",,,,,24,4.80,4,6,5,"… Without considering the CO-coordinated intermediates before methanolysis, Beller’s density functional theory (DFT) study predicted an energy barrier of 42 kcal/mol for the Pd-catalyzed …","","https://scholar.google.com/scholar?q=related:wxD97kSPo0kJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"ENA Sundén, S Karlsson, OD Putra…","Mechanistic Study of Photochemical Aminocarbonylation of Alkyl Iodides Catalyzed by a Palladium Catalyst Using Experimental and Computational Methods",2025,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.4c02240","",10,"2025-05-19 21:48:22","","10.1021/acs.joc.4c02240","","",,,,,0,0.00,0,4,1,"… This took the form of promoting a computationally uncovered cationic carbonylation … If radicals are involved in the oxidative addition, as was predicted by DFT, we would expect the same …","https://pubs.acs.org/doi/full/10.1021/acs.joc.4c02240","https://scholar.google.com/scholar?q=related:FLT7ixaSvSsJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"P Liu, B Hu, Y Li, GC Ji, MY Ma, S Bi…","Double-Regiodetermining-Stages Mechanistic Model Explaining the Regioselectivity of Pd-Catalyzed Hydroaminocarbonylation of Alkenes with Carbon Monoxide …",2021,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.1c01672","https://scholar.google.com/scholar?cites=18098870019862575098&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-19 21:48:22","","10.1021/acs.joc.1c01672","","",,,,,6,1.50,1,7,4,"… The previous DFT studies on Pd-catalyzed carbonylation reactions also showed the feasibility of CO insertion on Pd–C bonds. (21) In the acylpalladium intermediates, the orbital …","","https://scholar.google.com/scholar?q=related:-jfgIWQaLPsJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"AA Barboza, AC Neto, IG Rosset…","Synthesis of 3-Carbonyl Trisubstituted Furans via Pd-Catalyzed Aerobic Cycloisomerization Reaction: Development and Mechanistic Studies",2021,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.0c02777","https://scholar.google.com/scholar?cites=8558710430343162810&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-19 21:48:22","","10.1021/acs.joc.0c02777","","",,,,,15,3.75,4,4,4,"… We also propose a mechanistic rationalization supported by DFT calculations, NMR experiments, multivariate regression analysis, and kinetic isotopic effects (KIE) of this transformation. …","","https://scholar.google.com/scholar?q=related:uusIWMqlxnYJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"W Cao, J Guo, X Wang","Probing the Mechanism of Ni-Catalyzed Asymmetric Reppe Carbonylation of Cyclopropenes with CO and ROH",2024,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.4c01553","",13,"2025-05-19 21:48:22","","10.1021/acs.joc.4c01553","","",,,,,0,0.00,0,3,1,"… In this Note, we report a density functional theory (DFT) study on the title reaction using the representative experimental runs in Scheme 1. The study has gained novel insight into the …","","https://scholar.google.com/scholar?q=related:fnBVcks8N3oJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
