Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
27,"C Zhang, R Zhao, WM Dagnaw, Z Liu, ...","Density Functional Theory Mechanistic Insight into the Base-Free Nickel-Catalyzed Suzuki–Miyaura Cross-Coupling of Acid Fluoride: Concerted versus Stepwise …",2019,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.9b02154","https://scholar.google.com/scholar?cites=2301480050555218262&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-20 20:08:59","","10.1021/acs.joc.9b02154","","",,,,,27,4.50,5,5,6,"… can aid further developments, calling for a detailed density functional theory (DFT) mechanistic study. In this study, guided by DFT calculation results, we present the detailed catalytic …","","https://scholar.google.com/scholar?q=related:Vun9hul_8B8J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
204,"X Lin, DL Phillips","Density functional theory studies of Negishi alkyl–alkyl cross-coupling reactions catalyzed by a methylterpyridyl-Ni (I) complex",2008,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo702497p","https://scholar.google.com/scholar?cites=18282756080034623126&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-20 20:08:59","","10.1021/jo702497p","","",,,,,204,12.00,102,2,17,"… Density functional theory calculations were done to examine the potential energy surfaces of Ni(I)-catalyzed Negishi alkyl–alkyl cross-coupling reactions by using propyl iodide and …","","https://scholar.google.com/scholar?q=related:lq6T4clluf0J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"JK Eberhardt, R Fröhlich, ...","N-Acylamidine Palladium(II) Complexes. Synthesis, Structures, and Catalytic Activity for Suzuki−Miyaura Cross-Coupling Reactions:  Experiments and DFT …",2003,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo034455t","https://scholar.google.com/scholar?cites=13660261681830445938&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-20 20:08:59","","10.1021/jo034455t","","",,,,,40,1.82,13,3,22,"… as well as their catalytic properties in Suzuki−Miyaura cross-coupling reactions. We supplement our experimental results by DFT model calculations on 1:1 and 2:1 Pd(II) complexes. …","","https://scholar.google.com/scholar?q=related:ckNi3J__kr0J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"C Bolm","Cross-coupling reactions",2012,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/full/10.1021/jo301069c","https://scholar.google.com/scholar?cites=17465584303478019263&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-20 20:08:59","HTML","10.1021/jo301069c","","",,,,,51,3.92,51,1,13,"… with aryl bromides served as experimental tools and the resulting data were compared to those obtained by theoretical means, such as DFT calculations. Cross-couplings involving two …","https://pubs.acs.org/doi/full/10.1021/jo301069c","https://scholar.google.com/scholar?q=related:vxRyK2M4YvIJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"JN Humke, RA Daley, AS Morrenzin, ...","Combined Experimental and Computational Mechanistic Investigation of the Palladium-Catalyzed Decarboxylative Cross-Coupling of Sodium Benzoates with …",2021,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.1c00910","https://scholar.google.com/scholar?cites=12515284759890605418&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-20 20:08:59","","10.1021/acs.joc.1c00910","","",,,,,6,1.50,2,4,4,"Reported herein is a mechanistic investigation into the palladium-catalyzed decarboxylative cross-coupling of sodium benzoates and chloroarenes. The reaction was found to be first-…","https://par.nsf.gov/servlets/purl/10355096","https://scholar.google.com/scholar?q=related:arUjKC45r60J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"P Andrade-Sampedro, A Correa, ...","On the Mechanism of Cross-Dehydrogenative Couplings between N-aryl Glycinates and Indoles: A Computational Study",2020,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.0c01816","https://scholar.google.com/scholar?cites=10873012575836622542&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-20 20:08:59","","10.1021/acs.joc.0c01816","","",,,,,20,4.00,7,3,5,"… Herein, the mechanism of Co-catalyzed cross-dehydrogenative couplings of N-aryl glycinates with indoles is described. Density functional theory studies supported the formation of an …","https://drive.google.com/file/d/18uaGJWezxWvZurG3kvF9GZy66U2DnidI/view","https://scholar.google.com/scholar?q=related:zs4YfVSz5JYJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"EL Lucas, KA Hewitt, PP Chen, AJ Castro, ...","Engaging sulfonamides: intramolecular cross-electrophile coupling reaction of sulfonamides with alkyl chlorides",2019,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.9b02603","https://scholar.google.com/scholar?cites=3407497911532282287&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-20 20:08:59","","10.1021/acs.joc.9b02603","","",,,,,21,3.50,4,5,6,"… cross-electrophile coupling reaction of unstrained benzylic sulfonamides. Nickel-catalyzed intramolecular cross-electrophile coupling … Mechanistic experiments and DFT calculations are …","https://pubs.acs.org/doi/pdf/10.1021/acs.joc.9b02603","https://scholar.google.com/scholar?q=related:r2HE_UvdSS8J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"TT Liu, SY Tang, B Hu, P Liu, S Bi, ...","Mechanism and origin of Chemoselectivity of Ru-catalyzed cross-coupling of secondary alcohols to β-disubstituted ketones",2020,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.0c01671","https://scholar.google.com/scholar?cites=8089390378244547551&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-20 20:08:59","","10.1021/acs.joc.0c01671","","",,,,,20,4.00,3,6,5,"… Density functional theory (DFT) calculations were performed with the coupling of 1-phenylethanol and cyclohexanol as a model reaction to gain deeper mechanistic insights herein. The …","","https://scholar.google.com/scholar?q=related:36O6iLBJQ3AJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
59,"C Gourlaouen, G Ujaque, A Lledós, ...","Why Is the Suzuki−Miyaura Cross-Coupling of sp3 Carbons in α-Bromo Sulfoxide Systems Fast and Stereoselective? A DFT Study on the Mechanism",2009,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo900178c","https://scholar.google.com/scholar?cites=2746917134389470912&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-20 20:08:59","","10.1021/jo900178c","","",,,,,59,3.69,15,4,16,"… The stereoselectivity-determining oxidative addition step in the Suzuki−Miyaura cross-coupling of α-bromo sulfoxides is analyzed computationally through DFT calculations on a model …","","https://scholar.google.com/scholar?q=related:wOa3dpQCHyYJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
117,"Y Wu, LL Liu, K Yan, P Xu, Y Gao, ...","Nickel-Catalyzed Decarboxylative C–P cross-coupling of alkenyl acids with P (O) H compounds",2014,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo501321m","https://scholar.google.com/scholar?cites=13003111212513526653&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-20 20:08:59","","10.1021/jo501321m","","",,,,,117,10.64,20,6,11,"… for the intermolecular decarboxylative coupling reactions of alkenyl acids with P(O)H compounds (Figure 1 and Scheme 1). Moreover, density functional theory (DFT) calculations were …","","https://scholar.google.com/scholar?q=related:fYPEHMFUdLQJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
