Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"T Murata, H Tsutsui, I Shiina","(E)-Selective Weinreb Amide-Type Horner–Wadsworth–Emmons Reaction: Effect of Reaction Conditions, Substrate Scope, Isolation of a Reactive Magnesium …",2024,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.4c01140","https://scholar.google.com/scholar?cites=2818056349617551501&as_sdt=2005&sciodt=0,5&hl=en",510,"2025-05-19 21:54:15","","10.1021/acs.joc.4c01140","","",,,,,1,1.00,0,3,1,"… a cyclic ketone, and Weinreb ketone syntheses, enabling the synthesis of polyene compounds and their derivatives. The crystallization of the phosphonoenolate, DFT calculation study …","https://pubs.acs.org/doi/full/10.1021/acs.joc.4c01140","https://scholar.google.com/scholar?q=related:jfj8u1G_GycJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"GY Zhu, J Yang, XJ Yao, X Yang, J Fu…","(±)-Sativamides A and B, Two Pairs of Racemic Nor-Lignanamide Enantiomers from the Fruits of Cannabis sativa",2018,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.7b02765","https://scholar.google.com/scholar?cites=15305693191761732928&as_sdt=2005&sciodt=0,5&hl=en",412,"2025-05-19 21:54:15","","10.1021/acs.joc.7b02765","","",,,,,26,3.71,4,6,7,"… Forty conformers of two configurations were obtained for further optimization using density of functional theory (DFT) at the B3LYP/6-31G(d,p)//M06-2X/def2-TZVP level, as implemented …","","https://scholar.google.com/scholar?q=related:QKUSaN2-aNQJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"D Yin, L Lu, Y Jiang, Y Dou, MC Fu…","1, 2-Amidoarylcarbonylation of Styrenes to Access β-Acylamino Ketones by NHC-Catalyzed Radical Relay",2024,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.4c01171","https://scholar.google.com/scholar?cites=14276830964373525578&as_sdt=2005&sciodt=0,5&hl=en",88,"2025-05-19 21:54:15","","10.1021/acs.joc.4c01171","","",,,,,4,4.00,1,6,1,"… for the synthesis of β-acylamino ketones. This gentle and efficient approach offers a valuable style for the synthesis of β-acylamino ketones. Mechanistic studies revealed that a radical …","","https://scholar.google.com/scholar?q=related:ShTIxR5-IcYJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"M Agirre, S Henrion, I Rivilla, JI Miranda…","1, 3-Dioxa-[3, 3]-sigmatropic oxo-rearrangement of substituted allylic carbamates: scope and mechanistic studies",2018,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.8b01320","https://scholar.google.com/scholar?cites=5823547903551838298&as_sdt=2005&sciodt=0,5&hl=en",671,"2025-05-19 21:54:15","","10.1021/acs.joc.8b01320","","",,,,,15,2.14,3,5,7,"… Since the 1 H NMR showed that the formation of 1-arylallyl tosylcarbamates 13b and 13c from alcohols 1b and 1c was not kinetically relevant, we carried out DFT calculations on the …","https://univ-rennes.hal.science/hal-01954300/file/Agirre%20et%20al_2018_1,3-Dioxa-%5B3,3%5D-Sigmatropic%20Oxo-Rearrangement%20of%20Substituted%20Allylic%20Carbamates.pdf","https://scholar.google.com/scholar?q=related:Wpitu_Zl0VAJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
59,"B Sliter, J Morgan, A Greenberg","1-Azabicyclo [3.3. 1] nonan-2-one: nitrogen versus oxygen protonation",2011,"… Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo200195a","https://scholar.google.com/scholar?cites=17886989368600565410&as_sdt=2005&sciodt=0,5&hl=en",398,"2025-05-19 21:54:15","","10.1021/jo200195a","","",,,,,59,4.21,20,3,14,"… The corresponding DFT calculated value to produce 6 CC is 220.2 kcal/mol, and 219.8 kcal/… derivatives of 2-quinuclidone are effectively ketones, that study has only partial relevance for …","","https://scholar.google.com/scholar?q=related:ohaguA9aO_gJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
180,"M Fontes, X Verdaguer, L Solà…","2-Piperidino-1, 1, 2-triphenylethanol: A highly effective catalyst for the enantioselective arylation of aldehydes",2004,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo035824o","https://scholar.google.com/scholar?cites=7964178461073859515&as_sdt=2005&sciodt=0,5&hl=en",77,"2025-05-19 21:54:15","","10.1021/jo035824o","","",,,,,180,8.57,45,4,21,"… prochiral ketones 16 or in the thoroughly studied transition-metal-catalyzed hydrogenation. … All calculations were made using density functional theory (DFT) with the B3LYP functional. …","https://www.academia.edu/download/45373311/-Piperidino-112-triphenylethanol_A_Highl20160505-11892-1w0r86q.pdf","https://scholar.google.com/scholar?q=related:u-MfRB1yhm4J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"D Steinsits, B Rávai, Z Kelemen…","3, 3-Bis (hydroxyaryl) oxindoles and Spirooxindoles Bearing a Xanthene Moiety: Synthesis, Mechanism, and Biological Activity",2025,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.5c00270","",403,"2025-05-19 21:54:15","","10.1021/acs.joc.5c00270","","",,,,,0,0.00,0,4,1,"… , the reaction mechanism was studied by density functional theory calculations. Both 3,3-bis(… By the reduction of compound 4h using a hydrogenation H-Cube Pro Ⓡ flow reactor, the 5-…","https://pubs.acs.org/doi/full/10.1021/acs.joc.5c00270","https://scholar.google.com/scholar?q=related:z8SDkGCeZZoJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"A Padwa","A chemistry cascade: from physical organic studies of alkoxy radicals to alkaloid synthesis",2009,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo901300x","https://scholar.google.com/scholar?cites=12170051501003576160&as_sdt=2005&sciodt=0,5&hl=en",213,"2025-05-19 21:54:15","","10.1021/jo901300x","","",,,,,54,3.38,54,1,16,"… Density functional theory (DFT) calculations indicate that the transition metal-mediated … (74) Removal of the methylthio moiety followed by reduction of the ketone, then hydrogenation of …","https://www.researchgate.net/profile/Albert-Padwa/publication/242309009_AChemistryCascadeFromPhysicalOrganicStudiesofAlkoxyRadicals_to_Alkaloid_Synthesis/links/02e7e537255b834c15000000/AChemistryCascadeFromPhysicalOrganicStudiesofAlkoxyRadicals-to-Alkaloid-Synthesis.pdf","https://scholar.google.com/scholar?q=related:YBOHR1y15KgJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
35,"I Busygin, V Nieminen, A Taskinen…","A Combined NMR, DFT, and X-ray Investigation of Some Cinchona Alkaloid O-Ethers",2008,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo8008462","https://scholar.google.com/scholar?cites=16485281559231646968&as_sdt=2005&sciodt=0,5&hl=en",71,"2025-05-19 21:54:15","","10.1021/jo8008462","","",,,,,35,2.06,9,4,17,"… Despite significant progress in the experimental techniques and theoretical methods, the mechanism of enantiodifferentiation in the hydrogenation of activated ketones over cinchona …","","https://scholar.google.com/scholar?q=related:-MxMQDx8x-QJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"R Liang, Q Zhou, X Li, MW Wong…","A Computational Study on the Reaction Mechanism of Stereocontrolled Synthesis of β-Lactam within [2] Rotaxane",2023,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.3c00330","https://scholar.google.com/scholar?cites=12107955799557744455&as_sdt=2005&sciodt=0,5&hl=en",246,"2025-05-19 21:54:15","","10.1021/acs.joc.3c00330","","",,,,,5,2.50,1,5,2,"… In summary, our systematic DFT study was carried out to investigate the uncommon trans-… Our DFT results suggest that an alternate more favorable mechanism, which initiates with …","","https://scholar.google.com/scholar?q=related:RyfFJKYZCKgJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
