Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
27,"C Zhang, R Zhao, WM Dagnaw, Z Liu…","Density Functional Theory Mechanistic Insight into the Base-Free Nickel-Catalyzed Suzuki–Miyaura Cross-Coupling of Acid Fluoride: Concerted versus Stepwise …",2019,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.9b02154","https://scholar.google.com/scholar?cites=2301480050555218262&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 22:23:17","","10.1021/acs.joc.9b02154","","",,,,,27,4.50,5,5,6,"… , calling for a detailed density functional theory (DFT) mechanistic study. In this study, guided by DFT calculation results, we present the detailed catalytic mechanism of the reaction, …","","https://scholar.google.com/scholar?q=related:Vun9hul_8B8J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"A Shyam, AK Pradhan, P Mondal","A Density Functional Theory Study on Et-BAC-Catalyzed 1,6-Conjugate Addition of p-Chlorobenzaldehyde to p-Quinone Methide for the Synthesis of α,α′ …",2021,"… Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.1c01014","https://scholar.google.com/scholar?cites=13770488365359275748&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 22:23:17","","10.1021/acs.joc.1c01014","","",,,,,6,1.50,2,3,4,"… unclear and the roles of the Et-BAC catalyst and DBU additive in this organic transformation are also elusive. In this study, several DFT-based techniques have been used to explore the …","","https://scholar.google.com/scholar?q=related:5J7jiDWaGr8J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"P Dai, AA Ogunlana, X Bao","Mechanistic insights into cyclopropenes-involved carbonylative carbocyclization catalyzed by Rh (I) catalyst: a DFT study",2018,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.8b02178","https://scholar.google.com/scholar?cites=493654204107504721&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 22:23:17","","10.1021/acs.joc.8b02178","","",,,,,18,2.57,6,3,7,"… In summary, DFT studies were carried out to understand the mechanisms of Rh(I)-catalyzed carbonylative carbocyclization of tethered ene- and yne-cyclopropenes. Computational …","https://www.academia.edu/download/99362095/acs.joc.8b0217820230303-1-16v63o2.pdf","https://scholar.google.com/scholar?q=related:Uby0FeLP2QYJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
49,"ND Rode, I Abdalghani, A Arcadi, M Aschi…","Synthesis of 2-acylindoles via Ag-and Cu-catalyzed anti-Michael hydroamination of β-(2-aminophenyl)-α, β-ynones: experimental results and DFT calculations",2018,"… of organic chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.8b00508","https://scholar.google.com/scholar?cites=15850217053400730953&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 22:23:17","","10.1021/acs.joc.8b00508","","",,,,,49,7.00,10,5,7,"… the present study by silver/copper catalysis. Density functional theory calculations on the Ag-catalyzed reaction revealed that the catalyst induces an electrostatic arrangement in the TS …","https://www.academia.edu/download/103662416/acs.joc.8b0050820230622-1-82yyms.pdf","https://scholar.google.com/scholar?q=related:SQ3KmG5I99sJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"A Roy, S Biswas, S Duari, S Maity…","Regioselective Transition Metal-Free Catalytic Ring Opening of 2H-Azirines by Phenols and Naphthols; One-Pot Access to Benzo- and Naphthofurans",2023,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.3c01266","https://scholar.google.com/scholar?cites=9009958736048678643&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 22:23:17","","10.1021/acs.joc.3c01266","","",,,,,11,5.50,2,5,2,"… Thus, density functional theory (DFT) calculation using the model substrates 1a and 2a was … Based on DFT calculations, a possible reaction pathway was proposed (Scheme 2). …","https://drive.google.com/file/d/1lXb6zB4SRQFXkYPi3O0w3Ul55cJfB_zJ/view","https://scholar.google.com/scholar?q=related:8-Ybz7vNCX0J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"X Wu, Y Sun, Y Zeng, X Li","Mechanistic Insights Into Oxazolone Synthesis by Bimetallic Au–Pd-Catalyzed Catalysis and Catalyst Design: DFT Investigations",2023,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.3c00751","https://scholar.google.com/scholar?cites=5682265666420147119&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 22:23:17","","10.1021/acs.joc.3c00751","","",,,,,4,2.00,1,4,2,"… catalyst-catalyzed oxazolone synthesis using N-alkynyl carbamates as precursors was studied by DFT … is the product of single-metal catalysts and its formation does not need a second …","","https://scholar.google.com/scholar?q=related:rwNfhoR2204J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"Z Zhang, S Yang, J Li, X Liao","DFT Mechanistic Study of Rh (III)-Catalyzed [3+ 2]/[5+ 2] Annulation of 4-Aryl-1, 2, 3-triazoles and Alkynes Unveils the Dual C–H Activation Strategy",2016,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.6b01706","https://scholar.google.com/scholar?cites=15762849638988764461&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 22:23:17","","10.1021/acs.joc.6b01706","","",,,,,17,1.89,4,4,9,"… DFT mechanistic study to clarify how Rh(III) catalyzes the [3 + 2]/[5 + 2] annulation of 4-aryl-1,2,3-triazoles with alkynes and why dual annulation occurs exclusively with a Rh(III) catalyst. …","","https://scholar.google.com/scholar?q=related:LdXRQzvkwNoJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"K Sakata, M Eda, Y Kitaoka, T Yoshino…","Cp*CoIII-Catalyzed C–H Alkenylation/Annulation Reactions of Indoles with Alkynes: A DFT Study",2017,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.7b01047","https://scholar.google.com/scholar?cites=7581483876406325081&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 22:23:17","","10.1021/acs.joc.7b01047","","",,,,,41,5.13,8,5,8,"… We examined the C2-selective C–H functionalization reaction of indoles with alkynes catalyzed by a Cp*Co III complex using M06-level DFT calculations. After the insertion of the C≡C …","","https://scholar.google.com/scholar?q=related:We-My2rXNmkJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"C Zhang, Z Shang, R Li, X Xu","Density Functional Theory Study of the Mechanism of Ni-Catalyzed Carboxylation of Aryl C(sp2)–S Bonds with CO2: Computational Evidence for the Multifaceted …",2024,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.4c00566","https://scholar.google.com/scholar?cites=9272142372757435780&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 22:23:17","","10.1021/acs.joc.4c00566","","",,,,,2,2.00,1,4,1,"… to the metal center Ni of the active catalyst was determined … are attached to the metal center Ni, active catalyst L 2 Ni 0 A (… the experiment exceeded that of the metal catalyst (Scheme 1). …","","https://scholar.google.com/scholar?q=related:hPUNs1xErYAJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"YQ Zheng, CL Li, WB Liu, ZX Yu","DFT Study of Mechanism and Stereochemistry of Nickel-Catalyzed trans-Arylative Desymmetrizing Cyclization of Alkyne-Tethered Malononitriles",2022,"… Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.2c01269","https://scholar.google.com/scholar?cites=2770562034265097625&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 22:23:17","","10.1021/acs.joc.2c01269","","",,,,,15,5.00,4,4,3,"… Further protonation of V provides the imine product VI and regenerates the catalyst for the next catalytic cycle. In the present paper, we report our DFT studies of the mechanism and the …","https://www.chem.pku.edu.cn/zxyu/docs/2022-12/20221226145106485353.pdf","https://scholar.google.com/scholar?q=related:mQWOuH0DcyYJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
