Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
45,"W Sheng, J Cui, Z Ruan, L Yan, Q Wu…","-Phenanthrene-Fused BF2 Azadipyrromethene (AzaBODIPY) Dyes as Bright Near-Infrared Fluorophores",2017,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.7b01803","https://scholar.google.com/scholar?cites=14777515990234118149&as_sdt=2005&sciodt=0,5&hl=en",702,"2025-05-19 18:55:09","a","10.1021/acs.joc.7b01803","","",,,,,45,5.63,8,6,8,"… The DFT calculations indicate that the HOMO orbitals are mainly delocalized over both the central azadipyrromethene framework and the phenanthrene moieties for both 3 and 4a, …","","https://scholar.google.com/scholar?q=related:BTiPnH9IFM0J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
78,"Y Niko, S Sasaki, K Narushima…","1-, 3-, 6-, and 8-tetrasubstituted asymmetric pyrene derivatives with electron donors and acceptors: high photostability and regioisomer-specific photophysical …",2015,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.5b01987","https://scholar.google.com/scholar?cites=10879170156107647229&as_sdt=2005&sciodt=0,5&hl=en",709,"2025-05-19 18:55:09","","10.1021/acs.joc.5b01987","","",,,,,78,7.80,20,4,10,"… The results of the DFT/TD-DFT calculations suggested for all compounds a main S 0 –S 1 transition with a transition moment along the long axis of the pyrene ring, even though the …","http://pstorage-acs-6854636.s3.amazonaws.com/3745279/jo5b01987_si_001.pdf","https://scholar.google.com/scholar?q=related:_cjT3Z2T-pYJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
86,"E Yamaguchi, F Shibahara, T Murai","1-Alkynyl- and 1-Alkenyl-3-arylimidazo[1,5-a]pyridines: Synthesis, Photophysical Properties, and Observation of a Linear Correlation between the Fluorescent …",2011,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo200864x","https://scholar.google.com/scholar?cites=4012307130092739708&as_sdt=2005&sciodt=0,5&hl=en",836,"2025-05-19 18:55:09","","10.1021/jo200864x","","",,,,,86,6.14,29,3,14,"… due to acceleration of the oxidative addition of such electron-rich … To understand this observation, DFT and TDDFT … –LUMO gaps calculated by DFT calculations and the absorption …","","https://scholar.google.com/scholar?q=related:fNzxohOUrjcJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"B Bose-Basu, W Zhang, JLW Kennedy…","13C-Labeled Idohexopyranosyl Rings: Effects of Methyl Glycosidation and C6 Oxidation on Ring Conformational Equilibria",2017,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.6b02399","https://scholar.google.com/scholar?cites=13803383696341782745&as_sdt=2005&sciodt=0,5&hl=en",289,"2025-05-19 18:55:09","","10.1021/acs.joc.6b02399","","",,,,,22,2.75,6,4,8,"… J CH and J CC values were analyzed with assistance from theoretical values obtained from density functional theory (DFT) calculations. Linearized plots of the percentages of 4 C 1 …","https://www.academia.edu/download/107141361/IDO.pdf","https://scholar.google.com/scholar?q=related:2dDenlZ4j78J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
88,"R Halder, T Ritter","18F-Fluorination: Challenge and Opportunity for Organic Chemists",2021,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.1c01474","https://scholar.google.com/scholar?cites=4145056642789446992&as_sdt=2005&sciodt=0,5&hl=en",467,"2025-05-19 18:55:09","","10.1021/acs.joc.1c01474","","",,,,,88,22.00,44,2,4,"… II) complexes (synthesized by oxidative addition of an aryl halide to a Ni(0) precursor) using aqueous [ 18 F]fluoride and a dicationic hypervalent iodine-based oxidant proceeds quickly (…","https://pubs.acs.org/doi/pdf/10.1021/acs.joc.1c01474","https://scholar.google.com/scholar?q=related:UJVWHw4zhjkJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
62,"S Yamazawa, M Nakashima, Y Suda…","2, 3-naphtho-fused BODIPYs as near-infrared absorbing dyes",2016,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.5b02720","https://scholar.google.com/scholar?cites=6289273947287125043&as_sdt=2005&sciodt=0,5&hl=en",648,"2025-05-19 18:55:09","","10.1021/acs.joc.5b02720","","",,,,,62,6.89,16,4,9,"… were calculated using time-dependent density functional theory (TD-DFT) at the B3LYP/6-31G(… The surface plots of both HOMO and LUMO levels were evaluated by DFT calculation and …","","https://scholar.google.com/scholar?q=related:M_wqQ1X9R1cJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"M Fecková, P Le Poul, FR Guen, T Roisnel…","2, 4-Distyryl-and 2, 4, 6-tristyrylpyrimidines: synthesis and photophysical properties",2018,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.8b01653","https://scholar.google.com/scholar?cites=9428340262678889266&as_sdt=2005&sciodt=0,5&hl=en",789,"2025-05-19 18:55:09","","10.1021/acs.joc.8b01653","","",,,,,41,5.86,8,5,7,"… Density functional theory (DFT) and time-dependent density functional theory (TD-DFT) calculations were also performed on selected chromophores to rationalize their photophysical …","https://univ-rennes.hal.science/hal-01880133/file/Feckova%20et%20al_2018_2,4-Distyryl-%20and%202,4,6-tristyrylpyrimidines.pdf","https://scholar.google.com/scholar?q=related:MgN98oMx2IIJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
108,"A Baheti, P Singh, CP Lee, KRJ Thomas…","2, 7-Diaminofluorene-based organic dyes for dye-sensitized solar cells: effect of auxiliary donor on optical and electrochemical properties",2011,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo200501b","https://scholar.google.com/scholar?cites=9182260738491209375&as_sdt=2005&sciodt=0,5&hl=en",474,"2025-05-19 18:55:09","","10.1021/jo200501b","","",,,,,108,7.71,22,5,14,"… exhibited longer wavelength absorptions and facile oxidation, indicating the stronger electron-donating ability of the auxiliary chromophores. In addition, they exhibited nearly two times …","https://www.academia.edu/download/115953547/jo200501b20240613-1-kngfsr.pdf","https://scholar.google.com/scholar?q=related:n9bI8H3xbX8J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
100,"D Moran, K Sukcharoenphon, R Puchta…","2-pyridinethiol/2-pyridinethione tautomeric equilibrium. A comparative experimental and computational study",2002,"… of organic chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo0263768","https://scholar.google.com/scholar?cites=8716431917278470171&as_sdt=2005&sciodt=0,5&hl=en",330,"2025-05-19 18:55:09","","10.1021/jo0263768","","",,,,,100,4.35,25,4,23,"… the accuracy of DFT and we cannot recommend DFT for … /mol, are well suited to DFT and significantly faster for these large … between our MP2 and DFT energies is less satisfactory and …","","https://scholar.google.com/scholar?q=related:G6BCqqX89ngJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"KS More, HA Mirgane, S Shaikh…","2H-Pyran-2-one-Functionalized Diketopyrrolopyrrole Dye: Design, Synthesis, and Explosives Sensor",2022,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.2c01439","https://scholar.google.com/scholar?cites=1618877480406096608&as_sdt=2005&sciodt=0,5&hl=en",905,"2025-05-19 18:55:09","","10.1021/acs.joc.2c01439","","",,,,,12,4.00,3,4,3,"… DFT results displayed that the HOMO energy level is … Further, the time dependent density functional theory (TD-DFT) … excitation study, and TD-DFT results were evaluated using the …","","https://scholar.google.com/scholar?q=related:4Bp8wn1odxYJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
