Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
15,"EH Spielvogel, BG Stevenson, MJ Stringer…","Insights into the mechanism of an allylic arylation reaction via photoredox-coupled hydrogen atom transfer",2021,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.1c02235","https://scholar.google.com/scholar?cites=2412464466412589147&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 19:24:26","","10.1021/acs.joc.1c02235","","",,,,,15,3.75,4,4,4,"… Despite widespread use as a synthetic method, the precise mechanism and kinetics of photoredox … In this report, a mechanistic study of a prototypical tandem photoredox/HAT reaction …","https://par.nsf.gov/servlets/purl/10334099","https://scholar.google.com/scholar?q=related:W1DGgabLeiEJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"M Akita, P Ceroni, CRJ Stephenson…","Progress in photocatalysis for organic chemistry",2023,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/full/10.1021/acs.joc.3c00812","https://scholar.google.com/scholar?cites=4346113718111915685&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 19:24:26","HTML","10.1021/acs.joc.3c00812","","",,,,,30,15.00,8,4,2,"… This DFT study established a double role of water during the selective photocatalytic oxidation of toluene into benzaldehyde by favoring the cleavage of sp 3 C–H bonds but also by …","https://pubs.acs.org/doi/full/10.1021/acs.joc.3c00812","https://scholar.google.com/scholar?q=related:pU6DYWZ_UDwJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"T Furutani, Y Matsui, R Hashimoto…","Mechanistic Insight into the Photoinduced Decarboxylative Radical Addition of Carboxylic Acid to Alkenes in a Two-Molecule Photoredox System",2025,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.4c03132","https://scholar.google.com/scholar?cites=12351056087711190371&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 19:24:26","","10.1021/acs.joc.4c03132","","",,,,,2,2.00,1,4,1,"… photoredox reactions using one-molecule photoredox system are higher, but sometimes unique reactivities are shown in two-molecule photoredox … two-molecule photoredox systems is …","","https://scholar.google.com/scholar?q=related:Y43ztBLEZ6sJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"P Franceschi, E Rossin, G Goti…","A Proton-Coupled Electron Transfer Strategy to the Redox-Neutral Photocatalytic CO2 Fixation",2023,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.2c02952","https://scholar.google.com/scholar?cites=7742927261785632286&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 19:24:26","","10.1021/acs.joc.2c02952","","",,,,,10,5.00,3,4,2,"… We have used an organic photoredox catalyst (PC, 4CzIPN) … voltammetry) and density-functional theory (DFT) calculations … /TBD adduct, we performed DFT calculations. The one-…","https://pubs.acs.org/doi/full/10.1021/acs.joc.2c02952","https://scholar.google.com/scholar?q=related:Hq5rIFJndGsJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"TB Demissie, JH Hansen","Mechanism and site selectivity in visible-light photocatalyzed C–H functionalization: insights from DFT calculations",2016,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.6b00977","https://scholar.google.com/scholar?cites=3014469924538095377&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 19:24:26","","10.1021/acs.joc.6b00977","","",,,,,22,2.44,11,2,9,"… Visible-light photoredox catalysis (VLPC) is emerging as a powerful approach to late-stage C–… Visible-light photoredox catalysis now has a demonstrated track-record of providing useful …","","https://scholar.google.com/scholar?q=related:ERcxzmyM1SkJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"SK Ghosh, L He, Z Tang, RJ Comito","Selective and Functional-Group-Tolerant Photoalkylation of Imines by Energy-Transfer Photocatalysis",2023,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.3c01722","https://scholar.google.com/scholar?cites=9739458454573506586&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 19:24:26","","10.1021/acs.joc.3c01722","","",,,,,8,4.00,2,4,2,"… Our method is distinguished from organometallic, metal-catalyzed, and photoredox … (HAA) of the imines and of benzophenone using density functional theory (DFT, UB3LYP/6-311G(2d,…","","https://scholar.google.com/scholar?q=related:GmCH0dyBKYcJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"S Kim, Y Lee, EJ Cho","Photoredox Selective Homocoupling of Propargyl Bromides",2022,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.2c02063","https://scholar.google.com/scholar?cites=2698106595696608162&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 19:24:26","","10.1021/acs.joc.2c02063","","",,,,,8,2.67,3,3,3,"… Herein, we report the Ir-catalyzed photoredox homocoupling of propargyl bromides under visible-light irradiation to selectively produce 1,5-diynes. Additional electrochemical and …","","https://scholar.google.com/scholar?q=related:ooOiUqeZcSUJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"N Noto, K Takahashi, S Goryo…","Laser flash photolysis studies on radical monofluoromethylation by (diarylamino) naphthalene photoredox catalysis: Long lifetime of the excited state is not always a …",2020,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.0c01999","https://scholar.google.com/scholar?cites=4540847327413576395&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 19:24:26","","10.1021/acs.joc.0c01999","","",,,,,24,4.80,6,4,5,"… In addition, density-functional theory (DFT) and time-dependent-DFT (TD-DFT) calculations … discussed to evaluate their performance as photoredox catalysts. Furthermore, laser flash …","","https://scholar.google.com/scholar?q=related:y6LE-ZVUBD8J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"L Zeng, XH Ouyang, DL He, JH Li","Synthesis of Diarylalkanes by Photoreductive 1, 2-Diarylation of Alkenes with Aryl Halides and Cyanoaromatics",2024,"… Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.4c01830","https://scholar.google.com/scholar?cites=124948045506613299&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 19:24:26","","10.1021/acs.joc.4c01830","","",,,,,3,3.00,1,4,1,"We report a visible light-induced photoreductive strategy for three-component diarylation of alkenes with aryl halides and cyanoaromatics. Upon photoredox catalysis and with tertiary …","","https://scholar.google.com/scholar?q=related:MxDN25XnuwEJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"BG Stevenson, C Gironda, E Talbott…","Photoredox product selectivity controlled by persistent radical stability",2023,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.3c00490","https://scholar.google.com/scholar?cites=9326701799675765442&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 19:24:26","","10.1021/acs.joc.3c00490","","",,,,,4,2.00,1,4,2,"… The use of photoredox catalysis for the synthesis of small … as arylating agents in photoredox catalysis because of their … an α-aminoarylation photoredox reaction between five cyanoarene …","https://par.nsf.gov/servlets/purl/10430901","https://scholar.google.com/scholar?q=related:wqKrL98Zb4EJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
