Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
144,"A Laxer, DT Major, HE Gottlieb…","(15N5)-Labeled Adenine Derivatives:  Synthesis and Studies of Tautomerism by 15N NMR Spectroscopy and Theoretical Calculations",2001,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo010344n","https://scholar.google.com/scholar?cites=1935092725773069807&as_sdt=2005&sciodt=0,5&hl=en",960,"2025-05-19 21:07:04","","10.1021/jo010344n","","",,,,,144,6.00,36,4,24,"… The gas-phase tautomeric equilibria were estimated using density functional theory and second-order perturbation theory methods. Solvent effects were included by means of both …","","https://scholar.google.com/scholar?q=related:720l35TU2hoJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
159,"V Leen, D Miscoria, S Yin, A Filarowski…","1, 7-Disubstituted boron dipyrromethene (BODIPY) dyes: synthesis and spectroscopic properties",2011,"… of organic chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo201082z","https://scholar.google.com/scholar?cites=7101419419395093153&as_sdt=2005&sciodt=0,5&hl=en",984,"2025-05-19 21:07:04","","10.1021/jo201082z","","",,,,,159,11.36,32,5,14,"1,7-Dihalogenated boron dipyrromethene dyes were successfully synthesized and substituted, thus providing an entry to the final, elusive reactivity pattern. The spectroscopic properties …","","https://scholar.google.com/scholar?q=related:ofIaRlZPjWIJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
78,"Y Niko, S Sasaki, K Narushima…","1-, 3-, 6-, and 8-tetrasubstituted asymmetric pyrene derivatives with electron donors and acceptors: high photostability and regioisomer-specific photophysical …",2015,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.5b01987","https://scholar.google.com/scholar?cites=10879170156107647229&as_sdt=2005&sciodt=0,5&hl=en",448,"2025-05-19 21:07:04","","10.1021/acs.joc.5b01987","","",,,,,78,7.80,20,4,10,"… Considering that several other transition metal-catalyzed reactions should be … of the DFT/TD-DFT calculations suggested for all compounds a main S 0 –S 1 transition with a transition …","http://pstorage-acs-6854636.s3.amazonaws.com/3745279/jo5b01987_si_001.pdf","https://scholar.google.com/scholar?q=related:_cjT3Z2T-pYJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
86,"E Yamaguchi, F Shibahara, T Murai","1-Alkynyl- and 1-Alkenyl-3-arylimidazo[1,5-a]pyridines: Synthesis, Photophysical Properties, and Observation of a Linear Correlation between the Fluorescent …",2011,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo200864x","https://scholar.google.com/scholar?cites=4012307130092739708&as_sdt=2005&sciodt=0,5&hl=en",928,"2025-05-19 21:07:04","","10.1021/jo200864x","","",,,,,86,6.14,29,3,14,"… To understand this observation, DFT and TDDFT calculations were performed for a series of … HOMO–LUMO gaps calculated by DFT calculations and the absorption behaviors predicted …","","https://scholar.google.com/scholar?q=related:fNzxohOUrjcJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
88,"R Halder, T Ritter","18F-Fluorination: Challenge and Opportunity for Organic Chemists",2021,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.1c01474","https://scholar.google.com/scholar?cites=4145056642789446992&as_sdt=2005&sciodt=0,5&hl=en",390,"2025-05-19 21:07:04","","10.1021/acs.joc.1c01474","","",,,,,88,22.00,44,2,4,"… Although not necessarily a deal-breaker, we received criticism about the amount of transition metal used in our procedures. While the use of stoichiometric nickel or even palladium is …","https://pubs.acs.org/doi/pdf/10.1021/acs.joc.1c01474","https://scholar.google.com/scholar?q=related:UJVWHw4zhjkJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
180,"M Fontes, X Verdaguer, L Solà…","2-Piperidino-1, 1, 2-triphenylethanol: A highly effective catalyst for the enantioselective arylation of aldehydes",2004,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo035824o","https://scholar.google.com/scholar?cites=7964178461073859515&as_sdt=2005&sciodt=0,5&hl=en",389,"2025-05-19 21:07:04","","10.1021/jo035824o","","",,,,,180,8.57,45,4,21,"Here we report the use of 2-piperidino-1,2,2-triphenylethanol (5) as an outstanding catalyst for the ligand-catalyzed arylation of aldehydes. The use of 5 and a 2/1 mixture of Et 2 Zn/Ph 2 …","https://www.academia.edu/download/45373311/-Piperidino-112-triphenylethanol_A_Highl20160505-11892-1w0r86q.pdf","https://scholar.google.com/scholar?q=related:u-MfRB1yhm4J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
34,"K Erden, C Dengiz","3-Alkynylindoles as building blocks for the synthesis of electronically tunable indole-based push–pull chromophores",2022,"The Journal of organic chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.2c00067","https://scholar.google.com/scholar?cites=10502292358846548009&as_sdt=2005&sciodt=0,5&hl=en",504,"2025-05-19 21:07:04","","10.1021/acs.joc.2c00067","","",,,,,34,11.33,17,2,3,"In this study, two different classes of push–pull chromophores were synthesized in modest to excellent yields by formal [2+2] cycloaddition-retroelectrocyclization (CA-RE) reactions. N-…","https://pubs.acs.org/doi/full/10.1021/acs.joc.2c00067","https://scholar.google.com/scholar?q=related:KQhZwEGjv5EJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"A Bodzioch, D Pomikło, M Celeda…","3-Substituted Benzo[e][1,2,4]triazines: Synthesis and Electronic Effects of the C(3) Substituent",2019,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.9b00716","https://scholar.google.com/scholar?cites=10362407619535326246&as_sdt=2005&sciodt=0,5&hl=en",729,"2025-05-19 21:07:04","","10.1021/acs.joc.9b00716","","",,,,,28,4.67,7,4,6,"… with density functional theory calculations. Results show significant effect of the C(3) substituent on the π–π*(1) transition … with density functional theory (DFT) computational results. …","https://dspace.uni.lodz.pl/bitstream/handle/11089/47735/acs.joc.9b00716.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:Jkw03NOqzo8J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
64,"M Pawlicki, L Latos-Grażyński…","5, 10, 15-Triaryl-21, 23-dioxacorrole and its isomer with a protruding furan ring",2002,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo025773f","https://scholar.google.com/scholar?cites=10651547886164487971&as_sdt=2005&sciodt=0,5&hl=en",900,"2025-05-19 21:07:04","","10.1021/jo025773f","","",,,,,64,2.78,21,3,23,"… halide complexes of the early transition metal ions, nobium, iridium… we have applied the density functional theory (DFT) in the … The density functional theory methods and the high level of …","","https://scholar.google.com/scholar?q=related:I6_lPl7m0ZMJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
112,"A Pezzella, L Panzella, A Natangelo…","5, 6-Dihydroxyindole Tetramers with “Anomalous” Interunit Bonding Patterns by Oxidative Coupling of 5, 5 ', 6, 6 '-Tetrahydroxy-2, 7 '-biindolyl: Emerging Complexities …",2007,"… of organic chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo701652y","https://scholar.google.com/scholar?cites=984236128781877366&as_sdt=2005&sciodt=0,5&hl=en",807,"2025-05-19 21:07:04","","10.1021/jo701652y","","",,,,,112,6.22,28,4,18,"… 2 18 it was found that transition metal cations, particularly Zn 2+ … role of transition metal cations to the oxidative coupling of 3. … DFT calculations on 3-quinone indicated a planar structure …","http://wpage.unina.it/apezzell/25/JOC%20-%202_7-DHI-dim%20-%202007.pdf","https://scholar.google.com/scholar?q=related:dkAmX4u1qA0J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transition+metal+dft&hl=en&as_sdt=0,5&as_vis=1"
