Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
27,"C Zhang, R Zhao, WM Dagnaw, Z Liu…","Density Functional Theory Mechanistic Insight into the Base-Free Nickel-Catalyzed Suzuki–Miyaura Cross-Coupling of Acid Fluoride: Concerted versus Stepwise …",2019,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.9b02154","https://scholar.google.com/scholar?cites=2301480050555218262&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 21:51:01","","10.1021/acs.joc.9b02154","","",,,,,27,4.50,5,5,6,"… for a detailed density functional theory (DFT) mechanistic study. In this study, guided by DFT … , demonstrating that the involved transmetalation favors a stepwise mechanism rather than …","","https://scholar.google.com/scholar?q=related:Vun9hul_8B8J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"X Wu, Y Sun, Y Zeng, X Li","Mechanistic Insights Into Oxazolone Synthesis by Bimetallic Au–Pd-Catalyzed Catalysis and Catalyst Design: DFT Investigations",2023,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.3c00751","https://scholar.google.com/scholar?cites=5682265666420147119&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 21:51:01","","10.1021/acs.joc.3c00751","","",,,,,4,2.00,1,4,2,"… the transmetalation process is 10.7 kcal/mol, which means that the transmetalation process … Based on the above discussion, Cl – is the bridge in the transmetalation process and Pd(0) …","","https://scholar.google.com/scholar?q=related:rwNfhoR2204J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"M Orlandi, G Licini","Computational Analysis of Enantioselective Pd-Catalyzed α-Arylation of Ketones",2020,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.0c01768","https://scholar.google.com/scholar?cites=796377362664791801&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 21:51:01","","10.1021/acs.joc.0c01768","","",,,,,17,3.40,9,2,5,"… key steps of the reaction, which are the enolate transmetallation and the C–C bond-forming … Pd-catalyzed α-arylation of carbonyl compounds, we performed a DFT study of the [Pd((R)-…","https://pubs.acs.org/doi/full/10.1021/acs.joc.0c01768","https://scholar.google.com/scholar?q=related:-R7M8P1MDQsJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
204,"X Lin, DL Phillips","Density functional theory studies of Negishi alkyl–alkyl cross-coupling reactions catalyzed by a methylterpyridyl-Ni (I) complex",2008,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo702497p","https://scholar.google.com/scholar?cites=18282756080034623126&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 21:51:01","","10.1021/jo702497p","","",,,,,204,12.00,102,2,17,"… transmetalation agent to produce the cross-coupling product. (10b, 10c) For the modeling reaction of I−Ni(tpy)-propyl with CH 3 ZnI, the transmetalation … of the transmetalation product is …","","https://scholar.google.com/scholar?q=related:lq6T4clluf0J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"G Huang","Mechanism and Selectivity in Rhodium-Catalyzed [7 + 2] Cycloaddition and Cyclopropanation/Cyclization of Allenylcyclopentane-alkynes: Metallacycle-Directed C(sp3)-C(sp3) …",2015,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.5b01148","https://scholar.google.com/scholar?cites=11575190481834706098&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 21:51:01","","10.1021/acs.joc.5b01148","","",,,,,29,2.90,29,1,10,"… In this article, the mechanism of this intriguing reaction is investigated by means of density functional theory calculations. The calculations show that the reaction is initiated by an …","","https://scholar.google.com/scholar?q=related:soQ9TWpWo6AJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"YQ Zheng, CL Li, WB Liu, ZX Yu","DFT Study of Mechanism and Stereochemistry of Nickel-Catalyzed trans-Arylative Desymmetrizing Cyclization of Alkyne-Tethered Malononitriles",2022,"… Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.2c01269","https://scholar.google.com/scholar?cites=2770562034265097625&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 21:51:01","","10.1021/acs.joc.2c01269","","",,,,,15,5.00,4,4,3,"… Initially, water-assisted transmetalation between phenyl boronic acid 2a and the nickel … In the present paper, we report our DFT studies of the mechanism and the origin of the selectivity …","https://www.chem.pku.edu.cn/zxyu/docs/2022-12/20221226145106485353.pdf","https://scholar.google.com/scholar?q=related:mQWOuH0DcyYJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
60,"OA Wallner, KJ Szabó","Employment of palladium pincer-complexes in phenylselenylation of organohalides",2005,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo051266x","https://scholar.google.com/scholar?cites=1884416063643158969&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 21:51:01","","10.1021/jo051266x","","",,,,,60,3.00,30,2,20,"… is formation of 1d, we performed DFT modeling studies to explore the mechanism of the … formation of intermediate 1d by transmetalation of 2 with 1a. In the transmetalation process, the …","","https://scholar.google.com/scholar?q=related:uYl9Am3KJhoJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"JX Zhang, YB Shi, X Tan, L Duan, L Zhang…","… -Catalyzed Sequential Cross-Coupling/Annulation of ortho-Vinyl Bromobenzene with Aryl Bromide: Bimetallic Pathway versus Pd(II)–Pd(IV) Pathway: A DFT …",2024,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.3c02553","",8,"2025-05-19 21:51:01","","10.1021/acs.joc.3c02553","","",,,,,0,0.00,0,6,1,"… by density functional theory (DFT). The Pd(II)–Pd(IV) pathway (Path V) is shown to be less probable than the bimetallic pathway (Path I), the latter proceeding via the following six steps: …","","https://scholar.google.com/scholar?q=related:TMrhkCNCBKcJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"CP Delaney, AF Zahrt, VM Kassel…","Effects of Ring Size and Steric Encumbrance on Boron-to-Palladium Transmetalation from Arylboronic Esters",2024,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.3c02629","https://scholar.google.com/scholar?cites=3390529524755210641&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 21:51:01","","10.1021/acs.joc.3c02629","","",,,,,2,2.00,1,4,1,"… A density-functional theory (DFT) investigation of the mechanism of transmetalation from arylboron species 2a, 2b, and 2c was carried out to further clarify the relationship between the …","","https://scholar.google.com/scholar?q=related:kSGCk6OUDS8J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"JJ Yang, Z Xu, YX Nie, SQ Lu, J Zhang…","Long-distance chirality transfer from P-ligand to prochiral dihydrosilanes via Pd (II) aryl iodide complex in Pd-catalyzed silylation of aryl iodide: A DFT study",2020,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.0c00202","https://scholar.google.com/scholar?cites=9994896300757392701&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 21:51:01","","10.1021/acs.joc.0c00202","","",,,,,23,4.60,4,6,5,"… has been investigated using hybrid density functional theory (DFT) methodology. The full catalytic … The DFT calculation results indicate that the enantio-discriminating transmetalation …","","https://scholar.google.com/scholar?q=related:PZ2C9ToBtYoJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
