Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"X Li, MP Meyer","Concerted or Stepwise? An Experimental and Computational Study to Reveal the Mechanistic Change as a Result of the Substituent Effects",2025,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.4c02197","",1,"2025-05-19 20:10:03","","10.1021/acs.joc.4c02197","","",,,,,0,0.00,0,2,1,"… state and intermediate were not located for the E1cB pathway in DFT calculations, implying unstable structures and a highly unlikely mechanism for the elimination of amine oxides. …","","https://scholar.google.com/scholar?q=related:fy9XIiy4pUYJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"…, P Šket, J Plavec, B Foretić","Tandem β-elimination/hetero-michael addition rearrangement of an N-alkylated pyridinium oxime to an O-alkylated pyridine oxime ether: An experimental and …",2015,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo5026755","https://scholar.google.com/scholar?cites=8727347780958396587&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 20:10:03","","10.1021/jo5026755","","",,,,,17,1.70,4,4,10,"… parameters for organic systems, being particularly successful in treating nonbonding interactions (29) without underestimating the reaction barrier, which occurs in many other DFT …","https://www.academia.edu/download/54050861/Tandem_-EliminationHetero-Michael_Additi20170803-2857-1a7i9ql.pdf","https://scholar.google.com/scholar?q=related:q6BRO5HEHXkJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"…, C Zhang, Y Yang, X Zheng, B Zhang…","Mechanistic Insights into a Palladium-Catalyzed Quaternary Carbon-Editing Strategy: A DFT Study",2025,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.5c00799","",3,"2025-05-19 20:10:03","","10.1021/acs.joc.5c00799","","",,,,,0,0.00,0,6,1,"… -editing strategy using density functional theory (DFT) to elucidate its … elimination. This process exhibits a significantly lower free energy barrier, with methyl migration and HF elimination …","","https://scholar.google.com/scholar?q=related:_AVlng2bJhMJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"SC Liu, DC Fang","DFT Studies on the Mechanisms of Carboamination/Diamination of Unactivated Alkenes Mediated by Pd (IV) Intermediates",2023,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.3c01561","https://scholar.google.com/scholar?cites=14538025170620733420&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 20:10:03","","10.1021/acs.joc.3c01561","","",,,,,1,0.50,1,2,2,"… pathway alongside inner reductive elimination. Significant experimental … B) is newly generated when the A molecule approaches the B molecule because the partial cavities of A and B …","","https://scholar.google.com/scholar?q=related:7FeJ7t1wwckJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"JR Mohrig, BG Beyer, AS Fleischhacker…","… , determine the stereochemistry of base-catalyzed 1, 2-elimination reactions? Anti stereospecificity in E1cb eliminations of β-3-trifluoromethylphenoxy esters, thioesters …",2012,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/jo300053w","https://scholar.google.com/scholar?cites=16889008254918442805&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 20:10:03","","10.1021/jo300053w","","",,,,,10,0.77,3,4,13,"… An anti elimination from conformer B is indistinguishable from a syn elimination from conformer A in … First of all, DFT calculations offer good support for a stepwise E1cB I pathway for the …","","https://scholar.google.com/scholar?q=related:Nb8Nq4bPYeoJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"M Farren-Dai, JR Thompson, A Bernardi…","Observation of a Tricyclic[4.1.0.02,4]heptane During a Michael Addition-Ring Closure Reaction and a Computational Study on Its Mechanism of Formation",2017,"… of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.7b02218","https://scholar.google.com/scholar?cites=4715012048615601441&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 20:10:03","","10.1021/acs.joc.7b02218","","",,,,,16,2.00,4,4,8,"… We also report a density functional theory (DFT) reaction … (b) DFT optimized TS geometry for B-rt intermediate … of enolate 15 results in a facile β-elimination of pentan-3-olate to generate …","https://air.unimi.it/bitstream/2434/534308/5/JOC_postPRINT.pdf","https://scholar.google.com/scholar?q=related:IXVrHXoWb0EJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
42,"J Chen, W Guo, Y Xia","Computational Revisit to the β-Carbon Elimination Step in Rh(III)-Catalyzed C–H Activation/Cycloaddition Reactions of N-Phenoxyacetamide and Cyclopropenes",2016,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.6b00003","https://scholar.google.com/scholar?cites=17170643499227790044&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 20:10:03","","10.1021/acs.joc.6b00003","","",,,,,42,4.67,14,3,9,"… (6) To understand the mechanism of this transformation, we previously carried out DFT calculations to answer how the O-NHAc moiety in 1 works as an internal oxidant and why …","","https://scholar.google.com/scholar?q=related:3LpX4ElhSu4J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"TB Demissie, JH Hansen","Mechanism and site selectivity in visible-light photocatalyzed C–H functionalization: insights from DFT calculations",2016,"The Journal of Organic Chemistry","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.6b00977","https://scholar.google.com/scholar?cites=3014469924538095377&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 20:10:03","","10.1021/acs.joc.6b00977","","",,,,,22,2.44,11,2,9,"… Herein, we present a density functional theory (DFT) study of mechanistic details in the C–H … above (a–b), which all reveal that a highly favored, barrierless proton elimination is feasible. …","","https://scholar.google.com/scholar?q=related:ERcxzmyM1SkJ:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"S Miyakawa, R Miyazaki, T Miura…","A DFT Mechanistic Study on the Aza-Aldol Reaction of Boron Aza-Enolates: Relative Stability of Six-Membered Transition State and Its Relevance to the Coordination …",2024,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.4c00957","https://scholar.google.com/scholar?cites=11446265714065068641&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 20:10:03","","10.1021/acs.joc.4c00957","","",,,,,1,1.00,0,4,1,"… of the Boat-B/Chair TS. A POC study by DFT calculations showed that the elimination of the N lone… by the NH 2 group would reverse the relative energy order of the Boat-B and Chair TS. …","","https://scholar.google.com/scholar?q=related:YdKUowVO2Z4J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"…, M Shipman, P Wessig, B Schmidt","Iterative arylation of itaconimides with diazonium salts through electrophilic palladium catalysis: Divergent β-H-elimination pathways in repetitive Matsuda–Heck …",2019,"The Journal of Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.joc.9b00627","https://scholar.google.com/scholar?cites=13774260114071566134&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 20:10:03","","10.1021/acs.joc.9b00627","","",,,,,23,3.83,6,4,6,"… (71) In future investigations, we plan a complete analysis of the catalytic cycle, with a focus on the different β-H-elimination pathways, based on DFT calculations. DFT methods have …","https://wrap.warwick.ac.uk/116366/1/WRAP-iterative-arylation-itaconimides-diazonium-salts-through-electrophilic-Palladium-catalysis-Shipman-2019.pdf","https://scholar.google.com/scholar?q=related:NjcRN5gAKL8J:scholar.google.com/&scioq=source:%22the+journal+of+organic+chemistry%22+%221520+6904%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
