Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"H Moniwa, R Shintani","Nucleophilic Substitution at Unactivated Arene C–H: Copper-Catalyzed anti-Selective Silylative Cyclization of Substituted Benzylacetylenes",2025,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00323","https://scholar.google.com/scholar?cites=16033372966274225275&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 18:10:31","","10.1021/acs.orglett.5c00323","","",,,,,1,1.00,1,2,1,"… To understand how the C–H bond activation step proceeds, we theoretically examined the step from species C to species D in Scheme 4b by density functional theory (DFT) calculations…","","https://scholar.google.com/scholar?q=related:e1QgrsP7gd4J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
152,"KR Bettadapur, V Lanke, KR Prabhu","Ru (II)-Catalyzed C–H Activation: Ketone-Directed Novel 1,4-Addition of Ortho C–H Bond to Maleimides",2015,"Organic letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5b01810","https://scholar.google.com/scholar?cites=4891875396727367132&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 18:10:31","","10.1021/acs.orglett.5b01810","","",,,,,152,15.20,51,3,10,"… Further, we have carried out preliminary DFT studies to … Ru(II)-catalyzed C–H functionalization of acetophenone with … The DFT studies suggest that the C–H activation occurs by the …","http://pstorage-acs-6854636.s3.amazonaws.com/3760057/ol5b01810_si_001.pdf","https://scholar.google.com/scholar?q=related:3GVoS8Fu40MJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Li, Y Han, Z Yang, C Wang, R Feng, M Zeng…","Rhodium (III)-Catalyzed Redox-Neutral [4+ 2] Annulation of 3, 5-Diaryloxadiazoles with Alkynes: A Dual C–H Activation Strategy for Constructing C–N Atropisomers",2025,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00676","",3,"2025-05-19 18:10:31","","10.1021/acs.orglett.5c00676","","",,,,,0,0.00,0,7,1,"… (13) In 2021, Li and co-workers reported the rhodium(III)-catalyzed C–H activation of anilines … (14) Niu and co-workers reported a cobalt-catalyzed enantioselective C–H activation [4 + 2] …","","https://scholar.google.com/scholar?q=related:FgYuG4uqMkEJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"Y An, Y Li, XY Zhang, Z Zhang, XY Gou, YN Ding…","Palladium-Catalyzed C–H Amination/[2 + 3] or [2 + 4] Cyclization via C(sp3 or sp2)–H Activation",2021,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.1c02964","https://scholar.google.com/scholar?cites=11917834111287971477&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 18:10:31","","10.1021/acs.orglett.1c02964","","",,,,,15,3.75,2,7,4,"… the methyl or phenyl C–H activation process (Scheme 2). To confirm this conclusion, density functional theory (DFT) is used to study the … Our DFT calculations agree with the experiment. …","","https://scholar.google.com/scholar?q=related:lU5aF_umZKUJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"X Jin, H Xu, N Zhao, R Li, Y Dang","Origins of Unconventional γ Site Selectivity in Palladium-Catalyzed C(sp3)–H Activation and Arylation of Aliphatic Alcohols",2020,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c00047","https://scholar.google.com/scholar?cites=14786662459268792031&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 18:10:31","","10.1021/acs.orglett.0c00047","","",,,,,19,3.80,4,5,5,"… In summary, DFT calculations have expounded the mechanism and origins of γ selectivity … activation and arylation of aliphatic alcohols. The full catalytic cycle consists of C–H activation, …","","https://scholar.google.com/scholar?q=related:3_5R4inHNM0J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
35,"Z Liu, Y Lu, J Guo, W Hu, Y Dang, ZX Wang","DFT Mechanistic Account for the Site Selectivity of Electron-Rich C(sp3)–H Bond in the Manganese-Catalyzed Aminations",2020,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b04215","https://scholar.google.com/scholar?cites=14197265083448712404&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 18:10:31","","10.1021/acs.orglett.9b04215","","",,,,,35,7.00,6,6,5,"… In summary, the DFT study elucidates why and how Mn III (ClPc) + catalyzes the electron-rich C(sp 3 )–H amination. The study unveils that the C–H cleavage occurs via a hydride-…","","https://scholar.google.com/scholar?q=related:1FwEgV_RBsUJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"YL Kim, S Park, SM Choi, JU Park, JH Kim","CoIII-Catalyzed C–H Alkenylation and Allylation with Cyclopropenes via Sequential C–H/C–C Bond Activation",2021,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.1c02219","https://scholar.google.com/scholar?cites=12888100250233269289&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 18:10:31","","10.1021/acs.orglett.1c02219","","",,,,,12,3.00,2,5,4,"… C–H activation and C–C cleavage. Herein, we report the Cp*Co III -catalyzed C–H/C–C bond activation … the major product, consistent with the results of computational DFT (see the SI). …","","https://scholar.google.com/scholar?q=related:KezGvOS627IJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
42,"H Gao, M Sun, H Zhang, M Bian, M Wu, G Zhu…","Stereoselective β–F Elimination Enabled Redox-Neutral [4 + 1] Annulation via Rh(III)-Catalyzed C–H Activation: Access to Z-Monofluoroalkenyl Dihydrobenzo[d] …",2019,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b01831","https://scholar.google.com/scholar?cites=14888600748362009585&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 18:10:31","","10.1021/acs.orglett.9b01831","","",,,,,42,7.00,6,7,6,"… -stage C–H bond modification of either natural products or marketed drugs such as dopamine, l-tyrosine, and estrone as well as the theoretical density functional theory (DFT) studies for …","","https://scholar.google.com/scholar?q=related:8Yu7WH_vns4J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"S Jambu, CN Shambhavi, M Jeganmohan","Aerobic Oxidative C–H Olefination of Arylamides with Unactivated Olefins via a Rh (III)-Catalyzed C–H Activation",2021,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.1c00646","https://scholar.google.com/scholar?cites=8054553390441562002&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 18:10:31","","10.1021/acs.orglett.1c00646","","",,,,,18,4.50,6,3,4,"An efficient Rh(III)-catalyzed aerobic oxidative C–H alkenylation of arylamides with unactivated alkenes is described. The olefination reaction was compatible with various substituted …","","https://scholar.google.com/scholar?q=related:kv-vPaKFx28J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"J Kitano, Y Nishii, M Miura","Selective synthesis of C4-functionalized benzofurans by rhodium-catalyzed vinylene transfer: Computational study on the cyclopentadienyl ligand",2022,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c02030","https://scholar.google.com/scholar?cites=16112965831258484369&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 18:10:31","","10.1021/acs.orglett.2c02030","","",,,,,27,9.00,9,3,3,"… We conducted DFT calculations on the proposed reaction pathway to shed light on the … C–H bond is activated adopting the bicarbonate anion as an internal base with an activation …","https://ir.library.osaka-u.ac.jp/repo/ouka/all/92807/OrgLett_24_31_5679.pdf","https://scholar.google.com/scholar?q=related:kS4rqg3BnN8J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
