Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"M Li, SX Li, D Chen, F Gao, YF Qiu, XC Wang…","Regioselective C–H Active Carbonylation via 1, 4-Palladium Migration",2023,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c00567","https://scholar.google.com/scholar?cites=11463900447468599851&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 18:37:14","","10.1021/acs.orglett.3c00567","","",,,,,11,5.50,2,7,2,"… experiments and density functional theory calculations were … In 1974, palladium-catalyzed carbonylation of aryl halides, … -metal-catalyzed carbonylation reactions for the synthesis of …","","https://scholar.google.com/scholar?q=related:K7rO97f0F58J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"SH Park, S Lee","Selective Synthesis of (Z)- and (E)-β-Fluoro-α,β-Unsaturated Amides Using Palladium-Catalyzed Aminocarbonylation",2023,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c02809","https://scholar.google.com/scholar?cites=2472524543305306449&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 18:37:14","","10.1021/acs.orglett.3c02809","","",,,,,6,3.00,3,2,2,"… partner in palladium-catalyzed carbonylation. These results and our … monoxide to generate the carbonylated palladium complex C. … However, density functional theory (DFT) calculations …","","https://scholar.google.com/scholar?q=related:UdEl3vgrUCIJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
63,"H Hu, Y Peng, T Yu, S Cheng, S Luo, Q Zhu","Palladium-Catalyzed Enantioselective 7-exo-Trig Carbopalladation/Carbonylation: Cascade Reactions To Achieve Atropisomeric Dibenzo[b,d]azepin-6-ones",2021,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.1c01036","https://scholar.google.com/scholar?cites=8204692204799066180&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 18:37:14","","10.1021/acs.orglett.1c01036","","",,,,,63,15.75,11,6,4,"… Thus, competing carbonylation product C without alkene insertion is minimized as expected… (8) To predict the diastereoisomeric ratio of the product we proposed, DFT calculations of a …","","https://scholar.google.com/scholar?q=related:RAB3Bhfs3HEJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"N Xu, J Chen, K Sun, W Han","Ligand-Free Iron-Catalyzed Carbonylation of Aryl Iodides with Alkenyl Boronic Acids: Access to α, β-Unsaturated Ketones",2024,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c03376","https://scholar.google.com/scholar?cites=1465964009689553903&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 18:37:14","","10.1021/acs.orglett.4c03376","","",,,,,3,3.00,1,4,1,"… , the transition-metal-catalyzed carbonylation reaction using CO as a … used in the as described carbonylation Heck-type coupling … On the other hand, carbonylation Heck-type coupling …","","https://scholar.google.com/scholar?q=related:75sN838mWBQJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"S Wang, J Zhao, J Ying, XF Wu","Palladium-Catalyzed Carbonylative Synthesis of Polycyclic 3,4-Dihydroquinolin-2(1H)-one Scaffolds Containing Perfluoroalkyl and Carbonyl Units",2023,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c01879","https://scholar.google.com/scholar?cites=14362855906532160951&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 18:37:14","","10.1021/acs.orglett.3c01879","","",,,,,18,9.00,5,4,2,"A palladium-catalyzed one-pot two-step radical mediated carbonylative cyclization of 1,7-enynes with perfluoroalkyl iodides and Mo(CO) 6 has been developed for the construction of …","","https://scholar.google.com/scholar?q=related:t3X4bFkdU8cJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"NN Dai, YJ Lu, ZQ Wu, Y Zhou, Y Tong, K Tang…","Copper-Catalyzed Radical Relay 1, 3-Carbocarbonylation across Two Distinct C═ C Bonds",2024,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c00613","https://scholar.google.com/scholar?cites=6368839049730605900&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 18:37:14","","10.1021/acs.orglett.4c00613","","",,,,,18,18.00,3,7,1,"The radical relay provides an effective paradigm for intermolecular assembly to achieve functionalization across remote chemical bonds. Herein, we report the first radical relay 1,3-…","","https://scholar.google.com/scholar?q=related:TEPURl-pYlgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
65,"A Verma, S Kumar","Selective Oxidative Decarbonylative Cleavage of Unstrained C(sp3)–C(sp2) Bond: Synthesis of Substituted Benzoxazinones",2016,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.6b02142","https://scholar.google.com/scholar?cites=3314156447099168270&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 18:37:14","","10.1021/acs.orglett.6b02142","","",,,,,65,7.22,33,2,9,"… Control experiments and Density Functional Theory (DFT) calculations suggest that the reaction involves a [1,5]H shift and extrusion of CO gas as the key steps. The extrusion of CO has …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.6b02142","https://scholar.google.com/scholar?q=related:DqZqv7o__i0J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"Y An, Y Li, XY Zhang, Z Zhang, XY Gou, YN Ding…","Palladium-Catalyzed C–H Amination/[2 + 3] or [2 + 4] Cyclization via C(sp3 or sp2)–H Activation",2021,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.1c02964","https://scholar.google.com/scholar?cites=11917834111287971477&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 18:37:14","","10.1021/acs.orglett.1c02964","","",,,,,15,3.75,2,7,4,"… the mechanism by density functional theory (DFT) calculations. In … To confirm this conclusion, density functional theory (DFT) is used … Our DFT calculations agree with the experiment. …","","https://scholar.google.com/scholar?q=related:lU5aF_umZKUJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Hirota, S Nakano, H Sugiyama, Y Segawa","Synthesis of Polycyclic Arenes Composed of Four-, Five-, Six-, and Eight-Membered Rings via an Unexpected Four-Membered Ring Formation Reaction",2023,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c03039","",9,"2025-05-19 18:37:14","","10.1021/acs.orglett.3c03039","","",,,,,0,0.00,0,4,2,"… Specifically, the carbonylation of an octalithiated … examined by density functional theory (DFT) calculations. … During the screening of the carbonylation reactions, we unexpectedly found …","","https://scholar.google.com/scholar?q=related:m0WoXQelTfEJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
64,"SK Bhunia, P Das, S Nandi, R Jana","Carboxylation of Aryl Triflates with CO2 Merging Palladium and Visible-Light-Photoredox Catalysts",2019,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b01532","https://scholar.google.com/scholar?cites=12648683511141325655&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 18:37:14","","10.1021/acs.orglett.9b01532","","",,,,,64,10.67,16,4,6,"We report herein a visible-light-promoted, highly practical carboxylation of readily accessible aryl triflates at ambient temperature and a balloon pressure of CO 2 by the combined use of …","https://www.academia.edu/download/91612883/acs.orglett.9b0153220220927-1-khwqf1.pdf","https://scholar.google.com/scholar?q=related:V1vrRaMmia8J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
