Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"TA To, BK Mai, TV Nguyen","Toward Homogeneous Brønsted-Acid-Catalyzed Intramolecular Carbonyl–Olefin Metathesis Reactions",2022,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c03099","https://scholar.google.com/scholar?cites=14143433578647932523&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-20 22:54:05","","10.1021/acs.orglett.2c03099","","",,,,,8,2.67,3,3,3,"… To further investigate the solvation effect of MeNO 2 , we performed DFT calculations in … ), our DFT calculations show that activation barriers for the Brønsted-acid-catalyzed COM are …","https://drive.google.com/file/d/1z8UOvDyGvWjoR-pHZYZ42K1rXq4a8mgP/view","https://scholar.google.com/scholar?q=related:a06kl-eRR8QJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"T Li, Y Yang, B Li, X Bao, L Zhang","Gold-catalyzed silyl-migrative cyclization of homopropargylic alcohols enabled by bifunctional biphenyl-2-ylphosphine and DFT studies",2019,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b02735","https://scholar.google.com/scholar?cites=9153030068172718670&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-20 22:54:05","","10.1021/acs.orglett.9b02735","","",,,,,15,2.50,3,5,6,"The development of novel ligands specifically tailored for homogeneous gold catalysis permits the development of new gold catalysis. In this work, we report that a remotely …","","https://scholar.google.com/scholar?q=related:ToLnJ1oYBn8J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"R Mandal, S Ghosh, S Laha, P Panigrahi, ...","A Mechanistic Perspective on Photocatalytic EnT-Enabled C3-N-Heteroarylation of Aryl Quinoxaline via C(sp2)–C(sp2) Coupling",2025,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00933","",3,"2025-05-20 22:54:05","","10.1021/acs.orglett.5c00933","","",,,,,0,0.00,0,5,1,"… To gain deeper insight into the mechanism, DFT calculations were performed for the formation of 3aa. As shown in Figure 1, the presence of photocatalyst thioxanthone (TX) led to the …","","https://scholar.google.com/scholar?q=related:x55rDBnTzH0J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"X Liu, S Liu, Q Wang, G Zhou, L Yao, Q Ouyang, ...","Highly regio-and enantioselective hydrogenation of conjugated α-substituted dienoic acids",2020,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c00915","https://scholar.google.com/scholar?cites=13879866678173006437&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-20 22:54:05","","10.1021/acs.orglett.0c00915","","",,,,,21,4.20,3,7,5,"… DFT calculations revealed N + H–O hydrogen bonding interaction is formed to stabilize the transition state and the coordination of 4,5-double bond to Rh(III) center would facilitate the …","","https://scholar.google.com/scholar?q=related:ZXpIgjQxn8AJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"AGA Geissler, JR Riesterer, B Breit","Stereodivergent Palladium-and Rhodium-Catalyzed Intramolecular Addition of Tosylureas to Allenes: Diastereoselective Synthesis of Tetrahydropyrimidinones",2021,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.1c03482","https://scholar.google.com/scholar?cites=1837181626201414918&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-20 22:54:05","","10.1021/acs.orglett.1c03482","","",,,,,11,2.75,4,3,4,"… This observation is in accordance with conducted DFT-calculations (BP86/dev2svp), … For contributing DFT calculations we thank Felix Bauer (Albert-Ludwigs-Universität Freiburg)…","","https://scholar.google.com/scholar?q=related:Bh2cifT6fhkJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Liu, C Yang, L Zuo, Q Liu, X Zhang, C Hou, ...","Stereoselective Nickel-Catalyzed Iterative 1, 2-Reduction of Trisubstituted Enones to Cycloalkanols Bearing Two Contiguous Stereocenters",2025,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00839","",6,"2025-05-20 22:54:05","","10.1021/acs.orglett.5c00839","","",,,,,0,0.00,0,7,1,"… To further investigate the origin of the enantioselectivity, we performed density functional theory (DFT) calculations on the catalytic hydrogenation reaction using this catalyst. As shown …","","https://scholar.google.com/scholar?q=related:0tiJUMgldLYJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"K Nagai, S Morishitabara, Y Nishi, C Kajimoto, ...","Experimental and Theoretical Studies on Cobalt-Catalyzed Regioselective Hydrosilylation of Tetrafluorinated Cyclohexa-1, 3-dienes",2023,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c02453","https://scholar.google.com/scholar?cites=2664153643693867414&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-20 22:54:05","","10.1021/acs.orglett.3c02453","","",,,,,4,2.00,1,5,2,"… Mechanistic studies proved that the reaction proceeds as per the modified Chalk-Harrod mechanism; via DFT calculation, the reason for homoallylsilanes being exclusively obtained …","","https://scholar.google.com/scholar?q=related:loFvp5_5-CQJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"JR Alexander, VI Shchepetkina, KS Stankevich, ...","Pd-Catalyzed Rearrangement of N-Alloc-N-allyl Ynamides via Auto-Tandem Catalysis: Evidence for Reversible C–N Activation and Pd(0)-Accelerated Ketenimine …",2021,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c04078","https://scholar.google.com/scholar?cites=13200305370384530989&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-20 22:54:05","","10.1021/acs.orglett.0c04078","","",,,,,20,5.00,5,4,4,"An auto-tandem catalytic double allylic rearrangement of N-alloc-N-allyl ynamides was developed. This reaction proceeds through two separate and distinct catalytic cycles with both …","https://par.nsf.gov/servlets/purl/10297245","https://scholar.google.com/scholar?q=related:LX5z0MvnMLcJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"M Ma, J Feng, W Cai, Y Huang","Phosphine-Catalyzed Domino Annulation of γ-Vinyl Allenoates: Synthesis of Tetrahydrofuro[3,2-c]quinoline Derivatives",2024,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c00656","https://scholar.google.com/scholar?cites=12478062181465091517&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-20 22:54:05","","10.1021/acs.orglett.4c00656","","",,,,,7,7.00,2,4,1,"… Furthermore, density functional theory (DFT) calculations were carried out and demonstrated that product 3aa is more thermodynamically stable than product 4aa. Additionally, two sites …","","https://scholar.google.com/scholar?q=related:vW12Q3H7Kq0J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
64,"WC Yang, XB Chen, KL Song, B Wu, WE Gan, ...","Pd-Catalyzed Enantioselective Tandem C–C Bond Activation/Cacchi Reaction between Cyclobutanones and o-Ethynylanilines",2021,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c04297","https://scholar.google.com/scholar?cites=7302994986107186587&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-20 22:54:05","","10.1021/acs.orglett.0c04297","","",,,,,64,16.00,11,6,4,"… that one active catalyst species was involved in the stereodetermining process. Based on the results of the above control experiments and the density-functional theory (DFT) calculation …","https://www.hznu.edu.cn/upload/resources/file/2021/06/15/7649191.pdf","https://scholar.google.com/scholar?q=related:m61gNz9zWWUJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
