Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"H Sun, L Xu, S Ruan, V Ratovelomanana-Vidal…","Rhodium-Catalyzed Asymmetric Hydrogenation and Transfer Hydrogenation of α-Nitro Ketones",2024,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c03859","https://scholar.google.com/scholar?cites=4220966406200262704&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-20 22:20:50","","10.1021/acs.orglett.4c03859","","",,,,,1,1.00,0,5,1,"… To give full insight into the origin of enantioselectivity, DFT calculations were conducted, … The high TON hydrogenation of 1a proceeded smoothly to provide the desired product 2a in …","","https://scholar.google.com/scholar?q=related:MIBsMpXikzoJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"X Tan, W Zeng, J Wen, X Zhang","Iridium-Catalyzed Asymmetric Hydrogenation of α-Fluoro Ketones via a Dynamic Kinetic Resolution Strategy",2020,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c02565","https://scholar.google.com/scholar?cites=12649966898566113846&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-20 22:20:50","","10.1021/acs.orglett.0c02565","","",,,,,17,3.40,4,4,5,"… Both high enantioselectivities and diastereoselectivities have been achieved in the Ir-catalyzed hydrogenation of α-fluoro ketones. The DFT calculation revealed an intramolecular C–F···…","","https://scholar.google.com/scholar?q=related:Nqp7Md-1ja8J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"G Liu, C Yin, X Yang, A Li, M Wang, X Zhang…","Highly chemo-and enantioselective rh-catalyzed hydrogenation of β-sulfonyl-α, β-unsaturated ketones: access to chiral γ-ketosulfones",2020,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c03517","https://scholar.google.com/scholar?cites=1790093202215880625&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-20 22:20:50","","10.1021/acs.orglett.0c03517","","",,,,,21,4.20,3,7,5,"… hydrogenation reaction could proceed well on a gram scale. Moreover, a deuterium labeling experiment and preliminary DFT … Rh-catalyzed asymmetric hydrogenation to explain the …","","https://scholar.google.com/scholar?q=related:sUfreEiw1xgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
99,"S Weber, B Stöger, K Kirchner","Hydrogenation of nitriles and ketones catalyzed by an air-stable bisphosphine Mn (I) complex",2018,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.8b03132","https://scholar.google.com/scholar?cites=7691824188482032786&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-20 22:20:50","","10.1021/acs.orglett.8b03132","","",,,,,99,14.14,33,3,7,"… nitriles and ketones were efficiently … The hydrogenation of nitriles proceeds at 100 C with catalyst loading of 2 mol % and 20 mol % base (t-BuOK), while the hydrogenation of ketones …","","https://scholar.google.com/scholar?q=related:kpQ6rVjZvmoJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"X Liu, S Liu, Q Wang, G Zhou, L Yao, Q Ouyang…","Highly regio-and enantioselective hydrogenation of conjugated α-substituted dienoic acids",2020,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c00915","https://scholar.google.com/scholar?cites=13879866678173006437&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-20 22:20:50","","10.1021/acs.orglett.0c00915","","",,,,,21,4.20,3,7,5,"… generality of our catalytic system in the hydrogenation of various conjugated α-substituted … δ and α position of carboxyl group were hydrogenated well to afford the corresponding chiral α…","","https://scholar.google.com/scholar?q=related:ZXpIgjQxn8AJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
62,"G Gu, T Yang, O Yu, H Qian, J Wang, J Wen…","Enantioselective iridium-catalyzed hydrogenation of α-keto amides to α-hydroxy amides",2017,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.7b02912","https://scholar.google.com/scholar?cites=7702801211808445013&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-20 22:20:50","","10.1021/acs.orglett.7b02912","","",,,,,62,7.75,9,7,8,"… excellent for asymmetric hydrogenation of simple ketones, they behave … density functional theory (DFT) calculations to study the detailed mechanism for enantioselective hydrogenation …","","https://scholar.google.com/scholar?q=related:VXJKFeTY5WoJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
36,"S Nian, F Ling, J Chen, Z Wang, H Shen, X Yi…","Highly Enantioselective Hydrogenation of Non-ortho-Substituted 2-Pyridyl Aryl Ketones via Iridium-f-Diaphos Catalysis",2019,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b01415","https://scholar.google.com/scholar?cites=9857340732746379044&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-20 22:20:50","","10.1021/acs.orglett.9b01415","","",,,,,36,6.00,5,7,6,"… As expected, the 3- or 4-pyridyl ketone exhibited an enantioselectivity much lower than that … in the ligand for this hydrogenation. In addition, DFT calculations were performed by using …","","https://scholar.google.com/scholar?q=related:JC9WhStPzIgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"AE Cotman, M Lozinšek, B Wang, M Stephan…","trans-Diastereoselective Ru(II)-Catalyzed Asymmetric Transfer Hydrogenation of α-Acetamido Benzocyclic Ketones via Dynamic Kinetic Resolution",2019,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b01069","https://scholar.google.com/scholar?cites=7688345574095916032&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-20 22:20:50","","10.1021/acs.orglett.9b01069","","",,,,,50,8.33,10,5,6,"… -acetamido and α-acetamido benzocyclic ketones to ent-trans-β-… DFT calculations of the transition state structures revealed an … of ketones, such as in asymmetric transfer hydrogenation (…","https://pubs.acs.org/doi/full/10.1021/acs.orglett.9b01069","https://scholar.google.com/scholar?q=related:AAxvppB9smoJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"QK Zhao, X Wu, LP Li, F Yang, JH Xie, QL Zhou","Asymmetric hydrogenation of β-aryl alkylidene malonate esters: installing an ester group significantly increases the efficiency",2021,"Organic letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.1c00093","https://scholar.google.com/scholar?cites=17831817685024757879&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-20 22:20:50","","10.1021/acs.orglett.1c00093","","",,,,,24,6.00,4,6,4,"… hydrogenation of ketones with turnover numbers (TONs) exceeding 10 6 . (12) The high efficiency of this type of metal-NH bifunctional catalyst is attributed to the hydrogenation … DFT …","https://pubs.acs.org/doi/full/10.1021/acs.orglett.1c00093","https://scholar.google.com/scholar?q=related:d9htH7VXd_cJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"L Zhang, L Zhang, Q Chen, L Li, J Jiang, H Sun…","Cinchona-alkaloid-derived NNP ligand for iridium-catalyzed asymmetric hydrogenation of ketones",2021,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.1c04101","https://scholar.google.com/scholar?cites=3843558499895859157&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-20 22:20:50","","10.1021/acs.orglett.1c04101","","",,,,,19,4.75,3,7,4,"… We carried out DFT calculation to help with structural analysis. The coordination mode of NNP 3c may vary, and therefore, two of iridium trihydride species were proposed (Figure S4, …","","https://scholar.google.com/scholar?q=related:1de5cxcQVzUJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
