Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
22,"X Ren, Y Lu, G Lu, ZX Wang","Density functional theory mechanistic study of Ni-catalyzed reductive alkyne–alkyne cyclodimerization: Oxidative cyclization versus outer-sphere proton transfer",2020,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c00674","https://scholar.google.com/scholar?cites=9863396484012506616&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 23:20:21","","10.1021/acs.orglett.0c00674","","",,,,,22,4.40,6,4,5,"… In summary, we present a DFT study to understand the mechanism of the Ni-catalyzed reductive … Expectedly, the insight could aid the development of the transition-metal-catalyzed …","","https://scholar.google.com/scholar?q=related:-P1m_NfS4YgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
35,"Z Liu, Y Lu, J Guo, W Hu, Y Dang, ZX Wang","DFT Mechanistic Account for the Site Selectivity of Electron-Rich C(sp3)–H Bond in the Manganese-Catalyzed Aminations",2020,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b04215","https://scholar.google.com/scholar?cites=14197265083448712404&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 23:20:21","","10.1021/acs.orglett.9b04215","","",,,,,35,7.00,6,6,5,"… In summary, the DFT study elucidates why and how Mn III (ClPc) + catalyzes the electron-rich C(sp 3 )–H amination. The study unveils that the C–H cleavage occurs via a hydride-…","","https://scholar.google.com/scholar?q=related:1FwEgV_RBsUJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
88,"J Ma, K Chen, H Fu, L Zhang, W Wu, H Jiang…","Dual catalysis: proton/metal-catalyzed tandem benzofuran annulation/carbene transfer reaction",2016,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.6b00260","https://scholar.google.com/scholar?cites=16131979586451101688&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 23:20:21","","10.1021/acs.orglett.6b00260","","",,,,,88,9.78,13,7,9,"… The DFT-based computational studies indicated that the reaction was initiated through the … Dual catalysis is a powerful catalytic strategy in modern organic synthesis. It is particularly …","","https://scholar.google.com/scholar?q=related:-FdFhvZN4N8J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"X Shi, L Zhu, L Zhang, Z Yang, M Pu, M Lei","The Origin of Enantioselectivity of Aryl Terminal Alkenes Hydroboration Catalyzed by Cobalt Complex: A Density Functional Theory (DFT) Study",2025,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00809","",4,"2025-05-19 23:20:21","","10.1021/acs.orglett.5c00809","","",,,,,0,0.00,0,6,1,"… modifying catalyst A1 to E1. In summary, a DFT study was performed to investigate the mechanism and the origin of enantioselective hydroboration of aryl terminal alkenes catalyzed by …","","https://scholar.google.com/scholar?q=related:qP8t1_H8lvcJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"Y Yamaguchi, Y Seino, A Suzuki, Y Kamei…","Intramolecular Hydrogen Atom Transfer Hydroarylation of Alkenes toward δ-Lactams Using Cobalt-Photoredox Dual Catalysis",2022,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c00700","https://scholar.google.com/scholar?cites=15097306032433713192&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 23:20:21","","10.1021/acs.orglett.2c00700","","",,,,,28,9.33,6,5,3,"… Here we report a dual cobalt- and photoredox-catalyzed HAT hydroarylation of … and DFT calculations. The Markovnikov-selective hydrofunctionalization of alkenes via metal-catalyzed …","","https://scholar.google.com/scholar?q=related:KNCS-NhnhNEJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"J Kitano, Y Nishii, M Miura","Selective synthesis of C4-functionalized benzofurans by rhodium-catalyzed vinylene transfer: Computational study on the cyclopentadienyl ligand",2022,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c02030","https://scholar.google.com/scholar?cites=16112965831258484369&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 23:20:21","","10.1021/acs.orglett.2c02030","","",,,,,27,9.00,9,3,3,"… We conducted DFT calculations on the proposed reaction pathway to shed light on the mechanism. Figure 1 displays an energy profile relative to a cationic Rh complex intA. After the …","https://ir.library.osaka-u.ac.jp/repo/ouka/all/92807/OrgLett_24_31_5679.pdf","https://scholar.google.com/scholar?q=related:kS4rqg3BnN8J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"S Han, HS Kim, M Zhang, Y Xia, S Lee","Ni/Cu-Catalyzed Decarboxylative Addition of Alkynoic Acids to Terminal Alkynes for the Synthesis of gem-1,3-Enynes",2019,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b01625","https://scholar.google.com/scholar?cites=10911357237645199687&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 23:20:21","","10.1021/acs.orglett.9b01625","","",,,,,18,3.00,4,5,6,"… On the basis of DFT calculations, we suggested that alkynyl copper is formed through … ; in addition, Ni(II)-catalyzed migratory insertion is the rate-determining step of the entire reaction. …","https://www.academia.edu/download/87677689/5_OL_Enyne.pdf","https://scholar.google.com/scholar?q=related:R8k6x5jtbJcJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"K Nagai, S Morishitabara, Y Nishi, C Kajimoto…","Experimental and Theoretical Studies on Cobalt-Catalyzed Regioselective Hydrosilylation of Tetrafluorinated Cyclohexa-1, 3-dienes",2023,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c02453","https://scholar.google.com/scholar?cites=2664153643693867414&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 23:20:21","","10.1021/acs.orglett.3c02453","","",,,,,4,2.00,1,5,2,"… Mechanistic studies proved that the reaction proceeds as per the modified Chalk-Harrod mechanism; via DFT calculation, the reason for homoallylsilanes being exclusively obtained …","","https://scholar.google.com/scholar?q=related:loFvp5_5-CQJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"R Fang, L Zhou, AM Kirillov, L Yang","DFT Study on Zr-Catalyzed Alkene Hydroaminoalkylation: Origin of Regioselectivity, Diastereoselectivity, and Influence of Substrate",2021,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c04119","https://scholar.google.com/scholar?cites=13158280215634491323&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 23:20:21","","10.1021/acs.orglett.0c04119","","",,,,,8,2.00,2,4,4,"… A DFT study was carried out to investigate a zirconium-catalyzed hydroaminoalkylation of alkenes with N-silylated benzylamine. A global reactivity index (GRI) analysis showed that that …","","https://scholar.google.com/scholar?q=related:u7fx-yOam7YJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"BH Zhu, CH Shen, ML Nie, F Zheng, C Huang…","Highly Site-Selective Oxidative Cyclization of Ene-ynamides via Non-Noble-Metal Catalysis: Access to Functionalized Lactams",2022,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c02871","https://scholar.google.com/scholar?cites=9488764637450973486&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 23:20:21","","10.1021/acs.orglett.2c02871","","",,,,,4,1.33,1,6,3,"… Moreover, density functional theory (DFT) calculations … of enynes catalyzed by non-noble-metal catalysis, leading to the … Importantly, this non-noble-metal-catalyzed oxidative cyclization …","","https://scholar.google.com/scholar?q=related:LrGNBCrdroMJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+metal+catalyzed+dft&hl=en&as_sdt=0,5&as_vis=1"
