Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
58,"F Huang, Z Liu, Q Wang, J Lou, Z Yu","Copper-Catalyzed Formal Carbene Migratory Insertion into Internal Olefinic CC Bonds with N-Tosylhydrazones To Access Iminofuran and 2(3H)-Furanone …",2017,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.7b01668","https://scholar.google.com/scholar?cites=10506727786636952974&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 18:22:34","","10.1021/acs.orglett.7b01668","","",,,,,58,7.25,12,5,8,"… of our knowledge, carbene migratory insertion into an olefinic C═… ) we reasonably envisioned carbene migratory insertion into the … , no such carbene migratory insertion reactions were …","","https://scholar.google.com/scholar?q=related:jsU4QkFlz5EJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"K Konishi, M Yasui, H Okuhira, N Takeda…","Copper-Catalyzed Sequential Cyclization/Migration of Alkynyl Hydrazides for Construction of Ring-Expanded N–N Fused Pyrazolones",2020,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c02378","https://scholar.google.com/scholar?cites=5863782227679773789&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 18:22:34","","10.1021/acs.orglett.0c02378","","",,,,,9,1.80,2,5,5,"… involved in 1,2-migration while forming a C–N bond. Herein, we report the copper-catalyzed sequential cyclization/1,3-migration/formal 1,2-migration of alkynyl hydrazides to generate …","","https://scholar.google.com/scholar?q=related:XQQaUd5WYFEJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"M Li, SX Li, D Chen, F Gao, YF Qiu, XC Wang…","Regioselective C–H Active Carbonylation via 1, 4-Palladium Migration",2023,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c00567","https://scholar.google.com/scholar?cites=11463900447468599851&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-19 18:22:34","","10.1021/acs.orglett.3c00567","","",,,,,11,5.50,2,7,2,"… Further, a series of control experiments and density functional theory calculations were performed to … Further DFT calculations and control experiments provide direct theoretical and …","","https://scholar.google.com/scholar?q=related:K7rO97f0F58J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"R Fang, L Zhou, AM Kirillov, L Yang","DFT Study on Zr-Catalyzed Alkene Hydroaminoalkylation: Origin of Regioselectivity, Diastereoselectivity, and Influence of Substrate",2021,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c04119","https://scholar.google.com/scholar?cites=13158280215634491323&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 18:22:34","","10.1021/acs.orglett.0c04119","","",,,,,8,2.00,2,4,4,"… to a 1,2-migratory insertion, the distortion energies contribute more significantly toward regioselectivity control for 1,2- and 2,1-migratory insertion as well as for diastereoselectivity in …","","https://scholar.google.com/scholar?q=related:u7fx-yOam7YJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"J Zhao, G Xu, X Wang, J Liu, X Ren, X Hong…","Cobalt-catalyzed migration isomerization of dienes",2022,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c01701","https://scholar.google.com/scholar?cites=4311351523231079641&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-19 18:22:34","","10.1021/acs.orglett.2c01701","","",,,,,16,5.33,2,7,3,"… We next performed DFT calculations to understand the reaction mechanism (see Figure S1 for the computed reaction free energy profiles). On the basis of a previous study, (2) our …","","https://scholar.google.com/scholar?q=related:2RwHLF7_1DsJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"FJ Chen, Y Lin, M Xu, Y Xia, DJ Wink, D Lee","C–H insertion by alkylidene carbenes to form 1, 2, 3-triazines and anionic [3+ 2] dipolar cycloadditions to form tetrazoles: crucial roles of stereoelectronic and steric …",2020,"Organic letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b04548","https://scholar.google.com/scholar?cites=6536328016617231984&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-19 18:22:34","","10.1021/acs.orglett.9b04548","","",,,,,13,2.60,2,6,5,"… DFT calculations show that the formation of tetrazole is the consequence of a … DFT calculations also bolster that the formation of 1,2,3-triazines involves an initial C–H bond insertion by …","https://drive.google.com/file/d/1kPxHbIdWLaTpMmmFbBdicW4WJxbkwUVS/view","https://scholar.google.com/scholar?q=related:cFbnPbOztVoJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"J Kitano, Y Nishii, M Miura","Selective synthesis of C4-functionalized benzofurans by rhodium-catalyzed vinylene transfer: Computational study on the cyclopentadienyl ligand",2022,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c02030","https://scholar.google.com/scholar?cites=16112965831258484369&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 18:22:34","","10.1021/acs.orglett.2c02030","","",,,,,27,9.00,9,3,3,"… Coordination and migratory insertion of vinylene carbonate into the Rh–C bond afford a seven-… We conducted DFT calculations on the proposed reaction pathway to shed light on the …","https://ir.library.osaka-u.ac.jp/repo/ouka/all/92807/OrgLett_24_31_5679.pdf","https://scholar.google.com/scholar?q=related:kS4rqg3BnN8J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"A Bhattacharyya, MR Sk, S Sen, S Kundu…","Annulative π-Extension by Cp*Co(III)-Catalyzed Ketone-Directed peri-Annulation: An Approach to Access Fused Arenes",2023,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c03443","https://scholar.google.com/scholar?cites=1736170173239759170&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 18:22:34","","10.1021/acs.orglett.3c03443","","",,,,,2,1.00,0,5,2,"… Comprehensive density functional theory studies buttress the mechanistic pathway comprising key steps like peri-C–H activation, alkyne 1,2-migratory insertion, and nucleophilic attack …","","https://scholar.google.com/scholar?q=related:QpGV7ZIdGBgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"S Kurita, S Kiyota, N Komine, M Hirano","Ru (0)-Catalyzed Synthesis of Conjugated Iminotrienes and Subsequent Intramolecular Cyclization Giving Polysubstituted Pyrroles",2022,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c00773","https://scholar.google.com/scholar?cites=14437130398646777182&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 18:22:34","","10.1021/acs.orglett.2c00773","","",,,,,7,2.33,2,4,3,"… According to the DFT calculations, a possible mechanism is depicted in Scheme 3. First, a proton adds reversibly to the carbonyl oxygen in (2E,4E,6E)-4oa and a formal 1,8-addition of …","","https://scholar.google.com/scholar?q=related:XrVVO5v9WsgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Tang, M Huang, Z Yan, S Tang, X Zhang…","Oxy-pyridinium Ylides Mediated 1, 4-Pyridyl/Aryl Translocation",2024,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c03656","https://scholar.google.com/scholar?cites=12021604036322318452&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 18:22:34","","10.1021/acs.orglett.4c03656","","",,,,,1,1.00,0,6,1,"Molecular rearrangement via carbene transfer is a powerful tool to access molecular diversity. Herein, we describe an efficient approach to selective pyridyl/aryl relocation via a rhodium-…","","https://scholar.google.com/scholar?q=related:dNhkhy1R1aYJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
