Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
69,"A Djurovic, M Vayer, Z Li, R Guillot, JP Baltaze…","Synthesis of medium-sized carbocycles by gallium-catalyzed tandem carbonyl–olefin metathesis/transfer hydrogenation",2019,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b03240","https://scholar.google.com/scholar?cites=2069835312952159741&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-19 18:51:44","","10.1021/acs.orglett.9b03240","","",,,,,69,11.50,12,6,6,"… by a gallium catalyst, (27) we performed DFT calculations at the ωB97-XD/6-31G(d) level of theory using 1a as a model substrate and 1,3-dimethylimidazol-2-ylidene as the model NHC (…","https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/60c7435b4c89195818ad2614/original/synthesis-of-medium-sized-carbocycles-by-gallium-catalyzed-tandem-carbonyl-olefin-metathesis-transfer-hydrogenation.pdf","https://scholar.google.com/scholar?q=related:_a0SLECIuRwJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"TA To, BK Mai, TV Nguyen","Toward Homogeneous Brønsted-Acid-Catalyzed Intramolecular Carbonyl–Olefin Metathesis Reactions",2022,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.2c03099","https://scholar.google.com/scholar?cites=14143433578647932523&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-19 18:51:44","","10.1021/acs.orglett.2c03099","","",,,,,8,2.67,3,3,3,"… MeNO 2 , we performed DFT calculations in various solvents, … 35.7, respectively), our DFT calculations show that activation … c), which strongly confirms our DFT calculations. Interestingly, …","https://drive.google.com/file/d/1z8UOvDyGvWjoR-pHZYZ42K1rXq4a8mgP/view","https://scholar.google.com/scholar?q=related:a06kl-eRR8QJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Ueji, R Tadano, S Inagi, M Inoue","Ring-Closing Metathesis for Fluoroolefins Using Ruthenium Catalysts with Six-Membered NHC Ligands",2025,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c04846","",3,"2025-05-19 18:51:44","","10.1021/acs.orglett.4c04846","","",,,,,0,0.00,0,4,1,"… Although olefin metathesis is a superior method for the construction of olefins, the synthesis … in these catalysts, we performed density functional theory (DFT) calculations (Figure 1). The …","","https://scholar.google.com/scholar?q=related:x0at7FXbkbgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"S Fan, W Wu, L Fang, J Zhu","Catalytic olefin–imine metathesis: cobalt-enabled amidine olefination with enaminones",2023,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.3c01249","https://scholar.google.com/scholar?cites=11984080800439967680&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-19 18:51:44","","10.1021/acs.orglett.3c01249","","",,,,,15,7.50,4,4,2,"… (1) In this regard, the classic olefin–olefin metathesis has … (3) Carbonyl–olefin metathesis has recently emerged as an … the carbonyl–olefin metathesis, olefin–imine metathesis remains a …","https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/63ec3d141d2d184063818e04/original/catalytic-olefin-imine-metathesis-cobalt-enabled-amidine-olefination-with-enaminones.pdf","https://scholar.google.com/scholar?q=related:wJ_NXf4BUKYJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"K Mao, F Fontaine-Vive, R Melot, V Michelet","Ruthenium-Catalyzed Enyne Metathesis: An Entry to Functionalized Azaborine Heterocycles",2025,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00542","",5,"2025-05-19 18:51:44","","10.1021/acs.orglett.5c00542","","",,,,,0,0.00,0,4,1,"An unprecedented and green synthetic route for the preparation of functionalized polycyclic azaborine skeletons via a ruthenium-mediated ring-closing enyne metathesis transformation …","","https://scholar.google.com/scholar?q=related:TPn30-kOEeoJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"X Shi, L Zhu, L Zhang, Z Yang, M Pu, M Lei","The Origin of Enantioselectivity of Aryl Terminal Alkenes Hydroboration Catalyzed by Cobalt Complex: A Density Functional Theory (DFT) Study",2025,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.5c00809","",6,"2025-05-19 18:51:44","","10.1021/acs.orglett.5c00809","","",,,,,0,0.00,0,6,1,"… In summary, a DFT study was performed to investigate the mechanism and the origin of enantioselective hydroboration of aryl terminal alkenes catalyzed by Co-IPO complex. Among …","","https://scholar.google.com/scholar?q=related:qP8t1_H8lvcJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"KA Rykaczewski, EJ Groso, HL Vonesh…","Tetrahydropyridines via FeCl3-Catalyzed Carbonyl–Olefin Metathesis",2020,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c00918","https://scholar.google.com/scholar?cites=14981752057043729794&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-19 18:51:44","","10.1021/acs.orglett.0c00918","","",,,,,24,4.80,6,4,5,"… Herein we describe the application of Lewis-acid-catalyzed carbonyl–olefin metathesis toward the synthesis of substituted tetrahydropyridines from commercially available amino acids …","","https://scholar.google.com/scholar?q=related:gr0RgR7g6c8J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"Y Peng, H Bao, L Zheng, Y Zhou, Q Ni, X Chen…","Cu (I)-Photosensitizer-Catalyzed Olefin-α-Amino Radical Metathesis/Demethylenative Cyclization of 1, 7-Enynes",2024,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.4c00793","https://scholar.google.com/scholar?cites=634952062423341171&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-19 18:51:44","","10.1021/acs.orglett.4c00793","","",,,,,8,8.00,1,7,1,"… that the reaction underwent an unprecedented olefin-α-amino radical metathesis-type process. A … of the reaction based on preliminary mechanistic experiments and DFT calculations. …","","https://scholar.google.com/scholar?q=related:cxglYonNzwgJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"M Gao, Q Gao, X Hao, Y Wu, Q Zhang, G Liu…","Ruthenium carbene-mediated construction of strained allenes via the enyne cross-metathesis/cyclopropanation of 1, 6-enynes",2020,"Organic Letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.9b04662","https://scholar.google.com/scholar?cites=10253373980497810318&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-19 18:51:44","","10.1021/acs.orglett.9b04662","","",,,,,18,3.60,3,7,5,"… of enyne metathesis, we find that the key point for the formation of allenes mainly lies in the formation of in-situ-generated ruthenium vinylidene and its site-selective metathesis process …","","https://scholar.google.com/scholar?q=related:jhPOgE9NS44J:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"J Gao, C Liu, Z Li, H Liang, Y Ao, J Zhao, Y Wang…","Catalytic C–C Cleavage/Alkyne–Carbonyl Metathesis Sequence of Cyclobutanones",2020,"Organic …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.orglett.0c01317","https://scholar.google.com/scholar?cites=2863085216226296355&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-19 18:51:44","","10.1021/acs.orglett.0c01317","","",,,,,25,5.00,3,8,5,"A ring-opening/alkyne–carbonyl metathesis sequence of alkyne-tethered cyclobutanones catalyzed by AgSbF 6 is realized for the first time to furnish multisubstituted naphthyl ketones …","","https://scholar.google.com/scholar?q=related:I0LXutW4uycJ:scholar.google.com/&scioq=source:%22organic+letters%22+%221523+7052%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
